words,counts
leonard,1466
sheldon,1392
penny,892
howard,529
oh,332
raj,308
well,255
okay,246
know,219
go,187
going,177
scene,168
one,158
like,143
yeah,142
would,136
time,129
get,121
really,118
good,118
want,112
think,109
hey,107
right,106
little,105
got,105
yes,103
look,99
come,98
see,97
uh,97
say,87
need,86
apartment,83
let,81
lesley,81
guys,79
sorry,77
could,76
back,69
missy,68
two,67
mrs,64
hi,64
us,62
gablehouser,60
take,58
work,58
alright,57
make,57
sure,57
cooper,54
maybe,53
thank,52
talk,51
great,51
man,50
way,49
something,49
dr,47
people,47
call,47
mean,47
night,46
wait,46
tell,46
god,46
please,46
um,46
girl,45
still,45
thing,45
room,44
party,44
koothrappali,43
give,43
machine,42
point,42
never,41
put,40
first,37
dennis,37
course,37
ask,36
fine,36
thanks,35
lalita,35
boy,35
mother,35
door,35
much,34
new,34
nice,34
physics,34
ever,33
excuse,33
home,32
woman,32
said,32
friends,31
hello,31
problem,31
years,31
thought,31
guess,30
kind,30
might,30
talking,30
friend,29
even,29
team,29
may,29
guy,29
else,28
made,28
bye,28
old,28
actually,28
understand,27
living,27
christie,27
day,27
huh,27
e,27
big,27
last,26
birthday,26
parents,26
stay,26
idea,26
done,26
sex,26
morning,25
long,25
bedroom,25
since,25
nothing,25
four,24
hee,24
anything,24
next,24
believe,24
someone,24
find,24
happy,24
keep,24
kurt,24
life,24
research,23
together,23
told,23
sit,23
three,23
love,23
fun,23
place,23
order,23
end,22
anyway,22
away,22
leslie,22
exactly,22
six,22
feel,21
show,21
help,21
use,21
stop,21
wolowitz,21
move,21
question,21
probably,21
bad,21
turn,21
also,21
play,21
pretty,20
welcome,20
remember,20
sick,20
building,20
hang,20
wow,20
sister,19
head,19
bowl,19
mind,19
every,19
things,19
women,19
part,19
listen,19
happened,19
care,18
better,18
around,18
start,18
saying,18
try,18
trying,18
mom,18
supposed,18
indian,18
year,18
lot,18
getting,18
everyone,18
always,18
another,18
matter,17
food,17
looks,17
soup,17
thinking,17
hell,17
half,17
coming,17
came,17
outside,17
high,17
leave,17
already,17
thirty,16
name,16
wanted,16
today,16
phone,16
gets,16
smart,16
stuff,16
future,16
chicken,16
sequence,16
answer,16
hear,16
eight,16
toby,15
sleeping,15
middle,15
cheesecake,15
story,15
hold,15
eat,15
halo,15
ah,15
date,15
pick,15
kidding,15
human,15
kim,15
break,15
sounds,15
hour,15
cat,15
left,14
open,14
wants,14
whole,14
true,14
lab,14
interesting,14
world,14
needs,14
front,14
tonight,14
used,14
house,14
person,14
second,14
restaurant,14
stairwell,14
went,14
speak,14
based,14
entire,14
throw,14
leo,14
hallway,13
family,13
called,13
bring,13
looking,13
knock,13
costume,13
science,13
enough,13
goes,13
five,13
without,13
neighbour,13
wrong,13
tv,13
space,13
floor,13
reason,13
funny,13
shower,13
late,13
credits,12
car,12
cool,12
hundred,12
playing,12
comes,12
gentlemen,12
fish,12
princess,12
forget,12
fifteen,12
computer,12
board,12
terrific,12
sleep,12
win,12
couple,12
shift,12
later,12
lost,12
dinner,12
string,12
eggs,12
original,12
nurse,12
able,12
neither,12
drunk,12
cut,12
twenty,12
anyone,12
cute,12
experiment,12
read,11
less,11
relationship,11
goodbye,11
wearing,11
asked,11
enters,11
best,11
seen,11
baby,11
drive,11
non,11
hours,11
watch,11
meet,11
shelly,11
ten,11
lady,11
light,11
everything,11
men,11
far,11
stairs,11
death,11
everybody,11
suit,11
longer,10
worked,10
university,10
unless,10
breakfast,10
lord,10
honey,10
social,10
drink,10
moving,10
bit,10
lucky,10
theory,10
effect,10
usually,10
either,10
game,10
heard,10
suppose,10
making,10
across,10
works,10
found,10
saw,10
superman,10
father,10
cannot,10
present,10
cousin,10
whatever,10
ahead,10
calling,10
perfect,10
papa,10
factory,10
joke,10
different,10
fact,10
lives,10
symposium,10
store,10
asking,10
ha,10
double,10
must,10
instead,10
close,10
rajesh,10
book,10
comic,10
box,10
buy,9
ground,9
hair,9
smell,9
blow,9
case,9
sign,9
taking,9
aware,9
chance,9
poor,9
dancing,9
dead,9
knocks,9
body,9
face,9
alone,9
obviously,9
turns,9
stupid,9
leaving,9
lie,9
doctor,9
mr,9
movie,9
sperm,9
dude,9
upset,9
strength,9
many,9
th,9
fat,9
crazy,9
couch,9
hit,9
started,9
self,9
child,9
children,9
choice,9
sweet,9
says,9
sweetie,9
rest,9
brain,9
ready,9
tomorrow,9
table,9
feeling,9
kid,9
agreed,9
drug,9
brought,8
broken,8
boyfriend,8
aa,8
sound,8
sort,8
earth,8
mike,8
match,8
makes,8
mad,8
luck,8
lied,8
example,8
least,8
knows,8
kitty,8
job,8
friday,8
full,8
happen,8
hand,8
group,8
minutes,8
none,8
office,8
scientific,8
somewhere,8
sitting,8
shirt,8
change,8
share,8
sexual,8
set,8
schrodinger,8
difference,8
saturday,8
company,8
completely,8
questions,8
quantum,8
prize,8
pms,8
dollars,8
correct,8
tall,8
takes,8
worry,8
blah,8
available,8
working,8
telling,8
tangerine,8
tried,8
words,8
bed,8
beautiful,8
beach,8
live,7
real,7
waiter,7
listening,7
surprise,7
series,7
low,7
random,7
son,7
radiation,7
mail,7
quite,7
burger,7
sense,7
walk,7
sensor,7
favour,7
bid,7
kitchen,7
laptop,7
large,7
eyes,7
eye,7
rehab,7
explain,7
expecting,7
wear,7
times,7
water,7
america,7
means,7
somebody,7
push,7
meant,7
pants,7
ass,7
assume,7
credit,7
potential,7
dibs,7
sir,7
side,7
number,7
plans,7
peanuts,7
plan,7
dear,7
deal,7
shot,7
turned,7
nobel,7
mention,7
molecular,7
apologise,7
bar,7
school,7
easy,7
thai,7
minute,7
punchali,7
character,7
moment,7
money,7
cos,7
smarter,7
small,7
uncomfortable,7
agree,7
shoot,7
flash,7
genetic,7
genius,7
screw,7
free,7
introduce,7
afternoon,7
happens,7
intervention,7
hall,7
system,7
girls,7
summer,7
bathroom,7
yet,7
chka,7
given,7
winkle,7
force,7
glass,7
imagine,7
robot,7
fire,7
chinese,7
gotten,7
join,7
ridiculous,7
student,7
hot,7
coitus,7
green,7
grade,7
seconds,7
bell,6
behind,6
met,6
hobbit,6
using,6
giving,6
apparently,6
dumplings,6
news,6
books,6
nebraska,6
run,6
month,6
mint,6
seat,6
texas,6
gave,6
mine,6
doug,6
moves,6
doppler,6
result,6
twelve,6
glasses,6
travel,6
physicist,6
cereal,6
attention,6
peter,6
attractive,6
perhaps,6
certainly,6
per,6
scientist,6
classic,6
gone,6
paper,6
cause,6
department,6
clean,6
panic,6
pan,6
sing,6
plus,6
ordinary,6
details,6
young,6
blog,6
possibility,6
assuming,6
tie,6
hamburger,6
hands,6
seven,6
receptionist,6
clothes,6
coffee,6
fingers,6
janitor,6
knew,6
fourth,6
waitress,6
animal,6
important,6
india,6
speaking,6
solution,6
rocket,6
balcony,6
ladies,6
level,6
interested,6
speed,6
wave,6
spend,6
broke,6
third,6
amazing,6
boys,6
lead,6
almost,6
iq,6
state,6
lose,6
cheese,6
voice,6
meeting,6
ago,6
elf,6
wondering,6
b,6
key,6
round,6
embarrassed,6
married,6
wonder,6
kick,6
check,6
cake,6
video,6
stands,6
considered,6
straight,6
stand,6
romantic,6
wo,6
extremely,6
colonoscopy,5
competition,5
cup,5
played,5
throat,5
sarcasm,5
tight,5
basic,5
rent,5
common,5
damn,5
regular,5
cuba,5
puts,5
running,5
control,5
clearly,5
proud,5
consider,5
costumes,5
confused,5
count,5
code,5
clear,5
rather,5
crap,5
realise,5
premise,5
town,5
create,5
sandwich,5
conclusion,5
points,5
concerned,5
rules,5
eating,5
dance,5
fault,5
ipod,5
finally,5
film,5
fill,5
whose,5
whore,5
fellas,5
feet,5
white,5
air,5
data,5
kiss,5
kissing,5
fair,5
lack,5
extra,5
laser,5
lee,5
leopold,5
wasted,5
flight,5
fourteen,5
hypothesis,5
hungry,5
grown,5
gotta,5
zi,5
gupta,5
zero,5
absolutely,5
halloween,5
gods,5
girlfriend,5
hard,5
gee,5
holding,5
holy,5
addition,5
word,5
hospital,5
wonderful,5
hug,5
frankly,5
ex,5
warm,5
walking,5
motion,5
area,5
needed,5
army,5
dna,5
north,5
often,5
tuesday,5
omaha,5
assumed,5
online,5
die,5
device,5
package,5
denied,5
particle,5
pass,5
decided,5
perfectly,5
trek,5
music,5
dressed,5
lived,5
drinks,5
loofah,5
annoying,5
lower,5
enjoy,5
english,5
lying,5
engineering,5
magic,5
energy,5
anybody,5
marathon,5
meal,5
valid,5
egg,5
miles,5
minds,5
mistake,5
drop,5
appropriate,5
bastard,5
ooh,5
seeing,5
birth,5
showcase,5
signal,5
simple,5
brother,5
settle,5
single,5
season,5
bitch,5
standing,5
teams,5
carrying,5
carry,5
thinks,5
stereo,5
secret,5
star,5
skynet,5
slow,5
separate,5
singing,5
cares,5
suck,5
test,5
bunch,5
business,5
spare,5
built,5
suggest,5
buying,5
cafeteria,5
busy,5
special,5
motel,4
dumpling,4
morlocks,4
mouth,4
movies,4
mmm,4
tampons,4
tanweer,4
answers,4
due,4
entering,4
mucus,4
mix,4
months,4
mano,4
mistakes,4
einstein,4
mate,4
math,4
embarrass,4
beloved,4
lunch,4
luminous,4
elevator,4
camera,4
mary,4
usual,4
soft,4
milk,4
enter,4
society,4
urine,4
technically,4
snipe,4
miniature,4
unconscious,4
dad,4
pasadena,4
degrees,4
tree,4
personal,4
centre,4
dark,4
centrifuge,4
century,4
dammit,4
daddy,4
certain,4
natural,4
plane,4
shiva,4
cultural,4
positronium,4
crosses,4
power,4
toys,4
created,4
shhh,4
crawl,4
participate,4
owner,4
designed,4
trousers,4
slept,4
necessary,4
arms,4
nerd,4
nevertheless,4
local,4
twin,4
twice,4
nine,4
nobody,4
nose,4
notice,4
noticed,4
numbers,4
observation,4
disagree,4
odds,4
turkey,4
difficult,4
diet,4
opens,4
equations,4
wash,4
lobby,4
french,4
wrapped,4
subject,4
worth,4
hitting,4
hmmm,4
worse,4
hofstadter,4
hooked,4
strong,4
sword,4
forward,4
afraid,4
forgot,4
imaginary,4
impressive,4
winner,4
bird,4
individual,4
focus,4
inside,4
afford,4
flat,4
gentle,4
heart,4
wrote,4
heads,4
surprised,4
grow,4
blind,4
growth,4
support,4
youngest,4
absolute,4
goldfarb,4
super,4
yip,4
swell,4
hamburgers,4
glow,4
glad,4
accept,4
boggle,4
yay,4
happening,4
hardly,4
haroun,4
hate,4
stick,4
internet,4
wakes,4
experiments,4
failure,4
lactose,4
wedding,4
beyond,4
spock,4
along,4
laugh,4
lay,4
explanation,4
spirit,4
experimental,4
window,4
experience,4
learn,4
aluminium,4
legs,4
buddy,4
watched,4
private,4
wanna,4
lime,4
evening,4
fairly,4
label,4
alive,4
week,4
step,4
invent,4
invented,4
invite,4
brains,4
bio,4
station,4
figure,4
fighting,4
fifty,4
starts,4
fibre,4
judgement,4
jump,4
felt,4
fell,4
kill,4
fast,4
farm,4
weight,4
known,4
avoid,4
gravity,4
choo,4
grasshopper,4
corduroy,4
rate,4
rat,4
propose,4
congratulations,4
seriously,4
semi,4
save,4
conversation,4
ball,4
sell,4
relative,4
convention,4
closet,4
rid,4
setting,4
till,4
production,4
remind,4
chat,4
collection,4
reference,4
protest,4
protocol,4
tiny,4
provide,4
roll,4
reasonable,4
titanium,4
coke,4
conference,4
recently,4
batman,4
sent,4
sensitive,4
recognise,4
sake,4
throwing,4
roof,4
send,4
record,4
red,4
scientists,4
cloaking,4
chocolate,4
repair,4
response,4
process,4
corridor,4
choose,4
awesome,4
putting,4
replace,4
clock,4
ray,3
bought,3
teleplay,3
reaction,3
admit,3
thankyou,3
cancel,3
following,3
increase,3
belong,3
neat,3
efforts,3
nature,3
woah,3
messy,3
calm,3
effects,3
nauseous,3
solid,3
rational,3
mexican,3
argument,3
stock,3
apparent,3
vader,3
dog,3
dogs,3
solve,3
condition,3
mass,3
newton,3
masters,3
contact,3
flawed,3
ugh,3
embarrassing,3
flesh,3
frodo,3
email,3
symptoms,3
hoping,3
valuable,3
measurable,3
ingredients,3
un,3
fly,3
information,3
slash,3
quest,3
unbelievable,3
medication,3
mediocre,3
milky,3
confrontation,3
unit,3
sofa,3
slices,3
snap,3
doogie,3
technique,3
approaching,3
driving,3
naked,3
underwear,3
mommy,3
n,3
monkey,3
wireless,3
ice,3
moon,3
forced,3
cared,3
unravelable,3
mum,3
bears,3
quizznos,3
ungodly,3
hurt,3
strange,3
universe,3
dozen,3
knees,3
slits,3
approaches,3
former,3
formal,3
du,3
improvement,3
appears,3
serious,3
quick,3
bowel,3
earlier,3
upstairs,3
ups,3
immediately,3
dying,3
miss,3
missing,3
donkey,3
dvd,3
appreciate,3
capital,3
within,3
however,3
ignoring,3
mit,3
ran,3
march,3
named,3
fork,3
idiot,3
luckily,3
violent,3
emotional,3
tale,3
larry,3
remote,3
