words,counts
get,39
right,37
know,34
got,31
like,31
one,31
going,29
look,24
man,23
want,22
thing,21
come,20
galaxy,20
let,18
go,18
need,16
yeah,16
really,15
belt,15
take,15
well,15
way,15
hell,15
see,14
good,14
ever,14
tell,14
planet,14
oh,14
something,13
make,13
back,13
damn,13
kay,13
okay,13
orion,13
around,13
time,13
cat,12
new,12
best,12
thank,12
kid,12
think,12
bug,12
little,12
put,11
alien,11
wait,10
never,10
give,10
dead,10
even,10
work,10
us,10
please,10
show,9
sir,9
water,9
edgar,9
whatever,9
first,9
head,9
body,9
gonna,9
minute,8
mean,8
town,8
guy,8
huh,8
zed,8
keep,8
better,8
dr,8
say,8
sorry,8
coming,8
earth,8
three,8
last,8
much,7
ship,7
saw,7
two,7
minutes,7
said,7
move,7
war,7
shit,7
big,7
kind,7
yes,7
sure,7
night,7
prevent,7
ass,7
hey,7
problem,7
sugar,7
people,7
arquillians,7
guys,6
enough,6
real,6
getting,6
bugs,6
nothing,6
thought,6
start,6
memory,6
flashy,6
check,6
looking,6
anything,6
means,6
edwards,6
catch,6
help,6
gone,6
white,6
friend,6
find,6
leave,6
exactly,6
york,6
stars,6
years,5
would,5
talking,5
watch,5
intergalactic,5
eat,5
looks,5
weapon,5
call,5
n,5
dude,5
may,5
part,5
many,5
face,5
sense,5
pretty,5
island,5
hit,5
seen,5
knew,5
division,5
manhattan,5
long,5
ago,5
red,5
ask,5
hour,5
trying,5
suit,5
jeebs,5
excuse,5
talk,5
trip,5
aliens,4
stop,4
every,4
leaving,4
freeze,4
f,4
except,4
everything,4
wrong,4
understand,4
second,4
guess,4
landing,4
fun,4
actually,4
gotta,4
gun,4
young,4
government,4
rosenberg,4
tough,4
name,4
p,4
handle,4
battle,4
happy,4
human,4
away,4
doctor,4
house,4
attention,4
makes,4
boy,4
miss,4
fellas,4
somebody,4
eight,4
day,4
god,4
cab,4
half,4
galaxies,4
maybe,4
gas,4
hold,4
skills,4
anywhere,4
home,3
heard,3
hear,3
hate,3
dangerous,3
hope,3
humans,3
shot,3
idea,3
else,3
kill,3
hurt,3
hundred,3
destruction,3
th,3
everyone,3
seat,3
hand,3
cruiser,3
instead,3
hands,3
hello,3
jewelry,3
department,3
end,3
shoot,3
could,3
subject,3
crazy,3
series,3
things,3
everybody,3
frank,3
kiss,3
whole,3
bad,3
weird,3
standard,3
weaver,3
must,3
fine,3
question,3
beautiful,3
believe,3
warning,3
bit,3
black,3
morgue,3
ran,3
smart,3
months,3
gets,3
started,3
boys,3
