words,counts
billy,81
yeah,72
one,67
get,63
gonna,61
okay,60
good,58
know,58
first,53
right,49
got,48
think,45
like,44
baseball,43
go,40
let,40
team,38
well,36
want,33
oakland,30
us,29
play,28
giambi,26
see,26
base,25
man,25
guys,25
year,24
hey,24
guy,23
back,23
need,23
tell,22
yankees,21
say,21
ball,21
great,21
gotta,21
win,21
really,21
games,21
problem,20
come,20
yes,20
field,20
new,19
game,19
hit,19
damon,18
hatteberg,18
two,18
job,18
pe,18
way,18
oh,18
beane,18
call,18
could,17
people,17
little,17
thing,17
time,16
look,16
make,16
would,16
players,16
player,16
three,15
thank,15
going,15
wanna,15
million,15
looking,14
money,14
big,14
gets,14
scott,14
pete,14
never,13
five,13
straight,13
run,13
take,13
talk,13
lot,13
art,13
league,13
steve,12
last,12
row,12
rincon,12
give,12
gone,12
trying,11
number,11
throw,11
jeremy,11
mark,11
mean,11
getting,11
nothing,11
told,11
second,11
deal,11
contract,11
years,11
shit,10
done,10
paying,10
nice,10
something,10
season,10
things,10
york,10
better,10
fine,10
nobody,10
dad,10
series,9
replace,9
bat,9
lead,9
taken,9
everything,9
best,9
feel,9
pitch,9
talking,9
venafro,9
still,9
ready,9
hold,8
shapiro,8
thinking,8
work,8
wins,8
please,8
else,8
losing,8
old,8
around,8
kid,8
asking,8
eckerton,8
record,8
cut,8
listen,8
hard,8
left,8
even,8
played,8
bit,8
point,7
sir,7
wrong,7
traded,7
suzanne,7
streak,7
sure,7
away,7
teams,7
runs,7
david,7
garc,7
johnny,7
long,7
lose,7
boston,7
athletics,7
jason,7
lost,7
love,7
honey,7
much,6
minute,6
start,6
fun,6
part,6
peter,6
mr,6
morning,6
pick,6
home,6
four,6
explain,6
try,6
six,6
maybe,6
hi,6
since,6
wait,6
round,6
ed,6
third,6
walks,6
hear,6
gm,6
anybody,6
day,6
wants,6
teach,6
next,6
decision,6
justice,6
baseman,6
worth,6
winning,6
strike,6
coming,6
needs,6
question,6
lineup,5
seven,5
keep,5
red,5
young,5
help,5
read,5
yale,5
school,5
head,5
hattie,5
picking,5
turn,5
phillips,5
seat,5
seattle,5
seen,5
pay,5
afford,5
card,5
stop,5
grady,5
started,5
mets,5
july,5
american,5
anderson,5
watch,5
making,5
another,5
brand,5
fans,5
bradford,5
boy,5
tejada,5
james,5
wanted,5
understand,5
giants,5
bill,5
find,5
bats,5
tonight,5
line,5
believe,5
star,5
mine,5
sounds,5
bye,5
championship,5
sorry,5
howe,5
every,5
soda,5
half,5
sometimes,5
office,4
rather,4
kidding,4
mabry,4
god,4
name,4
hang,4
hate,4
offer,4
made,4
front,4
hell,4
economics,4
none,4
longest,4
least,4
funny,4
hitting,4
end,4
plate,4
middle,4
excuse,4
expect,4
hitter,4
