words,counts
hopps,702
nick,374
judy,103
bogo,96
bellwether,84
oh,66
stu,60
little,59
looks,58
know,57
right,52
back,51
big,49
one,49
clawhauser,49
go,46
otterton,45
bonnie,44
well,43
mr,42
like,42
int,42
later,41
flash,40
hey,40
see,40
gonna,40
day,40
bunny,39
ext,39
zootopia,37
fox,36
okay,36
gideon,36
officer,35
yeah,34
find,34
young,34
get,33
lionheart,33
car,33
door,33
cop,32
look,31
got,30
savage,30
sir,30
night,29
think,29
train,28
yes,28
going,28
zpd,27
animals,26
grey,26
kid,26
case,26
manchas,25
two,24
please,23
come,23
mean,23
thank,23
never,22
gazelle,22
really,22
around,22
mayor,21
jaguar,21
let,20
real,20
mrs,20
stop,20
run,20
predators,20
city,20
make,20
time,19
need,19
us,19
another,19
good,19
meter,19
missing,18
head,18
ya,18
first,18
away,18
anything,18
wait,18
moments,18
carrots,18
otter,18
predator,18
polar,18
bye,18
tell,17
turns,17
weaselton,17
howlers,17
carrot,17
uh,17
take,17
say,17
wolves,17
emmitt,16
prey,16
behind,16
way,16
could,16
fru,16
badge,16
open,16
toot,16
chief,15
great,15
maid,15
weasel,15
takes,15
dead,15
yax,15
place,15
yak,15
duke,15
want,15
desk,14
doug,14
actually,14
would,14
world,14
ice,14
animal,14
gets,14
em,14
gives,14
cut,14
sheep,14
nangi,13
reveal,13
shut,13
police,13
news,13
walks,13
across,13
woolter,13
tickets,13
room,13
better,13
bear,12
mammal,12
new,12
reporter,12
traffic,12
major,12
pop,12
gotta,12
sits,12
plate,12
eyes,12
family,12
pootosser,12
face,12
tiny,11
phone,11
life,11
small,11
friedkin,11
second,11
boy,11
something,11
thought,11
even,11
enters,11
starts,11
much,11
pulls,11
guys,11
elephant,11
tries,11
rabbit,11
keep,11
call,11
love,11
bam,11
station,11
dumb,10
three,10
pen,10
tundratown,10
puts,10
happened,10
may,10
jerry,10
suddenly,10
front,10
finally,10
next,10
kind,10
sorry,10
goes,10
hand,10
thing,10
gone,9
blood,9
help,9
hello,9
ha,9
holds,9
said,9
jumbeaux,9
huh,9
coming,9
opens,9
street,9
still,9
ever,9
everyone,9
everything,9
donut,9
name,9
sure,9
nice,9
talking,9
days,9
cops,9
comes,9
smiles,9
finnick,9
picture,9
together,9
went,9
central,9
listen,9
bears,9
repellent,9
sahara,8
driver,8
anyone,8
ticket,8
