start,end,script
00:00:13.471,00:00:17.559,The United States is home to 5% of the world's population...
00:00:19.352,00:00:22.021,but 25% of the world's prisoners.
00:00:24.566,00:00:26.193,Think about that.
00:00:31.281,00:00:34.784,having 25% of the world's prisoners?
00:00:34.867,00:00:35.952,One out of four?
00:00:36.036,00:00:43.918,"One out of four human beings with their hands on bars, shackled, in the world are locked up here, in the land of the free."
00:00:46.337,00:00:49.299,"We had a prison population of 300,000 in 1972."
00:00:49.382,00:00:53.178,"Today, we have a prison population of 2.3 million."
00:00:53.261,00:00:56.723,The United States now has the highest rate of incarceration in the world.
00:00:59.226,00:01:05.607,"So, you see, now suddenly they're in an awakening that, Oh, perhaps we need to downsize our prison system."
00:01:05.690,00:01:09.486,It's gotten too expensive. It's gotten out of hand.
00:01:09.569,00:01:25.877,"Um, but the very folks who often express so much concern, uh, about the cost and the expanse of the system are often very unwilling to talk in any serious way about remedying the harm that has been done."
00:01:28.546,00:01:32.008,History is not just stuff that happens by accident.
00:01:32.091,00:01:36.596,"We are the products of the history that our ancestors chose, if we're white."
00:01:36.679,00:01:41.309,"If we are black, we are products of the history that our ancestors most likely did not choose."
00:01:41.393,00:01:45.062,"Yet here we all are together, the products of that set of choices."
00:01:45.147,00:01:48.775,And we have to understand that in order to escape from it.
00:01:54.030,00:02:00.870,The 13th Amendment to the Constitution makes it unconstitutional for someone to be held as a slave.
00:02:00.953,00:02:03.248,"In other words, it grants freedom..."
00:02:06.168,00:02:08.628,to all Americans.
00:02:09.546,00:02:13.966,"There are exceptions, including criminals."
00:02:21.974,00:02:29.607,"in this constitutional language, then it's there to be used as a tool for whichever purposes one wants to use it."
00:02:52.505,00:02:55.342,"when we think about slavery, it was an economic system."
00:02:55.425,00:03:04.100,"And the demise of slavery at the end of the Civil War left the Southern economy in tatters. Uh, and so this presented a big question."
00:03:04.183,00:03:12.942,"There are four million people who were formerly property, and they were formerly kind of the integral part of the economic production system in the South."
00:03:13.025,00:03:14.527,And now those people are free.
00:03:18.364,00:03:20.909,And so what do you do with these people?
00:03:24.162,00:03:26.164,How do you rebuild your economy?
00:03:28.165,00:03:32.754,The 13th Amendment loophole was immediately exploited.
00:03:32.837,00:03:37.259,"After the Civil War, African Americans were arrested en masse."
00:03:37.342,00:03:40.553,It was our nation's first prison boom.
00:03:46.392,00:03:48.228,"Except for criminals, everybody else is free."
00:03:48.311,00:03:52.232,"Well, now if you're criminalized, that doesn't apply to you."
00:03:55.318,00:03:58.321,like loitering or vagrancy.
00:04:00.365,00:04:07.204,And they had to provide labor to rebuild the economy of the South after the Civil War.
00:04:16.839,00:04:19.384,to a kind of mythology of black criminality.
00:04:21.094,00:04:24.430,"Go back and, you know, read the rhetoric that people used then."
00:04:25.390,00:04:30.395,"They would say that the Negro was out of control, that there's a threat of violence to white women."
00:04:32.230,00:04:45.868,"So the same sort of image that we had of Uncle Remus and these genial, kind of, black figures was replaced by this rapacious, uh, menacing, Negro male evil that had to be banished."
00:04:53.918,00:04:57.129,just a profoundly important cultural event.
00:05:00.633,00:05:04.804,hailed for both its artistic achievement and for its political commentary.
00:05:04.887,00:05:07.557,"And when it was released, it had this rapturous response."
00:05:07.640,00:05:11.102,"You know, there were lines everywhere that it was being shown."
00:05:12.228,00:05:19.777,Birth of a Nation confirmed the story that many whites wanted to tell about the Civil War and its aftermath.
00:05:21.195,00:05:25.199,To erase defeat and to take out of it sort of a martyrdom.
00:05:27.410,00:05:34.292,"Woodrow Wilson, the sitting president, had a private screening of it in the White House. He calls it, History written with lightning."
00:05:34.376,00:05:39.547,"And every image you see of a black person is a demeaned, animal-like image."
00:05:40.465,00:05:42.258,"Cannibalistic, animalistic."
00:05:43.551,00:05:46.679,The image of the African American male.
00:05:51.851,00:05:55.688,rather than be raped by a black male criminal.
00:05:56.230,00:05:59.609,"In the film, you see black people being a threat to white women."
00:05:59.692,00:06:09.368,All the myths of black men as rapists was ultimately stemmed by the reality that the white political elite and the business establishment needed black bodies working.
00:06:22.048,00:06:28.345,is that it was also a tremendously accurate prediction of the way in which race would operate in the United States.
00:06:44.654,00:06:46.197,for the rebirth of the Ku Klux Klan.
00:06:47.907,00:06:53.287,"It had received this romantic, glowing, heroic portrait."
00:06:54.997,00:06:58.375,The Klan never had the ritual of burning the cross.
00:06:58.460,00:07:03.005,That was something that D.W. Griffith came up with because he thought that it was a great cinematic image.
00:07:04.799,00:07:07.760,So it was literally an instance of life imitating art.
00:07:09.762,00:07:16.936,The ripples emanate far out from just the simple fact that it's a movie in the early motion picture age.
00:07:21.733,00:07:28.781,that the Ku Klux Klan had as a result of Birth of a Nation came another wave of terrorism.
00:07:45.381,00:07:52.179,Thousands of African Americans murdered by mobs under the idea that they had done something criminal.
00:07:55.683,00:07:59.979,it is estimated that at least 350 delegates were Klansmen.
00:08:04.025,00:08:10.573,"Now we have African Americans in Los Angeles, in Oakland, and Chicago, and Cleveland, Detroit, Boston, New York."
00:08:10.657,00:08:18.247,And very few people appreciate that the African Americans in those communities did not go there as immigrants looking for new economic opportunities.
00:08:18.331,00:08:20.666,They went there as refugees from terror.
00:08:20.750,00:08:27.590,"We didn't just land in Oakland, in LA, in Compton, in Harlem, in Brownsville in 2015."
00:08:27.673,00:08:30.218,This is generational... generational trauma.
00:08:32.887,00:08:40.687,"on the chest and stomach of this man in Houston, Texas, after he had been hanged by his knees from an oak tree and flogged with a chain."
00:08:42.438,00:08:51.155,"The Chicago Negro boy, Emmett Till, is alleged to have paid unwelcome attention to Roy Bryant's most attractive wife."
00:09:05.419,00:09:10.132,"to engage in that kind of open terrorism, then it shifted to something more legal."
00:09:10.216,00:09:12.301,Segregation. Jim Crow.
