start,end,script
00:02:35.446,00:02:37.157,Camera test.
00:05:55.355,00:05:56.272,That's it.
00:05:58.358,00:06:00.860,The world is so fucked up.
00:06:02.070,00:06:03.529,Systematic oppression.
00:06:04.322,00:06:05.823,Income inequality.
00:06:07.325,00:06:08.451,The other stuff.
00:06:10.036,00:06:17.210,"And there's only one thing that I can do about it, while… while being paid, and being the center of attention."
00:07:05.133,00:07:06.259,I'm bored.
00:09:36.701,00:09:37.577,Hi.
00:09:38.077,00:09:42.873,"Welcome to, uh, whatever this is."
00:09:42.957,00:09:56.095,"Um, I've been working for the last couple months, um, testing this camera, and testing lights, and writing, and I've decided to, uh, try to make a new special."
00:09:56.178,00:09:57.263,For real.
00:09:57.346,00:10:02.768,"Um, it's not gonna be a normal special because there's no audience, and there's no crew."
00:10:03.269,00:10:07.607,"It's just, uh, me and my camera, and you and your screen."
00:10:08.482,00:10:11.319,"Uh, the way that… that our Lord intended."
00:10:12.153,00:10:17.658,"Um… And the whole special will be… will be filmed in this, uh, room."
00:10:18.993,00:10:27.293,"And instead of being filmed in a single night, it will be filmed in, uh, however long it takes to finish."
00:10:29.462,00:10:31.339,"I hope you, uh, enjoy it."
00:10:32.715,00:10:45.603,"I… I hope this special can maybe do for you what it's done for me these last couple months, which is, uh, to distract me from wanting to put a bullet into my head with a gun."
00:10:48.731,00:10:49.815,"Yeah, thank you."
00:10:50.733,00:10:52.151,And a warning.
00:10:52.234,00:14:06.846,"Um, I can already sort of tell that this special is going to be a little all over the place, so don't expect incredibly smooth transiti-- Hey, kids."
00:14:06.929,00:14:09.098,"Today, we're gonna learn about the world."
00:15:08.574,00:15:11.619,"Hey, everyone. Look who stopped by to say hello."
00:15:12.369,00:15:13.662,It's Socko.
00:15:14.204,00:15:15.748,Hey!
00:15:17.750,00:15:22.004,I've been where I always am when you're not wearing me on your hand.
00:15:22.087,00:15:26.258,"In a frightening, liminal space between states of being."
00:15:26.342,00:15:28.761,"Not quite dead, not quite alive."
00:15:28.844,00:15:32.640,It's similar to a constant state of sleep paralysis.
00:15:32.723,00:15:36.268,"Socko, we were just talking about the world and how it works."
00:15:36.352,00:15:38.771,"Boy, that sounds complicated."
00:15:38.854,00:15:41.690,Do you have anything you'd want to teach us about the world?
00:15:41.774,00:15:45.444,I wouldn't say anything that you probably haven't already said yourself.
00:15:45.527,00:15:47.446,"I don't know about that, Socko."
00:15:47.529,00:15:48.948,How about you give it a try?
00:15:50.115,00:15:51.533,All right.
00:16:35.285,00:16:36.495,Really?
00:16:49.425,00:16:50.843,No shit.
00:16:50.926,00:16:53.345,What can I do to help?
00:16:53.429,00:16:55.806,Read a book or something. I don't know.
00:16:55.889,00:16:59.643,Just don't burden me with the responsibility of educating you.
00:16:59.727,00:17:01.478,It's incredibly exhausting.
00:17:01.562,00:17:02.688,"I'm sorry, Socko."
00:17:02.771,00:17:05.524,I was just trying to become a better person.
00:17:05.607,00:17:15.075,Why do you rich fucking white people insist on seeing every socio-political conflict through the myopic lens of your own self-actualization?
00:17:15.159,00:17:16.952,This isn't about you.
00:17:17.036,00:17:20.205,"So either get with it, or get out of the fucking way."
00:17:24.376,00:17:27.171,But that's what I-- Have you not been fucking listening?
00:17:27.254,00:17:28.797,-We are entrenched in-- -All right.
00:17:32.217,00:17:34.219,I can't go… I can't go back.
00:17:36.513,00:17:37.514,I'm sorry.
00:17:38.974,00:17:40.559,Are you gonna behave yourself?
00:17:41.560,00:17:42.561,Yes.
00:17:43.854,00:17:45.773,"Yes, what?"
00:17:47.733,00:17:49.276,"-Yes, sir. -Look at me."
00:17:54.782,00:17:55.783,That's better.
00:18:25.646,00:18:27.106,"Hello, my name is Bo Burnham."
00:18:27.689,00:18:33.904,"And I am a former comedian, turned social brand consultant."
00:18:37.616,00:18:40.202,"It's a very exciting time to be a, uh, brand."
00:18:40.285,00:18:48.043,It's also a bit of a scary time because customers expect a lot more from their brands than they did in the past.
00:18:48.127,00:18:59.346,"During this incredibly necessary and overdue social reckoning that we're having in our culture, it is no longer acceptable for brands to stay out of the conversation."
00:18:59.429,00:19:05.477,"Consumers want to know, Are you willing to use your brand awareness to effect positive social change?"
00:19:06.228,00:19:08.438,Which will create more brand awareness.
00:19:08.522,00:19:16.196,"The question I ask the brands I work with is, is, is, is, is, is, is, is, is, is… Are you gonna be on the right side of history?"
00:19:16.280,00:19:18.657,"The question isn't, What are you selling?"
00:19:18.740,00:19:21.493,Or… or What service are you providing?
00:19:21.577,00:19:24.580,"The question is, What do you stand for?"
00:19:25.789,00:19:28.876,"Who are you, Bagel Bites?"
00:19:28.959,00:19:34.590,"All these big companies, they're so scared of all this social change, and I come in and I put their fears to rest."
00:19:34.673,00:19:36.758,"You know, I tell them, Just be honest."
00:19:36.842,00:19:41.138,Tell your customers that… that JPMorgan is against racism.
00:19:41.221,00:19:42.222,In theory.
00:19:42.306,00:19:48.395,"The question is no longer, Do you want to buy Wheat Thins? For example."
00:19:48.478,00:19:55.777,"The question is now, Will you support Wheat Thins in the fight against Lyme disease?"
00:19:55.861,00:20:01.283,There's no sugarcoating it. The world is… …fucked up.
00:20:04.745,00:20:21.011,"And you've got a choice as a brand. You can… hide and bury your head in the sand and hope it fixes itself, or you can roll up your sleeves and get to work, and sell Butterfingers."
00:24:58.872,00:25:01.958,Is it… is it necessary?
00:25:02.042,00:25:18.683,"Is it necessary that every single person on this planet um, expresses every single opinion that they have on every single thing that occurs all at the same time?"
00:25:18.767,00:25:22.020,Is that… is that necessary?
00:25:22.729,00:25:32.322,"Um… Or to ask in a slightly different way, um, can… can anyone shut the fuck up?"
00:25:33.240,00:25:48.713,"Can… can anyone, any… any… any one, any single one, can any one… …shut the fuck up about anything-- About any… any single thing?"
00:25:48.797,00:25:57.389,Can any single person shut the fuck up about any single thing for an hour?
00:25:57.973,00:26:00.392,"You know, is that… is that possible?"
00:26:05.564,00:26:44.728,"You're not shutting the fuck up right now, and that's true, but… Hey, everybody."
00:26:44.811,00:26:49.441,"Um, I thought I'd do a reaction video to the song that you just saw me perform."
00:26:49.524,00:26:50.859,Thought that might be fun.
00:26:50.942,00:26:55.780,"Um, so I got my laptop all set up. So I'm ready to go, and let's go."
00:27:02.078,00:27:13.798,"Um, so the idea with this song was basically that there's so many songs in the past about… about working-class jobs, but not a lot about the labor exploitation of the modern world, so that was the idea here."
00:27:16.009,00:27:20.180,My beard is a little shorter in this video 'cause I filmed it a couple weeks ago.
00:27:29.105,00:27:35.070,And then you cut. I think it's funny to cut right on-- …do a reaction video to the song that you just saw me perform.
00:27:35.153,00:27:40.742,"-Thought that might be fun. -What… Um, so I got my… Because this video played after that."
00:27:40.825,00:27:43.370,"Right. So, and now… Right."
00:27:43.453,00:27:44.996,"Okay, so I'll just keep reacting."
00:27:45.080,00:27:48.667,"So, this is me reacting to the song."
00:27:49.584,00:27:53.505,Um… What I'm doing is I'm explaining what the song means.
00:27:53.588,00:27:56.466,"Um, and what it's about. I'm being a little pretentious."
00:27:56.549,00:28:02.180,"It's, uh… it's an instinct I have where I need everything that I write to have some deeper meaning or something."
00:28:02.263,00:28:13.441,"But it's a stupid song, and, uh, it doesn't really mean anything, and, uh, it's… it's pretty unlikable that I… that I feel this need, this desperate need, to be seen as, uh, intelligent."
00:28:13.525,00:28:19.531,"And the video's ending here, as you can see, and look, I'm very confused. See, I'm very, very confused."
00:28:19.614,00:28:26.538,"'Cause I'm staring at myself, I don't know what I'm looking at, and I'm starting to catch up now, I'm realizing what's going on."
00:28:26.621,00:28:32.335,"And, uh, yeah, now I'm deciding to react to the reaction to the video."
00:28:32.419,00:28:44.556,"So here, um, I'm reacting to my own reacting, and I'm criticizing my initial reaction for… for being pretentious, which is… which is honestly, it's a… it's a defense mechanism."
00:28:44.639,00:28:50.562,I'm… I'm so worried that criticism will be levied against me that I levy it against myself before anyone else can.
00:28:50.645,00:28:57.110,"And I think that, Oh, if I'm self-aware about being a douchebag, it'll somehow make me less of a douchebag. But it… but it doesn't."
00:28:57.193,00:28:59.946,"Um, self-awareness does not absolve anybody of anything."
00:29:00.029,00:29:02.490,"Am I balding? This is really, really disturbing."
00:29:02.574,00:29:06.536,"I don't like looking at myself like this, and I want… I want this to stop."
