word,counts
so,32
know,24
just,24
can,20
gon,16
right,14
all,11
now,11
want,11
world,11
special,11
kill,10
really,10
fucking,9
guys,9
maybe,9
working,8
thing,8
single,8
more,8
time,8
thank,8
song,8
video,7
think,7
need,7
much,7
when,7
will,7
work,7
here,7
very,6
got,6
forever,6
months,6
little,6
finish,6
pretty,5
brand,5
question,5
should,5
could,5
better,5
let,5
live,5
ca,5
way,5
social,5
going,5
go,5
give,5
say,5
fuck,5
reaction,5
room,4
human,4
real,4
hope,4
reacting,4
people,4
see,4
dead,4
nice,4
necessary,4
digital,4
lot,4
means,4
done,4
love,4
cry,4
make,4
great,4
camera,4
today,4
then,4
tell,4
try,4
filmed,4
space,4
again,4
feel,4
year,4
look,3
enjoy,3
perform,3
bit,3
times,3
wanted,3
funny,3
always,3
like,3
one,3
awareness,3
might,3
back,3
trying,3
person,3
longer,3
good,3
self,3
thought,3
crazy,3
incredibly,3
shut,3
dude,3
years,3
come,3
feeling,3
idea,3
confused,3
quit,3
would,3
doing,3
talking,3
brands,3
keep,3
expect,3
thinking,3
last,3
welcome,3
couple,3
ask,3
less,2
looking,2
guess,2
life,2
how,2
learned,2
head,2
i,2
honest,2
about,2
probably,2
map,2
true,2
smooth,2
socko,2
sorry,2
sort,2
stop,2
sure,2
take,2
test,2
testing,2
turned,2
mean,2
turning,2
twenties,2
wanting,2
week,2
where,2
while,2
whole,2
why,2
yet,2
set,2
saw,2
recently,2
quite,2
mental,2
music,2
never,2
no,2
of,2
okay,2
only,2
outside,2
own,2
past,2
performing,2
pirate,2
place,2
play,2
political,2
possible,2
pretentious,2
put,2
quick,2
fun,2
long,2
ending,2
content,2
bad,2
basically,2
douchebag,2
also,2
already,2
change,2
customers,2
cut,2
comedy,2
fact,2
ago,2
day,2
asleep,2
close,2
actually,2
fucked,2
big,2
chat,1
sleep,1
sleeves,1
slightly,1
sit,1
sir,1
side,1
sing,1
similar,1
shutting,1
check,1
children,1
shorter,1
shit,1
small,1
carry,1
center,1
catch,1
state,1
starting,1
started,1
start,1
staring,1
stand,1
stained,1
stages,1
stage,1
spiritual,1
spent,1
butterfingers,1
buy,1
sounds,1
call,1
care,1
songs,1
cares,1
somehow,1
severe,1
socio,1
sexual,1
fuckin,1
choice,1
record,1
rich,1
return,1
rest,1
responsibility,1
requests,1
release,1
reenter,1
records,1
reckoning,1
roll,1
coming,1
realizing,1
companies,1
ready,1
read,1
completely,1
complicated,1
react,1
comedian,1
cold,1
service,1
search,1
selling,1
sell,1
cinematic,1
seen,1
states,1
seemed,1
seeing,1
class,1
screen,1
safe,1
scary,1
scared,1
saying,1
coal,1
sand,1
same,1
salamanders,1
said,1
seems,1
stopping,1
stay,1
vibes,1
wearing,1
watching,1
warning,1
attacks,1
attention,1
audience,1
wake,1
vital,1
avoid,1
aware,1
treasure,1
value,1
use,1
unlikable,1
balding,1
turn,1
tune,1
beard,1
become,1
truth,1
approaching,1
weeks,1
weird,1
appreciated,1
yourselves,1
acceptable,1
actualization,1
writing,1
write,1
after,1
worried,1
works,1
alive,1
allowing,1
wish,1
wise,1
willing,1
alone,1
white,1
anticipated,1
anymore,1
appreciate,1
well,1
beginning,1
totally,1
still,1
such,1
systematic,1
surface,1
burnt,1
supposed,1
supporting,1
support,1
suit,1
suicidal,1
sugarcoating,1
subs,1
tonight,1
subjective,1
stupid,1
stuff,1
struggling,1
stream,1
story,1
radiate,1
stopped,1
bury,1
tactile,1
burning,1
takes,1
burn,1
together,1
behave,1
title,1
benefits,1
thoughts,1
book,1
bored,1
boring,1
born,1
there,1
theory,1
boys,1
theatrical,1
bring,1
bug,1
bullet,1
burden,1
teach,1
tea,1
rapidly,1
consultant,1
racism,1
income,1
intelligent,1
instinct,1
instead,1
insist,1
initial,1
inequality,1
indie,1
exploit,1
incredible,1
in,1
interaction,1
improve,1
exploitation,1
explore,1
expresses,1
however,1
eyed,1
hour,1
horny,1
honestly,1
intended,1
interior,1
conflict,1
exchange,1
levied,1
entire,1
entrenched,1
lens,1
example,1
learn,1
laugh,1
later,1
late,1
laptop,1
interpersonal,1
laminate,1
labor,1
knowing,1
exciting,1
exhausting,1
kids,1
experience,1
explaining,1
jobs,1
fears,1
holding,1
history,1
given,1
fixes,1
goodbye,1
flashlight,1
flattening,1
former,1
goal,1
freak,1
globe,1
giving,1
freaking,1
hint,1
gifting,1
giant,1
getting,1
get,1
gather,1
game,1
future,1
frightening,1
funniest,1
graphics,1
first,1
finished,1
guitar,1
high,1
hiding,1
hide,1
fight,1
help,1
hear,1
health,1
find,1
having,1
hate,1
hard,1
happy,1
happier,1
happened,1
handful,1
hand,1
had,1
fine,1
gun,1
levy,1
enjoying,1
lifeless,1
out,1
criticism,1
criticizing,1
crowd,1
paralysis,1
panic,1
paid,1
culture,1
overdue,1
current,1
other,1
new,1
oppression,1
opinion,1
damn,1
occurs,1
decided,1
normal,1
non,1
deciding,1
night,1
crew,1
create,1
phones,1
crawling,1
constant,1
consumers,1
quality,1
contact,1
providing,1
profit,1
contained,1
control,1
controls,1
positive,1
conversation,1
poisoning,1
point,1
plays,1
played,1
cop,1
planet,1
corporations,1
pirates,1
deeper,1
defense,1
lights,1
educating,1
disturbing,1
meaning,1
door,1
maps,1
drama,1
many,1
edges,1
made,1
low,1
effect,1
neurochemical,1
looks,1
else,1
end,1
absolve,1
engage,1
engages,1
listening,1
liminal,1
enjoyed,1
mechanism,1
media,1
distract,1
mentally,1
needed,1
desperate,1
develop,1
necessarily,1
name,1
myopic,1
must,1
developer,1
different,1
disease,1
disorder,1
moment,1
modern,1
minute,1
mine,1
minds,1
mind,1
dissociative,1
merely,1
youth,1
