start,end,script
00:01:12.489,00:01:18.328,"This city in Ukraine was once home to almost 50,000 people."
00:01:18.912,00:01:23.041,It had everything a community would need for a comfortable life.
00:01:26.711,00:01:32.383,"But on the 26th of April, 1986, it suddenly became uninhabitable."
00:01:34.385,00:01:38.681,The nearby nuclear power station of Chernobyl exploded.
00:01:42.644,00:01:47.273,"And in less than 48 hours, the city was evacuated."
00:01:50.777,00:01:52.987,No one has lived here since.
00:02:03.832,00:02:10.213,The explosion was a result of bad planning and human error. Mistakes.
00:02:11.381,00:02:17.053,It triggered an environmental catastrophe that had an impact across Europe.
00:02:17.971,00:02:23.476,Many people regarded it as the most costly in the history of mankind.
00:02:25.603,00:02:28.940,But Chernobyl was a single event.
00:02:29.732,00:02:36.489,"The true tragedy of our time is still unfolding across the globe, barely noticeable from day to day."
00:02:37.323,00:02:43.163,"I'm talking about the loss of our planet's wild places, its biodiversity."
00:02:50.420,00:02:54.340,The living world is a unique and spectacular marvel.
00:02:55.884,00:03:00.513,"Billions of individuals, and millions of kinds of plants and animals..."
00:03:01.556,00:03:04.475,...dazzling in their variety and richness.
00:03:06.603,00:03:13.151,Working together to benefit from the energy of the sun and the minerals of the earth.
00:03:15.278,00:03:20.700,Leading lives that interlock in such a way that they sustain each other.
00:03:22.785,00:03:28.166,We rely entirely on this finely tuned life-support machine.
00:03:29.626,00:03:34.464,And it relies on its biodiversity to run smoothly.
00:03:39.719,00:03:46.392,Yet the way we humans live on Earth now is sending biodiversity into a decline.
00:03:51.940,00:04:01.157,This too is happening as a result of bad planning and human error and it too will lead to what we see here.
00:04:04.410,00:04:07.872,A place in which we cannot live.
00:04:12.585,00:04:14.337,The natural world is fading.
00:04:14.420,00:04:18.258,The evidence is all around. It's happened in my lifetime.
00:04:18.341,00:04:20.551,I've seen it with my own eyes.
00:04:21.219,00:04:34.774,"This film is my witness statement and my vision for the future, the story of how we came to make this our greatest mistake, and how, if we act now, we can yet put it right."
00:04:52.417,00:04:57.046,"I am David Attenborough, and I am 93."
00:04:57.964,00:05:00.550,I've had the most extraordinary life.
00:05:01.342,00:05:05.096,It's only now that I appreciate how extraordinary.
00:05:13.187,00:05:15.606,exploring the wild places of our planet.
00:05:18.735,00:05:21.237,I've traveled to every part of the globe.
00:05:28.077,00:05:33.916,I've experienced the living world firsthand in all its variety and wonder.
00:05:36.836,00:05:41.132,"In truth, I couldn't imagine living my life in any other way."
00:05:44.594,00:05:52.769,"I've always had a passion to explore, to have adventures, to learn about the wilds beyond."
00:05:54.479,00:05:55.730,And I'm still learning.
00:05:56.689,00:05:57.690,Boo!
00:05:57.774,00:06:01.277,As much now as I did when I was a boy.
00:06:18.878,00:06:21.172,It was a very different world back then.
00:06:22.715,00:06:27.345,We had very little understanding of how the living world actually worked.
00:06:30.139,00:06:35.728,It was called natural history because that's essentially what it was all about...
00:06:37.188,00:06:38.439,history.
00:06:42.276,00:06:49.742,"It was a great place to come to as a boy, because this is, um, ironstone workings, but it was disused."
00:06:49.826,00:06:51.828,"All this was absolutely clear, it was..."
00:06:51.911,00:06:53.996,only just stopped being a working quarry.
00:07:07.718,00:07:14.183,"When I was a boy, I spent all my spare time searching through rocks in places like this..."
00:07:15.601,00:07:17.019,for buried treasure.
00:07:20.273,00:07:21.107,Fossils.
00:07:22.859,00:07:25.111,It's a creature called an ammonite.
00:07:25.194,00:07:31.659,And in life the animal itself lived in the chamber here and spread out its tentacles to catch its prey.
00:07:33.286,00:07:36.747,And it lived about 180 million years ago.
00:07:37.874,00:07:49.010,"This particular one has a scientific name of Tiltonicerus, because the first one ever was found near this quarry here in Tilton, in the middle of England."
00:07:50.428,00:07:55.892,"Over time, I began to learn something about the earth's evolutionary history."
00:07:56.767,00:08:00.897,"By and large, it's a story of slow, steady change."
00:08:03.566,00:08:12.992,"Over billions of years, nature has crafted miraculous forms, each more complex and accomplished than the last."
00:08:15.244,00:08:18.706,It's an achingly intricate labor.
00:08:22.835,00:08:34.847,"And then, every hundred million years or so, after all those painstaking processes, something catastrophic happens, a mass extinction."
00:08:35.932,00:08:41.562,Great numbers of species disappear and are suddenly replaced by a few.
00:08:43.648,00:08:45.942,All that evolution undone.
00:08:48.027,00:08:51.572,You can see it. A line in the rock layers.
00:08:51.656,00:08:56.410,"A boundary that marks a profound, rapid, global change."
00:08:57.161,00:09:00.873,Below the line are a multitude of lifeforms.
00:09:02.416,00:09:04.418,"Above, very few."
00:09:07.505,00:09:13.219,A mass extinction has happened five times in life's four-billion-year history.
00:09:15.805,00:09:21.727,The last time it happened was the event that brought the end of the age of the dinosaurs.
00:09:22.979,00:09:28.818,A meteorite impact triggered a catastrophic change in the earth's conditions.
00:09:31.529,00:09:35.908,75% of all species were wiped out.
00:09:38.911,00:09:42.832,Life had no option but to rebuild.
00:09:44.625,00:09:50.214,"For 65 million years, it's been at work reconstructing the living world..."
00:09:52.133,00:09:57.555,until we come to the world we know... our time.
00:10:05.396,00:10:08.774,Scientists call it the Holocene.
