word,counts
world,53
now,23
time,23
life,22
living,22
species,22
would,22
more,22
can,21
only,21
will,20
years,20
planet,20
earth,19
fish,17
could,17
people,16
ocean,15
nature,14
when,14
just,14
global,13
first,13
land,13
very,12
most,12
so,12
many,11
animals,11
change,11
wild,11
natural,10
way,10
carbon,10
future,10
how,10
see,9
as,9
population,9
history,9
again,9
energy,9
large,8
need,8
places,8
make,8
human,8
few,8
much,8
then,8
half,8
once,7
other,7
became,7
forests,7
less,7
ago,7
fishing,7
food,7
long,7
space,7
all,7
here,7
come,7
ice,7
whole,6
saw,6
same,6
wilderness,6
oil,6
things,6
biodiversity,6
imagine,6
place,6
ever,6
back,6
lives,6
day,6
extinction,6
impact,6
even,6
start,6
lifetime,6
result,6
today,6
one,5
cut,5
run,5
plains,5
fleets,5
right,5
reefs,5
reduced,5
single,5
benefit,5
produce,5
habitat,5
farming,5
seen,5
happened,5
home,5
used,5
greatest,5
whales,5
trees,5
white,5
atmosphere,5
too,5
lived,5
began,5
globe,5
become,5
there,5
mass,5
climate,4
enough,4
completely,4
key,4
different,4
rest,4
event,4
idea,4
longer,4
forest,4
next,4
herds,4
saving,4
healthy,4
seas,4
harvest,4
seasons,4
must,4
last,4
continue,4
learn,4
populations,4
open,4
great,4
found,4
little,4
plants,4
extraordinary,4
point,4
else,4
possible,4
fossil,4
power,4
predators,4
millions,4
never,4
left,4
rainforest,4
find,4
coral,4
critical,4
live,4
ca,4
aware,4
thing,4
boy,4
still,4
source,4
think,4
waters,4
balance,4
songs,4
born,4
ways,4
always,4
solar,4
well,4
stop,4
where,4
average,4
suddenly,4
stability,4
yet,4
year,4
truth,4
ultimately,4
want,4
animal,4
story,4
times,4
tree,3
becoming,3
empty,3
able,3
end,3
meat,3
becomes,3
making,3
series,3
before,3
numbers,3
sun,3
sunlight,3
birds,3
billions,3
develop,3
support,3
surface,3
nutrients,3
number,3
diversity,3
best,3
north,3
no,3
disappear,3
sustainably,3
area,3
technology,3
temperature,3
take,3
impossible,3
largest,3
act,3
happen,3
air,3
had,3
growing,3
actually,3
gorillas,3
going,3
activities,3
far,3
water,3
farm,3
generations,3
witness,3
work,3
worked,3
forever,3
working,3
about,3
happening,3
warming,3
entire,3
humans,3
entirely,3
keep,3
option,3
unique,3
immense,3
everywhere,3
evolution,3
humpbacks,3
humankind,3
heat,3
huge,3
vast,3
hours,3
hot,3
horizon,3
almost,3
warmer,3
help,3
opportunity,3
moment,3
covered,3
bring,3
civilization,3
started,3
prey,3
small,3
soils,3
problems,3
catastrophic,3
stable,3
rich,3
restore,3
create,3
renewable,3
remote,3
coming,3
care,3
rainforests,3
speed,3
countries,3
reduce,3
spots,3
called,3
city,3
rather,3
children,3
damage,3
century,3
shot,3
plant,3
perhaps,3
sea,3
scientists,3
changed,3
helped,2
sooner,2
regions,2
rely,2
removed,2
vision,2
relied,2
require,2
reliant,2
reliable,2
skeletons,2
size,2
variety,2
happens,2
follow,2
record,2
young,2
hunter,2
use,2
rebuild,2
realize,2
untouched,2
reality,2
unsustainable,2
reaches,2
worth,2
resources,2
gentle,2
fundamental,2
getting,2
generation,2
win,2
giving,2
gave,2
gatherers,2
gather,2
slow,2
gas,2
wish,2
gone,2
good,2
role,2
got,2
soon,2
fuels,2
grasslands,2
why,2
uninhabitable,2
rivers,2
greenhouse,2
grew,2
scale,2
rhythm,2
habitats,2
revealed,2
restrict,2
free,2
rocks,2
out,2
rate,2
intelligence,2
taken,2
tech,2
stay,2
multitude,2
statement,2
powerful,2
moved,2
shoals,2
moisture,2
mistakes,2
standard,2
miles,2
might,2
means,2
process,2
marine,2
third,2
needs,2
nets,2
polar,2
struggle,2
over,2
own,2
pace,2
part,2
particular,2
parts,2
peak,2
strip,2
stocks,2
stopped,2
sustainable,2
planning,2
noticeable,2
play,2
none,2
plenty,2
managed,2
thirds,2
man,2
raise,2
lead,2
quite,2
latter,2
later,2
tropical,2
true,2
largely,2
truly,2
triggered,2
raising,2
killing,2
summer,2
spent,2
rare,2
journey,2
international,2
leading,2
quickly,2
profound,2
quarry,2
made,2
lost,2
loss,2
thousands,2
thrive,2
locking,2
progress,2
quarter,2
trigger,2
together,2
line,2
transforming,2
travel,2
traveled,2
level,2
quarters,2
turning,2
zones,2
dry,2
coastal,2
deforestation,2
certainly,2
certain,2
endless,2
diverse,2
experienced,2
already,2
comes,2
explain,2
better,2
caused,2
decline,2
decided,2
diet,2
explore,2
explosion,2
biggest,2
birth,2
exporter,2
dead,2
bleaching,2
cycle,2
catch,2
effective,2
catastrophe,2
distant,2
expanse,2
currents,2
existence,2
die,2
choose,2
destroyed,2
away,2
cities,2
diminish,2
changes,2
areas,2
dioxide,2
bad,2
approach,2
disaster,2
appeared,2
essentially,2
evidence,2
discover,2
error,2
beautiful,2
begin,2
degree,2
excess,2
exhausted,2
beginning,2
apart,2
existed,2
edge,2
ally,2
complete,2
feature,2
crops,2
achieve,2
conditions,2
crisis,2
bringing,2
eat,2
brought,2
creatures,2
fewer,2
film,2
easier,2
filmed,2
corals,2
absorbing,2
filming,2
finally,2
absorb,2
dreamed,2
course,2
capture,2
dramatically,2
faster,2
complex,2
face,2
current,2
blue,2
ecosystem,2
extreme,2
family,2
chance,1
smartest,1
sending,1
solve,1
smoothly,1
came,1
son,1
sparkling,1
spectacular,1
seemed,1
seem,1
seeds,1
caught,1
smothered,1
chamber,1
soars,1
security,1
secure,1
secret,1
calls,1
spend,1
call,1
second,1
seaweed,1
changing,1
sphere,1
chapter,1
searching,1
spare,1
cases,1
set,1
sorts,1
simple,1
simpler,1
simply,1
since,1
southern,1
south,1
centuries,1
sound,1
sitting,1
sixth,1
centers,1
center,1
slaughtered,1
sloths,1
cap,1
similar,1
signs,1
sort,1
spacecraft,1
ships,1
spaces,1
career,1
solutions,1
shared,1
shallows,1
cause,1
carnivores,1
span,1
spanning,1
settled,1
setting,1
charted,1
fishermen,1
chickens,1
regarded,1
recover,1
recovery,1
recycling,1
red,1
rediscover,1
rediscovery,1
completing,1
reef,1
reflected,1
reflecting,1
regimented,1
scientist,1
comparison,1
relatively,1
relatives,1
released,1
releasing,1
community,1
committed,1
commitment,1
relies,1
comfortable,1
recordings,1
recording,1
component,1
reconstructing,1
crafted,1
radically,1
cover,1
rainy,1
costly,1
range,1
rangers,1
rapid,1
rapidly,1
cooling,1
control,1
continues,1
reached,1
consuming,1
conscience,1
realized,1
reap,1
