word,counts
just,32
know,29
going,23
so,22
can,22
here,20
would,18
there,17
see,16
got,15
right,15
people,14
want,14
how,13
ca,12
need,11
go,11
more,11
love,10
time,9
help,9
lot,9
now,9
when,9
use,8
will,8
think,8
get,8
come,7
today,7
life,7
girls,7
way,7
said,7
bad,7
really,7
number,7
good,7
doing,7
last,6
kind,6
recovery,6
overdose,6
community,6
clean,6
jail,6
old,6
only,6
keep,6
of,6
back,6
first,6
then,6
always,6
where,6
gon,6
let,5
months,5
ever,5
getting,5
week,5
year,5
used,5
food,5
drug,5
trying,5
try,5
bag,5
day,5
in,5
probably,5
thank,5
program,5
relapse,5
proud,5
things,5
put,5
heroin,5
honest,5
even,4
look,4
lived,4
could,4
court,4
girl,4
give,4
citizens,4
find,4
focus,4
deaths,4
dead,4
health,4
city,4
maam,4
about,4
out,4
years,4
again,4
all,4
turn,4
too,4
thought,4
tell,4
talk,4
streets,4
started,4
place,4
say,4
call,4
many,4
came,4
new,4
never,4
okay,4
worry,3
general,3
lost,3
enough,3
men,3
tomorrow,3
tonight,3
like,3
understand,3
work,3
gave,3
take,3
long-term,3
very,3
walking,3
man,3
female,3
up,3
past,3
pick,3
hours,3
pills,3
job,3
point,3
policy,3
powerful,3
imagine,3
hug,3
problem,3
honey,3
state,3
reach,3
reason,3
save,3
made,3
seeing,3
hard,3
shift,3
start,3
door,3
able,3
big,3
department,3
care,3
breathing,3
coming,3
county,3
cornfield,3
actually,3
bodies,3
officer,2
possible,2
other,2
brown,2
objection,2
parole,2
part,2
plenty,2
overdoses,2
pretend,2
prison,2
calling,2
better,2
prostitute,2
public,2
believe,2
ranks,2
read,2
bathroom,2
responders,2
basically,2
buddy,2
moved,2
naloxone,2
lie,2
high,2
higher,2
continue,2
hour,2
house,2
immediately,2
cody,2
judge,2
kids,2
laying,2
change,2
murdered,2
lives,2
certainly,2
career,2
may,2
maybe,2
meet,2
milligrams,2
minutes,2
morning,2
roll,2
riverbank,2
second,2
cop,2
alive,2
times,2
together,2
tolerate,2
area,2
top,2
track,2
truly,2
anytime,2
undercover,2
also,2
allowed,2
wake,2
arresting,2
walk,2
ahead,2
ago,2
weeks,2
well,2
white,2
why,2
wife,2
woman,2
addiction,2
addict,2
arrested,2
third,2
seen,2
still,2
send,2
service,2
awesome,2
show,2
sick,2
sitting,2
small,2
away,2
sober,2
stand,2
starting,2
stop,2
thinking,2
street,2
stronger,2
stuff,2
suffering,2
sure,2
swear,2
talking,2
telling,2
tells,2
as,2
thing,2
helps,2
young,2
found,2
crazy,2
end,2
drugs,2
happen,2
departments,2
deal,2
dope,2
fear,2
finding,2
died,2
having,2
forward,2
head,2
country,2
had,2
fentanyl,2
goes,2
sleeping,1
spent,1
should,1
attitude,1
die,1
automatically,1
fathom,1
spike,1
soon,1
special,1
feet,1
somewhere,1
sometimes,1
sit,1
feel,1
attention,1
fell,1
smile,1
far,1
stink,1
stay,1
step,1
supplying,1
supplies,1
expect,1
suck,1
successes,1
success,1
stupid,1
experience,1
students,1
structure,1
explain,1
strong,1
stretch,1
strength,1
at,1
explanation,1
straight,1
story,1
stories,1
extra,1
shit,1
stings,1
eyes,1
shot,1
device,1
few,1
relapsed,1
reverse,1
returning,1
return,1
responding,1
floor,1
respond,1
respiratory,1
rescue,1
required,1
request,1
relapses,1
defined,1
share,1
rehab,1
bearings,1
recipe,1
receptor,1
become,1
realm,1
bed,1
realize,1
reality,1
fool,1
before,1
firefighter,1
road,1
rock,1
fire,1
figures,1
figuring,1
suppresses,1
seem,1
seek,1
baby,1
badly,1
secure,1
seat,1
screen,1
scoot,1
says,1
bankrupt,1
saw,1
saves,1
saved,1
barricades,1
satisfying,1
sat,1
sanction,1
basic,1
run,1
rough,1
support,1
associated,1
exemplary,1
volunteer,1
affect,1
wear,1
affirm,1
watch,1
wanted,1
driving,1
wall,1
diggity,1
early,1
waiting,1
wait,1
ai,1
unconscious,1
venturing,1
usually,1
using,1
easier,1
education,1
alone,1
unprecedented,1
unfortunately,1
unemployment,1
either,1
underlying,1
drink,1
welcomed,1
down,1
went,1
yet,1
absolutely,1
disposal,1
written,1
add,1
worse,1
disaster,1
works,1
working,1
doom,1
wonderful,1
women,1
direction,1
wo,1
witnessing,1
withdrawals,1
addicts,1
wide,1
doses,1
doubt,1
while,1
administer,1
advise,1
elephant,1
twice,1
exciting,1
testimony,1
thoughts,1
engine,1
different,1
epidemic,1
arrests,1
article,1
especially,1
estimated,1
ashamed,1
that,1
asking,1
terminating,1
turned,1
difference,1
ass,1
tax,1
exactly,1
talked,1
assisted,1
takes,1
taken,1
quit,1
system,1
swearing,1
thrown,1
tied,1
ties,1
ended,1
amazing,1
anymore,1
else,1
truth,1
embarrassed,1
truck,1
trend,1
treat,1
transporting,1
tranquilizer,1
tracks,1
emerge,1
totally,1
tore,1
emergency,1
apartment,1
appreciate,1
empowering,1
enabling,1
told,1
encourage,1
arrest,1
tired,1
ran,1
helped,1
quarters,1
likely,1
looked,1
grant,1
chance,1
long,1
locked,1
loaded,1
living,1
grateful,1
chances,1
live,1
little,1
greatest,1
causes,1
checkout,1
grow,1
chief,1
less,1
legitimate,1
left,1
led,1
leather,1
least,1
lead,1
circuit,1
looking,1
carfentanyl,1
misery,1
counter,1
gone,1
mind,1
might,1
midnight,1
messed,1
capable,1
goodness,1
medical,1
medic,1
mean,1
gospel,1
matter,1
cares,1
card,1
manner,1
cardiac,1
male,1
makes,1
make,1
graduate,1
mad,1
graduation,1
lying,1
lunches,1
large,1
lady,1
lack,1
hopelessness,1
concern,1
idea,1
i,1
hygiene,1
hurt,1
confinement,1
congratulations,1
costs,1
conservatively,1
hot,1
hoping,1
hopefully,1
labor,1
hooked,1
constant,1
honesty,1
home,1
hit,1
history,1
hear,1
heard,1
contraindication,1
contraindications,1
hearing,1
happy,1
important,1
command,1
incidents,1
known,1
knowing,1
clear,1
knocks,1
kiss,1
clue,1
killed,1
ham,1
kicked,1
coach,1
coat,1
judgment,1
hand,1
happened,1
issues,1
issue,1
is,1
involved,1
inside,1
inmate,1
injury,1
injuries,1
information,1
mirror,1
miss,1
quarter,1
planned,1
powder,1
potential,1
days,1
possibility,1
pops,1
bit,1
policemen,1
police,1
poke,1
generation,1
generations,1
plan,1
prepare,1
body,1
pinpointed,1
bomb,1
bothers,1
physician,1
physical,1
personally,1
person,1
