start,end,script
00:00:30.280,00:00:32.115,and a whole lot of other creatures.
00:00:33.116,00:00:35.410,It's a great place to live.
00:00:36.786,00:00:43.460,When it comes to the future of our small planet… Now to a dire warning about climate change.
00:00:43.543,00:01:05.774,Natural disasters like hurricanes or wildfires… The fear that we're headed for a cliff puts most of us into a state of paralysis.
00:01:10.320,00:01:14.199,The truth is… I've given up.
00:01:14.991,00:01:16.910,And the odds are so have you.
00:01:18.912,00:01:20.997,But what if there was another path?
00:01:26.920,00:01:34.594,"This is the story of a simple solution, a way to heal our planet and keep our species off the extinction list."
00:01:36.095,00:01:44.354,"In fact, the solution I'm talking about is right under our feet, and it's as old as dirt."
00:01:45.188,00:01:48.274,"We call it soil, earth, or ground."
00:01:48.358,00:02:02.539,"And due to its vast scale, and its ability to sequester immense quantities of greenhouse gases, it could just be the one thing that can balance our climate, replenish our fresh water supplies, and feed the world."
00:02:05.125,00:02:16.302,That's why some people are racing to save our soil in hopes our soil just might… save us.
00:02:33.153,00:02:39.033,"I have been in every state, all the way from Alaska, to Puerto Rico, to Hawaii."
00:02:40.118,00:02:46.207,"I've also been asked to go speak in Europe, Australia… I just haven't had the time."
00:02:47.792,00:02:50.920,"If we get the soil right, we can fix a lot of our issues."
00:02:52.422,00:02:54.924,Healthy soils lead to a healthy plant.
00:02:55.008,00:03:00.805,"Healthy plant, healthy animal, healthy human, healthy water, healthy climate."
00:03:02.932,00:03:04.350,This is what this is about today.
00:03:04.434,00:03:09.397,Learning how the soil works and learning how to farm like nature does.
00:03:10.231,00:03:13.818,I have learned my job is to drop a seed.
00:03:13.902,00:03:19.699,"And the more you farm like nature, the more we can reduce your inputs, and the more money you can make."
00:03:20.366,00:03:23.786,It's my calling. Just as simple as that.
00:03:23.870,00:03:27.999,"Actually, this is one… I've lived in four or five states."
00:03:28.583,00:03:31.169,"Everywhere I go and work, we're still having the same problem."
00:03:32.295,00:03:33.630,Massive erosion.
00:03:39.510,00:03:41.930,Erosion is when soil becomes dirt.
00:03:52.982,00:03:56.736,Its purpose was to break the soil in order to sow seeds.
