start,end,script
00:00:34.159,00:00:41.082,"for women, it involves so many decisions about how you're gonna present yourself to the world."
00:00:43.001,00:00:50.341,"'Cause there's kind of standard protocol for how a man running for office, like, should dress."
00:00:50.425,00:00:56.723,"You either put on a suit, or you put on a light color shirt, slacks, and you roll up the sleeves."
00:00:56.806,00:00:57.849,Or...
00:00:57.932,00:01:00.226,"I mean, those are pretty much your two options."
00:01:02.437,00:01:10.153,"Part of me is, like, trying to brace myself because people keep telling me, They're gonna try to make sure that you..."
00:01:11.362,00:01:15.700,just never show your face in your community again.
00:01:17.577,00:01:20.163,How do you prepare for something you don't know is coming?
00:01:44.729,00:01:47.023,"Hey, everyone, I'm getting ready to go file today."
00:01:47.107,00:01:48.358,Super excited.
00:01:48.441,00:01:50.819,It's official. We are in the race.
00:01:51.277,00:01:52.445,"Go, Team Vilela."
00:02:00.537,00:02:05.041,"Hey, everyone, it's Cori Bush, candidate for United States Congress, here in Missouri's first district."
00:02:34.946,00:02:39.367,catering to coal barons instead of catering to our families and communities.
00:02:39.742,00:02:47.041,"I plan to Primary Joe Manchin in 2018, and I'm asking you to stand with me."
00:02:49.502,00:02:53.840,...with some of these incumbent Democrats who are facing primary challenges.
00:03:06.811,00:03:10.273,We're running to redefine the political landscape in New York City.
00:03:11.316,00:03:14.861,And here's the best part about all of this: We're not running to make a statement.
00:03:14.944,00:03:17.447,We're not running to pressure the incumbent to the left.
00:03:17.530,00:03:18.740,We're running to win.
00:03:58.655,00:04:24.013,"If I was, like, a normal, rational person, But my experience in hospitality has prepared me so well for this race."
00:04:25.390,00:04:32.105,"I'm used to being on my feet 18 hours a day, I'm used to receiving a lot of heat."
00:04:32.522,00:04:35.775,I'm used to people trying to make me feel bad.
00:04:38.027,00:04:40.446,They call it working class for a reason.
00:04:40.530,00:04:43.783,Because you are working non-stop.
00:04:49.289,00:04:51.791,Americans aren't asking for a lot.
00:04:51.874,00:04:54.377,They're just asking to get by.
00:04:54.460,00:04:58.923,And they're just asking for politicians to be brave enough to help them get by.
00:05:08.975,00:05:14.397,Every political machine has a leader and the most powerful of them are known everywhere as the boss.
00:05:14.814,00:05:24.991,"In Queens, that's Congressman Joe Crowley, Chairman of the County Democratic Committee and also the Chairman of the House Democratic Caucus, making him the fourth most powerful Democrat in Congress."
00:05:25.074,00:05:29.495,"What we're talking about is better jobs, better pay and a better future."
00:05:33.458,00:05:34.625,until now.
00:05:46.095,00:05:47.847,"I mean, this is the work."
00:05:47.930,00:05:51.893,What I do is just talk to people all the time.
00:05:51.976,00:05:54.354,"Just members of our community, all the time."
00:05:54.437,00:05:59.025,And that is the organizing and that is the work of running a grassroots campaign.
00:05:59.442,00:06:04.364,"This is not just about Democrat versus Republican, in fact, it's so far away from that."
00:06:04.447,00:06:07.241,"It's not Left or Right, it's up and down."
00:06:12.830,00:06:17.043,"from Wall Street, real estate, and pharmaceutical companies."
00:06:17.126,00:06:24.967,We need to have the courage to stand up for working people and stand up against corporate interests.
00:06:27.970,00:06:31.599,can get you on the ballot and into office.
00:06:31.682,00:06:35.645,How then do we overcome the drop in power?
00:06:35.728,00:06:45.363,"We're trading a guy who's vying for the Speaker of the House, for somebody who's more in our corner and has a lot less power."
00:06:47.990,00:06:50.451,what that power does now.
00:06:50.535,00:06:53.037,"When it matters, he doesn't stand up for us."
00:06:53.121,00:06:55.873,"When it matters, he doesn't advocate for our interests."
00:06:56.249,00:06:58.960,"We have to have the courage to say, We can do better."
00:06:59.043,00:07:02.088,We can do better. It's not gonna be a loss.
00:07:22.900,00:07:24.902,evidence of selflessness is?
00:07:27.530,00:07:29.365,I talked to her today.
00:07:29.949,00:07:32.577,Has not thought of running before.
00:07:32.994,00:07:35.329,"I talked about the economic platform, she loved it."
00:07:35.413,00:07:38.082,There wasn't a piece of the platform she wasn't onboard with 100%.
00:07:45.339,00:07:47.383,I think that might have been the first time!
00:08:01.939,00:08:06.861,the biggest shared goal is removing the corrupting influence of money in politics.
00:08:11.532,00:08:13.284,outside of the current one that exists.
00:08:13.743,00:08:17.538,Right now we have a path through lobbyists and through special interest groups.
00:08:17.622,00:08:24.545,"Right now our Congress is 81% men, it's mostly white men, it's mostly millionaires, it's mostly lawyers."
00:08:27.507,00:08:29.425,how to keep their job and win their next election.
00:08:29.634,00:08:35.431,"That's not the thinking that's going to fix climate change, or mass incarceration, or these giant problems that are facing us."
00:08:35.515,00:08:40.102,The only way this works is if-- is if we really capture America's imagination.
00:08:42.063,00:08:44.148,to run in the midterms in 2018.
00:08:46.067,00:08:48.778,"So, nurses, teachers, engineers, workers..."
