start,end,script
00:00:47.172,00:00:54.220,…where problems occur… they can throw you overboard into the sea.
00:00:55.263,00:00:59.267,It is dangerous for you to make this documentary.
00:00:59.350,00:01:02.145,There are many risks.
00:01:36.262,00:01:37.722,My name is Ali.
00:01:38.223,00:01:39.140,That's me.
00:01:39.641,00:01:45.063,"And for as long as I can remember, I've been fascinated with dolphins and whales."
00:01:46.523,00:01:56.449,"My obsession with the ocean, though, was really born out of watching documentaries from people like Jacques Cousteau, David Attenborough, and Sylvia Earle."
00:01:57.075,00:02:05.416,"Watching their films opened up a whole new world for me, filled with an abundance of beauty, color, and life."
00:02:06.376,00:02:11.131,I would dream of one day exploring our thriving seas just like they did.
00:02:11.214,00:02:15.969,Capturing images of all the extraordinary wildlife that lived beneath the waves.
00:02:18.096,00:02:26.354,"After finishing college, I'd been working on other documentaries, but at 22, I was ready to embark on making my own film on just how incredible the oceans were."
00:02:31.734,00:02:35.113,It's home for up to 80% of all life on Earth.
00:02:35.947,00:02:44.289,"And with the vast majority of our seas still unexplored till this day, for me, the oceans were an indestructible source of inspiration."
00:02:46.040,00:02:52.755,"But not long into starting the project, this romantic vision that I always had of the ocean completely changed."
00:02:56.551,00:02:59.721,had more than 30 plastic bags inside its stomach.
00:03:03.558,00:03:04.684,in the last two weeks.
00:03:04.767,00:03:07.645,This represents the largest stranding episode in the last 100 years.
00:03:10.773,00:03:23.203,"in a number of beachings nearby in recent days… even along the Southeast coast of England where I lived, I was forced to confront a side of the story I never knew."
00:03:23.912,00:03:28.041,A story of just how huge our impact on the seas had become.
00:03:28.124,00:03:40.553,"These animals washing up with their stomachs filled with plastic was devastating not only because of their incredible intelligence, but because they even help keep the entire ocean alive."
00:03:41.346,00:03:56.945,"When dolphins and whales return to the surface to breathe, they fertilize tiny marine plants in the ocean called phytoplankton, which every year absorb four times the amount of carbon dioxide than the Amazon rain forest does, and generates up to 85% of the oxygen we breathe."
00:03:58.905,00:04:05.662,"So in a world concerned with carbon and climate change, protecting these animals meant protecting the entire planet."
00:04:06.246,00:04:10.625,"The way I saw it was if dolphins and whales die, the ocean dies."
00:04:10.708,00:04:12.877,"And if the ocean dies, so do we."
00:04:12.961,00:04:16.422,"But with so many whales washing up dead, the future looked bleak."
00:04:17.048,00:04:27.267,"Plastic was invading every last corner of the world's seas, with huge floating garbage patches accumulating in the middle of the ocean, like the Great Pacific Garbage Patch."
00:04:27.350,00:04:39.737,"In fact, today, the equivalent of a garbage truckload of plastic is dumped in the sea every single minute, joining the over 150 million tons already floating there."
00:04:39.821,00:04:52.875,"But this plastic breaks down into smaller and smaller pieces known as microplastics, which now outnumber the stars in the Milky Way galaxy by at least 500 times, and is seeping into every living creature in the ocean."
00:04:52.959,00:04:56.921,"Essentially, our oceans have turned into a toxic plastic soup."
00:04:57.505,00:05:00.633,"And worst of all, I was a massive part of the problem."
00:05:01.634,00:05:08.141,"Although I signed petitions and subscribed to ocean newsletters, I did nothing to actually protect what I loved."
00:05:08.224,00:05:12.895,"So from then on, I did what any self-respecting Jacques Cousteau wannabe would do."
00:05:12.979,00:05:15.523,I became the plastic police.
00:05:15.606,00:05:18.985,I donated to every ocean charity I could.
00:05:20.778,00:05:25.992,"Attended beach cleanups, and carried reusable cutlery and a drink bottle wherever I went."
00:05:26.075,00:05:27.327,My mission was simple.
00:05:27.410,00:05:34.292,"Stop the world from using plastic toothbrushes, straws, cutlery, bottles, bags, or anything single-use plastic."
00:05:34.375,00:05:37.378,And I was gonna stop at nothing until my message was heard.
00:05:39.547,00:05:41.132,"Yeah, hi. My name's Ali."
00:05:41.215,00:05:46.095,I'm just wondering if you'd swap out your plastic straws 'cause it's killing whales and baby sea turtles.
00:05:47.555,00:05:48.473,Hello?
00:05:48.556,00:05:51.392,But that didn't stop me from tackling this plague of plastic.
00:05:51.476,00:05:57.774,"So, this is my first beach. In just one hour, I've been able to collect three whole bags full of plastic trash."
00:05:57.857,00:06:02.403,"There's takeaway food packaging, there's cutlery, there's straws, there's everything."
00:06:02.487,00:06:04.030,I even found Nemo.
00:06:04.614,00:06:05.948,Onto the next beach.
00:06:07.408,00:06:14.082,"But no matter what beach I went to or how much I collected, there was always more plastic, and more animals washing up."
00:06:14.582,00:06:21.672,"After months of this, and as I began to wonder if this really was the best way to save marine life, I came across this."
00:06:22.298,00:06:29.180,"Japan has confirmed it will resume commercial whale hunting, and is withdrawing from the International Whaling Commission."
00:06:33.059,00:06:36.771,Tokyo says it plans to kill despite a worldwide ban.
00:06:40.525,00:06:43.861,The Japanese government want to resume whaling in the Antarctic again.
00:06:43.945,00:06:53.246,"I knew that dolphins and whales were dying accidentally from plastic, but I never dreamed that they'd be targeted on purpose by an industry I thought only existed in the history books."
00:06:53.329,00:06:58.084,I did some research and found there's been an international whaling ban since 1986.
00:06:58.167,00:07:03.923,"However, several countries have operated under the radar for years, most notoriously, though, is Japan."
00:07:04.799,00:07:09.971,"Logistically, it was extremely challenging to film or do anything about the whaling in Antarctica."
