word,counts
fish,102
fishing,91
so,68
just,58
ocean,47
more,43
can,43
plastic,37
could,35
sea,34
industry,33
dolphins,32
when,32
world,32
people,29
even,29
only,29
life,29
how,29
would,28
sustainable,27
oceans,25
seafood,25
marine,25
why,24
know,24
now,23
other,23
really,22
go,21
most,20
where,20
year,20
sharks,18
time,18
eat,18
there,18
gon,17
then,17
species,17
tuna,17
animals,16
problem,16
got,16
whales,16
right,16
years,16
much,16
way,16
salmon,16
dolphin,15
food,15
say,15
as,15
ca,15
actually,15
single,15
huge,14
think,14
killed,14
kill,14
find,14
farming,13
catch,13
going,13
same,13
see,13
make,13
thing,13
killing,13
nets,13
many,13
level,13
want,13
very,13
back,12
today,12
illegal,12
lot,12
oil,12
bycatch,12
take,12
decided,12
eating,12
feel,12
ever,12
doing,12
still,11
question,11
safe,11
caught,11
far,11
will,11
found,11
about,11
never,10
also,10
times,10
again,10
stop,10
first,10
look,10
whaling,10
protect,10
here,9
best,9
water,9
ship,9
trying,9
waters,9
talking,9
fisheries,9
went,9
entire,9
vessels,9
taking,8
seas,8
dangerous,8
keep,8
shark,8
big,8
coast,8
impact,8
feed,8
things,8
carbon,8
commercial,8
label,8
home,8
day,8
fact,8
little,8
reality,8
long,8
last,8
one,8
working,8
need,7
boats,7
made,7
whale,7
groups,7
seen,7
government,7
whole,7
all,7
land,7
equivalent,7
important,7
close,7
straws,7
organization,7
come,7
out,7
police,7
talk,7
point,7
planet,7
climate,7
shocking,7
however,7
began,7
better,7
pollution,6
own,6
dead,6
death,6
knew,6
use,6
mean,6
areas,6
reefs,6
get,6
further,6
wild,6
wildlife,6
coming,6
message,6
seabirds,6
die,6
amount,6
fins,6
surface,6
filming,6
film,6
change,6
populations,6
source,6
try,6
on,6
massive,6
gear,6
though,6
having,6
largest,6
bags,6
vessel,6
money,5
name,5
almost,5
away,5
human,5
lives,5
months,5
hard,5
alive,5
sustainability,5
perhaps,5
protected,5
fishermen,5
fishery,5
happening,5
reduce,5
trash,5
continue,5
small,5
dying,5
endangered,5
enough,5
line,5
involved,5
observers,5
consumer,5
industrial,5
became,5
ships,5
leave,5
witnessing,5
possible,5
algae,5
port,5
consumption,5
interview,5
learned,5
too,5
called,5
getting,5
making,5
pain,5
healthy,5
instead,5
research,5
majority,5
interest,5
governments,5
less,5
good,5
major,5
kind,5
put,5
give,5
of,5
countries,5
sense,5
place,5
course,5
taken,5
eliminate,5
captain,5
looking,5
wanted,5
thought,5
once,4
able,4
plastics,4
destroying,4
plants,4
ecosystems,4
issue,4
issues,4
sure,4
coral,4
leading,4
threat,4
overboard,4
definition,4
person,4
system,4
such,4
part,4
support,4
discovered,4
devastating,4
incredible,4
start,4
garbage,4
quantities,4
meant,4
means,4
great,4
greatest,4
group,4
may,4
quickly,4
head,4
hear,4
heavy,4
saw,4
help,4
save,4
let,4
losing,4
looked,4
hope,4
run,4
received,4
living,4
room,4
hunt,4
hunting,4
illegally,4
global,4
form,4
end,4
forest,4
obvious,4
environmental,4
speaking,4
speak,4
essentially,4
estimated,4
number,4
pretty,4
spaceship,4
everywhere,4
extremely,4
slavery,4
slaughter,4
international,4
farms,4
simple,4
should,4
mission,4
miss,4
minute,4
floating,4
follow,4
protecting,4
middle,4
men,4
produce,4
least,4
worth,4
war,4
already,4
bottom,4
asked,4
bigger,4
answer,4
using,4
waste,4
washing,4
capital,4
understand,4
biggest,4
ban,4
clear,4
area,4
boat,4
always,4
chain,4
wonder,4
business,4
at,4
causing,4
website,4
trip,4
based,4
beach,4
next,3
wondering,3
effective,3
grind,3
none,3
members,3
stocks,3
starting,3
meeting,3
meet,3
numbers,3
meat,3
up,3
ecosystem,3
breathe,3
economic,3
heavily,3
hour,3
different,3
blue,3
bluefin,3
organic,3
order,3
well,3
hit,3
history,3
highly,3
saying,3
guarantee,3
powerful,3
online,3
rain,3
down,3
work,3
drive,3
call,3
office,3
story,3
questions,3
entered,3
favorite,3
came,3
answers,3
mostly,3
fishes,3
undercover,3
changed,3
eyes,3
smaller,3
fisherman,3
animal,3
catching,3
turtle,3
turtles,3
farmed,3
show,3
caused,3
shrimp,3
