start,end,script
00:01:17.118,00:01:24.417,"I guess I wouldn't believe the story if someone else were telling it, but I'm telling it and it's true, every word of it."
00:01:25.335,00:01:34.969,"It started when I was born, 56 years ago, but the real story began when I was 19 years old, when I went to college."
00:01:44.020,00:01:45.271,It was 1980.
00:01:45.355,00:01:52.028,"It was the first day of school at Sullivan County Community College up in the Catskills, about 110 miles from where I grew up."
00:01:52.112,00:01:54.197,So I drove up there alone.
00:02:02.205,00:02:03.498,It was a Volvo.
00:02:03.581,00:02:07.001,And it was a 1970 Volvo.
00:02:07.794,00:02:09.838,"Had like 130,000 miles on it."
00:02:09.921,00:02:12.715,And the car was burgundy and the hood was green.
00:02:12.799,00:02:15.051,"Actually, the car was called the Old Bitch."
00:02:20.515,00:02:23.017,But the Old Bitch got me there.
00:02:24.519,00:02:26.771,Sullivan was a community college.
00:02:27.605,00:02:30.942,This wasn't some long-standing institution of higher learning.
00:02:31.776,00:02:34.863,All these station wagons are dropping kids off.
00:02:35.363,00:02:37.699,I was nervous. I'd just gotten to the school.
00:02:37.782,00:02:40.118,I didn't know anybody. I was a freshman.
00:02:41.911,00:02:48.376,"I was never the captain of the football team in high school, so I was never really, like, popular."
00:02:51.462,00:02:55.466,"So I'm walking around, trying to find where my dorm is."
00:02:55.550,00:02:59.095,"Meanwhile, all these people are coming up to me saying, Hi. How are you?"
00:03:04.934,00:03:07.937,How was your summer? Mine was great. How was yours? Super.
00:03:08.021,00:03:09.981,Why are they asking me how my summer was? I don't know.
00:03:12.400,00:03:14.569,Everybody's being extremely friendly to me.
00:03:14.652,00:03:15.945,And they're going out of their way to do it.
00:03:16.029,00:03:17.739,I don't mean just a hi.
00:03:17.822,00:03:20.158,"I mean, claps on the back and high fives."
00:03:22.660,00:03:28.958,And I was a little bit bewildered by this because no one gets this kind of a welcome their first day at school.
00:03:30.501,00:03:36.341,"And girls were kissing me, like fully kissing me, saying, I'm so glad you came back."
00:03:36.424,00:03:41.346,"And I was saying, Thank you. And Hello back, but I had never been there before and I didn't know them."
00:03:42.597,00:03:43.806,It was bizarre.
00:03:43.890,00:03:48.645,"And the next thing I heard from right behind me, Welcome back, Eddy."
00:03:50.438,00:03:52.732,"Eddy, how are you? Eddy, hi."
00:03:52.815,00:03:55.193,"I'm like, My name's not Eddy. I don't know what you're talking about."
00:03:55.276,00:03:56.694,I just got up here.
00:03:56.778,00:03:59.280,"Sure, Eddy. You're really funny. You're really funny. Real funny."
