word,counts
magic,238
very,232
now,194
just,177
good,177
elves,171
go,168
so,163
little,148
going,143
elf,140
here,138
where,137
see,133
how,127
know,118
come,113
look,111
let,111
make,108
got,107
too,106
right,103
today,102
back,100
bit,99
ca,96
wand,93
time,90
need,89
thank,87
want,86
think,84
fairy,83
big,82
more,80
why,77
ooh,76
when,74
help,74
play,73
say,73
all,72
maybe,66
really,66
like,65
work,65
never,65
then,64
things,62
there,61
wise,60
course,55
take,54
children,53
fly,52
castle,51
fun,51
sure,50
fairies,47
made,47
find,47
spell,45
starts,45
adventure,45
away,44
food,44
of,44
home,43
daddy,43
nice,43
well,42
tell,41
again,41
ready,41
day,41
done,40
way,40
only,40
said,39
birthday,39
much,38
stop,38
party,38
toys,38
better,37
use,37
silly,37
eat,37
as,37
picnic,37
turn,35
put,35
lovely,35
wo,35
bird,34
coming,34
old,34
doing,34
frogs,34
basket,34
toy,33
long,33
always,33
idea,33
wait,33
egg,33
give,32
ever,32
stay,32
wands,31
clothes,31
king,31
jelly,30
love,29
try,29
thing,28
last,28
music,28
down,28
goodness,28
first,28
lot,28
says,28
best,28
next,28
morning,27
keep,27
turned,27
cheese,27
snow,27
making,27
flying,27
one,27
bad,27
catch,26
fish,26
worry,26
treasure,26
ask,26
looks,25
tree,25
moon,25
hear,25
cook,24
twins,24
hard,24
mean,24
enough,23
wrong,23
clever,23
frog,23
even,22
funny,22
sound,22
dinner,22
quick,22
thought,22
looking,22
remember,21
found,21
having,21
smelly,21
sorry,21
sort,21
happy,21
quite,21
pirate,21
call,20
modern,20
rocket,20
lots,20
dangerous,20
small,20
still,20
sad,20
leave,20
suppose,20
okay,20
high,19
sounds,19
show,19
busy,19
pretty,19
night,19
stars,19
touch,19
boat,18
up,18
space,18
class,18
room,18
hungry,18
gone,18
yet,18
acorn,18
easy,18
eggs,18
robot,18
tidy,17
sea,17
getting,17
most,17
books,17
special,17
clean,17
afraid,17
hat,17
tooth,16
world,16
wind,16
at,16
royal,16
get,16
needs,16
boring,16
squirrels,16
told,16
kind,16
witch,16
new,16
playing,16
comes,15
cold,15
answer,15
collect,15
darling,15
talk,15
card,15
allowed,15
ladybird,15
finished,15
ice-cream,15
late,15
eating,15
year,15
water,15
nature,15
feet,15
flour,15
sleep,15
sit,15
run,15
beautiful,14
hold,14
watch,14
kingdom,14
wish,14
mind,14
amazing,14
kitchen,14
follow,14
acorns,14
rid,14
stuff,14
tried,14
actually,14
people,14
saying,14
friend,14
baby,14
sand,14
means,14
cave,14
flood,14
went,14
tiny,14
fine,14
book,14
practice,13
thanks,13
interesting,13
queen,13
many,13
wings,13
tomorrow,13
gnome,13
hope,13
lives,13
holiday,13
problem,13
important,13
learn,13
door,13
leaves,13
girl,13
dancing,13
library,13
broken,13
left,13
knows,13
sticks,13
visit,13
princess,13
hang,13
start,13
working,13
cakes,13
perhaps,13
delivery,12
pudding,12
breakfast,12
meant,12
moment,12
likes,12
mommy,12
pet,12
whole,12
mend,12
school,12
rather,12
somewhere,12
had,12
before,12
bed,12
tomato,12
gnomes,12
job,12
set,11
present,11
perfect,11
forever,11
fix,11
different,11
girls,11
live,11
open,11
horrible,11
golf,11
hop,11
place,11
else,11
presents,11
lesson,11
tea,11
soon,11
seem,11
exactly,11
goes,11
cake,11
tummy,11
together,11
wheel,11
brought,11
car,11
captain,11
birds,11
mission,11
trying,11
name,11
windmill,11
using,10
sweet,10
control,10
wear,10
supposed,10
over,10
blue,10
lost,10
real,10
close,10
inside,10
tired,10
computer,10
rescue,10
friends,10
sky,10
safe,10
seaside,10
tadpoles,10
called,10
news,10
quiet,10
speak,10
other,10
dress,10
deep,10
aye,10
wants,10
chips,10
mole,10
later,10
chicken,10
