start,end,script
00:03:04.018,00:03:06.061,"Yeah, that is some detail."
00:03:06.061,00:03:09.773,That is some Western detail right there. Western detail.
00:03:09.773,00:03:11.775,Attention to detail.
00:03:09.773,00:03:13.568,"He's even got the spurs on the back of his boots, and they're sharp."
00:03:13.568,00:03:15.737,"WOMAN 2: Ha, ha. Love it."
00:03:15.737,00:03:18.157,"The clock is gone on this piece, Christine, so..."
00:03:18.157,00:03:20.659,"WOMAN 2: Oh, my goodness."
00:03:20.659,00:03:24.621,"WOMAN 2: Well, from time to time, people make mistakes, that's okay."
00:03:24.621,00:03:27.166,This is our first Renoir of the evening.
00:03:27.166,00:03:29.877,"This is a heliogravure, which is an etching."
00:03:29.877,00:03:32.921,It was hand pulled from a copperplate in Paris in 1919.
00:03:32.921,00:03:37.801,We know this because that's what it says on the back where the certificate of authenticity is located.
00:03:37.801,00:03:39.469,Just as lovely as can be.
00:03:39.469,00:03:42.347,"Look at the soft, delicate shading, very feminine."
00:03:42.347,00:03:44.265,This is a limited edition.
00:03:44.265,00:03:47.602,This is what you're looking for if you are a Renoir fan.
00:03:47.602,00:03:50.313,"WOMAN 1: One hundred, oh, my goodness."
00:03:50.313,00:03:51.648,WOMAN 2: Whoo! Good.
00:03:51.648,00:04:05.370,"--of the few exceptions is the African pancake tortoise, which has a flat, flexible shell that allows it to hide in rock crevasses-- MAN 2: --big swath of light to moderate snow from the Broken Bow area down toward Kearney, Hastings, Grand Island."
00:04:05.370,00:04:17.340,"That is all moving in our direction, so I do think around 7 to 8:00 the snow will become pretty steady here across the region with all this moving on top of us, and that's really gonna knock down visibility."
00:04:17.340,00:04:24.014,"And again, snow-covered roads are gonna be definitely likely this evening, making it even slippier-- More slippery."
00:04:24.014,00:04:25.766,--than it is out there at this time.
00:04:25.766,00:04:30.270,There's that winter weather advisory in effect till very early tomorrow morning.
00:04:34.733,00:04:40.280,The bitter cold weather helped break up the compactions we created this fall in our fields.
00:05:24.992,00:05:29.412,Don't let false allegations bully you into an unfair fight.
00:05:29.412,00:05:33.125,"Hi, I'm Saul Goodman, and I will do the fighting for you."
00:05:33.125,00:05:34.918,No charge is too big for me.
00:05:34.918,00:05:39.840,"When legal forces have you cornered, better call Saul."
00:05:39.840,00:05:41.842,I'll get your case dismissed.
00:05:41.842,00:05:44.261,I'll give you the defense you deserve.
00:05:44.261,00:05:47.514,"Why? Because I'm Saul Goodman, attorney at law."
00:05:47.514,00:05:52.644,"I investigate, advocate, persuade, and most importantly, win."
00:05:52.644,00:05:55.730,Better call Saul.
00:05:55.730,00:05:57.356,Do you feel doomed?
00:05:57.356,00:05:59.609,Have opponents of freedom wrongly intimidated you?
00:05:59.609,00:06:04.781,"Maybe they told you you're in serious trouble, and there's nothing you can do."
00:06:01.695,00:06:06.658,"I'm Saul Goodman, and I'm here to tell you that they're wrong."
00:06:06.658,00:07:46.174,It's never too late for justice. Better call-- JIMMY: I think...
00:07:46.174,00:07:49.803,your brain is just not all there yet.
00:07:49.803,00:07:54.224,If we were all held responsible for what we did when we were 19...
00:07:56.351,00:08:00.897,I remember what it was like to be a kid. Think back.
00:08:02.232,00:08:05.402,"It's all-- Judge, what would you say?"
00:08:05.402,00:08:12.867,"These boys, 19, I can't-- I don't-- These three young men, just like you."
00:08:12.867,00:08:14.369,Just like...
00:08:14.369,00:08:15.703,Psst.
00:08:30.344,00:08:34.222,"Oh, to be 19 again. You with me, ladies and gentlemen?"
00:08:34.222,00:08:36.599,Do you remember 19?
00:08:36.599,00:08:47.694,"Let me tell you, the juices are flowing, the red corpuscles are corpuscling, the grass is green and it's soft, and summer's gonna last forever."
00:08:49.654,00:08:52.866,Now do you remember?
00:08:52.866,00:09:01.416,"Ahem. But if you're being honest, I mean, really honest, you'll recall that you also had an underdeveloped 19-year-old brain."
00:09:01.416,00:09:11.592,"Me, personally, heh, if I were held accountable for some of the stupid decisions I made when I was 19, oh-ho, boy, wow."
00:09:11.592,00:09:15.847,"And I bet if we were in church right now, I'd get a big amen."
00:09:15.847,00:09:18.641,Which brings us to these three.
00:09:18.641,00:09:24.856,"Now, these three knuckleheads-- And I'm sorry, boys, but that's what you are."
00:09:24.856,00:09:27.192,--they did a dumb thing.
00:09:27.192,00:09:30.695,"However, I would like you to remember two salient facts."
00:09:30.695,00:09:33.073,"Fact one, nobody got hurt."
00:09:33.073,00:09:36.493,Not a soul. Very important to keep that in mind.
00:09:36.493,00:09:38.495,Fact two.
00:09:38.495,00:09:43.417,"Now, the prosecution keeps bandying this term criminal trespass."
00:09:43.417,00:09:52.384,"Mr. Spinauzo, the property owner, admitted to us that he keeps most portions of his business open to the public both day and night."
00:09:52.384,00:09:56.430,So trespassing?
00:09:56.430,00:09:58.723,"It's a bit of a reach, don't you think, Dave?"
00:10:00.225,00:10:02.060,Here's what I know.
00:10:02.060,00:10:11.445,"These three young men, near honor students all, were feeling their oats one Saturday night and they just..."
00:10:11.445,00:10:13.488,went a little bananas.
00:10:13.488,00:10:25.208,"I don't know. Call me crazy, but I don't think they deserve to have their bright futures ruined by a momentary, minute, never-to-be-repeated lapse of judgment."
00:10:25.208,00:10:28.002,Ladies and gentlemen...
00:10:28.002,00:10:30.464,you're bigger than that.
00:11:27.103,00:11:29.606,"BOY 1: Kenny, are you rolling?"
00:11:29.606,00:11:32.108,"Yeah, baby. Yeah. Ha, ha."
00:11:32.108,00:11:33.818,"Chill out, would you?"
00:11:33.818,00:11:38.156,"Hey, Miss Watson's fourth period biology class, this one's for you."
00:11:38.156,00:11:40.450,"KENNY: Oh, yeah."
00:11:40.450,00:11:42.577,"KENNY: Oh, God."
00:11:42.577,00:11:44.538,"BOY 2: Dude, where'd all the blood go?"
00:11:44.538,00:11:46.914,BOY 1: He's dead.
00:11:46.914,00:11:48.791,BOY 2: Awesome. Where do they put it?
00:11:48.791,00:11:51.461,"BOY 2: All right, I'm through the neck bone now, dude."
00:11:51.461,00:11:53.380,"Kenny, get over here."
00:11:53.380,00:11:56.090,BOY 1: Get a shot of this.
00:11:56.090,00:11:58.343,"BOY 2: Here, let me do it."
00:11:58.343,00:11:59.886,All right.
00:11:59.886,00:12:01.846,All right.
00:12:01.846,00:12:03.973,BOY 2: You're sawing like a pussy.
00:12:03.973,00:12:05.808,BOY 1: Would you get off? Chill out.
00:12:05.808,00:12:07.394,BOY 2: All right.
00:12:07.394,00:12:09.688,Okay.
00:12:12.691,00:12:15.402,Yeah!
00:12:15.402,00:12:18.697,"Come on. Yeah, baby. Yeah."
00:12:18.697,00:12:21.324,BOY 2: I dare you to stick your wang in the throat hole.
00:12:21.324,00:12:23.284,"BOY 1: I will if you will, loser."
00:12:23.284,00:12:25.579,"BOY 2: All right, all right."
00:12:25.579,00:12:27.414,JIMMY: What the hell kind of math is that?
00:12:27.414,00:12:28.956,WOMAN: Seven hundred per defense.
00:12:28.956,00:12:31.459,"No, no, no. Defendant."
00:12:31.459,00:12:33.044,"Three defendants, 2100."
00:12:33.044,00:12:35.714,"Which, by the way, bargain."
00:12:35.714,00:12:37.756,"WOMAN: They going to jail, ain't they?"
00:12:37.756,00:12:41.928,So since when does that matter?
00:12:41.928,00:12:44.931,"Look, didn't nobody tell you to try all three of them together."
00:12:44.931,00:12:47.766,"One trial, $700."
00:12:47.766,00:12:52.897,You are gonna miss me because it'll be a cold day in hell before I do any more PD work for this shitty court.
00:12:52.897,00:12:54.524,"Sayonara, baby."
00:12:54.524,00:12:57.193,You have yourself a nice day.
00:13:21.551,00:13:24.763,"Law offices of James McGill, how may I direct your call?"
00:13:24.763,00:13:28.516,"Yes, Mrs. Kettleman, so good of you to return."
00:13:28.516,00:13:36.107,"Actually, I don't have Mr. McGill at the moment, but I know he-- Oh, splendid."
