words,counts
yeah,33
know,29
oh,28
hey,27
right,26
come,22
one,22
well,20
like,20
go,19
got,18
okay,17
uh,17
cook,15
think,14
walt,14
gonna,14
man,13
mean,13
look,12
shit,12
god,12
get,12
good,12
want,12
listen,11
see,11
tell,11
really,10
white,10
let,10
hank,10
big,9
money,8
um,8
mr,8
going,8
fine,8
maybe,8
chemistry,8
work,7
house,7
lab,7
time,7
emilio,7
flask,7
walter,7
take,7
gotta,7
huh,7
name,6
meth,6
said,6
nothing,6
little,6
says,6
ass,6
birthday,6
hell,6
two,5
sell,5
make,5
something,5
need,5
day,5
jesus,5
skyler,5
back,5
heh,5
say,5
boy,5
happy,5
baby,5
talk,5
even,4
yes,4
bacon,4
till,4
live,4
three,4
eat,4
thinking,4
life,4
thank,4
better,4
mm,4
new,4
first,4
wow,4
sage,4
check,4
way,4
dad,4
change,4
could,4
wait,4
cap,4
paint,4
would,4
novel,4
wrong,4
n,4
dude,4
kind,4
art,4
keep,4
study,3
bonds,3
chemicals,3
ever,3
run,3
much,3
still,3
plus,3
bogdan,3
chad,3
place,3
sorry,3
damn,3
case,3
short,3
mustard,3
pants,3
chili,3
cow,3
shut,3
next,3
car,3
love,3
feel,3
use,3
word,3
talking,3
try,3
gone,3
goes,3
wipe,3
late,3
gas,3
ah,3
tomorrow,3
took,3
glass,3
us,3
around,3
turn,3
guy,3
looking,3
eyes,3
wanna,3
actually,3
home,3
wash,3
green,3
idea,3
veggie,3
sure,3
makes,3
heart,3
volumetric,3
albuquerque,3
honestly,3
whoa,3
everybody,2
hm,2
help,2
hold,2
homes,2
phosphorus,2
phosphine,2
custody,2
crazy,2
heat,2
cooking,2
grand,2
greatest,2
coming,2
put,2
pure,2
punk,2
guess,2
gun,2
point,2
couple,2
goddamn,2
cows,2
dea,2
pretty,2
powder,2
pounds,2
getting,2
p,2
deal,2
milliliters,2
lately,2
law,2
learn,2
morning,2
mommy,2
molecules,2
long,2
minute,2
lost,2
partner,2
enough,2
might,2
ese,2
clear,2
methamphetamine,2
marie,2
mastercard,2
matter,2
last,2
easy,2
kick,2
forward,2
hot,2
inches,2
paid,2
except,2
outside,2
dog,2
ionic,2
office,2
offer,2
downs,2
fuck,2
jeans,2
nostrovia,2
nice,2
jr,2
never,2
drug,2
close,2
copy,2
beaner,2
brother,2
show,2
school,2
water,2
watching,2
watch,2
second,2
bomb,2
thought,2
