word,counts
got,66
just,61
now,56
time,52
ice-cream,45
here,39
need,38
right,35
how,34
go,34
let,33
there,31
problem,31
tiny,30
way,28
enough,27
leash,26
too,26
when,25
see,24
pizza,23
air,23
make,23
ca,22
so,20
couch,20
keep,20
pizzarito,20
never,19
more,19
fix,19
super,19
egg,18
train,18
piano,18
then,18
new,18
tool,18
think,18
little,17
ship,17
wait,17
banana,17
flip,17
gon,17
cupcake,17
why,17
peanuts,16
use,16
maybe,16
cold,16
monster,16
all,15
know,15
say,15
made,15
bridge,15
where,15
really,15
solve,15
going,14
work,14
underwear,14
break,14
hot,14
stop,14
come,14
things,14
only,13
love,13
ice,13
better,13
worry,13
awesome,13
wo,13
monkey,13
eat,13
thing,12
top,12
belt,12
needs,12
good,12
help,12
up,11
step,11
get,11
like,11
stay,11
long,11
bananas,11
bring,11
look,11
plastic,11
insulation,11
triple,11
about,10
sprinkles,10
snap,10
fast,10
parade,10
power,10
take,10
line,10
back,10
again,10
ever,10
idea,10
magnets,9
royal,9
today,9
makes,9
giant,9
getting,9
multi,9
boo,9
functional,9
big,9
hold,9
best,9
blazing,9
sneeze,9
pizzaritos,9
almost,8
even,8
working,8
coming,8
pow,8
thanks,8
water,8
still,8
deliver,8
stuck,8
looks,8
bendy,8
other,8
first,8
shock,8
fill,8
roll,8
done,8
hear,7
kind,7
figure,7
ooh,7
check,7
last,7
day,7
sneezes,7
course,7
give,7
float,7
of,7
hang,7
try,7
thank,7
left,7
eating,7
soon,7
build,7
making,7
many,7
find,7
happened,7
propulsion,7
balloon,7
peanut,7
ready,7
turn,7
hoo,7
material,7
squishy,6
next,6
full,6
spatula,6
gang,6
piping,6
old,6
very,6
lots,6
pulley,6
undies,6
begin,6
beetles,6
pull,6
live,6
blow,6
favorite,6
hungry,6
perfect,6
poor,6
always,6
activate,6
hangry,6
happy,6
great,6
melt,6
safe,6
team,6
tracks,6
guys,6
robot,6
dog,6
elephant,5
one,5
sized,5
place,5
phone,5
order,5
engineer,5
pressure,5
doing,5
elasticity,5
delicious,5
rope,5
over,5
foam,5
feed,5
reporting,5
once,5
show,5
slippery,5
news,5
packing,5
magic,5
strong,5
start,5
hurry,5
sure,5
ball,5
mean,5
called,5
magnet,5
track,5
as,5
machine,5
tried,5
want,5
blowers,5
lot,5
away,5
baby,5
steps,5
means,5
waiting,5
wiggle,5
actually,5
special,5
close,5
moving,4
comes,4
add,4
exactly,4
pancake,4
remember,4
disco,4
boy,4
dishes,4
refrigerator,4
boat,4
guess,4
trophy,4
trunk,4
birthday,4
steel,4
push,4
band,4
waistband,4
yet,4
loose,4
believe,4
walk,4
cool,4
down,4
wrong,4
feel,4
high,4
pancakes,4
hard,4
few,4
breaking,4
minute,4
delivery,4
whoo,4
cute,4
melty,4
okay,4
stretch,4
met-al,4
sea,4
plan,4
times,4
flying,4
choo,4
nice,4
set,4
also,4
food,4
scared,4
together,4
tell,4
tight,4
leave,4
grab,4
hope,4
melted,4
sounds,4
flexible,4
people,4
soft,4
canceled,4
jokes,3
land,3
personal,3
peels,3
leaf,3
fantastic,3
in,3
house,3
much,3
party,3
heavy,3
frosting,3
friend,3
fridge,3
freezer,3
name,3
movie,3
found,3
most,3
morning,3
moment,3
follow,3
fly,3
microphone,3
nuts,3
mergency,3
melting,3
pie,3
on,3
glitter,3
mega,3
machines,3
own,3
lunch,3
feeling,3
having,3
feathers,3
heat,3
fine,3
iron,3
tis,3
running,3
week,3
street,3
serve,3
seen,3
wheels,3
secret,3
second,3
cubes,3
scream,3
anymore,3
science,3
whip,3
whiskers,3
saved,3
same,3
blast,3
could,3
site,3
concert,3
velvet,3
beat,3
type,3
beak,3
bark,3
balloons,3
badge,3
assembly,3
automation,3
warm,3
copter,3
watch,3
slide,3
