start,end,script
00:01:05.440,00:01:07.275,Hope you got your beauty sleep.
00:01:10.278,00:01:12.697,"Please, let me go on a crusade!"
00:01:12.781,00:01:15.200,Anything's safer than guarding that princess.
00:01:22.040,00:01:23.541,All in.
00:01:29.631,00:01:31.174,Two pair.
00:01:31.257,00:01:32.425,Not so fast.
00:01:33.093,00:01:34.803,Three me's.
00:01:34.886,00:01:36.554,That's only two.
00:01:36.638,00:01:39.432,"One, two, me."
00:01:40.016,00:01:40.892,Money's mine.
00:01:42.811,00:01:44.562,Not when I got the knife.
00:02:41.244,00:02:42.745,See you guys tomorrow.
00:02:44.539,00:02:47.792,You've had your fun. Now it's time to get married.
00:02:48.585,00:02:51.212,Would Your Highness care to get in?
00:02:54.924,00:02:56.801,"-Morning, Princess! -Lovely day, miss!"
00:02:56.885,00:02:58.052,"How's it hanging, Princess?"
00:02:58.136,00:03:01.389,-Sorry I can't make your wedding. -You wanna switch places?
00:03:01.472,00:03:02.515,"No, I'm good."
00:03:03.892,00:03:06.144,"-Enjoy your special day. -You, too."
00:03:07.145,00:03:10.064,"Morning, Princess. Care to try my new cure-all?"
00:03:10.148,00:03:11.733,It wards off deadly plague.
00:03:11.816,00:03:14.986,"I'm actually hoping for death. Thanks, though."
00:03:17.655,00:03:19.657,"Gah! Quit judging me, Dad."
00:03:39.677,00:03:43.681,"This one needs royaling up. More columns, more frosting."
00:03:43.765,00:03:46.184,And neither of these looks like me.
00:03:46.267,00:03:49.437,"Make them both look like me. Then, get rid of one!"
00:03:58.529,00:03:59.864,Ugh. Cakes.
00:04:00.531,00:04:02.659,Did you make sure to add extra frosting?
00:04:02.742,00:04:05.787,"Of course, I... Hey! Where were you?"
00:04:05.870,00:04:07.330,"Oh, I understand, darling."
00:04:07.413,00:04:10.625,"On my wedding day, I also had butterflies in stomach."
00:04:10.708,00:04:12.627,I shouldn't have eaten so many.
00:04:13.211,00:04:17.882,I just wanted to have a last bit of fun before the happiest day of my life.
00:04:17.966,00:04:22.262,Silence! The delegation from Bentwood arrives any moment.
00:04:22.345,00:04:26.015,Take off those common clothes and come down looking like a princess!
00:04:26.099,00:04:27.600,"As you wish, Father."
00:04:31.521,00:04:35.275,"Anybody looks at her, they get their head chopped off."
00:04:38.027,00:04:40.822,"Oh, boy, did I look at her!"
00:04:43.283,00:04:44.200,What?
00:04:55.586,00:04:59.299,Great. I have to wear this crazy veil and pretend I'm a virgin?
00:04:59.382,00:05:02.760,"It's not a veil, ma'am. It's your corset."
00:05:02.844,00:05:06.639,See? It pushes all the mincemeat to the top of the pie.
00:05:06.723,00:05:10.018,All this wedding hassle for a stupid political alliance?
00:05:10.101,00:05:13.313,"I thought that I'd get married for true love, or because I was wasted."
00:05:13.396,00:05:15.690,"Lots of reasons to get married, ma'am."
00:05:15.773,00:05:17.692,I got married for a goat.
00:05:17.775,00:05:23.740,"Now, let's hurry. The prince will be here any minute to marry you and, time permitting, meet you."
00:05:26.326,00:05:27.493,Eh? Huh?
00:05:27.577,00:05:29.620,"How do I look? Spiffy, right?"
00:05:29.704,00:05:32.248,I had the dogs lick me clean twice.
00:05:46.054,00:05:52.560,"Announcing the King and Queen of Bentwood, Lorenzo the First and Bunny."
00:05:54.103,00:05:56.439,"Welcome, Your Highnesses."
00:05:58.983,00:06:02.487,Or should I just call you brother and sister?
00:06:02.570,00:06:05.031,We are brother and sister. What of it?
00:06:05.114,00:06:15.249,"And their son-slash-nephew, hero of the Battle Against That Bird That Flew Into The Room One Time, groom-to-be, Prince Guysbert of Bentwood."
00:06:17.210,00:06:19.087,Va-va-voom!
00:06:20.046,00:06:22.048,You never do that for me.
00:06:28.388,00:06:32.350,"No, I just feel like my life is ending. I can't even smile."
00:06:33.768,00:06:37.355,Don't worry. We'll make your cheeks look nice and rosy.
00:06:37.438,00:06:40.983,Remember: Whores rouge. Ladies leech.
00:06:41.692,00:06:46.322,"You ever wish you could live in a place where people are really, truly happy?"
00:07:31.242,00:07:35.037,"Kissy, save your lips for the prepackaged candy assortments."
00:07:35.121,00:07:39.333,"And, Elfo, it's like you don't appreciate your assembly-line job."
00:07:39.417,00:07:42.128,"Yeah, uh, it's kinda not the one I wanted."
00:07:42.211,00:07:45.882,I'm kinda not always... happy?
00:07:47.175,00:07:48.676,But we're singing.
00:07:48.759,00:07:53.347,"Yeah, singing while you work's not happiness. It's mental illness."
00:07:53.431,00:07:54.682,Wha...
00:07:54.765,00:07:57.935,Ugh! I'm sick of being happy all the time.
00:07:58.019,00:07:59.729,"Just once, I wish..."
00:07:59.812,00:08:03.649,I wish I could go somewhere where people are miserable.
00:08:14.577,00:08:15.411,Hmm.
00:08:18.289,00:08:19.832,What is going on with this gift?
00:08:28.174,00:08:34.347,"Princess Tiabeanie, you are hereby cursed from the deepest depths of the underworld!"
00:08:34.430,00:08:35.431,Oh! What?
00:08:35.973,00:08:38.851,"You look great, though. Nice to meet you. They call me Luci."
00:08:40.645,00:08:42.104,-Guards! Guards! -Shh! Shh!
00:08:42.188,00:08:44.982,A weird ghost guy is attacking and complimenting me.
00:08:45.066,00:08:46.567,Shut up! Silenzio!
00:08:48.736,00:08:50.154,"First up, not a ghost."
00:08:50.238,00:08:51.822,Ghosts are losers that got murdered.
00:08:54.951,00:08:57.662,"That's right. In fact, your personal demon."
00:08:57.745,00:09:01.666,"Get used to it, 'cause you are stuck with me for all eter..."
00:09:08.297,00:09:09.507,...nity.
00:09:14.303,00:09:17.139,And so the demonic binding begins.
00:09:17.223,00:09:20.768,"Yes, our emissary will steer her towards the darkness."
00:09:20.851,00:09:22.853,"It may take months, even years."
00:09:22.937,00:09:24.522,"So, we'll need chairs."
00:09:24.605,00:09:26.315,Dark chairs.
00:09:37.368,00:09:41.038,Just because I'm not jolly all the time doesn't make me a weirdo.
00:09:41.122,00:09:43.457,"Hey! Get outta here, Weirdo!"
00:09:53.301,00:09:56.762,-Your whining really turns me on. -There's more where that came from.
00:09:56.846,00:09:59.849,We spend all day making candy to earn candy.
00:09:59.932,00:10:01.559,It doesn't make any sense!
00:10:01.642,00:10:04.562,You're so sad. You're a sad little elf!
00:10:04.645,00:10:07.481,Kissy! What in humping heavens is going on?
00:10:07.565,00:10:08.899,"Nothing, Father!"
