word,counts
just,138
so,130
know,130
now,106
here,92
got,90
can,89
let,69
gon,69
never,65
go,64
good,62
right,60
come,59
want,58
how,55
could,52
will,52
would,49
there,48
why,48
way,48
ca,47
when,47
think,46
say,46
back,46
time,46
need,46
really,45
too,44
where,43
little,43
see,43
take,42
make,41
only,40
blood,40
people,39
even,38
man,37
more,37
look,36
then,35
elf,33
ever,32
all,32
find,32
life,31
should,30
bad,29
love,29
maybe,28
tell,28
guy,27
king,27
guys,27
things,27
thing,27
great,27
real,27
nice,26
stop,25
give,25
always,25
wait,25
day,25
like,25
place,24
mean,24
kingdom,24
one,23
work,22
vial,22
help,22
keep,22
talking,22
get,22
big,22
away,22
first,22
friend,21
try,21
dad,21
better,21
much,21
still,21
feel,20
going,20
said,20
other,20
night,20
long,20
looks,20
okay,20
remember,19
guess,19
must,19
fun,19
doing,19
years,19
last,19
demon,19
wedding,19
magic,19
mom,19
name,18
already,18
princess,18
drink,18
sorry,18
party,18
girl,17
fine,17
head,17
home,17
thought,17
may,17
family,17
call,16
dead,16
lost,16
wish,16
stay,16
made,16
talk,16
sire,16
actually,16
care,16
throw,15
also,15
wanted,15
cat,15
happened,15
watch,15
truth,15
again,15
mother,15
before,15
wo,14
mind,14
hell,14
eat,14
dance,14
down,14
put,14
kill,14
wrong,14
many,14
believe,14
eye,14
coming,14
kind,14
castle,13
tonight,13
stuff,13
together,13
crazy,13
hard,13
moment,13
far,13
bean,13
sure,13
as,13
world,13
friends,13
room,13
married,13
horse,13
might,13
hear,13
best,13
trying,13
stupid,13
own,13
beautiful,13
candy,13
daughter,12
lot,12
elves,12
girlfriend,12
war,12
exactly,12
face,12
turned,12
true,12
out,12
of,11
idea,11
making,11
shall,11
show,11
in,11
eyes,11
bring,11
used,11
sweet,11
run,11
listen,11
well,11
whole,11
new,11
monster,11
least,11
hair,11
use,11
had,11
miss,10
heard,10
up,10
happy,10
small,10
few,10
having,10
welcome,10
return,10
next,10
gone,10
around,10
death,10
shut,10
body,10
goes,10
save,10
left,10
easy,10
getting,10
sleep,10
drinking,10
baby,10
live,10
kiss,10
old,10
yet,10
seen,9
leave,9
sound,9
tried,9
hope,9
took,9
else,9
worry,9
poor,9
late,9
job,9
free,9
told,9
supposed,9
ears,9
done,9
course,9
probably,9
thank,9
once,9
future,9
huh,9
open,9
stone,9
alive,9
son,9
ai,8
barge,8
hand,8
sad,8
enough,8
news,8
alliance,8
die,8
plan,8
end,8
damn,8
play,8
dreams,8
weird,8
bit,8
ask,8
killed,8
kinda,8
though,8
over,8
teeth,8
father,8
highness,8
knights,8
days,8
part,8
looking,8
stand,8
giant,8
fire,8
men,8
half,7
gave,7
says,7
women,7
glad,7
speech,7
outta,7
finally,7
pretty,7
royal,7
totally,7
quest,7
today,7
lady,7
ladies,7
knows,7
known,7
drop,7
thinking,7
thanks,7
single,7
perfect,7
feeling,7
canal,7
hang,7
meant,7
meet,7
wife,7
most,7
swamp,7
answer,7
such,7
cool,7
book,7
went,7
food,7
seem,6
control,6
proud,6
problem,6
pay,6
cage,6
sit,6
sister,6
close,6
saying,6
gift,6
special,6
mermaids,6
makes,6
bed,6
throne,6
looked,6
lives,6
enter,6
land,6
knew,6
inside,6
fall,6
immortality,6
hurt,6
fat,6
fear,6
feelings,6
feet,6
water,6
anyway,6
happening,6
almost,6
hands,6
forget,6
witch,6
woman,6
afraid,6
marry,6
sex,6
stuck,6
brother,6
spot,6
darling,6
breath,6
morning,6
none,6
born,6
mmm,6
diplomacy,6
nervous,6
fell,5
deep,5
forever,5
crown,5
deal,5
hot,5
happens,5
cursed,5
precious,5
ham,5
dare,5
feed,5
cut,5
children,5
scared,5
secret,5
further,5
gets,5
send,5
chance,5
set,5
clothes,5
fault,5
house,5
milk,5
meal,5
prince,5
lying,5
lucky,5
dream,5
luck,5
plenty,5
money,5
eaten,5
cute,5
either,5
laugh,5
rather,5
destiny,5
pig,5
kid,5
pet,5
person,5
crime,5
respect,5
husband,5
names,5
needs,5
light,5
prefer,5
spend,5
story,5
sometimes,5
yelling,5
step,5
year,5
stick,5
act,5
butter,5
arms,5
toast,5
steal,5
very,5
along,5
alone,5
working,5
sweetie,5
wine,5
taking,5
words,5
town,5
stole,5
attack,5
at,5
wear,5
start,5
fit,4
smart,4
window,4
odval,4
conversation,4
dear,4
called,4
pressure,4
daddy,4
dog,4
while,4
watching,4
minute,4
hate,4
power,4
arrived,4
fight,4
pull,4
ahead,4
missing,4
reality,4
weak,4
drank,4
taste,4
bird,4
door,4
wonder,4
marriage,4
figure,4
quick,4
questions,4
question,4
came,4
calm,4
fair,4
vikings,4
sneak,4
hurry,4
anymore,4
pigs,4
heir,4
naked,4
stew,4
perhaps,4
flask,4
bunch,4
wanna,4
no,4
somewhere,4
delicious,4
feels,4
cry,4
felt,4
high,4
curse,4
deserve,4
boys,4
move,4
died,4
hungry,4
monotony,4
humble,4
sounds,4
notice,4
hold,4
floor,4
human,4
mostly,4
found,4
point,4
voice,4
nose,4
arm,4
thinks,4
means,4
interesting,4
kidding,4
ugly,4
touch,4
lie,4
key,4
same,4
edge,4
chumps,4
shot,4
full,4
understand,4
jump,4
expect,4
rude,4
clean,4
lived,4
expecting,4
gravy,4
cave,4
liar,4
battle,4
chicken,4
trick,4
share,4
entire,4
centuries,4
trip,4
trouble,4
sense,4
trust,4
laughter,4
attention,4
ate,4
kings,4
seeing,4
turn,4
second,4
less,4
kidnapped,4
roasted,4
queen,4
rid,4
loser,4
become,4
green,4
ride,4
ass,4
be,4
rich,4
worked,4
loved,4
comfortable,4
fresh,4
bear,4
rest,4
drunk,4
lose,4
freak,4
comes,4
slab,4
carriage,4
stars,3
turning,3
bridesmaids,3
stealing,3
defense,3
led,3
box,3
definitely,3
track,3
appreciate,3
tess,3
neat,3
honey,3
delicate,3
dark,3
type,3
natural,3
wax,3
begin,3
boyfriend,3
squirrel,3
stab,3
lay,3
later,3
extract,3
trail,3
tentacles,3
useless,3
obviously,3
normal,3
started,3
teenager,3
honor,3
tree,3
excellent,3
decided,3
team,3
using,3
state,3
behold,3
evil,3
join,3
walls,3
drug,3
difficult,3
villain,3
juice,3
tied,3
times,3
value,3
idiot,3
certainly,3
minutes,3
dinner,3
judging,3
meat,3
sunrise,3
imagine,3
arrow,3
dungeon,3
vanish,3
important,3
lock,3
met,3
jolly,3
mention,3
mistake,3
fairy,3
named,3
vision,3
bliss,3
demons,3
matter,3
lied,3
kicked,3
ball,3
bottle,3
wagon,3
filled,3
tad,3
bother,3
band,3
kept,3
eating,3
torture,3
top,3
low,3
tomorrow,3
months,3
based,3
tired,3
booze,3
speaking,3
holy,3
ripped,3
rage,3
advice,3
gumdrops,3
rampage,3
sleeping,3
read,3
ready,3
realize,3
slash,3
reason,3
red,3
grown,3
admit,3
repetition,3
size,3
careful,3
riches,3
racist,3
forgot,3
quantity,3
force,3
count,3
snakes,3
practical,3
corpse,3
ambassador,3
harder,3
amazing,3
forced,3
dangerous,3
smell,3
wild,3
problems,3
calling,3
progress,3
hanging,3
wishes,3
cares,3
singing,3
couple,3
add,3
shoes,3
score,3
screaming,3
screw,3
screwed,3
search,3
gates,3
yesterday,3
seek,3
seems,3
giving,3
changed,3
selfish,3
about,3
yourselves,3
able,3
chain,3
saw,3
saved,3
choose,3
rule,3
frosting,3
clearly,3
grab,3
gotten,3
worse,3
ruined,3
worst,3
civilization,3
chop,3
city,3
wreck,3
sacred,3
safe,3
funeral,3
golf,3
gold,3
hay,3
ago,3
pass,3
crusade,3
peace,3
soul,3
order,3
finest,3
pendergast,3
busy,3
business,3
song,3
places,3
hit,3
hereby,3
parties,3
heavy,3
pain,3
buddies,3
owe,3
pit,3
bum,3
creepy,3
overboard,3
outside,3
built,3
weirdo,3
crawl,3
spa,3
pointy,3
flower,3
bunts,3
apart,3
potatoes,3
broke,3
wealthy,3
hide,3
pardon,3
history,3
ones,3
wet,3
poison,3
brought,3
pick,3
pops,3
society,3
poisoned,3
buck,3
soon,3
ancient,3
wedded,2
hosts,2
unbroken,2
keeps,2
hopes,2
worth,2
warning,2
worthless,2
wash,2
gonna,2
hoping,2
hunter,2
y,2
glass,2
lack,2
homeland,2
younger,2
young,2
yokels,2
knock,2
given,2
knife,2
tuffet,2
tricks,2
yikes,2
glance,2
hook,2
yell,2
kindness,2
glasses,2
turns,2
twerp,2
twin,2
twit,2
hop,2
hole,2
kids,2
holding,2
god,2
goddamn,2
glorious,2
jobs,2
hideous,2
impulse,2
ingredients,2
wizard,2
influence,2
inevitable,2
hallucinate,2
hearts,2
indeed,2
wisdom,2
incredible,2
hanged,2
huge,2
inadequate,2
heart,2
imprisoned,2
innocent,2
veil,2
impressed,2
ill,2
harvest,2
healthy,2
hat,2
heads,2
haunt,2
havin,2
headache,2
wheat,2
hunk,2
whacking,2
waiting,2
wonderful,2
joy,2
interrupt,2
warn,2
warm,2
jokes,2
joke,2
greatest,2
hero,2
vinegar,2
greet,2
grew,2
grip,2
jerk,2
jealous,2
invented,2
groom,2
vacation,2
gross,2
weekend,2
helped,2
instead,2
weeks,2
insist,2
unpassable,2
walking,2
wake,2
hour,2
word,2
insane,2
hours,2
triggered,2
shame,2
laid,2
queens,2
possessed,2
possible,2
pot,2
potion,2
pour,2
poured,2
pow,2
powerful,2
powers,2
praise,2
prayer,2
praying,2
smooth,2
smoke,2
prepare,2
smile,2
presenting,2
smells,2
pretzels,2
slow,2
promise,2
pronouns,2
properly,2
property,2
protect,2
slip,2
pub,2
possess,2
portrait,2
pop,2
park,2
on,2
spell,2
orders,2
sour,2
soup,2
outsiders,2
sorta,2
overstatement,2
painful,2
pan,2
pants,2
parents,2
sort,2
ponchos,2
paste,2
pathetic,2
sometime,2
perform,2
someday,2
personal,2
solve,2
picture,2
solemn,2
solace,2
plague,2
soft,2
pushed,2
quickly,2
spirit,2
quite,2
ruthless,2
sack,2
safer,2
short,2
sake,2
shop,2
shoot,2
sayin,2
shoe,2
shoddy,2
science,2
scones,2
scrub,2
seal,2
season,2
shocking,2
secrets,2
shock,2
ship,2
shiny,2
self,2
shilling,2
shh,2
serious,2
serum,2
sheep,2
sexy,2
running,2
shrimp,2
rules,2
replace,2
quitter,2
rack,2
rainbow,2
raise,2
raised,2
slay,2
relationship,2
religious,2
remains,2
remembered,2
remind,2
skin,2
requires,2
ruining,2
skillet,2
returned,2
returning,2
riding,2
risk,2
risked,2
rock,2
rodeo,2
side,2
rope,2
rough,2
sick,2
older,2
split,2
lair,2
takes,2
list,2
listener,2
literally,2
tiny,2
liven,2
tighter,2
local,2
locked,2
loins,2
lonely,2
longer,2
through,2
losing,2
throat,2
threw,2
lots,2
thirsty,2
lover,2
lower,2
test,2
terrible,2
lunatic,2
maam,2
maiden,2
tastes,2
taster,2
tall,2
lips,2
line,2
lights,2
tracks,2
trash,2
trapped,2
trap,2
laughing,2
law,2
lawfully,2
laws,2
lead,2
leads,2
learn,2
tragically,2
traded,2
leaves,2
lift,2
leech,2
legendary,2
legends,2
legit,2
legs,2
toy,2
touchy,2
lets,2
lever,2
library,2
touched,2
lies,2
talks,2
tail,2
often,2
matters,2
mouth,2
moving,2
murder,2
murdered,2
mysterious,2
mystery,2
mystical,2
stepmother,2
nap,2
neck,2
necklace,2
stench,2
needed,2
nerve,2
statuesque,2
statue,2
starting,2
nightmare,2
noble,2
noticed,2
obvious,2
standing,2
stairs,2
stabbing,2
off,2
spotted,2
offense,2
mountains,2
mountain,2
stopped,2
super,2
table,2
sword,2
switched,2
swimming,2
swept,2
medical,2
surprise,2
message,2
messing,2
methods,2
suppose,2
supportive,2
minded,2
mortal,2
mine,2
misery,2
summer,2
missed,2
mission,2
sugar,2
successful,2
street,2
strategy,2
monkey,2
stranger,2
straight,2
living,2
zone,2
completely,2
crawled,2
cousin,2
finished,2
butters,2
clamps,2
filthy,2
army,2
dumb,2
coward,2
bite,2
bigger,2
chowder,2
cranky,2
duties,2
crap,2
bidding,2
feathers,2
feast,2
arts,2
ashore,2
cabbage,2
asked,2
beloved,2
belongs,2
cake,2
choice,2
faster,2
fast,2
fish,2
blame,2
blanket,2
flesh,2
folk,2
block,2
anywhere,2
demonic,2
fly,2
apology,2
buried,2
corn,2
burn,2
burning,2
drinks,2
