start,end,script
00:00:47.673,00:00:49.048,THERE'S NOTHING TO TELL.
00:00:49.048,00:00:50.759,IT'S JUST SOME GUY I WORK WITH.
00:00:50.759,00:00:52.887,COME ON.
00:00:52.887,00:00:54.805,THERE'S GOT TO BE SOMETHING WRONG WITH HIM.
00:00:55.890,00:00:56.932,"SO, DOES HE HAVE A HUMP?"
00:00:56.932,00:00:57.975,A HUMP AND A HAIRPIECE?
00:01:00.227,00:01:02.897,"WAIT, DOES HE EAT CHALK?"
00:01:02.897,00:01:06.274,JUST 'CAUSE I DON'T WANT HER TO GO THROUGH WHAT I WENT THROUGH WITH CARL.
00:01:06.274,00:01:09.319,"OKAY, EVERYBODY RELAX."
00:01:09.319,00:01:12.489,IT'S TWO PEOPLE GOING OUT TO DINNER AND NOT HAVING SEX.
00:01:12.489,00:01:14.157,SOUNDS LIKE A DATE TO ME.
00:01:16.911,00:01:18.412,SO I'M BACK IN HIGH SCHOOL.
00:01:18.412,00:01:23.458,I'M STANDING IN THE MIDDLE OF THE CAFETERIA AND I REALIZE I AM TOTALLY... NAKED.
00:01:23.458,00:01:25.252,I'VE HAD THAT DREAM.
00:01:25.252,00:01:30.049,"THEN, I LOOK DOWN AND I REALIZE THERE IS A PHONE..."
00:01:30.049,00:01:31.050,THERE.
00:01:32.342,00:01:33.468,INSTEAD OF..?
00:01:33.468,00:01:34.970,THAT'S RIGHT.
00:01:34.970,00:01:36.304,NEVER HAD THAT DREAM.
00:01:36.304,00:01:47.399,"ALL OF A SUDDEN, THE PHONE STARTS TO RING AND IT TURNS OUT IT'S MY MOTHER WHICH IS VERY, VERY WEIRD BECAUSE..."
00:01:47.399,00:01:48.859,SHE NEVER CALLS ME.
00:01:52.988,00:01:54.531,HI.
00:01:56.157,00:01:57.952,THIS GUY SAYS HELLO.
00:01:57.952,00:01:59.995,I WANT TO KILL MYSELF.
00:01:59.995,00:02:01.496,"ARE YOU OKAY, SWEETIE?"
00:02:01.496,00:02:08.003,"I FEEL LIKE SOMEONE REACHED DOWN MY THROAT GRABBED MY SMALL INTESTINE, PULLED IT OUT MY MOUTH AND TIED IT AROUND MY NECK."
00:02:08.003,00:02:09.088,COOKIE?
00:02:10.798,00:02:12.967,CAROL MOVED HER STUFF OUT TODAY.
00:02:12.967,00:02:14.175,All: OH...
00:02:14.175,00:02:15.176,LET ME GET YOU SOME COFFEE.
00:02:15.176,00:02:16.303,THANKS.
00:02:18.680,00:02:20.557,OOH. UGH...
00:02:20.557,00:02:22.142,"NO. OH, NO. NO, DON'T."
00:02:22.142,00:02:24.686,STOP CLEANSING MY AURA.
00:02:24.686,00:02:29.149,"NO, JUST LEAVE MY AURA ALONE, OKAY?"
00:02:29.149,00:02:31.026,"I'LL BE FINE, ALL RIGHT?"
00:02:31.026,00:02:32.152,I HOPE SHE'LL BE VERY HAPPY.
00:02:32.152,00:02:33.278,"Monica: NO, YOU DON'T."
00:02:33.278,00:02:34.696,NO I DON'T.
00:02:34.696,00:02:37.240,SHE LEFT ME.
00:02:37.240,00:02:39.076,AND YOU NEVER KNEW SHE WAS A LESBIAN?
00:02:43.163,00:02:44.832,NO. OKAY?
00:02:44.832,00:02:48.293,WHY DOES EVERYONE KEEP FIXATING ON THAT?
00:02:49.795,00:02:53.465,SHE DIDN'T KNOW.
00:02:53.465,00:02:56.593,SOMETIMES I WISH I WAS A LESBIAN.
00:02:58.470,00:03:00.848,DID I SAY THAT OUT LOUD?
00:03:02.432,00:03:06.520,"ALL RIGHT, ROSS, LOOK YOU'RE FEELING A LOT OF PAIN RIGHT NOW."
00:03:06.520,00:03:09.731,YOU'RE ANGRY. YOU'RE HURTING.
00:03:09.731,00:03:10.816,CAN I TELL YOU WHAT THE ANSWER IS?
00:03:12.067,00:03:13.401,STRIP JOINTS!
00:03:15.154,00:03:18.032,"OH, COME ON."
00:03:18.032,00:03:20.325,"SEE, BUT I DON'T WANT TO BE SINGLE, OKAY?"
00:03:20.325,00:03:23.286,"I JUST, I JUST, I JUST WANT TO BE MARRIED AGAIN."
00:03:27.791,00:03:30.209,AND I JUST WANT A MILLION DOLLARS.
00:03:31.503,00:03:32.713,RACHEL?
