word,counts
let,151
see,108
little,85
come,82
here,81
go,80
time,74
now,68
gon,65
so,62
know,60
make,58
love,58
look,58
got,55
cat,52
how,50
help,50
right,48
there,47
need,46
back,44
just,44
next,44
kitty,42
then,42
where,39
first,39
find,37
say,36
hiccups,35
ready,35
good,33
want,33
give,32
think,32
play,32
big,30
pirate,29
catrat,29
thanks,29
all,28
take,28
super,28
picture,28
really,27
tastic,27
ears,27
try,26
when,26
thank,26
today,26
great,25
surprise,25
guys,25
one,23
color,23
treasure,23
ca,23
things,23
made,23
more,22
thing,22
work,22
wait,21
use,21
together,21
game,20
ooh,20
new,19
shake,19
check,18
show,18
too,18
sure,18
making,18
never,18
inside,17
music,17
paw,17
idea,17
maybe,17
going,17
cure,16
sparkle,16
in,16
stick,16
playing,16
glitter,16
like,15
tiny,15
spaceship,15
paper,15
pick,15
green,15
key,15
welcome,15
best,14
way,14
pop,14
bubble,14
silly,14
cute,14
favorite,14
party,14
sound,14
ok,13
keep,13
of,13
red,13
long,13
better,13
course,13
follow,13
put,13
house,13
again,13
means,13
looks,12
tickets,12
cookies,12
light,12
ever,12
glue,12
eat,12
yellow,12
face,12
day,12
open,12
box,11
almost,11
cookie,11
shape,11
why,11
yet,11
room,11
luck,11
even,11
always,11
worry,11
away,11
shiny,11
get,10
hair,10
sounds,10
cats,10
looking,10
around,10
still,10
song,10
part,10
catch,10
fix,10
sparkly,10
special,10
pigs,10
hunt,10
bubbles,10
found,10
mixed,10
hiccup,10
hat,9
soap,9
magical,9
book,9
pretty,9
print,9
up,9
delicious,9
spinner,9
seen,9
match,9
pickle,9
sprinkles,9
pink,9
pipe,9
last,9
coming,9
comes,9
spin,8
quick,8
story,8
done,8
scavenger,8
ship,8
stop,8
down,8
sandwich,8
definitely,8
masks,8
mistakes,8
potion,8
island,8
bring,8
turn,8
home,8
out,8
own,8
job,8
bawk,8
wo,8
win,7
reach,7
head,7
minute,7
gets,7
start,7
grow,7
makes,7
mistake,7
remember,7
saved,7
toilet,7
bet,7
buried,7
fly,7
pickles,7
kitties,7
space,7
only,7
sing,7
glad,7
soon,7
smelly,7
enough,7
knew,7
ice,7
figure,7
colors,7
trusty,7
place,7
magic,7
pirates,7
happened,7
yummy,6
somewhere,6
triangles,6
peppers,6
delivery,6
peck,6
tried,6
most,6
tune,6
cut,6
bottom,6
instrument,6
scale,6
perfect,6
map,6
fun,6
chain,6
fairy,6
end,6
working,6
tail,6
problem,6
clue,6
pull,6
nose,6
collect,6
gives,6
works,6
tennis,6
over,6
sticky,6
slide,6
hear,6
camera,6
cool,6
heard,6
soaps,6
rid,6
attack,6
jump,6
ball,6
kind,5
later,5
else,5
jar,5
grab,5
feel,5
photo,5
nice,5
gone,5
guess,5
goes,5
glowing,5
glow,5
purple,5
hard,5
loud,5
getting,5
lot,5
pieces,5
mix,5
sail,5
fluffy,5
prize,5
sardines,5
sauce,5
hide,5
save,5
hit,5
helping,5
mean,5
shrink,5
wonder,5
class,5
bigger,5
comic,5
code,5
bathroom,5
tell,5
thinking,5
breathe,5
whiskers,5
draw,5
blow,5
cleaner,5
blue,5
won,5
sweet,5
sprinkle,5
water,5
dream,5
timer,5
call,5
worked,5
style,5
true,5
triangle,5
stuck,4
knows,4
wants,4
kitchen,4
floating,4
bed,4
colorful,4
kittens,4
kitten,4
cured,4
beep,4
vator,4
cheese,4
fruit,4
games,4
started,4
cords,4
trying,4
real,4
boots,4
hug,4
gave,4
hurry,4
ice-cream,4
crafting,4
twist,4
hop,4
squeezy,4
squeeze,4
upside,4
forget,4
other,4
craft,4
very,4
bathtub,4
hot,4
build,4
shook,4
circle,4
wiggle,4
share,4
smallest,4
as,4
drop,4
anytime,4
power,4
doing,4
charm,4
surprises,4
loves,4
sweep,4
side,4
able,4
machine,4
adventure,4
case,4
clean,4
button,4
school,4
top,4
soil,4
mateys,4
leave,4
wrong,4
much,4
cleaners,4
egg,4
care,4
fast,4
set,4
add,4
ahoy,4
hoping,3
breath,3
charms,3
tape,3
plant,3
trophy,3
hope,3
places,3
heroes,3
piratey,3
hats,3
pet,3
brilliant,3
hold,3
trick,3
bubbly,3
pictures,3
toy,3
waiting,3
pattern,3
booth,3
balls,3
whipped,3
lid,3
bad,3
moon,3
awesome,3
white,3
whole,3
listen,3
miney,3
anywhere,3
lose,3
middle,3
wind,3
mermaid,3
animal,3
mercat,3
lunch,3
worth,3
many,3
marker,3
mouth,3
move,3
left,3
behind,3
body,3
turned,3
impossible,3
blueberries,3
upset,3
black,3
bit,3
on,3
wake,3
off,3
learning,3
nutters,3
bedroom,3
waves,3
normal,3
nicely,3
went,3
bandanna,3
bananas,3
banana,3
pompom,3
ear,3
same,3
food,3
covered,3
roll,3
dinosaur,3
rescue,3
seek,3
frosting,3
doctor,3
count,3
shaking,3
shaped,3
recommend,3
costume,3
rainbow,3
stay,3
step,3
sticker,3
stickers,3
sticks,3
giant,3
squares,3
safe,3
stripes,3
seagulls,3
schedule,3
finished,3
scales,3
deep,3
fine,3
solution,3
finally,3
float,3
cream,3
crashing,3
science,3
flower,3
spot,3
fluffer,3
scissors,3
few,3
fold,3
scoop,3
sea,3
strange,3
gang,3
proper,3
smoothie,3
eyepatch,3
sundae,3
eye,3
expert,3
promise,3
excited,3
goodness,3
especially,3
stuffed,3
pour,3
pounce,3
dress,3
pops,3
sleep,3
easy,3
ha,3
eyes,3
finish,3
clues,3
glittery,3
smoothies,3
dots,3
globules,3
globe,3
short,2
nap,2
mush,2
smush,2
wiggly,2
mazing,2
smell,2
single,2
size,2
needed,2
needing,2
wet,2
slice,2
smaller,2
wearing,2
x,2
year,2
shiniest,2
words,2
simple,2
whoo,2
messy,2
whistle,2
moment,2
snacky,2
sneezes,2
whoosh,2
snack,2
soft,2
winner,2
shapes,2
shimmering,2
secret,2
mine,2
seashell,2
sign,2
sometimes,2
smile,2
moving,2
mind,2
mask,2
popped,2
noodle,2
piece,2
tight,2
sunglasses,2
times,2
pile,2
sundaes,2
took,2
stuffing,2
spa,2
tough,2
stuff,2
travel,2
treats,2
tree,2
trouble,2
prizes,2
superhero,2
tells,2
superpower,2
supposed,2
surfboard,2
planet,2
popping,2
tastes,2
played,2
swirly,2
slides,2
playroom,2
pleasure,2
polka,2
pom,2
poms,2
rats,2
star,2
tummy,2
villain,2
watch,2
waste,2
says,2
sparkliest,2
saying,2
speak,2
spilled,2
wallpaper,2
wall,2
tacular,2
spray,2
ones,2
wahoo,2
safety,2
rooms,2
recipe,2
orange,2
riffic,2
rest,2
reminds,2
packy,2
page,2
paint,2
pancake,2
twas,2
tushy,2
squishy,2
pancakes,2
stand,2
rectangle,2
taking,2
zipper,2
mash,2
half,2
bounced,2
happy,2
happens,2
bringing,2
broken,2
hang,2
hands,2
ground,2
having,2
butter,2
buzzer,2
globby,2
glasses,2
giving,2
came,2
garden,2
boat,2
heart,2
cards,2
honey,2
ideas,2
bend,2
hugs,2
biggest,2
houses,2
host,2
bitty,2
blast,2
