words,counts
meredith,432
izzie,348
derek,332
george,319
cristina,285
know,265
alex,233
bailey,222
burke,221
mr,175
get,167
like,160
dr,142
ok,141
right,136
want,129
oh,122
good,115
think,107
need,95
go,95
see,94
got,90
well,89
gonna,89
look,89
mrs,83
mvo,82
levangie,80
one,73
yeah,71
time,68
take,68
going,67
thing,67
nurse,66
come,66
could,65
let,64
man,64
annie,60
really,60
doctor,60
mean,58
tell,58
surgery,58
liz,58
back,57
would,56
something,51
hey,50
god,48
life,47
never,47
maybe,46
sorry,44
woman,44
uh,44
anything,44
way,43
call,42
please,39
morning,39
blood,39
ms,39
digby,39
duff,38
day,38
fine,37
guy,37
yes,35
last,35
brain,34
say,34
patient,33
much,33
shepherd,32
franklin,32
tumor,32
us,32
give,32
rice,32
people,31
even,31
little,30
nothing,30
still,30
make,30
talking,30
around,30
better,29
grey,29
claire,28
olivia,28
um,28
night,28
thank,28
richard,28
talk,27
pain,27
try,27
sure,27
ever,26
mother,26
die,25
long,25
someone,25
start,25
feel,25
bad,25
work,24
harper,24
connors,24
keep,24
wrong,24
things,24
seen,23
damn,23
wait,23
told,23
hospital,23
sona,22
done,22
cut,22
hell,22
always,22
devo,22
taylor,22
said,22
huh,22
karev,21
getting,21
already,21
two,21
understand,21
put,21
seriously,21
thought,21
ct,21
today,21
mom,21
year,20
jorge,20
page,20
excuse,20
kill,20
kind,20
live,20
stop,20
find,20
scrub,20
everything,19
hours,19
late,19
procedure,19
humphrey,19
glass,19
bill,19
care,18
help,18
walker,18
ask,18
intern,17
every,17
mri,17
trying,17
walk,17
home,17
great,17
course,17
years,17
needs,17
baby,17
gets,17
wanted,17
else,17
chest,17
yang,17
alice,17
girl,17
floor,17
lot,16
hayes,16
stevens,16
remember,16
hard,16
tech,16
malley,16
three,16
open,16
first,16
check,16
old,16
heart,15
job,15
chief,15
shut,15
definitely,15
anyone,15
pressure,15
line,15
sex,15
wants,15
decision,15
hi,14
sleeping,14
syphilis,14
jamie,14
whatever,14
autopsy,14
best,14
lose,14
enough,14
making,14
guess,14
ago,14
new,14
cause,13
boss,13
probably,13
possible,13
crap,13
came,13
parents,13
stay,13
miss,13
believe,13
push,13
reason,13
away,13
dead,13
ready,12
victor,12
suction,12
called,12
might,12
love,12
supposed,12
fear,12
saying,12
saw,12
end,12
ellis,12
leave,12
jp,12
room,12
labs,12
move,12
dad,12
guys,12
heard,12
clot,12
patients,12
since,12
worry,12
wife,12
went,12
person,12
problem,12
daughter,11
rules,11
half,11
left,11
worse,11
breath,11
whipple,11
makes,11
save,11
five,11
another,11
coming,11
important,11
without,11
hear,11
show,11
made,11
doctors,11
cancer,11
surgeon,11
thanks,11
red,11
yet,11
henry,11
hmm,11
whole,11
everyone,11
sir,11
pulse,11
run,11
body,11
waiting,11
longer,11
chance,10
happened,10
four,10
disease,10
normal,10
actually,10
hateful,10
knows,10
valve,10
secret,10
tube,10
head,10
surgical,10
name,10
couple,10
pretty,10
psych,10
lie,10
watch,10
anyway,10
sometimes,10
nails,10
spinal,10
afraid,10
case,10
sleep,10
nice,10
big,10
family,10
breathe,10
next,9
house,9
scared,9
seeing,9
later,9
fat,9
biopsy,9
fluid,9
hold,9
soon,9
naked,9
shh,9
death,9
forgot,9
started,9
ten,9
shower,9
means,9
looking,9
weight,9
pull,9
must,9
sick,9
size,9
happy,9
lost,9
fall,9
holly,9
doc,9
bleeding,9
x,9
friends,9
attending,9
part,9
thinking,8
ones,8
light,8
psychic,8
everybody,8
secrets,8
poor,8
films,8
damage,8
negative,8
nerves,8
favor,8
drink,8
trouble,8
true,8
goes,8
seem,8
e,8
fix,8
seemed,8
tomorrow,8
gunshot,8
artery,8
almost,8
clean,8
athena,8
tonight,8
small,8
favors,8
least,8
idea,8
interns,8
paralysis,8
buy,8
telling,8
bypass,8
hot,8
candidate,8
schedule,8
parkinson,8
full,8
months,8
paged,8
patricia,8
risk,8
worth,8
father,8
side,7
underwear,7
may,7
surgeries,7
either,7
ray,7
smell,7
funny,7
healthy,7
sit,7
hair,7
options,7
treatment,7
days,7
