start,end,script
00:00:12.429,00:00:16.600,BUT THAT ALL ENDS THIS SATURDAY!
00:00:16.600,00:00:27.945,"BECAUSE THAT'S WHEN THIS TEAM, MY WARRIORS, ARE GONNA BURN THOSE PANSY-ASS OHIO PLAYERS RIGHT TO THE GROUND!"
00:00:36.912,00:00:38.789,Connor: AND STOP ACTING LIKE A LITTLE BITCH BABY.
00:00:38.789,00:00:40.040,DO NOT TELL ME HOW TO FEEL RIGHT NOW!
00:00:40.040,00:00:41.750,HEY.
00:00:41.750,00:00:43.084,SORRY IT TOOK SO LONG.
00:00:43.084,00:00:45.504,I WENT BACK FOR THIS.
00:00:45.504,00:00:48.007,"NOW, YOU -- YOU TAKE THAT BACK RIGHT NOW!"
00:00:48.007,00:00:49.800,NO. IT'S SMART.
00:00:49.800,00:00:55.931,COMMONWEALTH v. DELOATCHE -- A CASE THE PROSECUTION SHOULD'VE WON BUT LOST BECAUSE THERE WAS NO MURDER WEAPON.
00:00:55.931,00:00:57.933,"SO, WHAT ARE YOU SAYING?"
00:00:57.933,00:00:59.852,HIDE IT IN PLAIN SIGHT.
00:00:59.852,00:01:02.354,AFTER WE BURY THE BODY.
00:01:02.354,00:01:04.356,"NO, ABSOLUTELY NOT."
00:01:04.356,00:01:06.316,"YEAH, I-I-I-I'M WITH MICHAELA."
00:01:06.316,00:01:08.151,"NO, CONNOR, THINK."
00:01:08.151,00:01:10.404,"THE TROPHY WE NEED, YES."
00:01:10.404,00:01:12.531,"NO, THE BODY IS WHAT GETS US CAUGHT."
00:01:12.531,00:01:14.867,YOU ARE NOT THINKING STRAIGHT.
00:01:14.867,00:01:18.161,SOMETHING THAT DOESN'T INVOLVE CARRYING A BODY ACROSS CAMPUS ON THE BUSIEST NIGHT OF THE YEAR!
00:01:18.161,00:01:19.663,"Connor: SHE'S RIGHT, LAUREL."
00:01:19.663,00:01:24.043,"EVEN IF WE GET IT OUT OF THE HOUSE, UNSEEN, THE GROUND IS FROZEN!"
00:01:24.043,00:01:26.085,YOU DON'T KNOW WHAT YOU'RE TALKING ABOUT!
00:01:26.085,00:01:27.963,THIS IS MURDER! NONE OF US KNOW WHAT WE'RE TALKING ABOUT!
00:01:27.963,00:01:29.673,JUST YELL THAT A LITTLE LOUDER!
00:01:29.673,00:01:30.966,"HONESTLY, YOU'RE ALL DUMBER THAN I THOUGHT IF YOU THINK..."
00:01:30.966,00:01:34.469,"LOOK, I'M AGREEING WITH YOU -- YOU TWO NEED TO MAN UP AND THINK BECAUSE WE'RE GOING TO JAIL."
00:01:36.137,00:01:38.891,SHUT UP!
00:01:38.891,00:01:41.810,IT'S TWO AGAINST TWO.
00:01:41.810,00:01:44.354,WE HAVE NO OTHER CHOICE.
00:01:44.354,00:01:46.815,THAT IS THE DUMBEST THING YOU'VE EVER SAID.
00:01:46.815,00:01:49.276,I'M NOT LETTING A FREAKING COIN DECIDE WHETHER OR NOT I GO TO JAIL TONIGHT!
00:01:49.276,00:01:50.819,WE DON'T HAVE TIME TO FIGHT!
00:01:50.819,00:01:52.821,WE NEED TO MAKE A DECISION AND COMMIT TO IT.
00:01:52.821,00:01:54.949,"SO IF SOMEONE HAS A BETTER IDEA, SAY IT NOW!"
00:01:58.744,00:02:01.872,"HEADS, WE GET THE BODY."
00:02:01.872,00:02:04.165,"TAILS, WE LEAVE IT WHERE IT IS. OKAY?"
00:02:56.677,00:02:59.429,I THREW UP FOUR TIMES THIS MORNING WORRIED SHE'S GONNA CALL ON ME.
00:02:59.429,00:03:05.102,"YEAH, SHE'S A BALLBUSTER, SURE, BUT I SPENT MY SUMMER INTERNING FOR CHIEF JUSTICE ROBERTS, SO I KNOW HOW TO HANDLE A BIG PERSONALITY."
00:03:05.102,00:03:08.355,"DERSHOWITZ HAS THE UPPER HAND IN THE ACADEMIC WORLD, BUT KEATING'S CLEARLY THE BETTER DEFENSE ATTORNEY."
00:03:11.232,00:03:14.486,HERE WE GO.
00:03:14.486,00:03:18.824,"I'M NOT USUALLY A FIRST-ROW KIND OF GUY, BUT I PROMISED MYSELF I WOULDN'T HIDE IN THE BACK OF THE CLASS."
