word,counts
was,427
is,377
not,312
just,290
know,250
be,248
have,244
do,229
dont,225
so,223
are,204
im,199
get,189
here,181
now,157
can,156
did,137
were,134
how,133
want,127
think,124
tell,118
when,110
go,109
time,98
why,97
need,95
would,92
case,88
say,85
had,78
then,77
let,77
right,76
will,76
could,73
mean,73
told,71
didnt,69
come,69
find,68
something,64
only,63
like,61
said,60
way,60
honor,58
good,58
going,57
more,57
back,57
really,57
see,56
should,55
take,55
got,54
out,54
anything,54
first,51
where,50
look,49
annalise,49
husband,47
there,47
police,47
has,46
last,46
thing,45
even,45
evidence,44
work,44
help,44
cant,43
people,43
murder,43
night,42
still,41
too,41
been,41
wanted,41
other,40
nothing,40
doing,39
thank,39
body,39
call,38
again,38
make,37
went,37
years,36
thought,36
man,36
one,36
phone,35
else,35
ever,35
job,35
isnt,34
believe,34
hell,34
trial,34
connor,33
actually,33
cause,33
new,32
talking,32
means,32
law,32
jury,31
came,31
found,30
idea,30
stand,29
saw,29
everything,29
little,29
girl,29
never,28
leave,28
stop,28
made,28
court,28
killed,28
give,27
life,27
away,27
happened,26
doesnt,26
trophy,26
much,25
ask,25
defense,24
put,23
this,23
woman,23
kill,23
days,23
prosecution,23
bad,23
done,22
might,22
room,22
already,22
dna,22
it,22
having,22
am,22
keating,22
trying,22
left,22
wasnt,22
thinking,21
being,21
saying,21
laurel,21
very,20
lawyer,20
called,20
part,20
ago,20
kind,19
plan,19
own,19
working,19
day,19
love,19
car,19
long,19
some,18
name,18
feel,18
does,18
same,18
making,18
care,18
prove,18
rebecca,18
next,18
morning,18
once,17
her,17
wife,17
friend,17
lot,17
screwed,16
ill,16
door,16
late,16
bonnie,16
answer,16
person,16
hurt,16
into,16
looks,16
use,16
before,16
testimony,16
ring,15
run,15
report,15
big,15
as,15
year,15
turn,15
second,15
bonfire,15
knows,15
truth,15
professor,15
class,15
things,15
sex,15
wants,15
dead,15
today,15
client,15
ass,15
motion,14
loved,14
lying,14
head,14
boss,14
coming,14
house,14
finally,14
on,14
needed,14
maybe,14
open,14
win,14
up,14
asked,14
students,14
wont,14
youre,13
getting,13
happy,13
says,13
great,13
friends,13
chance,13
gets,13
expert,13
knew,13
aspirin,13
question,13
together,13
order,13
yet,13
lie,13
took,13
also,13
fact,13
calling,13
tomorrow,13
prison,12
happen,12
heard,12
taking,12
speak,12
all,12
remember,12
face,12
motive,12
drug,12
died,12
computer,12
possible,12
mom,12
assistant,12
guess,12
judge,12
wrong,12
tonight,12
swear,11
started,11
goes,11
soon,11
study,11
mother,11
sutter,11
pill,11
decision,11
death,11
girls,11
charges,11
thinks,11
everyone,11
show,11
information,11
lied,11
wait,11
looking,11
lost,11
control,11
hours,11
rest,11
abuse,11
relationship,11
until,11
wouldnt,10
real,10
minutes,10
agree,10
hands,10
gave,10
won,10
exam,10
crime,10
hearing,10
smart,10
screwing,10
best,10
with,10
dropped,10
listen,10
sitting,10
michaela,10
well,10
start,10
trust,10
honest,10
hear,10
murderer,10
must,10
cop,10
hard,10
video,10
hot,10
true,10
many,10
fine,10
enough,10
old,9
stupid,9
step,9
killing,9
minute,9
whatever,9
grown,9
number,9
anyone,9
guy,9
suspect,9
none,9
test,9
happens,9
conviction,9
men,9
choice,9
hit,9
mind,9
sexual,9
understand,9
blood,9
seems,9
file,9
family,9
read,9
sleep,9
employees,9
daughter,9
world,9
down,9
havent,8
dumb,8
including,8
worked,8
clients,8
detective,8
asking,8
happening,8
course,8
few,8
throw,8
worried,8
pressure,8
sit,8
argue,8
charge,8
sleeping,8
smoke,8
aid,8
entire,8
desk,8
hope,8
terrible,8
reporter,8
remini,8
pretty,8
around,8
firm,8
set,8
stuff,8
stanley,8
break,8
young,8
office,8
ground,8
alone,8
witness,8
david,8
hand,8
spend,8
cases,8
dinner,8
prenup,8
telling,7
laptop,7
tried,7
seriously,7
meet,7
sent,7
destroy,7
yourself,7
keeping,7
claims,7
trisha,7
least,7
keep,7
used,7
always,7
clean,7
usually,7
walked,7
youd,7
seen,7
involved,7
shut,7
illegal,7
shouldnt,7
beat,7
hold,7
inside,7
buy,7
met,7
place,7
protect,7
proof,7
worry,7
promise,7
previously,7
free,7
point,7
sure,7
spent,7
objection,7
public,7
pin,7
fully,7
burn,7
further,7
while,7
pay,7
giving,7
given,7
girlfriend,7
move,7
defendant,7
fault,7
most,7
record,7
outside,7
high,7
example,7
reason,7
money,7
bomb,7
couple,7
correct,7
street,7
kids,6
excuse,6
edson,6
according,6
waiting,6
gonna,6
gag,6
actual,6
drove,6
home,6
whole,6
dad,6
access,6
hire,6
walk,6
using,6
alibi,6
front,6
date,6
ive,6
e,6
hotel,6
water,6
helping,6
victim,6
ignore,6
hour,6
couldnt,6
crap,6
word,6
drink,6
drinking,6
about,6
a,6
turned,6
arrest,6
secrets,6
showing,6
personal,6
months,6
apartment,6
moment,6
close,6
school,6
off,6
thrown,6
penis,6
records,6
therefore,6
cannot,6
parks,6
testify,6
miss,6
marjorie,6
marriage,6
bet,6
better,6
dirty,6
station,6
putting,6
picking,6
believed,6
surveillance,6
probably,6
boy,6
lady,6
later,6
present,6
become,6
caught,6
request,6
sell,6
comes,6
child,6
broke,6
shed,6
legal,6
seeing,6
sorry,6
calm,5
blue,5
received,5
weeks,5
straight,5
officer,5
advice,5
supposed,5
handle,5
write,5
system,5
carrying,5
support,5
no,5
nate,5
expect,5
original,5
slut,5
boyfriend,5
born,5
decided,5
figure,5
fianc,5
forgot,5
felony,5
freak,5
feels,5
sound,5
pissed,5
piece,5
picked,5
fun,5
funny,5
someone,5
questions,5
talked,5
daddy,5
parents,5
wish,5
exhumation,5
over,5
especially,5
sounds,5
wedding,5
innocent,5
shows,5
makes,5
haven,5
hunting,5
hurry,5
times,5
contact,5
looked,5
screw,5
important,5
lives,5
wrote,5
anymore,5
terrence,5
investigating,5
different,5
shot,5
leaving,5
trade,5
answering,5
shooting,5
trucco,5
kidding,5
committed,5
try,5
known,5
may,5
that,5
sign,5
herself,5
review,5
tape,5
defending,5
team,5
hed,5
agreed,5
elena,5
missing,5
aiden,5
held,5
either,5
messed,5
corporate,5
chief,5
based,5
protecting,4
return,4
files,4
several,4
rid,4
research,4
scene,4
