start,end,script
00:00:47.756,00:00:54.554,"They know where you are, they know who you're talking to, and trust me, they know who you're fucking."
00:00:54.637,00:00:58.391,"You turn on a cell phone or a computer, and you're doomed."
00:00:59.184,00:01:03.605,"But in Colombia in 1989, it wasn't that easy."
00:01:03.688,00:01:05.899,"First off, there was no Internet."
00:01:05.982,00:01:07.400,No cells.
00:01:07.484,00:01:13.490,"The best they had were satellite phones, and in order to capture a satellite phone, you had to fly directly over it."
00:01:13.573,00:01:17.869,"On top of that, the only people who had sat phones were the filthy rich..."
00:01:17.952,00:01:20.330,"the landowners, the politicians..."
00:01:21.706,00:01:25.418,"And lucky for us, the narcos were richer than them all."
00:01:32.342,00:01:34.552,We're going out tonight.
00:01:41.976,00:01:52.320,"That's why back then, the US government developed software that could identify I got Poison at 400 to 1700 megahertz, gentlemen."
00:01:52.403,00:01:55.448,And you guessed it: no GPS either.
00:01:55.532,00:01:57.909,"Hammer, prepare to engage."
00:02:01.496,00:02:05.250,So we had to triangulate their signals using assets on the ground.
00:02:08.461,00:02:11.005,"OK, he's in Modelia. He's on the west side."
00:02:11.089,00:02:13.258,"Hawkeye, how do you copy that?"
00:02:20.098,00:02:21.808,I've got a table ready.
00:02:23.309,00:02:25.436,Show up around midnight.
00:02:28.648,00:02:30.859,but he'd just made himself a date.
00:02:30.942,00:02:34.863,Negative on Hammer. This fuckwad just told us where he's going.
00:02:34.946,00:02:36.823,"Hammer, disengage."
00:02:36.906,00:02:39.200,So who do we give this to? DEA?
00:02:39.284,00:02:42.787,- Yeah. Let's give it to Javier Peña. - Peña's an asshole.
00:02:42.871,00:02:44.956,- I'm gonna give it to the other guy. - Sure.
00:02:49.502,00:02:52.672,"I'm Steve Murphy, Drug Enforcement Agent."
00:02:52.755,00:02:57.302,"And as you can see, I am deeply embedded in Colombia."
00:02:57.385,00:02:58.428,Hello?
00:03:01.055,00:03:01.890,Got it.
00:03:01.973,00:03:04.601,He's meeting Lizard and the rest of them at midnight tonight.
00:03:04.684,00:03:06.019,OK.
00:03:08.771,00:03:12.108,but the DEA is restricted in a foreign country.
00:03:12.191,00:03:16.195,So I did just what you would do... I called the cops.
00:03:16.279,00:03:17.447,Hola.
00:03:21.284,00:03:22.327,All right.
00:03:24.996,00:03:26.331,Guess who that was.
00:03:27.457,00:03:28.666,Your partner.
00:03:29.751,00:03:31.461,He just gave me a great gift.
00:03:32.754,00:03:33.922,Poison.
00:03:38.968,00:03:41.012,Does he know how I'm going to package it?
00:03:41.221,00:03:43.264,"Yeah, sure."
00:03:43.348,00:03:45.475,He's not a fool.
00:03:46.559,00:03:47.769,Gotta go.
00:03:49.187,00:03:51.856,Gonna stick me with the bill?
00:03:55.777,00:03:58.404,Cheap son of a bitch.
00:04:01.199,00:04:04.077,"Javier Peña, my partner."
00:04:04.285,00:04:10.708,"And this is Colonel Carrillo, the leader of the Search Bloc, the unit we helped create to capture the bad guys."
00:04:10.792,00:04:13.586,"Boy, did he have a lot of love for the narcos."
00:04:21.469,00:04:23.304,Especially the local hitmen.
00:04:23.388,00:04:25.139,Colombians call them sicarios.
00:04:33.773,00:04:37.568,Crazy motherfucker who killed dozens of people.
00:04:37.652,00:04:39.112,Probably hundreds.
00:04:39.988,00:04:40.989,But don't get me wrong.
00:04:41.072,00:04:44.325,I would've sent Carrillo there even if Poison never killed a fly.
00:04:45.660,00:04:47.912,I don't have a lot of love for the narcos either.
00:04:56.462,00:04:59.716,We're gonna stop on 14th and go around the corner.
00:04:59.799,00:05:02.844,"Riano, Trujillo, you're in the front with me."
00:05:02.927,00:05:05.138,"- Galvis and Silva, you take up the rear. - Yes, sir."
00:05:05.221,00:05:07.724,"You got it, boys? We're gonna go at it with everything we got."
00:05:07.807,00:05:10.601,"We're gonna kill these fuckers, all right?"
00:05:46.471,00:05:49.140,But don't call me a bad guy just yet.
00:07:19.939,00:07:21.315,My fellow Americans...
00:07:23.818,00:07:27.905,"People forget, but 47 million Americans voted for Nixon."
00:07:28.823,00:07:30.908,We thought he was one of the good guys.
00:07:31.117,00:07:35.997,And Nixon thought Chilean General Pinochet was a good guy because he hated the commies.
00:07:36.205,00:07:38.666,So we helped Pinochet seize power.
00:07:43.546,00:07:46.883,Then Pinochet turned around and killed thousands of people.
00:07:59.562,00:08:02.190,"But sometimes, bad guys do good things."
00:08:04.692,00:08:12.658,"Nobody knows this, but back in '73, Chile was on its way to being the world's biggest cocaine processing and exporting center."
00:08:21.334,00:08:22.460,to ship the product north.
00:08:22.543,00:08:26.214,"To be productive, you can't waste money! Come on!"
00:08:35.473,00:08:36.474,On the ground!
00:08:44.482,00:08:46.943,"And then, being Pinochet..."
00:08:48.611,00:08:50.029,he had them all killed.
00:08:55.451,00:08:56.869,Aim!
00:08:57.870,00:08:58.871,Ready ammunition!
00:09:18.933,00:09:20.643,I guess they were right.
00:09:23.896,00:09:30.236,"The bullets missed Mateo Moreno, aka Cockroach, and he was smart enough to play dead."
00:09:33.781,00:09:35.449,He wasn't killed on that day.
00:09:37.743,00:09:40.871,"Instead, he won the damn lottery."
00:09:44.208,00:09:47.962,Cockroach had been stealing from his bosses for months.
00:09:48.045,00:09:51.382,Now he was left alone in the world with the perfect product.
00:09:51.465,00:09:54.969,A product whose offer creates its own demand.
00:09:58.514,00:10:01.392,Fucking Pinochet is killing the whole world.
00:10:02.476,00:10:06.939,"- But you're not a communist. - No, not a communist, something worse."
00:10:07.023,00:10:09.358,A drug trafficker.
00:10:09.442,00:10:12.695,"- A drug trafficker? - Yes, a drug trafficker."
00:10:22.204,00:10:25.458,"We didn't know much, but we knew it was some pretty powerful shit."
00:10:25.666,00:10:27.877,"...this will give us better results, OK?"
00:10:27.960,00:10:31.172,Cocaine hijacks the pleasure centers in the brain.
00:10:31.255,00:10:34.467,A rat will choose cocaine over food and water.
00:10:34.550,00:10:40.389,"It would choose cocaine over sleep, over sex... over life itself."
00:10:40.473,00:10:43.601,The human brain isn't quite the same as a rodent's...
00:10:45.603,00:10:47.855,unless we're talking about cocaine.
00:10:54.153,00:10:56.322,Cockroach knew he had the perfect product.
00:10:57.323,00:10:59.659,He just needed to smuggle it to the right markets.
00:11:03.162,00:11:05.873,And the best smugglers in the world were in Colombia.
00:11:05.956,00:11:13.297,"WELCOME TO COLOMBIA Like Goldilocks, he had three options."
00:11:13.381,00:11:16.634,"And pay attention, because all three are important to this story."
00:11:19.929,00:11:24.517,"The Ochoa brothers: Jorge, that's Fabio on the horse."
00:11:30.898,00:11:34.068,...but Cockroach felt the high life had made 'em too soft.
00:11:35.111,00:11:42.785,"Another possible partner was José Rodríguez Gacha, nicknamed The Mexican, for his love of tequila and sombreros."
00:11:42.868,00:11:45.663,He dominated the emerald smuggling routes.
00:11:52.294,00:11:56.132,"Emeralds are a pretty rough trade, even by Colombian standards."
00:11:56.215,00:11:57.716,If you make it to the top...
00:12:13.399,00:12:16.986,Cockroach worried that the emerald trade had made Gacha too hard.
00:12:19.029,00:12:25.619,So he zeroed in on his third option: a man Cockroach knew would be just right.
00:12:32.793,00:12:35.129,The man who would change my life forever.
00:12:37.047,00:12:40.342,Pablo was making a killing in the smuggling business.
00:12:40.426,00:12:42.887,"Cigarettes, alcohol, marijuana, you name it."
00:12:44.305,00:12:47.766,"At the time, Pablo owned half the police in Medellín."
00:12:49.101,00:12:52.354,But DAS was Colombia's version of the FBI.
00:12:53.522,00:12:55.649,They didn't play by the same rules.
00:12:59.278,00:13:00.571,Pablo Escobar?
00:13:00.654,00:13:02.072,Where's Felipo?
00:13:02.281,00:13:04.200,Felipo's been arrested.
00:13:04.283,00:13:06.076,Bullshit. Felipo works for me.
00:13:06.160,00:13:09.163,He used to work for you. Now he's going to jail. What do you think about that?
00:13:09.246,00:13:11.665,- Do you know who you're talking to? - Shut the fuck up.
00:13:11.749,00:13:13.876,"- I wasn't talking to you. - Relax, Gustavo, please."
00:13:13.959,00:13:15.544,Show some respect.
00:13:17.713,00:13:19.965,"Now what's the problem, Mr. Jose Luis?"
00:13:22.426,00:13:24.053,How do you know my name?
00:13:24.261,00:13:26.305,You're Colonel Jose Luis Herrera.
00:13:29.266,00:13:31.018,And that's Nacho Ibarra.
00:13:34.063,00:13:38.067,"There's Garcia, Lopez..."
00:13:40.277,00:13:41.403,- That's Pinilla. - Yeah.
00:13:41.487,00:13:42.988,Pinilla...
00:13:43.072,00:13:44.907,and with Phillipe is Esparanza.
00:13:44.990,00:13:47.076,I don't give a rat's ass. Open the fucking trucks.
00:13:47.159,00:13:48.702,I don't have all day.
00:13:53.040,00:13:54.500,Open it.
00:14:03.926,00:14:05.553,"Tell me something, Mr. Escobar."
00:14:06.637,00:14:08.347,Who the fuck do you think you are?
00:14:08.430,00:14:11.850,You don't even bother to hide your contraband.
00:14:11.934,00:14:13.727,"Because I pay for the privilege, Colonel."
00:14:13.811,00:14:15.521,"Oh, yeah? You don't say."
00:14:15.604,00:14:17.398,Where are your import papers?
00:14:18.399,00:14:20.734,You need papers for these TV sets.
00:14:20.818,00:14:22.236,Take them.
00:14:23.946,00:14:29.034,"Sorry, Mr. Escobar. We're not Medellín police making a shit salary."
00:14:29.118,00:14:31.453,"- Look, brother, it's not for you. - Then who?"
00:14:31.537,00:14:33.330,It's for Carlitos.
00:14:34.039,00:14:35.374,Your son.
00:14:37.543,00:14:40.254,Wouldn't he like a TV in his room?
00:14:42.423,00:14:43.757,"Hey, Pinilla!"
00:14:45.968,00:14:49.138,"Your daughter just got her driver's license, right?"
00:14:49.221,00:14:55.144,I've got some car stereo systems in there that are really cool. Real nice.
00:14:56.270,00:15:00.441,"That friend of yours, Lopez... he's got a wife that's really beautiful."
00:15:04.028,00:15:05.821,"Your wife is gorgeous, brother."
00:15:06.739,00:15:08.782,What's she doing with a guy like you?
00:15:15.331,00:15:17.625,"I think she deserves some jewelry, no?"
00:15:19.835,00:15:22.838,Why don't I have my boys drop off a few gifts?
00:15:26.926,00:15:29.428,"Colonel, how is your mom doing?"
00:15:29.511,00:15:32.681,"- She just got out of the hospital, right? - Yes, she's feeling better."
00:15:37.186,00:15:38.479,Gentlemen...
00:15:39.563,00:15:41.732,I'm going to tell you who I am.
00:15:42.942,00:15:46.111,I am Pablo Emilio Escobar Gaviria.
00:15:47.196,00:15:49.490,My eyes are everywhere.
00:15:49.698,00:15:54.703,That means you guys can't move a finger in all of Antioquia without me knowing about it.
00:15:54.954,00:15:57.873,Do you understand? Not a finger.
00:16:00.250,00:16:04.713,"One day, I'm going to be President of the Republic of Colombia."
00:16:05.714,00:16:09.843,"So look, I make deals for a living."
00:16:09.927,00:16:13.472,"Now, you can stay calm and accept my deal..."
00:16:14.390,00:16:16.809,or accept the consequences.
00:16:20.479,00:16:21.814,Silver...
00:16:23.649,00:16:25.025,or lead.
00:16:26.527,00:16:28.070,You decide.
00:17:26.920,00:17:29.423,"No, no, no. Cockroach to my friends."
00:17:31.508,00:17:35.971,and I think this business can make us a lot of money.
00:17:36.055,00:17:37.431,Explain.
00:17:37.514,00:17:40.559,Well... I get the paste in Peru.
00:17:40.642,00:17:45.272,"I will handle the chemical part of production, and all the other details in producing this exquisite white powder."
00:17:45.355,00:17:47.775,What I need from you is to help me get it into Colombia.
00:17:51.445,00:17:55.282,"In Chile, this little thing costs ten bucks a gram."
00:17:55.491,00:17:59.119,"- They sell it by grams? - Yes, it's very good. Look..."
00:17:59.203,00:18:04.416,"You do a little bit, and in 20 minutes, you want to do some more."
00:18:04.625,00:18:06.001,Also...
00:18:06.919,00:18:09.421,it's a digestive aid. It makes you want to take a shit.
00:18:09.505,00:18:12.049,"It's very clean, this stuff. Want some?"
00:18:13.425,00:18:20.307,"If this is really that good and we can make some money, We can sell it in Bogotá, Barranquilla, Cali, Cartagena..."
00:18:20.516,00:18:22.768,We're going to be rich.
00:18:22.851,00:18:25.604,- What did you say your name was? - Cockroach.
00:18:27.397,00:18:29.066,"Well look, Cuca..."
00:18:30.025,00:18:32.069,"you don't have any vision, my friend."
00:18:34.863,00:18:37.074,If it costs ten dollars a gram here...
00:18:38.117,00:18:41.328,imagine how much it will sell for in Miami.
00:18:48.877,00:18:51.672,Rodrigo! One more.
00:19:17.614,00:19:20.492,"I signed up for the sand, surf and women."
00:19:22.202,00:19:25.414,"In '79, the bad guys I was chasing wore flip-flops."
00:19:26.874,00:19:30.878,"I was a young DEA agent, partnered with my buddy, Kevin Brady."
00:19:32.087,00:19:34.131,Kevin was a little slow afoot.
00:19:38.886,00:19:41.763,What you got? What is this? Huh?
00:19:41.847,00:19:42.764,What is that?
00:19:42.848,00:19:45.976,That right there... that's a goddamn promotion.
00:19:48.353,00:19:49.813,- Whoo! - Look at that.
00:19:57.404,00:19:58.572,How much money you owe me?
00:19:58.780,00:20:00.407,What happened to the money you owed me last week?
00:20:00.532,00:20:02.117,"That's right, that's right."
00:20:04.703,00:20:07.706,"All right. All right, who do we pick?"
00:20:07.915,00:20:09.416,How 'bout her?
00:20:09.499,00:20:10.918,"No, no, no, we gotta fuck with him."
00:20:11.001,00:20:13.003,"- Yeah, let's mess with his head. - Um..."
00:20:13.086,00:20:14.922,"Oh, right there. See her? At the bar?"
00:20:15.005,00:20:17.132,"- Which one? - Blue top, blond hair. That's his type."
00:20:20.385,00:20:21.678,- All right. - Whoo!
00:20:23.972,00:20:27.809,"Hey, while you were walking back, she was checking your ass out."
00:20:27.893,00:20:29.436,"Oh, she was checking out your ass."
00:20:29.519,00:20:30.938,Get the fuck outta here. Come on.
00:20:34.983,00:20:37.653,She was. She was eye-fucking you. The entire time.
00:20:41.490,00:20:44.076,- Uh-huh. That's his type. - Talking about the blond one?
00:20:44.159,00:20:45.702,"No, the other one. Of course the blond one."
00:20:45.786,00:20:47.496,She's the hottest one there. She's your type.
00:20:54.503,00:20:55.879,"Fuck it, I'm going in."
00:20:59.091,00:21:00.592,"get us another pitcher, will ya?"
00:21:00.801,00:21:03.804,- Pace yourself. - Look at him. Look at his swagger.
00:21:13.939,00:21:15.315,How you doing?
00:21:16.149,00:21:17.150,Busy.
00:21:18.777,00:21:22.281,"I just said, Look, if you don't wanna be there, you don't have to be."
00:21:31.707,00:21:34.042,But I couldn't let it end like that.
00:21:38.255,00:21:39.548,"Uh, they're fucking with me."
00:21:39.631,00:21:43.093,"Telling me you were checking out my ass, and who checks out a cop's ass, right?"
00:21:43.176,00:21:44.428,You're a cop?
00:21:44.511,00:21:46.847,"Not a cop, actually. I'm DEA."
00:21:47.055,00:21:48.098,Drug Enforcement?
00:21:48.181,00:21:50.183,So you're the one making pot more expensive.
00:21:53.645,00:21:56.231,"I wanna show these guys up. Why don't you, uh..."
00:21:56.315,00:21:58.025,give me your phone number?
00:21:58.859,00:22:00.444,How about a fake number?
00:22:01.528,00:22:02.529,That'll work.
00:22:03.363,00:22:05.073,"Hey, buddy, you got a pen?"
00:22:19.755,00:22:22.341,- I'm sorry for the trouble. - Sure.
00:22:23.258,00:22:24.843,Have a good night.
00:22:32.642,00:22:35.312,"- Where's the pitcher at? - The pitcher? Oh, I..."
00:22:36.021,00:22:37.481,I didn't make it back with the pitcher.
00:22:37.689,00:22:40.942,I just came up with this and I couldn't read it. What does that say?
00:22:41.026,00:22:43.487,- Read it and weep! - Aw... Gimme that.
00:22:43.570,00:22:45.238,How much did that cost you?
00:22:45.322,00:22:47.449,- That's your handwriting. - It's not my handwriting!
00:22:56.625,00:23:00.045,"Worst that could happen, I'd wake up some grandmother in Boca."
00:23:06.426,00:23:07.636,Hello?
00:23:09.137,00:23:10.597,So it wasn't a fake.
00:23:10.806,00:23:13.141,I thought you might figure it out.
00:23:13.225,00:23:15.644,"After all, you're DEA."
00:23:20.524,00:23:27.447,"The minute Pablo laid his eyes on the paste-processing labs in Peru, cocaine had him."
00:23:31.952,00:23:34.538,"These are my friends, Pablo and Gustavo."
00:23:35.622,00:23:38.041,Would you like a little coffee?
00:23:38.125,00:23:39.751,"Yeah, a coffee?"
00:23:39.835,00:23:40.836,"Yes, a coffee."
00:23:40.919,00:23:42.003,"- How about you, Pablo? - No."
00:23:43.713,00:23:47.843,"My factory is small, but highly productive."
00:23:47.926,00:23:52.806,"Look. For crushing the leaves, I like to use children because of their tiny feet."
00:23:54.975,00:23:56.560,Little magic leaves.
00:24:06.528,00:24:11.616,"Then you cut it, and mix it with gasoline."
00:24:11.700,00:24:15.704,"Then, basically, you pull the merchandise out of the liquid."
00:24:15.787,00:24:17.622,"Let it dry, dry, dry."
00:24:25.172,00:24:27.424,Here is the prize.
00:24:27.507,00:24:29.926,It's like the kitchen in your house.
00:24:34.848,00:24:38.018,Only a much better cake than you've ever had.
00:24:40.187,00:24:42.314,"Look, an old press, an antique."
00:24:46.776,00:24:49.905,Now we put it in the oven.
00:24:49.988,00:24:52.616,Here's one. The other will follow.
00:24:52.699,00:24:55.785,"All natural, organic and healthy. Very good."
00:24:59.122,00:25:02.584,- we'll take a kilo. - A whole kilo. Perfect.
00:25:05.962,00:25:07.380,We'll take five.
00:25:11.468,00:25:13.345,That's Gustavo's department.
00:25:21.144,00:25:26.066,"I was taking a look at it, and the best place to hide the merchandise would be under the rear wheel well."
00:25:26.149,00:25:28.276,It's 22 and one half horsepower.
00:25:28.360,00:25:29.694,Is this easy to take off?
00:25:29.778,00:25:32.489,Don't worry about that shit. I'll stick five kilos in there easy.
00:25:32.572,00:25:34.950,"All right, all right. I'll take three cars, please."
00:25:35.033,00:25:37.994,"- Sure, when do you need them? - Now, brother."
00:25:38.787,00:25:41.665,"All right, we'll take the cars and head back to the lab."
00:25:41.748,00:25:43.917,Why the fuck are we going back to the lab?
00:25:44.000,00:25:49.172,Because there are four wheel wells per car and that's 20 kilos.
00:25:51.549,00:25:54.886,"So if it's nine dollars profit per gram, what?"
00:25:54.970,00:25:56.513,"$9,000 per kilo."
00:25:56.596,00:25:59.140,"$9,000 times 60... The profit is $540,000."
00:26:01.518,00:26:03.353,"- Do you know how to drive, Cockroach? - Yeah."
00:26:09.192,00:26:12.320,using the same smuggling routes he always used.
00:26:15.115,00:26:16.908,Easiest money he ever made.
