word,counts
right,179
know,156
going,142
can,134
will,133
here,127
got,124
want,121
would,121
just,118
go,114
how,112
so,111
let,103
look,93
all,89
good,87
very,85
now,83
think,83
could,78
take,77
much,75
come,72
then,72
more,70
give,69
time,67
gon,67
need,63
kill,63
money,62
tell,62
thank,61
people,58
why,58
where,56
when,55
country,52
make,52
back,52
see,52
man,50
say,49
only,47
fucking,46
guys,45
shit,45
little,45
too,45
there,44
made,42
even,42
love,42
ca,40
day,40
government,38
war,38
put,38
sure,37
way,37
colombian,37
course,36
pablo,36
boss,36
first,35
one,35
jail,34
never,34
thing,34
men,33
cocaine,33
son,33
call,33
doing,32
drug,32
should,32
killed,32
stop,31
as,31
wife,31
really,31
problem,30
fuck,30
told,30
help,30
home,29
away,29
extradition,28
things,27
prison,27
understand,27
ok,26
bad,26
family,26
deal,26
said,26
find,26
life,26
cops,25
lot,25
guy,25
better,25
brother,25
most,25
talk,25
sir,25
fight,24
always,24
took,24
own,24
left,24
business,24
world,24
leave,23
important,22
like,22
name,22
maybe,22
of,22
dead,22
bitch,22
other,22
cat,21
wo,21
care,21
cartel,21
dollars,20
mean,20
information,20
talking,20
friend,19
head,19
wanted,19
also,19
thought,19
wrong,19
already,19
clear,19
enough,19
work,19
keep,19
later,19
knew,19
baby,19
whole,19
house,18
trying,18
sorry,18
else,18
pay,18
new,18
ever,18
same,18
excuse,18
wait,18
well,17
kilos,17
worry,17
hear,17
gave,17
peace,17
death,17
best,17
poor,17
guess,17
trust,17
easy,17
buy,17
again,17
making,17
communist,17
coming,16
must,16
hope,16
move,16
stay,16
long,16
police,16
president,16
last,16
end,16
still,16
beautiful,15
fine,15
meet,15
saying,15
open,15
willing,15
ready,15
careful,15
wants,15
cash,15
use,15
bullshit,14
show,14
party,14
far,14
nice,14
bring,14
true,14
great,14
phone,14
american,14
crazy,14
might,13
done,13
needed,13
relax,13
poison,13
over,13
believe,13
car,13
asshole,13
catch,13
goes,13
resources,13
bit,12
may,12
big,12
perfect,12
speak,12
in,12
involved,12
cousin,12
says,12
politicians,12
offer,12
get,12
next,12
alive,12
run,12
military,12
win,12
negotiate,12
shot,12
watch,12
informant,12
accept,12
ask,12
out,12
soon,12
ass,12
drugs,12
hours,11
sit,11
continue,11
try,11
went,11
motherfucker,11
father,11
real,11
respect,11
entire,11
friends,11
justice,11
campaign,11
happy,11
had,11
free,11
called,11
listen,11
gun,11
remember,11
forget,11
boys,11
looks,11
support,11
around,11
hide,11
mother,11
happened,11
routes,11
plane,11
job,11
children,10
girl,10
means,10
having,10
found,10
safe,10
piece,10
came,10
pretty,10
violence,10
together,10
hands,10
turned,10
face,10
price,10
getting,10
once,10
place,10
turn,10
narco,10
killing,10
orders,10
down,10
partners,10
daughter,10
truth,10
rest,10
idea,10
taking,10
tax,10
lie,10
happen,10
communists,10
partner,9
hard,9
kids,9
week,9
gringos,9
percent,9
exactly,9
become,9
used,9
woman,9
comuna,9
mm,9
matter,9
cost,9
build,9
hostages,9
ahead,9
die,9
brothers,9
worried,9
side,9
many,9
started,9
planes,9
sicarios,9
while,9
shoot,9
minister,9
cut,9
up,9
thinking,9
number,9
calm,9
cop,9
hold,9
sister,9
lost,9
top,9
old,9
yet,9
wear,9
days,9
pictures,8
ones,8
agreement,8
tried,8
brought,8
terrible,8
traffickers,8
inside,8
years,8
agreed,8
few,8
question,8
lead,8
trafficker,8
safety,8
happening,8
agent,8
bastard,8
army,8
cars,8
died,8
fly,8
comes,8
waiting,8
gentlemen,8
sending,8
makes,8
voice,8
helped,8
no,8
alone,8
bought,8
finally,8
press,8
political,8
future,8
about,8
play,8
paid,8
sell,8
met,7
politician,7
smart,7
feeling,7
picture,7
message,7
sentence,7
different,7
expect,7
air,7
capture,7
decision,7
husband,7
guarantee,7
telling,7
actually,7
follow,7
shut,7
honey,7
dog,7
