word,counts
here,65
go,55
little,40
got,40
going,40
fish,39
let,38
now,36
where,34
very,34
like,33
come,33
bit,33
holiday,32
just,31
see,30
look,29
good,27
need,26
there,26
boat,25
garden,25
back,25
too,24
how,23
big,23
peppa,23
know,23
take,21
lovely,21
daddy,21
house,20
again,20
day,20
balloon,19
put,19
family,19
children,18
way,18
time,18
nice,18
friends,17
night,17
dinosaur,17
loves,17
perfume,16
more,16
when,16
treasure,16
home,16
water,16
up,15
muddy,15
car,15
thank,14
think,14
stop,14
doing,13
ca,13
found,13
picnic,13
fruit,13
make,13
world,13
so,13
find,12
ball,12
play,12
then,12
room,11
postcard,11
course,11
sailing,11
e,11
moon,11
puddles,11
likes,11
island,11
circus,11
much,11
ooh,11
pond,10
baby,10
want,10
skiing,10
roof,10
never,10
things,10
amazing,10
worry,9
last,9
flowers,9
made,9
smell,9
jump,9
narrator,9
work,9
lots,9
really,9
first,9
today,9
racing,9
long,9
looking,9
lake,9
sure,9
always,9
trees,9
funny,9
why,9
tummy,8
desert,8
only,8
flying,8
next,8
race,8
mountain,8
lost,8
jumping,8
road,8
aquarium,8
mummy,8
dinosaurs,8
arrived,8
juice,8
eat,8
dear,8
fun,8
down,8
best,8
money,8
pizza,8
roll,8
yet,7
love,7
bus,7
goes,7
ski,7
mirror,7
top,7
playing,7
exciting,7
magic,7
chest,7
hope,7
brother,7
forever,7
shiny,7
miss,7
old,7
idea,7
friend,7
still,7
sunny,7
walk,7
puddle,7
important,7
wait,7
glasses,7
done,7
mirrors,6
boats,6
school,6
maybe,6
bed,6
coming,6
tent,6
lot,6
one,6
special,6
early,6
all,6
talking,6
snails,6
pirate,6
shop,6
fast,6
sky,6
most,6
bush,6
gone,6
woof,6
right,6
drive,6
animals,6
saved,6
looks,6
enough,6
cheese,6
chickens,6
new,6
museum,6
favorite,6
sail,6
full,5
round,5
wo,5
space,5
slope,5
around,5
pretend,5
olden,5
apples,5
days,5
as,5
smoothie,5
better,5
houses,5
ice-cream,5
clever,5
skittles,5
stuff,5
place,5
high,5
wants,5
voice,5
spoon,5
bag,5
teapot,5
heavy,5
charge,5
having,5
asleep,5
tell,5
bucket,5
lucky,5
said,5
bat,5
live,5
well,5
grown,5
wear,5
even,5
interesting,5
sea,5
games,4
tank,4
missed,4
ducks,4
driving,4
moths,4
straight,4
get,4
finished,4
strawberries,4
wrong,4
engine,4
ready,4
faster,4
dressing,4
end,4
small,4
dip,4
case,4
help,4
smells,4
bags,4
waiting,4
hip,4
can,4
call,4
cafe,4
balloons,4
food,4
buried,4
watch,4
watching,4
brought,4
box,4
wearing,4
boss,4
welcome,4
boots,4
hungry,4
ice-creams,4
wobbly,4
speaking,4
blackberry,4
sounds,4
bits,4
wind,4
window,4
wish,4
spot,4
rockets,4
quite,4
picnics,4
digging,4
ringmaster,4
different,4
together,4
of,4
cup,4
out,4
over,4
country,4
limbo,4
stay,4
rescue,4
pedal,4
try,4
clown,4
turn,4
lift,4
working,4
saying,4
stand,4
stall,4
job,4
hard,4
making,4
use,4
used,4
say,4
hear,4
party,4
stuck,3
impossible,3
strongman,3
hat,3
smelly,3
later,3
holidays,3
hole,3
