start,end,script
00:00:13.972,00:00:16.683,"I got a surprise for you. Hurry up, gotta go."
00:00:16.808,00:00:19.561,Ow! You're tugging me too hard!
00:00:22.314,00:00:25.692,"What do you think of this flying vehicle, Morty?"
00:00:25.817,00:00:27.694,I built it out of stuff I found in the garage.
00:00:27.778,00:00:30.239,It's great. Is this the surprise?
00:00:30.364,00:00:32.991,"Morty, I had to... I had to do..."
00:00:33.116,00:00:40.832,"I had to make a bomb, Morty. I had to create a bomb-- We're going to drop it down there, it's going to get a whole fresh start."
00:00:40.958,00:00:44.920,"-That's absolutely crazy! -Just take it easy, it's gonna be good."
00:00:45.003,00:00:47.381,We're gonna go pick up your little friend Jessica.
00:00:47.464,00:00:49.048,Jessica? From my math class?
00:00:49.174,00:00:51.969,"When I drop the bomb, I don't... you know..."
00:00:52.094,00:00:54.680,"I want you to have somebody, to have a thing."
00:00:54.763,00:00:57.558,I'm gonna make it like a new Adam and Eve and you're gonna be Adam.
00:00:57.641,00:00:59.601,-Huh? -And Jessica's gonna be Eve.
00:00:59.726,00:01:01.728,-That's the surprise. -No you can't!
00:01:01.853,00:01:03.647,Jessica doesn't even know I exist!
00:01:03.730,00:01:06.608,"But forget about that, you can't blow up humanity!"
00:01:06.733,00:01:13.949,"I get what you're trying to say. You don't gotta worry about me trying to fool around with Jessica, or mess around with her."
00:01:14.032,00:01:15.450,I'm not that kind of guy.
00:01:15.534,00:01:16.868,What are you talking about?
00:01:16.952,00:01:19.788,Don't worry about me getting with Jessica or anything.
00:01:19.913,00:01:21.915,"She's all for you, Morty."
00:01:24.585,00:01:28.171,"You're right. Let's forget her, she's probably nothing but trouble."
00:01:30.007,00:01:32.676,-That's it! I'm taking the wheel! -Get off of me!
00:01:32.801,00:01:36.597,-I'm taking charge of this situation! -What's gotten into you?
00:01:36.722,00:01:39.933,"-If you love Earth so much, marry it. -I'm not gonna let you..."
00:01:40.058,00:01:42.436,-What are you crazy? -...blow up the whole world!
00:01:42.561,00:01:47.316,"All right, Morty. I'll land the thing, I'll land the thing."
00:01:47.399,00:01:48.734,Big tough guy all of the sudden.
00:01:52.738,00:01:54.948,"Just park it here, side of the reroad here."
00:01:55.073,00:01:56.074,"Oh, thank God!"
00:01:56.199,00:01:59.161,"You know what? That was all a test, Morty."
00:01:59.286,00:02:02.247,Just an elaborate test to make you more assertive.
00:02:02.372,00:02:04.666,"-It was? -Sure. Why not, I don't know."
00:02:09.254,00:02:10.589,Bomb?
00:02:45.540,00:02:48.710,I see there's a new episode of that singing show tonight.
00:02:48.835,00:02:51.797,Who do you guys think is gonna be the best singer?
00:02:51.880,00:02:53.757,"Oh my God, his head is in his food, I'm gonna puke."
00:02:53.882,00:02:55.467,Are you getting sick?
00:02:55.550,00:02:58.887,"I told you not to practice-kiss the living room pillow, the dog sleeps on it."
00:02:58.970,00:03:03.308,"I wasn't kissing a pillow, mom, I didn't get a lot of sleep last night."
00:03:03.392,00:03:05.560,Maybe my dreams were just too loud or something.
00:03:05.686,00:03:08.187,Or maybe you were out all night again with grandpa Rick.
00:03:08.313,00:03:09.147,Dad?
00:03:09.231,00:03:11.316,"Everyone's supposed to sleep every single night, now?"
00:03:11.441,00:03:13.610,You realize that time makes up half of all time?
00:03:17.364,00:03:18.907,"There is no God, Summer."
00:03:18.990,00:03:21.200,"Rip that band-aid off now, you'll thank me later."
00:03:21.284,00:03:24.871,"With all due respect, Rick... What am I talking about? What respect is due?"
00:03:24.996,00:03:30.961,How is my son supposed to pass his classes if you keep dragging him off for highconcept sci-fi rigmarole?
00:03:31.086,00:03:33.839,"Jerry, I don't want to overstep my bounds or anything."
00:03:33.964,00:03:39.970,"It's your house, your world, you're a real Julius Caesar But I'll tell you how I feel about school. It's a waste of time."
00:03:40.095,00:03:42.723,"Bunch of people running around, bumping into each other."
00:03:42.848,00:03:51.732,"Guy up front says two plus two, the people in the back say four, then the bell rings, they give you a carton of milk and a piece of paper that says you can go take a dump."
00:03:51.857,00:03:58.363,"It's not a place for smart people, Jerry. I know that's not a popular opinion, but it's my two cents on the issue."
00:03:58.488,00:04:00.240,"This was a good breakfast, Beth."
00:04:00.323,00:04:02.492,You really made the crap out of those eggs.
00:04:02.617,00:04:04.870,I wish your mother was here to eat them.
