words,counts
know,161
one,128
oh,116
got,104
sherlock,103
well,95
think,94
get,94
right,89
yes,87
like,78
going,71
look,67
need,65
could,64
sorry,62
phone,62
yeah,61
holmes,60
good,59
see,58
would,58
go,57
people,56
man,54
john,54
time,54
case,54
left,51
want,47
two,47
take,44
come,42
back,41
course,40
bit,37
never,36
said,35
watson,34
say,33
london,33
make,32
anything,32
tell,32
thank,32
something,31
night,31
work,30
last,29
way,29
maybe,29
er,29
still,29
always,28
please,28
really,28
us,27
door,27
name,27
god,27
day,26
took,26
home,26
ok,26
mrs,26
street,26
killer,26
looking,25
fine,25
three,25
says,25
keep,24
help,24
hudson,24
police,24
find,24
lestrade,23
nice,23
must,22
old,22
suitcase,22
found,22
mean,21
mr,21
told,21
five,21
minutes,20
pink,20
china,20
away,20
brother,20
wrong,20
car,20
van,20
flat,19
years,19
much,19
shot,19
friend,19
even,19
every,19
taxi,19
coon,19
enough,19
dr,19
um,18
obviously,18
bad,18
kill,18
long,18
let,18
everything,18
dead,18
pill,18
chinese,18
ago,17
clever,17
stay,17
afghanistan,17
exactly,17
hello,17
happened,17
better,17
round,17
use,17
little,17
nothing,17
though,17
knew,16
someone,16
life,16
else,16
text,16
wait,16
met,16
gone,16
mine,16
cab,15
murder,15
saying,15
thing,15
done,15
four,15
chance,15
thought,15
million,15
number,15
doctor,14
murderer,14
days,14
love,14
message,14
inspector,14
book,14
next,14
obvious,14
might,14
came,14
date,14
serial,14
first,14
anderson,14
hand,14
put,13
okay,13
around,13
friends,13
together,13
thanks,13
ever,13
word,13
harry,13
without,13
bored,13
somewhere,13
men,13
woman,12
ah,12
end,12
point,12
another,12
mind,12
detective,12
killed,12
tea,12
saw,12
used,12
suppose,12
head,12
made,12
walk,12
risk,12
bank,12
lot,12
mobile,12
cipher,12
sergeant,12
lukis,12
donovan,12
trying,12
kind,11
inside,11
leg,11
quite,11
call,11
e,11
game,11
mistake,11
already,11
gun,11
morning,11
new,11
try,11
seen,11
far,11
strong,11
either,11
clearly,11
whatever,11
things,11
rachel,11
stupid,11
suicides,11
getting,11
brilliant,11
job,11
body,10
choose,10
rings,10
dear,10
soo,10
gave,10
wife,10
place,10
turn,10
die,10
live,10
coat,10
sure,10
code,10
late,10
black,10
working,10
hours,10
give,10
everyone,10
poison,10
lin,10
numbers,10
gets,9
money,9
baker,9
gardens,9
coming,9
clear,9
lost,9
sent,9
marks,9
married,9
actually,9
means,9
stop,9
proper,9
shut,9
supposed,9
worry,9
probably,9
leave,9
least,9
lauriston,9
military,9
real,9
anyone,9
play,9
bottle,9
outside,9
eat,9
talk,9
army,9
somebody,9
hands,9
interesting,9
ignore,9
different,9
nobody,9
eddie,9
hour,9
sally,9
ask,9
mike,8
cabbie,8
string,8
read,8
news,8
side,8
impossible,8
shock,8
fun,8
drugs,8
limp,8
address,8
open,8
evening,8
wanted,8
upstairs,8
cardiff,8
possibly,8
best,8
house,8
northumberland,8
nine,8
moment,8
problem,8
suicide,8
taken,8
understand,8
move,8
angelo,8
behind,8
since,8
website,8
murdered,8
sitting,8
wind,8
genius,8
hey,8
listen,8
given,8
family,8
town,8
crime,8
lipstick,8
ring,8
