num,start,end,script
12,00:01:47.482,00:01:49.568,"['Boy:', 'Mister?']"
13,00:01:49.610,00:01:51.236,['Mister?']
18,00:02:26.271,00:02:27.689,"['Woman:', 'Ladies', 'and', 'gentlemen,']"
19,00:02:27.731,00:02:29.733,"['welcome', 'to', 'San', 'Jose']"
20,00:02:27.731,00:02:29.733,"['International', 'Airport.']"
29,00:02:56.802,00:03:01.515,"['Look', 'out!', 'Watch', 'out!']"
30,00:03:01.556,00:03:02.766,['Help!']
31,00:03:02.808,00:03:04.518,['-Adam?!']
32,00:03:02.808,00:03:04.518,"['-Oh,', 'my', 'God!']"
33,00:03:04.559,00:03:06.020,['Adam?!']
34,00:03:06.061,00:03:09.230,"['Somebody', 'call', '911!']"
35,00:03:09.272,00:03:11.483,"['Oh,', 'my', 'God!']"
36,00:03:11.525,00:03:15.821,"[""I'm"", 'a', 'doctor,', 'let', 'me', 'take']"
37,00:03:11.525,00:03:15.821,"['a', 'look.', 'Let', 'me', 'take', 'a', 'look.']"
38,00:03:15.863,00:03:17.156,"['His', 'jugular', ""vein's""]"
39,00:03:15.863,00:03:17.156,"['been', 'cut.']"
40,00:03:17.196,00:03:18.197,"['Does', 'anyone', 'have']"
41,00:03:17.196,00:03:18.197,"['a', 'clean', 'cloth?']"
42,00:03:18.239,00:03:19.449,"['Please.', 'Someone!']"
43,00:03:19.491,00:03:20.784,"['I', 'have', 'a', 'fresh', 'change']"
44,00:03:19.491,00:03:20.784,"['of', 'clothes', 'in', 'my', 'bag.']"
45,00:03:20.826,00:03:21.743,"[""That's"", 'great.']"
47,00:03:31.879,00:03:34.255,"[""You're"", 'killing', 'him.']"
48,00:03:34.297,00:03:36.175,"[""I'm"", 'saving', 'his', 'life.']"
49,00:03:34.297,00:03:36.175,"['He', 'was', 'bleeding', 'out.']"
50,00:03:36.216,00:03:38.052,"['N--', 'You', 'have', 'it', 'in']"
51,00:03:36.216,00:03:38.052,"['the', 'wrong', 'place.']"
52,00:03:38.093,00:03:39.845,"['I', 'think', 'I', 'remember']"
53,00:03:38.093,00:03:39.845,"['enough', 'of', 'Anatomy', '101']"
54,00:03:39.887,00:03:41.221,"['to', 'know', 'where']"
55,00:03:39.887,00:03:41.221,"['the', 'jugular', 'vein', 'is.']"
56,00:03:41.262,00:03:43.515,"['You', 'would', 'be', 'in', 'the', 'right', 'place']"
57,00:03:41.262,00:03:43.515,"['if', 'he', 'were', 'an', 'adult.']"
58,00:03:43.557,00:03:45.475,"[""He's"", 'not', 'an', 'adult.']"
59,00:03:43.557,00:03:45.475,"['He', 'is', 'a', 'boy.']"
60,00:03:45.517,00:03:47.853,"['Which', 'means', ""you're"", 'also', 'putting']"
61,00:03:45.517,00:03:47.853,"['pressure', 'on', 'his', 'trachea.']"
62,00:03:47.895,00:03:51.982,"['Which', 'means', ""he's"", 'not']"
63,00:03:47.895,00:03:51.982,"['currently', 'breathing.']"
64,00:03:52.024,00:03:54.902,"['You', 'have', 'to', 'put']"
65,00:03:52.024,00:03:54.902,"['the', 'pressure', 'higher', 'up.']"
67,00:03:58.655,00:04:00.115,['There.']
69,00:04:00.157,00:04:02.159,['-Oh.']
70,00:04:00.157,00:04:02.159,['-Oh!']
72,00:04:10.918,00:04:13.879,"['Some', 'glass.']"
73,00:04:10.918,00:04:13.879,"[""He'll"", 'be', 'fine.']"
74,00:04:13.921,00:04:15.547,"['Who', 'are', 'you?']"
75,00:04:15.589,00:04:18.050,['Hello.']
76,00:04:15.589,00:04:18.050,"[""I'm"", 'Dr.', 'Shaun', 'Murphy.']"
77,00:04:18.092,00:04:19.259,"[""I'm"", 'a', 'surgical', 'resident']"
78,00:04:19.300,00:04:21.428,"['at', 'San', 'Jose']"
79,00:04:19.300,00:04:21.428,"['St.', 'Bonaventure', 'Hospital.']"
80,00:04:21.469,00:04:24.472,"['--', 'Captions', 'by', 'VITAC', '--']"
82,00:04:31.521,00:04:34.816,"['Autism', '--', 'a', 'mental', 'condition']"
83,00:04:31.521,00:04:34.816,"['characterized', 'by', 'difficulty']"
84,00:04:34.858,00:04:38.987,"['in', 'communicating', 'and', 'using']"
85,00:04:34.858,00:04:38.987,"['language', 'and', 'abstract', 'concepts.']"
86,00:04:39.029,00:04:40.614,"[""That's"", 'the', 'definition.']"
87,00:04:40.655,00:04:42.950,"['Does', 'it', 'sound', 'like']"
88,00:04:40.655,00:04:42.950,"[""I'm"", 'describing', 'a', 'surgeon?']"
89,00:04:42.991,00:04:45.077,"[""He's"", 'not', 'Rain', 'Man.']"
90,00:04:45.119,00:04:47.704,"[""He's"", 'high', 'functioning,', ""he's""]"
91,00:04:45.119,00:04:47.704,"['capable', 'of', 'living', 'on', 'his', 'own,']"
92,00:04:47.746,00:04:50.207,"['capable', 'of', 'managing']"
93,00:04:47.746,00:04:50.207,"['his', 'own', 'affairs.']"
94,00:04:50.249,00:04:52.167,"['""High', 'functioning""?']"
95,00:04:52.209,00:04:54.419,"['Is', 'that', 'our']"
96,00:04:52.209,00:04:54.419,"['new', 'hiring', 'standard?']"
97,00:04:54.461,00:04:55.670,"['If', 'it', 'were,']"
98,00:04:54.461,00:04:55.670,"['you', ""wouldn't"", 'be', 'here.']"
99,00:04:55.712,00:04:58.882,"[""I'm"", 'sorry.', 'Is', 'this']"
100,00:04:55.712,00:04:58.882,"['really', 'necessary?', 'Really?']"
101,00:04:58.924,00:05:01.176,"['A', 'special', 'meeting']"
102,00:04:58.924,00:05:01.176,"['of', 'the', 'Board', 'of', 'Directors', '--']"
103,00:05:01.218,00:05:03.344,"['as', 'much', 'as', 'I', 'love', 'you', 'all', '--']"
104,00:05:03.386,00:05:05.889,"['questioning', 'one', 'of']"
105,00:05:03.386,00:05:05.889,"['my', 'hiring', 'decisions?']"
106,00:05:05.931,00:05:08.058,"['Did', 'you', 'bother', 'to', 'look', 'up']"
107,00:05:05.931,00:05:08.058,"['the', 'definition', 'of', '""President""']"
108,00:05:08.100,00:05:09.559,"['while', 'you', 'were', 'skimming']"
109,00:05:08.100,00:05:09.559,"['the', 'dictionary?']"
110,00:05:09.601,00:05:12.520,"[""You're"", 'hiring', 'him', 'to', 'be']"
111,00:05:09.601,00:05:12.520,"['a', 'surgical', 'resident', '--']"
112,00:05:12.562,00:05:15.107,"['my', 'department', '--']"
113,00:05:12.562,00:05:15.107,"['over', 'my', 'objections.']"
114,00:05:15.149,00:05:17.484,"['Marcus,', 'stop', 'making']"
115,00:05:15.149,00:05:17.484,"['everything', 'so', 'personal.']"
116,00:05:17.525,00:05:18.735,"['I', 'made', 'it', 'personal?']"
117,00:05:18.777,00:05:20.279,"[""You've"", 'wanted', 'his', 'job']"
118,00:05:18.777,00:05:20.279,"['since', 'day', 'one.']"
119,00:05:20.320,00:05:21.571,"['Everyone', 'in', 'this', 'room']"
120,00:05:20.320,00:05:21.571,"['knows', 'that.']"
121,00:05:21.613,00:05:23.991,"['And,', 'Aaron,', 'yes,']"
122,00:05:21.613,00:05:23.991,"['this', 'is', 'your', 'hospital.']"
123,00:05:24.032,00:05:25.075,"['But', 'the', 'money', 'it', 'takes', 'to', 'run', 'it']"
124,00:05:25.117,00:05:26.743,"['comes', 'from']"
125,00:05:25.117,00:05:26.743,"['the', 'Foundation', 'I', 'control.']"
126,00:05:26.785,00:05:29.496,"['So', ""let's"", 'all']"
127,00:05:26.785,00:05:29.496,"['play', 'nice,', 'shall', 'we?']"
128,00:05:29.537,00:05:31.623,"['Stop', 'acting', 'like', ""you're"", 'stunned']"
129,00:05:29.537,00:05:31.623,"['that', ""you're"", 'standing', 'there.']"
130,00:05:31.665,00:05:32.958,"['You', 'tried', 'to', 'slip', 'one', 'past', 'us.']"
131,00:05:33.000,00:05:36.253,"['I', 'vetted', 'him', 'like', 'I', 'would']"
132,00:05:33.000,00:05:36.253,"['any', 'other', 'candidate.']"
133,00:05:36.295,00:05:38.046,"['And', 'you', 'genuinely', 'thought']"
134,00:05:36.295,00:05:38.046,"['that', 'this', 'Board']"
135,00:05:38.088,00:05:39.965,"[""wouldn't"", 'reasonably']"
136,00:05:38.088,00:05:39.965,"['have', 'any', 'doubts', 'about']"
137,00:05:40.007,00:05:44.261,"['hiring', 'a', 'surgeon', ""who's"", 'been']"
138,00:05:40.007,00:05:44.261,"['diagnosed', 'with', 'autism?']"
139,00:05:44.303,00:05:46.263,"['So', 'justify', 'your', 'decision.']"
141,00:05:48.807,00:05:51.935,"['I', 'met', 'Shaun', 'Murphy']"
142,00:05:48.807,00:05:51.935,"['when', 'he', 'was', '14', 'years', 'old.']"
143,00:05:51.977,00:05:54.437,"['I', 'was', 'living', 'in', 'Wyoming']"
144,00:05:51.977,00:05:54.437,"['at', 'the', 'time.']"
145,00:05:54.479,00:05:58.357,"['He', 'was,', 'and', 'he', 'still', 'is,']"
146,00:05:54.479,00:05:58.357,"['an', 'extraordinary', 'young', 'man.']"
147,00:05:58.399,00:06:02.529,"['Yes,', 'he', 'has', 'autism,', 'but', 'he', 'also']"
148,00:05:58.399,00:06:02.529,"['has', 'savant', 'syndrome', '--']"
149,00:06:02.570,00:06:05.073,"['genius-level', 'skills']"
150,00:06:02.570,00:06:05.073,"['in', 'several', 'areas.']"
151,00:06:05.115,00:06:08.827,"['He', 'has', 'almost', 'perfect', 'recall.']"
152,00:06:05.115,00:06:08.827,"['He', 'has', 'spatial', 'intelligence.']"
153,00:06:08.869,00:06:12.747,"['And', 'he', 'sees', 'things']"
154,00:06:08.869,00:06:12.747,"['and', 'analyzes', 'things', 'in', 'ways']"
155,00:06:12.789,00:06:14.749,"['that', '--', 'that', 'are']"
156,00:06:12.789,00:06:14.749,"['just', 'remarkable.']"
157,00:06:14.791,00:06:17.794,"['In', 'ways', 'that', 'we', ""can't""]"
158,00:06:14.791,00:06:17.794,"['even', 'begin', 'to', 'understand.']"
159,00:06:17.836,00:06:20.379,"['Those', 'are', 'assets.']"
160,00:06:17.836,00:06:20.379,"['Undeniable', 'assets']"
161,00:06:20.421,00:06:23.424,"['for', 'any', 'doctor,']"
162,00:06:20.421,00:06:23.424,"['particularly', 'a', 'surgeon.']"
163,00:06:26.053,00:06:28.972,"[""You've"", 'known', 'him']"
164,00:06:26.053,00:06:28.972,"['since', 'he', 'was', '14?']"
165,00:06:29.014,00:06:31.183,"['You', 'care', 'about', 'him.']"
166,00:06:29.014,00:06:31.183,"[""He's"", 'like', 'a', 'son', 'to', 'you.']"
167,00:06:31.225,00:06:34.353,"['Dr.', 'Andrews,', 'your', 'wife', 'is', 'gonna']"
168,00:06:31.225,00:06:34.353,"['be', 'very', 'upset', 'with', 'you.']"
169,00:06:34.393,00:06:36.146,"['If', ""you're"", 'trying', 'to', 'turn', 'this']"
170,00:06:34.393,00:06:36.146,"['into', 'a', 'nepotism', 'case,']"
171,00:06:36.188,00:06:38.857,"[""we're"", 'gonna', 'have', 'to', 'fire', 'her']"
172,00:06:36.188,00:06:38.857,"['idiot', 'nephew', 'from', 'bookkeeping.']"
176,00:06:45.906,00:06:47.074,['Hey!']
177,00:06:47.115,00:06:48.367,"['Sorry.', 'You', 'seen', 'Claire?']"
178,00:06:48.407,00:06:49.534,"['Would', 'you', 'turn', 'off']"
179,00:06:48.407,00:06:49.534,"['the', 'light?']"
180,00:06:49.576,00:06:50.702,"['Sure.', 'You', 'seen', 'Claire?']"
181,00:06:50.744,00:06:52.954,"['Why?', 'Would', 'you']"
182,00:06:50.744,00:06:52.954,"['turn', 'off', 'the', 'light?']"
183,00:06:52.996,00:06:54.706,"['Melendez', 'wants']"
184,00:06:52.996,00:06:54.706,"['to', 'operate', 'on', '104,']"
185,00:06:54.748,00:06:56.708,"['but', 'Claire', ""hasn't"", 'gotten']"
186,00:06:54.748,00:06:56.708,"['informed', 'consent.']"
187,00:06:56.750,00:06:59.253,"['And', ""she's"", 'ignoring', 'her', 'page.']"
188,00:06:56.750,00:06:59.253,"['You', 'seen', 'her?']"
189,00:06:59.294,00:07:01.338,"['No.', 'Now', 'go', 'away']"
190,00:06:59.294,00:07:01.338,"['and', 'turn', 'off', 'the', 'light.']"
191,00:07:01.380,00:07:04.132,['Sure.']
194,00:07:10.638,00:07:12.349,"['They', 'need', 'you', 'to,', 'um...']"
196,00:07:16.644,00:07:18.355,"['Oh,', ""she's"", 'such', 'a', 'bitch.']"
198,00:07:19.647,00:07:21.524,['No.']
199,00:07:21.566,00:07:23.402,"['She', 'just', ""doesn't"", 'like', 'you.']"
200,00:07:23.443,00:07:27.072,['Hmm.']
201,00:07:27.114,00:07:28.740,"[""It's"", 'kind', 'of', 'silly,']"
202,00:07:27.114,00:07:28.740,"[""isn't"", 'it?']"
203,00:07:28.782,00:07:31.868,"['Um,', 'maybe.']"
204,00:07:31.910,00:07:33.203,"['To', 'say', 'for', 'sure,']"
205,00:07:31.910,00:07:33.203,"[""I'd"", 'need', 'to', 'know']"
206,00:07:33.245,00:07:34.913,"['what', 'it', 'is']"
207,00:07:33.245,00:07:34.913,"[""you're"", 'talking', 'about.']"
208,00:07:34.955,00:07:36.373,['Us.']
209,00:07:36.415,00:07:39.667,"['Ah.', 'Hmm.']"
210,00:07:36.415,00:07:39.667,"['Not', 'silly', 'at', 'all.']"
211,00:07:39.709,00:07:41.336,"['Quite', 'a', 'bit', 'of', 'fun,']"
212,00:07:39.709,00:07:41.336,['actually.']
213,00:07:41.378,00:07:44.714,"['I', 'meant', 'that', ""we're"", 'hiding', 'it.']"
214,00:07:41.378,00:07:44.714,"['Our', 'relationship.']"
215,00:07:44.756,00:07:48.302,"['Hmm.', 'Well...']"
216,00:07:48.343,00:07:52.055,"['Jared,', 'we', ""don't""]"
217,00:07:48.343,00:07:52.055,"['have', 'a', 'relationship.']"
218,00:07:52.097,00:07:54.766,"['We', 'have', 'sex.']"
219,00:07:54.808,00:07:57.852,"['But,', 'if', 'you', 'want']"
220,00:07:54.808,00:07:57.852,"['to', 'tell', 'people']"
221,00:07:57.894,00:08:03.650,"['that', ""you're"", 'screwing', 'me,']"
222,00:07:57.894,00:08:03.650,"['go', 'for', 'it.']"
228,00:08:27.841,00:08:29.968,"['The', 'veins', 'in', 'the', ""boy's""]"
229,00:08:27.841,00:08:29.968,"['left', 'arm', 'are', 'popping.']"
230,00:08:30.010,00:08:31.136,"['Is', 'that', 'bad?']"
231,00:08:31.178,00:08:32.346,"['I-I', ""don't"", 'see.']"
232,00:08:32.387,00:08:33.930,"['Intrathoracic', 'pressure.']"
233,00:08:33.972,00:08:35.765,"['No,', 'his', 'chest', 'is', 'rising.']"
234,00:08:33.972,00:08:35.765,"[""He's"", 'breathing.']"
235,00:08:35.807,00:08:39.144,"['No,', 'the', '--', 'the', 'chest']"
236,00:08:35.807,00:08:39.144,"['is', 'moving', 'paradoxically.']"
237,00:08:39.186,00:08:40.979,"['The', 'left', 'lung']"
238,00:08:39.186,00:08:40.979,"['is', 'in', 'distress.']"
239,00:08:48.445,00:08:51.906,['Yes.']
240,00:08:51.948,00:08:58.205,"['Who', 'here', 'has', 'a', 'sharp', 'knife,']"
241,00:08:51.948,00:08:58.205,"['blade', 'five', 'inches', 'or', 'longer?']"
242,00:08:58.246,00:08:59.539,['Nobody?']
243,00:08:59.580,00:09:01.291,"['You', 'should', 'start']"
244,00:08:59.580,00:09:01.291,"['artificial', 'respiration.']"
245,00:09:01.333,00:09:04.085,"[""He's"", 'going', 'to', 'stop']"
246,00:09:01.333,00:09:04.085,"['breathing', 'very', 'soon.']"
248,00:09:08.382,00:09:10.550,"['-I', 'feel', 'fine.']"
249,00:09:08.382,00:09:10.550,"['-Dr.', 'Melendez', 'would', 'like']"
250,00:09:10.591,00:09:12.802,"['to', 'do', 'the', 'surgery', 'today.']"
251,00:09:12.844,00:09:15.972,"['You', 'need', 'bypass', 'surgery']"
252,00:09:12.844,00:09:15.972,"['quite', 'urgently.']"
253,00:09:16.014,00:09:18.850,"['Would', 'you', 'please']"
254,00:09:16.014,00:09:18.850,"['sign', 'the', 'consent?']"
255,00:09:18.892,00:09:20.227,['No.']
256,00:09:20.268,00:09:21.478,"[""You're"", 'scared.']"
257,00:09:21.520,00:09:22.854,"[""I-I'm"", 'not', 'scared.']"
258,00:09:22.896,00:09:23.813,"['Well,', 'you', 'should', 'be.']"
259,00:09:23.855,00:09:25.273,"[""We're"", 'gonna']"
260,00:09:23.855,00:09:25.273,"['cut', 'your', 'chest', 'open,']"
261,00:09:25.315,00:09:28.235,"[""we're"", 'gonna', 'stop', 'your', 'heart,']"
262,00:09:25.315,00:09:28.235,"['repair', 'it', 'and', 'restart', 'it.']"
263,00:09:28.276,00:09:30.737,"['Are', 'you', 'seriously', 'telling', 'me']"
264,00:09:28.276,00:09:30.737,"['that', 'that', ""doesn't"", 'scare', 'you?']"
265,00:09:30.778,00:09:32.822,"['I', 'just', 'want']"
266,00:09:30.778,00:09:32.822,"['a', 'second', 'opinion.']"
267,00:09:32.864,00:09:36.784,"['Callum,', 'yesterday,']"
268,00:09:32.864,00:09:36.784,"['your', 'life', 'was', 'perfect.']"
269,00:09:36.826,00:09:39.787,"['You', 'were', 'playing', 'tennis,']"
270,00:09:36.826,00:09:39.787,"['you', 'had', 'a', 'big', 'anniversary.']"
271,00:09:39.829,00:09:42.040,"['Today,', ""you're"", 'lying']"
272,00:09:39.829,00:09:42.040,"['in', 'a', 'hospital', 'bed']"
273,00:09:42.082,00:09:44.334,"['trying', 'to', 'figure', 'out']"
274,00:09:42.082,00:09:44.334,"['the', 'best', 'way', 'to', 'say', 'goodbye,']"
275,00:09:44.376,00:09:47.628,"['maybe', 'forever,']"
276,00:09:44.376,00:09:47.628,"['to', 'your', 'teenage', 'children.']"
277,00:09:47.670,00:09:49.089,"['Why', 'are', 'you', 'doing', 'this?']"
278,00:09:49.130,00:09:52.342,"['Because', 'I', ""can't""]"
279,00:09:49.130,00:09:52.342,"['deal', 'with', 'lies.']"
280,00:09:52.384,00:09:55.554,"['If', 'you', 'lie', 'to', 'me,']"
281,00:09:52.384,00:09:55.554,"['my', 'answers', ""won't"", 'help', 'you.']"
282,00:09:55.595,00:10:00.392,"['But,', 'if', ""you're"", 'scared,']"
283,00:09:55.595,00:10:00.392,"['I', 'can', 'help', 'you.']"
285,00:10:03.270,00:10:04.687,"[""I'm"", 'scared.']"
286,00:10:04.729,00:10:06.647,['Okay.']
289,00:10:10.110,00:10:12.279,"['-You', ""can't"", 'be', 'back', 'here.']"
290,00:10:10.110,00:10:12.279,"['-Oh,', 'I', 'need', 'a', 'knife.']"
291,00:10:12.320,00:10:13.488,"['Where', 'do', 'you']"
292,00:10:12.320,00:10:13.488,"['keep', 'the', 'knives']"
293,00:10:13.530,00:10:15.115,"['people', 'forget']"
294,00:10:13.530,00:10:15.115,"[""they're"", 'traveling', 'with?']"
295,00:10:15.156,00:10:17.617,"['A', 'knife?']"
296,00:10:15.156,00:10:17.617,"['Sure.', 'Anything', 'else?']"
297,00:10:17.658,00:10:21.329,"['I', 'do', 'also', 'need']"
298,00:10:17.658,00:10:21.329,"['a', 'narrow', 'six-foot', 'tube']"
299,00:10:21.371,00:10:22.830,"['and', 'high-proof', 'alcohol']"
300,00:10:21.371,00:10:22.830,"['and', 'gloves']"
301,00:10:22.872,00:10:24.958,"['and', 'baggage-handling', 'tape,']"
302,00:10:22.872,00:10:24.958,"['but', 'I', 'am', 'going', 'to', 'get']"
303,00:10:24.999,00:10:26.376,"['the', 'alcohol', 'from']"
304,00:10:24.999,00:10:26.376,"['the', 'duty-free', 'store']"
305,00:10:26.418,00:10:28.253,"['and', 'the', 'tube', 'from']"
306,00:10:26.418,00:10:28.253,"['the', 'back', 'of', 'a', 'soda', 'machine.']"
307,00:10:28.295,00:10:29.963,"['Well,', 'I', 'wish', 'you']"
308,00:10:28.295,00:10:29.963,"['all', 'the', 'luck', 'with', 'that.']"
309,00:10:30.004,00:10:31.214,"['But', ""I'm"", 'not', 'gonna']"
310,00:10:30.004,00:10:31.214,"['give', 'you', 'a', 'knife.']"
311,00:10:31.256,00:10:33.633,"['No,', 'I', 'need', 'a', 'knife.']"
312,00:10:31.256,00:10:33.633,"[""It-It's"", '--', ""It's"", 'very', '--']"
313,00:10:33.674,00:10:37.053,"['There', 'is', 'a', 'medical', 'emergency.']"
314,00:10:33.674,00:10:37.053,"[""There's"", 'a', 'medical', 'emergency.']"
315,00:10:37.095,00:10:40.223,"['That', 'one.', 'That', 'one,', 'right', 'near']"
316,00:10:37.095,00:10:40.223,"['the', 'top,', 'looks', 'very', 'sharp.']"
317,00:10:40.265,00:10:41.391,"['Would', 'you', 'get', 'it', 'for', 'me?']"
318,00:10:41.433,00:10:42.934,"['No,', ""I'm"", 'not', 'gonna']"
319,00:10:41.433,00:10:42.934,"['give', 'you', 'a', 'knife.']"
320,00:10:42.976,00:10:46.229,"[""I'll"", 'ask', '--']"
321,00:10:42.976,00:10:46.229,"[""There's"", 'not', 'the', 'time.']"
322,00:10:46.271,00:10:48.773,"['Weapon!', 'Weapon!']"
323,00:10:50.233,00:10:52.402,['Move!']
324,00:10:50.233,00:10:52.402,"['Get', 'out', 'of', 'the', 'way!']"
326,00:10:55.029,00:10:57.240,"['Drop', 'it.']"
327,00:10:57.282,00:10:59.700,"['You', 'idiot!', ""You're"", 'lucky']"
328,00:10:57.282,00:10:59.700,"['we', ""didn't"", 'just', 'shoot.']"
329,00:10:59.742,00:11:03.121,"['No!', ""He's"", 'trying']"
330,00:10:59.742,00:11:03.121,"['to', 'save', 'my', ""son's"", 'life.']"
332,00:11:10.795,00:11:12.671,"['You', 'get', 'that', 'consent']"
333,00:11:10.795,00:11:12.671,"['on', '104?']"
334,00:11:12.713,00:11:14.341,"['Well,', 'I', 'made', 'him', 'a', 'deal.']"
335,00:11:14.382,00:11:17.552,"[""He's"", 'got', 'a', 'meeting', 'with']"
336,00:11:14.382,00:11:17.552,"['Dr.', 'Max', 'from', 'psychiatry', 'at', '6:00,']"
337,00:11:17.594,00:11:18.886,"[""we'll"", 'get', 'the', 'consent']"
338,00:11:17.594,00:11:18.886,"['by', '8:00,']"
339,00:11:18.928,00:11:20.972,"['we', 'can', 'operate', 'first', 'thing']"
340,00:11:18.928,00:11:20.972,"['in', 'the', 'morning.']"
341,00:11:21.014,00:11:22.557,"['You', 'did', 'pass', 'anatomy,']"
342,00:11:21.014,00:11:22.557,"['right,', 'Dr.', 'Browne?']"
343,00:11:22.599,00:11:24.142,"['His', ""problem's"", 'in', 'his', 'heart,']"
344,00:11:22.599,00:11:24.142,"['not', 'his', 'head.']"
345,00:11:24.184,00:11:26.019,"[""He's"", 'not', 'psychologically']"
346,00:11:24.184,00:11:26.019,"['ready', 'for', 'surgery.']"
347,00:11:26.060,00:11:27.187,"['He', 'will', 'be.', 'Soon.']"
348,00:11:27.228,00:11:28.563,"['Well,', 'he', 'is']"
349,00:11:27.228,00:11:28.563,"['physically', 'ready.']"
350,00:11:28.605,00:11:30.565,"['So,', 'get', 'the', 'consent.']"
351,00:11:28.605,00:11:30.565,"[""We're"", 'prepping', 'O.R.', '6', 'now.']"
352,00:11:30.607,00:11:32.942,"['Do', 'I', 'need', 'to', 'cite', 'you']"
353,00:11:30.607,00:11:32.942,"['the', '17', 'studies', 'that', 'show']"
