word,counts
know,223
can,195
just,185
need,146
gon,133
so,130
how,127
want,121
right,118
got,116
good,113
think,112
could,111
go,105
here,103
now,99
why,99
would,97
ca,89
time,85
when,85
should,84
will,83
surgery,76
let,75
make,75
then,73
too,69
very,69
thank,65
going,63
take,63
patient,62
there,59
doing,59
heart,59
people,57
like,55
work,55
tell,54
way,53
see,52
life,49
better,48
come,48
give,48
home,47
more,47
where,45
first,44
long,44
back,44
okay,43
really,43
say,43
said,42
wrong,42
mean,42
find,42
all,42
again,41
even,41
look,40
maybe,40
sure,39
sorry,39
little,39
only,38
never,38
call,37
thing,37
needs,37
left,37
stop,36
still,36
fine,35
might,35
hospital,35
help,34
told,34
parents,34
idea,34
talk,34
much,34
wo,33
feel,32
love,31
liver,31
great,30
made,30
in,30
bad,30
as,30
get,30
old,29
other,28
nice,28
son,28
done,28
die,28
morning,28
thought,27
care,27
means,27
hell,27
looking,26
lot,25
guy,25
blood,25
day,25
keep,25
tumor,24
surgeon,24
today,24
leg,24
ever,24
hours,23
wanted,23
doctor,23
one,23
of,23
minutes,23
job,23
well,23
put,23
believe,23
same,22
trying,22
actually,22
problem,22
cancer,22
best,21
getting,21
new,21
months,21
else,21
used,21
last,21
things,21
room,21
wants,21
woman,20
ago,20
years,20
already,20
save,20
fault,19
waiting,19
next,19
open,19
pain,19
happy,19
enough,19
normal,19
chance,19
thinking,19
check,19
move,19
wait,19
pressure,18
second,18
cut,18
try,18
name,18
also,18
coming,18
man,18
course,18
medical,18
found,18
pretty,17
exactly,17
dying,17
night,17
healthy,17
happened,17
talking,17
remove,17
place,17
close,16
always,16
lie,16
own,16
artery,16
hear,16
show,16
makes,16
ready,16
leave,16
live,16
mother,16
boy,16
surgical,16
lying,16
kind,16
chest,15
died,15
may,15
looks,15
team,15
dad,15
must,15
run,15
saved,15
supposed,15
rate,15
gave,15
lost,15
bone,15
mistake,15
bus,15
sometimes,15
body,15
drink,15
heard,15
use,15
went,15
figure,14
able,14
real,14
brain,14
hold,14
kid,14
dead,14
hard,14
fetus,14
high,14
school,14
head,14
personal,14
part,14
says,14
most,13
had,13
probably,13
handle,13
truth,13
echo,13
happen,13
least,13
lab,13
patients,13
respect,13
met,13
steps,13
hope,13
start,13
called,13
father,13
seen,13
valve,13
clear,13
children,13
perfect,13
money,13
took,13
away,13
down,13
doctors,12
tests,12
yet,12
knife,12
gets,12
scared,12
important,12
consent,12
person,12
welcome,12
hands,12
late,12
alcohol,12
having,12
sick,12
family,12
bypass,12
side,12
front,12
girl,12
saw,12
goes,11
safe,11
possible,11
before,11
about,11
alone,11
turn,11
working,11
rest,11
bit,11
resident,11
nerve,11
lucky,11
point,11
specimen,11
hire,11
understand,11
ask,11
piece,11
condition,11
asked,11
attack,11
failure,11
wedding,11
wife,11
knows,10
list,10
cause,10
send,10
completely,10
read,10
fix,10
death,10
support,10
many,10
making,10
up,10
later,10
bleeding,10
upset,10
soon,10
abscess,10
tonight,10
answer,10
excuse,10
young,10
sound,10
hurt,10
brother,10
worse,10
thanks,10
prep,10
meet,10
few,10
glass,10
number,10
definitely,10
different,10
baby,10
transplant,10
telling,10
dies,10
big,10
stay,10
food,10
breathing,9
learn,9
relationship,9
door,9
arm,9
change,9
hiring,9
low,9
pick,9
ass,9
treat,9
child,9
married,9
advice,9
weeks,9
operating,9
lose,9
stress,9
lower,9
helping,9
over,9
store,9
middle,9
came,9
entire,9
consult,9
feeling,9
neighbor,9
saline,9
agree,9
proud,9
guys,9
biopsy,9
sleep,9
procedure,9
damn,9
results,9
case,9
brilliant,9
watch,9
news,9
excellent,8
risks,8
guess,8
rules,8
eyes,8
registry,8
saving,8
hopefully,8
forget,8
together,8
reason,8
cyst,8
abdominal,8
needed,8
hair,8
deal,8
decision,8
sent,8
takes,8
jared,8
full,8
taking,8
human,8
around,8
serious,8
test,8
worked,8
president,8
severe,8
tried,8
femur,8
swelling,8
beautiful,8
shut,8
perfectly,8
bowel,8
couple,8
captions,8
boss,8
autism,8
sounds,8
whole,8
walk,8
malignant,8
scut,8
incision,8
apple,8
times,8
kids,8
hour,7
shot,7
sink,7
significant,7
tough,7
eye,7
field,7
air,7
listen,7
at,7
tomorrow,7
skins,7
feels,7
wallet,7
fact,7
lungs,7
sats,7
small,7
smart,7
almost,7
saying,7
wake,7
flirting,7
mass,7
friend,7
wish,7
pacer,7
crazy,7
questions,7
question,7
morphine,7
board,7
moving,7
wide,7
pulse,7
cysts,7
light,7
damage,7
neck,7
ground,7
days,7
instead,7
dealing,7
given,7
yesterday,7
talked,7
end,7
department,7
diagnosis,7
temperature,7
difficult,7
accept,7
bag,7
year,7
knock,7
social,7
building,7
risk,7
leaving,7
oxygen,7
meds,7
anymore,7
control,7
tissue,7
red,7
minute,7
cool,7
ideas,7
less,7
water,7
mind,7
clean,6
world,6
nurses,6
porn,6
accident,6
higher,6
female,6
none,6
outcome,6
play,6
rising,6
loved,6
meeting,6
often,6
house,6
echocardiogram,6
organ,6
picked,6
order,6
eat,6
once,6
easy,6
medicine,6
op,6
feet,6
sign,6
matter,6
remember,6
crap,6
mitral,6
pacemaker,6
quite,6
afraid,6
fast,6
release,6
cup,6
color,6
pump,6
relevant,6
pull,6
helpful,6
outside,6
prove,6
seems,6
repair,6
expect,6
responsibility,6
drain,6
sense,6
word,6
infection,6
decided,6
decisions,6
weird,6
meant,6
clothes,6
started,6
strong,6
flush,6
finished,6
cell,6
story,6
system,6
capable,6
bleed,6
guessing,6
car,6
tube,6
longer,6
caused,6
fixed,6
giving,6
surgeons,6
kill,6
athlete,6
insane,6
stupid,6
trauma,6
funny,6
suction,6
game,6
apparently,6
solution,6
checked,6
green,6
bring,6
ultrasound,6
aware,6
stopped,6
forward,6
sit,6
hand,6
treating,6
become,6
treatment,6
sir,6
site,6
anyway,6
follow,6
antibiotics,6
buy,6
stable,6
lights,6
batteries,6
mom,5
forgot,5
known,5
third,5
reaction,5
though,5
apologize,5
mistakes,5
honest,5
report,5
missed,5
ridiculous,5
milligrams,5
idiot,5
happier,5
legal,5
bro,5
relieve,5
knowing,5
refrigerator,5
reduce,5
respiratory,5
friends,5
pancreas,5
miss,5
bullet,5
stick,5
step,5
rid,5
inside,5
interested,5
rabbit,5
quickly,5
ache,5
primary,5
hiding,5
phone,5
glassman,5
behind,5
emergency,5
notice,5
deserve,5
therapist,5
noticed,5
worried,5
power,5
device,5
worth,5
post,5
position,5
immediately,5
arteries,5
terrible,5
playing,5
gone,5
obviously,5
pro,5
trouble,5
act,5
pulmonary,5
while,5
credit,5
type,5
knew,5
hole,5
moved,5
ahead,5
multiple,5
killing,5
curious,5
muscle,5
true,5
willing,5
narrow,5
kidneys,5
kidney,5
hit,5
syndrome,5
trust,5
table,5
im,5
girlfriend,5
tv,5
access,5
fall,5
changed,5
finish,5
skin,5
cardiac,5
listening,5
false,5
scarring,5
fake,5
scans,5
class,5
fet-al,5
double,5
option,5
sitting,5
wall,5
view,5
literally,5
screwdriver,5
comfortable,5
lives,5
voice,5
hoping,5
clot,5
dropped,5
seem,5
ambulance,5
out,5
certain,5
secondary,5
allergic,5
sleeping,5
male,5
alive,5
set,5
vein,5
total,5
injuries,5
touch,5
likely,5
face,5
page,5
stage,5
osteosarcoma,5
amputate,5
fail,5
focus,5
amylase,5
limitations,5
cafeteria,5
simple,4
options,4
issue,4
acting,4
biggie,4
barely,4
black,4
fire,4
seriously,4
clip,4
promised,4
difficulty,4
single,4
enjoy,4
chart,4
decide,4
properly,4
diagnosed,4
plastic,4
outflow,4
sending,4
finally,4
tummy,4
plan,4
nearly,4
damaged,4
necessary,4
septal,4
vip,4
symptoms,4
cavity,4
kept,4
protect,4
terminate,4
argue,4
needle,4
wound,4
difference,4
actions,4
temporary,4
skull,4
possibility,4
petting,4
dentures,4
being,4
physical,4
others,4
situation,4
eating,4
positive,4
tears,4
clearly,4
shift,4
desperate,4
loves,4
champagne,4
pre,4
joke,4
that,4
television,4
judgment,4
drive,4
no,4
appreciate,4
jobs,4
teleportation,4
deep,4
bed,4
based,4
therapy,4
worry,4
deficit,4
shower,4
jugular,4
policy,4
poor,4
previously,4
teach,4
degrees,4
luck,4
gland,4
hematoma,4
blown,4
ways,4
hero,4
complete,4
