start,end,script
00:00:53.520,00:00:56.520,"Yes, I'm here. The transference spell worked perfectly."
00:00:58.280,00:01:00.760,"Don't worry, I'm fine. Love you, too!"
00:01:00.840,00:01:01.920,What?
00:01:04.160,00:01:06.160,My phone! Why'd you do that?
00:01:06.240,00:01:09.320,Such devices are not permitted here.
00:01:09.400,00:01:11.800,But I promised Mum I'd call her all the time.
00:01:11.880,00:01:14.200,You are here on a trial basis.
00:01:14.280,00:01:18.840,"Frankly, I will be amazed if you last until the end of the week."
00:01:26.960,00:01:27.800,Maud!
00:01:29.560,00:01:30.400,Agh!
00:01:32.000,00:01:34.200,Sorry! Sorry!
00:01:34.280,00:01:37.040,Sorry for charging into me like a clumsy hippo?
00:01:37.600,00:01:40.800,Or sorry for sabotaging my entrance exam?
00:01:41.440,00:01:44.960,"It was an accident, both times."
00:01:49.760,00:01:51.920,-Maud. -Mildred!
00:01:53.520,00:01:55.120,Did your mum knit that scarf?
00:01:56.560,00:01:59.120,Yes. Why?
00:02:05.000,00:02:07.640,House sashes.
00:02:07.720,00:02:11.080,"Uh, the color shows you which corridor your rooms are."
00:02:12.440,00:02:14.680,"Oh, we're not together."
00:02:15.240,00:02:17.760,"Sorry, HB decides who goes where."
00:02:17.840,00:02:21.920,-But see your sash? -Yeah. What does it mean?
00:02:22.800,00:02:27.880,It means you came top in the entrance exam and so you're head of Year One.
00:02:28.840,00:02:29.840,Top?
00:02:30.840,00:02:35.440,"To be slightly more accurate, you were the least worst..."
00:02:36.120,00:02:38.000,"-but yes. -Well done, Maud!"
00:02:40.200,00:02:41.760,Enough.
00:02:41.840,00:02:44.880,It's time you were assigned your familiars.
00:02:45.200,00:02:47.200,-Familiars? -Our cats!
00:02:59.800,00:03:01.840,Maud Spellbody.
00:03:11.080,00:03:16.000,"As head of year, you may have first choice."
00:03:25.320,00:03:26.600,"Choose wisely, dear."
00:03:42.800,00:03:44.080,I choose this one.
00:03:48.680,00:03:50.760,I name him Midnight.
00:03:56.720,00:03:58.480,"Oh, he's so cute!"
00:04:01.080,00:04:03.240,"Oh, his tail's just so soft."
00:04:07.440,00:04:11.520,And last but not least... Mildred Hubble.
00:04:11.600,00:04:13.480,Um... Um... Miss Cackle.
00:04:13.560,00:04:16.000,"-Hurry up, Mildred. -But there are no cats left!"
00:04:16.760,00:04:19.200,"It's OK, Hecate, I've got him."
00:04:19.279,00:04:21.360,Caught this little fella making a run for it.
00:04:21.440,00:04:22.560,Here you go!
00:04:23.160,00:04:25.120,But... but he's...
00:04:25.200,00:04:26.600,He's not...
00:04:26.680,00:04:28.360,He's... he's tabby.
00:04:28.440,00:04:32.040,"Tabby! Not a traditional name, but it'll do."
00:04:35.680,00:04:39.320,"Miss Cackle, please, can't I have a black one like the others?"
00:04:39.400,00:04:43.200,"Mildred, you have named Tabby, and now he is yours."
00:04:44.040,00:04:46.920,"I'm sorry, Tabby. It's not your fault."
00:04:47.000,00:04:53.120,"I know he isn't what you expected, but it's a foolish witch who judges by appearances. Hmm?"
00:04:55.000,00:04:59.680,There you are... working already.
00:04:59.760,00:05:02.120,-I don't want to get behind. -It's your first day.
00:05:02.200,00:05:05.280,Why don't you just chill a bit?
00:05:08.280,00:05:09.720,"Sorry, what?"
00:05:09.800,00:05:16.440,"I should have smashed that entrance exam, broken your record into a million pieces, if it wasn't for Mildred Hubble."
00:05:16.520,00:05:20.080,"Ethie, it was an accident, nobody's fault."
00:05:20.160,00:05:23.680,Why are you defending Mildred? Did you put her up to it?
00:05:23.760,00:05:26.880,Me? Why would I-- 'Cause you couldn't stand to let me beat you.
00:05:27.520,00:05:29.080,"For once, I'd be the favorite."
00:05:29.160,00:05:31.240,I'd have been given Granny Hallow's broomstick.
00:05:31.320,00:05:32.840,It's just because I'm older.
00:05:32.920,00:05:35.720,It's been passed down to the eldest daughter for...
00:05:36.240,00:05:37.720,13 generations.
00:05:37.800,00:05:40.160,Exactly. It's always been all about you.
00:05:41.800,00:05:46.600,"I'm sorry you feel like that, but it's not fair to take it out on Mildred."
00:05:46.680,00:05:48.760,"Well, life isn't fair."
00:05:48.840,00:05:52.920,"If it was, I'd be the eldest. I'd have everything you've got."
00:05:53.560,00:05:56.320,"Now please, let me get on with my work."
00:06:16.200,00:06:20.080,I can't do this in front of her. I'll mess up and fail my trial.
00:06:20.160,00:06:21.720,"You've already flown, remember?"
00:06:21.800,00:06:24.360,Some girls haven't even been on a broomstick yet.
00:06:25.160,00:06:27.320,Sorry I'm late! Sorry!
00:06:28.440,00:06:31.040,"Sorry, Miss Hardbroom. Sorry."
00:06:32.880,00:06:35.680,"Right! Brooms on the ground, group one."
00:06:38.560,00:06:43.840,"Now, say it with me, nice and loud: Hover."
00:06:44.400,00:06:45.480,Hover!
00:06:53.360,00:06:54.520,did it.
00:06:56.800,00:07:00.040,Hover! Hover! What's wrong with it?
00:07:00.400,00:07:03.800,"Nothing! You just need to be firmer, show that broom who's boss!"
00:07:04.360,00:07:06.680,"Come on, girl, give it all you've got!"
00:07:08.240,00:07:09.600,Hover!
00:07:20.280,00:07:22.440,"Right, time to get flying."
00:07:22.960,00:07:26.720,"Excellent, Ethel. Beautiful posture, both you and the cat."
00:07:26.800,00:07:29.960,"Girls, I want you all to copy Ethel."
00:07:30.480,00:07:32.280,"May I fly now, Miss Drill?"
00:07:32.360,00:07:34.120,"Yes, yes, off you pop."
00:07:41.000,00:07:42.800,"Pointy work, Ethel."
00:07:44.320,00:07:47.040,"Now, girls, you all saw what Ethel did."
00:07:47.120,00:07:51.200,Give the broom a good sharp tap and away you go. Go!
00:07:53.760,00:07:55.240,"Go, go, go!"
00:07:59.320,00:08:01.120,-Mildred Hubble! -It's Tabby.
00:08:01.200,00:08:04.560,"-Come on, girl, get up there! -He really, really doesn't want to."
00:08:04.640,00:08:06.520,"Don't give me excuses, give me height!"
00:08:35.600,00:08:39.240,"-Maud! Stop! -Sorry, Ethel, I didn't mean to."
00:09:00.920,00:09:03.960,This is what happens when we get sloppy.
00:09:04.520,00:09:13.720,There will be a special test on basic broomstick skills at the end of the week for girls and cats.
00:09:14.320,00:09:20.040,"Failure will incur consequences, and I think you know what they are."
