start,end,script
00:00:33.622,00:00:54.583,LITTLE DETECTIVES TOBY &amp; TERI Yay! Great jump!
00:00:54.667,00:00:56.458,That's how you play puddle jump.
00:00:56.542,00:00:58.042,"Okay, Toby, your turn."
00:01:04.417,00:01:06.292,The Big Kahuna.
00:01:06.375,00:01:08.292,Here goes nothing.
00:01:10.250,00:01:11.958,-Wow! -Great jump!
00:01:19.114,00:01:22.500,"Okay, my turn now. Watch."
00:01:40.917,00:01:43.458,I'll never get over it.
00:01:43.542,00:01:46.625,Sure you will. You just need to keep trying.
00:01:48.125,00:01:50.667,"Hey, everybody, you gotta come see."
00:01:50.750,00:01:54.458,I got a new jar of water for my collection.
00:01:54.542,00:01:57.295,-Wow! -All right!
00:01:59.042,00:02:01.333,"Wow! That's really cool, Rumy."
00:02:01.417,00:02:04.292,That's the nicest jar of water I've ever seen.
00:02:06.208,00:02:08.875,It's going to be perfect for my collection.
00:02:08.958,00:02:12.250,That's right. You collect water from all over the world.
00:02:12.333,00:02:19.083,"I do. I sent water from Acorn Springs to friends, and they send me water from where they live."
00:02:19.167,00:02:24.333,"Rumy has water from the world's biggest lake and now from the longest river, too."
00:02:24.417,00:02:31.125,"And water from a hot springs, but I don't open that one. It smells like rotten eggs."
00:02:31.208,00:02:32.750,Ooh! I wanna smell it!
00:02:36.542,00:02:38.958,"Hey, you guys wanna see my whole collection?"
00:02:39.042,00:02:40.000,-Okay. -Sure.
00:02:40.083,00:02:43.708,-Totally. -Come on. Follow me.
00:02:46.458,00:02:48.417,Welcome to my water collection.
00:02:48.500,00:02:53.750,"With the help of friends from all over, I've collected water from every corner of the world."
00:02:57.667,00:02:58.667,What water?
00:02:58.750,00:02:59.958,Bean's right.
00:03:00.042,00:03:01.833,There's no water in that jar.
00:03:01.917,00:03:04.333,Wait. There's no water in any of them!
00:03:04.417,00:03:05.458,They're all empty!
00:03:10.021,00:03:13.125,W-Where did it go? What am I going to do?
00:03:13.208,00:03:16.667,All the jars were filled with water when you showed them to me last week.
00:03:16.750,00:03:18.458,Maybe someone spilled them.
00:03:18.542,00:03:21.083,Let me check for fingerprints.
00:03:24.083,00:03:33.333,"I don't think anyone would have touched them, because I wrote, Rumy's water. Do not touch, and, Please, on every jar."
00:03:33.417,00:03:38.458,"Just one print on this one, but it's Rumy's."
00:03:38.542,00:03:41.917,"Hmm, so nobody touched the jars?"
00:03:42.052,00:03:43.753,Then where did the water go?
00:03:43.875,00:03:46.500,Sounds like we've got a case.
00:03:46.583,00:03:48.250,Will you excuse us?
00:03:48.333,00:03:49.708,To the treehouse!
00:03:56.083,00:03:58.833,Rumy really loves his water collection.
00:03:59.011,00:04:01.000,It took him months to put it together.
00:04:01.083,00:04:04.083,-We've gotta get it back. -There's a lot at stake.
00:04:04.167,00:04:07.000,"There always is, little brother. There always is."
00:04:07.083,00:04:08.875,Let's do this.
00:04:41.667,00:04:45.542,"So, Millie, you're saying you were the last one to see the water?"
00:04:45.625,00:04:47.292,Yes. That's right.
00:04:47.872,00:04:49.375,"And when was that, exactly?"
00:04:49.458,00:04:51.167,It was three days ago.
00:04:51.288,00:04:55.542,"When Rumy showed you the collection, you said there was still water in the jars, yes?"
00:04:55.625,00:05:00.750,"There was. I remember, because I opened up the jars so Millie could touch the water."
00:05:00.833,00:05:03.000,Right. So you touched the water?
00:05:03.083,00:05:04.792,How did that feel?
00:05:04.875,00:05:06.875,"Uh, wet?"
00:05:06.958,00:05:09.500,Of course. Heh. Sorry.
00:05:09.583,00:05:12.042,I knew that. All water is wet.
00:05:12.125,00:05:14.583,Wait. That could be a clue.
00:05:14.667,00:05:21.000,"If all the water in Acorn Springs is like Rumy's water, then I wonder if it's disappearing, too."
00:05:21.083,00:05:23.292,Where else have we seen water today?
00:05:23.667,00:05:24.875,-The puddles! -The puddles!
00:05:24.958,00:05:26.000,Come on.
00:05:37.917,00:05:39.417,I did it!
00:05:39.500,00:05:42.042,Wow! You really flew that time.
00:05:42.125,00:05:43.333,It wasn't even close.
00:05:43.417,00:05:46.250,"Guys, Bean jumped over the Big Kahuna!"
00:05:46.333,00:05:49.083,"That's really great, Bean. Amazing!"
00:05:49.167,00:05:50.292,Thanks.
00:05:50.375,00:05:56.458,"But now that I look at the Big Kahuna, it doesn't look so big anymore."
00:05:56.542,00:06:00.583,"You're right. This morning, it was almost to that tree."
00:06:05.042,00:06:10.875,"Wait. First someone takes all the water from my collection, and now they steal the Big Kahuna?"
00:06:10.958,00:06:12.542,Who would do that?
00:06:12.625,00:06:17.292,"We don't know what happened yet Rumy, and remember, there were no fingerprints on the jars."
00:06:17.375,00:06:19.167,Then where is the water going?
00:06:19.250,00:06:20.375,And where does it end?
00:06:20.458,00:06:26.171,"If someone is taking all the water in Acorn Springs, that would be really bad, especially if you're a fish."
00:06:27.125,00:06:28.125,-Boots! -Boots!
00:06:34.542,00:06:36.917,And all his water is right where it should be.
00:06:37.042,00:06:38.833,So let's follow the facts.
00:06:38.917,00:06:41.208,The water in Boots's tank is fine.
00:06:41.292,00:06:43.875,But the water in the puddles is disappearing.
00:06:43.958,00:06:46.958,So how is the fish tank different from the puddles?
00:06:47.042,00:06:48.708,The fish tank has a lid on it.
00:06:48.792,00:06:52.375,"Sure, but Rumy's jars all have lids, too."
00:06:52.458,00:06:57.042,"They do, but Rumy took off the lids so Millie -could touch the water. -Right."
00:06:57.125,00:07:00.708,But didn't Rumy say he left the lid on one of his jars?
00:07:00.792,00:07:03.333,"Yes, the stinky one."
00:07:03.417,00:07:07.583,"So one jar is still closed, just like the fish tank."
00:07:07.667,00:07:12.042,"If we follow the facts, the stinky water should still be there."
00:07:12.125,00:07:13.500,Let's find out.
00:07:19.403,00:07:21.353,Did you guys find Rumy's water yet?
00:07:21.528,00:07:24.833,Not yet. We're still looking for more clues.
00:07:24.926,00:07:28.542,"Rumy, do you have the jar of water from the hot springs?"
00:07:28.625,00:07:29.625,Sure.
00:07:31.833,00:07:33.625,It's still got water in it!
00:07:34.875,00:07:37.208,No one's stealing the stinky water.
00:07:38.292,00:07:41.417,I think there's another reason this water's still here.
00:07:41.500,00:07:43.708,Rumy never took the lid off this one.
00:07:43.792,00:07:46.583,Only the water that's open to the air is disappearing.
00:07:47.032,00:07:50.000,"-Like the puddles! -That's right, Bean."
00:07:50.083,00:07:52.167,"Okay, let's follow the facts."
00:07:52.250,00:07:58.125,"Rumy took the lids off his water collection last week, and now all the water is gone."
00:07:58.208,00:08:02.542,"And the puddles were there this morning, but got smaller by the afternoon."
00:08:02.625,00:08:05.958,"As the day got warmer, the puddles got smaller."
00:08:06.042,00:08:09.375,The water that's open to the air is going somewhere...
00:08:11.250,00:08:13.125,and I think I know where.
00:08:13.240,00:08:14.167,-Where? -Where?
00:08:14.315,00:08:21.375,"I can explain, but I think it'll be easier -from the top of that mountain. -Then let's get climbing."
00:08:23.583,00:08:27.583,"Nobody took your water, Rumy, and nobody took our puddles."
00:08:27.667,00:08:29.208,Look at Acorn Springs.
00:08:29.664,00:08:33.167,We can see the pond and the spring and the ocean.
00:08:33.250,00:08:37.042,But where's my water and the water from the puddles?
00:08:37.125,00:08:38.917,It's in the air around us.
00:08:39.000,00:08:43.750,"When the sun is out and air is dry, drops of water are pulled into the air."
00:08:43.833,00:08:45.083,It's called evaporation.
00:08:45.208,00:08:53.792,"So when I left the lids off my jars, the water floated away a little at a time until it was all gone?"
00:08:53.875,00:08:55.042,It's not gone.
00:08:55.125,00:09:00.367,"When there's enough water in the air, it turns into clouds. Clouds are full of water."
00:09:01.583,00:09:03.792,Look at that big one coming our way.
00:09:07.083,00:09:12.417,"Yep, your water went up into the air as evaporation, and now it's gonna come back down as rain."
00:09:12.791,00:09:13.667,Wow.
00:09:13.800,00:09:15.833,I think it's gonna start raining soon.
00:09:16.289,00:09:19.125,You're right. We better go before we get wet.
00:09:19.765,00:09:20.938,-Quick! -Hurry!
00:09:21.029,00:09:22.179,-Let's go! -Come on!
00:09:38.542,00:09:42.417,The rain filled up my jars. Look at them all.
00:09:47.667,00:09:50.375,"I'm so happy all your water is back, Rumy."
00:09:50.458,00:09:51.750,"Me, too!"
00:09:52.222,00:09:56.458,"And that water is from every lake, ocean, and river in the world."
00:09:56.542,00:09:59.292,Your collection is even better than it was before.
00:09:59.375,00:10:02.167,I know! It's amazing!
00:10:02.324,00:10:04.500,"Oh, you know what?"
00:10:04.664,00:10:08.042,"Maybe our puddles are back, too. Come on."
00:10:08.125,00:10:11.833,I'm gonna jump the Big Kahuna for real this time.
00:10:21.292,00:10:23.958,"Okay, Bean. Show us how it's done."
00:10:25.917,00:10:27.625,"You can do it, Bean!"
00:10:34.625,00:10:35.625,Hah!
00:10:41.833,00:10:43.250,I did it!
00:10:44.708,00:10:46.583,"Whoo! Good job, Bean!"
00:10:49.042,00:10:50.750,-All right! -Whoo! Yay!
00:10:50.833,00:10:53.375,"Everybody say, Puddles!"
00:10:53.458,00:10:54.583,-Puddles! -Puddles!
00:10:58.708,00:11:01.125,So Rumy's water didn't really disappear.
