word,counts
so,267
just,238
here,228
got,217
know,208
let,185
really,171
right,169
go,164
find,157
see,153
look,151
where,144
come,137
now,129
how,126
make,120
time,117
little,117
when,115
think,114
always,113
guys,105
case,101
there,98
great,98
going,94
water,94
need,93
back,93
help,89
gon,86
good,85
way,85
follow,83
wait,81
say,79
friends,79
too,76
why,74
all,73
then,70
one,68
new,62
ca,61
maybe,59
ever,59
facts,58
sounds,56
lot,55
made,55
okay,54
friend,54
clues,53
love,52
treehouse,51
pond,51
trees,50
winter,50
never,49
take,49
snow,47
detectives,47
sure,47
want,47
more,47
looks,46
flying,46
big,45
tree,45
amazing,45
use,44
better,44
best,44
sticks,44
brother,43
found,42
thanks,41
acorns,41
worry,40
nice,40
ready,40
went,39
excuse,39
stake,39
show,39
again,38
else,37
over,36
even,36
give,35
of,35
rocks,35
like,35
doing,35
course,34
footprints,34
clue,34
close,34
closed,33
said,33
took,33
fish,33
year,32
cup,32
things,32
magic,32
gone,32
saw,32
bird,31
fly,31
seen,31
sing,30
work,30
remember,30
real,29
officially,29
monster,29
night,28
butterflies,28
sound,28
away,28
very,28
mean,28
turn,28
rock,27
first,27
thought,27
put,27
looking,27
down,27
presents,26
super,26
wish,26
day,26
means,26
figure,26
lizard,25
makes,25
hurt,25
sorry,25
leaves,25
rainbow,25
only,25
glasses,25
definitely,25
beautiful,25
star,25
much,24
still,24
other,24
color,24
done,24
fun,24
exactly,24
try,24
up,24
ocean,23
left,23
thank,23
guess,23
blue,23
keep,23
play,22
scared,22
fast,22
dark,21
mom,21
around,21
tell,21
last,21
summer,21
idea,21
meet,21
part,20
get,20
stay,20
perfect,20
amp,20
owl,20
getting,20
together,20
at,20
mud,20
same,20
build,19
happened,19
feel,19
believe,19
used,19
sled,19
came,19
hard,19
stop,19
egg,18
ask,18
out,18
wo,18
glad,18
making,18
welcome,18
picture,18
air,18
needs,18
forest,18
hide,18
thimbleberries,18
job,18
stick,18
stuff,18
cool,18
hear,18
dance,18
different,17
animals,17
coming,17
world,17
sun,17
special,17
green,17
thing,17
ice,17
party,17
talk,16
flowers,16
birds,16
surprise,16
red,16
fall,16
bet,16
bees,16
home,16
missing,16
scary,15
lead,15
place,15
whole,15
quick,15
acorn,15
promise,15
castle,15
ground,15
lost,15
enough,15
trick,15
wind,15
start,15
wanted,15
next,15
ball,15
mind,15
cupcakes,14
heard,14
creek,14
favorite,14
call,14
goes,14
tall,14
sand,14
cold,14
spring,14
morning,14
almost,14
singer,14
run,14
long,14
white,14
true,14
caterpillars,13
hold,13
catch,13
full,13
knew,13
detective,13
log,13
foot,13
move,13
check,13
key,13
name,13
able,13
eat,13
purple,13
shooting,13
soon,13
before,13
seek,13
trail,13
set,13
called,13
thinking,13
lily,12
lives,12
lizards,12
compass,12
knights,12
actually,12
sense,12
bottom,12
pretty,12
measuring,12
knows,12
birthday,12
