start,end,script
00:00:54.291,00:00:57.208,"['I', 'always', 'knew']"
00:00:54.291,00:00:57.208,"['we', 'were', 'a', 'fairly', 'odd', 'family.']"
00:00:57.250,00:01:02.125,"['First', 'there', 'was', 'me.']"
00:00:57.250,00:01:02.125,"['Too', 'tall,', 'too', 'skinny,']"
00:00:57.250,00:01:02.125,"['too', 'orange.']"
00:01:02.166,00:01:05.083,"['My', 'mum', 'was', 'lovely,']"
00:01:02.166,00:01:05.083,"['but', 'not', 'like', 'other', 'mums.']"
00:01:05.125,00:01:09.208,"['There', 'was', 'something', 'solid', 'about']"
00:01:05.125,00:01:09.208,"['her--', 'something', 'rectangular,']"
00:01:05.125,00:01:09.208,"['busy', 'and', 'unsentimental.']"
00:01:09.250,00:01:11.000,"['Her', 'fashion', 'icon']"
00:01:09.250,00:01:11.000,"['was', 'the', 'queen.']"
00:01:12.083,00:01:14.667,"['Dad--', 'Well,', 'he', 'was', 'more', 'normal.']"
00:01:14.709,00:01:16.834,"['He', 'always', 'seemed', 'to', 'have']"
00:01:14.709,00:01:16.834,"['time', 'on', 'his', 'hands.']"
00:01:16.875,00:01:20.041,"['After', 'giving', 'up', 'teaching']"
00:01:16.875,00:01:20.041,"['university', 'students']"
00:01:16.875,00:01:20.041,"['on', 'his', '50th', 'birthday,']"
00:01:20.083,00:01:22.417,"['he', 'was', 'eternally', 'available']"
00:01:20.083,00:01:22.417,"['for', 'a', 'leisurely', 'chat...']"
00:01:22.458,00:01:24.709,"['or', 'to', 'let', 'me', 'win']"
00:01:22.458,00:01:24.709,"['at', 'table', 'tennis.']"
00:01:24.750,00:01:26.667,"['-', 'Ah!']"
00:01:24.750,00:01:26.667,"['-', 'Oh,', 'yes.']"
00:01:26.709,00:01:29.000,"['Then', 'there', 'was', ""Mum's"", 'brother,']"
00:01:26.709,00:01:29.000,"['Uncle', 'Desmond.']"
00:01:29.041,00:01:31.709,"['Always', 'impeccably', 'dressed,']"
00:01:29.041,00:01:31.709,"['he', 'spent', 'the', 'days', 'just,']"
00:01:31.750,00:01:34.959,"['well,', 'being', 'Uncle', 'Desmond.']"
00:01:35.000,00:01:38.583,"['He', 'was', 'the', 'most', 'charming']"
00:01:35.000,00:01:38.583,"['and', 'least', 'clever', 'man']"
00:01:35.000,00:01:38.583,"['you', 'could', 'ever', 'meet.']"
00:01:38.625,00:01:41.750,"['His', 'mind', 'was', 'on', 'other', 'things,']"
00:01:38.625,00:01:41.750,"['though', 'we', 'never', 'found', 'out', 'what.']"
00:01:41.792,00:01:45.583,"['And', 'then', 'finally']"
00:01:41.792,00:01:45.583,"['there', 'was', 'Catherine.', 'Katie.']"
00:01:45.625,00:01:47.750,"['Kit', 'Kat.', 'My', 'sister.']"
00:01:47.792,00:01:50.208,"['In', 'a', 'household', 'of', 'sensible']"
00:01:47.792,00:01:50.208,"['jackets', 'and', 'haircuts...']"
00:01:50.250,00:01:54.000,"['there', 'was', 'this--']"
00:01:50.250,00:01:54.000,"['Well,', 'what', 'can', 'I', 'call', 'her?--']"
00:01:50.250,00:01:54.000,"['nature', 'thing.']"
00:01:54.041,00:01:56.417,"['With', 'her', 'elfin', 'eyes,']"
00:01:54.041,00:01:56.417,"['her', 'purple', 'T-shirts...']"
00:01:56.458,00:01:58.917,"['and', 'her', 'eternally', 'bare', 'feet,']"
00:01:58.959,00:02:01.542,"['she', 'was', 'then,']"
00:01:58.959,00:02:01.542,"['and', 'still', 'is', 'to', 'me,']"
00:02:01.583,00:02:04.583,"['about', 'the', 'most', 'wonderful']"
00:02:01.583,00:02:04.583,"['thing', 'in', 'the', 'world.']"
00:02:04.625,00:02:06.792,"['-', 'All', 'in', 'all,', 'it', 'was']"
00:02:04.625,00:02:06.792,"['a', 'pretty', 'good', 'childhood.']"
00:02:06.834,00:02:09.291,"['Full', 'of', 'repeated', 'rhythms']"
00:02:06.834,00:02:09.291,"['and', 'patterns.']"
00:02:09.333,00:02:13.417,"['By', 'the', 'time', 'I', 'was', '21,']"
00:02:09.333,00:02:13.417,"['we', 'were', 'still', 'having', 'tea']"
00:02:09.333,00:02:13.417,"['on', 'the', 'beach', 'every', 'single', 'day.']"
00:02:13.458,00:02:16.291,"['Skimming', 'stones']"
00:02:13.458,00:02:16.291,"['and', 'eating', 'sandwiches,']"
00:02:16.333,00:02:18.625,"['summer', 'and', 'winter,']"
00:02:16.333,00:02:18.625,"['no', 'matter', 'what', 'the', 'weather.']"
00:02:18.667,00:02:20.667,"['Oh!', 'Oh!']"
00:02:18.667,00:02:20.667,"['Oh!', 'Oh!']"
00:02:23.208,00:02:27.208,"['And', 'every']"
00:02:23.208,00:02:27.208,"['Friday', 'evening,', 'a', 'film--']"
00:02:27.250,00:02:29.500,"['no', 'matter', 'what', 'the', 'weather.']"
00:02:29.542,00:02:32.583,"['-', 'And', 'then,', 'once', 'a', 'year,']"
00:02:32.625,00:02:34.542,"['the', 'dreaded']"
00:02:32.625,00:02:34.542,"['New', ""Year's"", 'Eve', 'party.']"
00:02:34.583,00:02:36.625,['Hey.']
00:02:40.875,00:02:44.041,"['Running', 'through', 'my', 'head']"
00:02:50.417,00:02:53.583,"['I', 'might', 'just...']"
00:02:50.417,00:02:53.583,"['get', 'one.']"
00:02:56.250,00:02:59.250,"[""You're"", 'absolutely', 'gorgeous.']"
00:03:00.750,00:03:02.500,"[""I'm"", 'Katie.']"
00:03:00.750,00:03:02.500,"['What', 'am', 'I', 'drinking?']"
00:03:03.709,00:03:05.500,"['This', 'is']"
00:03:03.709,00:03:05.500,"['very', 'expensive', 'stuff.']"
00:03:05.542,00:03:07.166,['Cheers.']
00:03:05.542,00:03:07.166,['Cheers.']
00:03:11.000,00:03:13.917,"['-', 'Shh,', 'shh,', 'shh.']"
00:03:13.959,00:03:17.750,"['you', 'better', 'push', 'the', 'button']"
00:03:22.041,00:03:24.709,"['Come', 'on.']"
00:03:22.041,00:03:24.709,"[""It's"", 'nearly', 'midnight.', 'Come', 'on.']"
00:03:22.041,00:03:24.709,"[""We're"", 'all', 'going', 'through.']"
00:03:24.750,00:03:26.875,"[""We're"", 'going', 'through.']"
00:03:24.750,00:03:26.875,"[""I've"", 'gotta', 'find', 'you', 'a--']"
00:03:26.917,00:03:28.667,"['Oh!', 'Oh,', 'no!']"
00:03:28.709,00:03:30.667,"['Oh,', 'God!']"
00:03:30.709,00:03:33.291,"['Everyone', 'makes']"
00:03:30.709,00:03:33.291,"['little', 'mistakes.']"
00:03:30.709,00:03:33.291,"[""It's"", 'fine.', 'Fine.', 'Sorry.']"
00:03:33.333,00:03:35.959,"['Come', 'on.']"
00:03:36.000,00:03:41.125,"['Six,', 'five,', 'four,']"
00:03:36.000,00:03:41.125,"['three,', 'two,', 'one.']"
00:03:41.166,00:03:43.083,"['Happy', 'New', 'Year!']"
00:03:43.125,00:03:45.291,"['Happy', 'New', 'Year!']"
00:03:47.125,00:03:48.625,['Sorry.']
00:04:00.208,00:04:02.959,"['And', 'so', 'I', 'woke', 'up']"
00:04:00.208,00:04:02.959,"['the', 'next', 'morning,', 'hungover,']"
00:04:03.000,00:04:05.083,"['ashamed', 'of', 'myself...']"
00:04:05.125,00:04:08.083,"['and', 'not', 'realizing']"
00:04:05.125,00:04:08.083,"['it', 'was', 'the', 'day', 'that', 'would']"
00:04:05.125,00:04:08.083,"['change', 'my', 'life', 'forever.']"
00:04:09.250,00:04:11.500,"['Get', 'up,', 'stupid.']"
00:04:14.125,00:04:15.834,"['Dad', 'wants', 'you.']"
00:04:15.875,00:04:18.125,"['Oh,', 'hello.']"
00:04:15.875,00:04:18.125,"['Sexy', 'pajamas.']"
00:04:23.375,00:04:25.667,"['Ah.', 'Tim.', 'Come', 'in.']"
00:04:25.709,00:04:29.041,"['Uh,', 'do...', 'sit', 'down.']"
00:04:31.291,00:04:33.667,"[""That's"", 'very', 'formal.']"
00:04:33.709,00:04:35.750,"['Well,', 'um,', 'yeah.']"
