word,counts
just,66
so,62
very,44
know,43
think,38
how,35
go,35
good,33
come,33
can,33
got,33
here,32
life,32
time,32
really,28
see,27
day,26
love,25
look,25
then,25
gon,25
ever,23
when,23
always,23
now,22
will,22
night,22
there,22
best,21
would,21
nice,19
could,19
want,18
bit,18
should,18
right,18
let,18
little,17
bad,16
back,16
one,16
too,15
never,15
thing,14
make,14
way,14
thought,14
actually,14
man,13
all,13
like,13
tell,13
i,13
course,12
lovely,12
last,12
why,12
first,12
more,12
might,12
only,12
thank,12
again,12
much,11
say,11
where,11
thanks,11
having,10
world,10
going,10
happy,10
wait,10
people,10
still,10
ca,10
friend,10
sorry,10
travel,9
maybe,9
mean,9
read,9
meet,9
sex,9
things,9
great,9
better,9
son,8
party,8
sure,8
most,8
total,8
else,8
pretty,8
girl,8
absolutely,8
work,8
many,8
of,8
weird,8
well,8
moment,8
girlfriend,8
new,8
even,8
quite,8
living,7
other,7
happened,7
hair,7
stop,7
probably,7
important,7
kit,7
give,7
play,7
job,7
find,7
minute,7
mother,7
summer,7
completely,7
tennis,7
dad,7
father,7
okay,7
lot,7
fact,7
long,7
same,6
guilty,6
big,6
help,6
try,6
number,6
told,6
face,6
car,6
answer,6
about,6
baby,6
had,6
room,6
next,6
darling,6
mind,6
end,6
fine,6
boyfriend,6
eyes,6
ask,6
wedding,6
girls,5
get,5
child,5
im,5
happens,5
gentlemen,5
tonight,5
tea,5
away,5
name,5
family,5
beautiful,5
stuff,5
done,5
excuse,5
perfect,5
young,5
table,5
doing,5
taking,5
obviously,5
worst,5
almost,5
old,5
makes,5
feel,5
final,5
boring,5
lines,5
phone,5
brilliant,5
sort,5
leave,5
said,5
late,5
downstairs,5
full,5
soon,5
saying,5
bye,5
take,5
drinking,4
future,4
sweet,4
enjoy,4
suddenly,4
stupid,4
exactly,4
today,4
found,4
game,4
gone,4
sound,4
kind,4
wake,4
call,4
over,4
real,4
promise,4
worry,4
prostitutes,4
left,4
normal,4
walk,4
um,4
books,4
no,4
blue,4
rest,4
as,4
matter,4
beach,4
ready,4
joke,4
men,4
hell,4
house,4
sir,4
head,4
prepare,4
high,4
history,4
home,4
hope,4
player,4
sister,4
shit,4
trouble,4
idea,4
part,4
hate,4
morning,3
need,3
exact,3
mum,3
reading,3
dress,3
must,3
mixed,3
own,3
quick,3
put,3
enough,3
talk,3
suit,3
purple,3
person,3
eating,3
problem,3
once,3
poor,3
gorgeous,3
married,3
mention,3
free,3
goes,3
single,3
getting,3
gets,3
gay,3
in,3
incredible,3
secret,3
kids,3
song,3
kill,3
knew,3
sake,3
leaving,3
less,3
stranger,3
live,3
lives,3
staying,3
looks,3
fashion,3
slightly,3
marry,3
remember,3
massive,3
may,3
meant,3
fabulous,3
eye,3
explain,3
kiss,3
plan,3
wear,3
wonderful,3
agree,3
dark,3
called,3
worried,3
complicated,3
apart,3
definitely,3
court,3
year,3
decided,3
days,3
dead,3
wish,3
wo,3
careful,3
asked,3
dinner,3
different,3
boy,3
down,3
afraid,3
bring,3
used,3
actor,3
doo,3
birthday,3
wasted,3
issue,2
round,2
second,2
up,2
seemed,2
break,2
its,2
waiting,2
lonely,2
book,2
item,2
lie,2
usually,2
kidding,2
later,2
brown,2
ladies,2
bugger,2
knees,2
seen,2
use,2
lawyer,2
says,2
scary,2
cab,2
jolly,2
lesson,2
season,2
seems,2
implied,2
sense,2
seriously,2
shut,2
hmm,2
change,2
changed,2
simple,2
trying,2
check,2
heels,2
heart,2
cheeky,2
true,2
children,2
sit,2
tried,2
sleazy,2
handsome,2
sleep,2
chance,2
honest,2
turn,2
share,2
impression,2
case,2
looking,2
cash,2
sexy,2
