num,start,end,script
2,00:01:22.290,00:01:25.460,['GWEN:']
3,00:01:22.290,00:01:25.460,"['""Dear', 'Santa,', 'are', 'you', 'real?']"
4,00:01:25.460,00:01:27.379,"['""If', 'you', 'live', 'at', 'the', 'North', 'Pole,']"
5,00:01:27.379,00:01:29.423,"['""how', 'come']"
6,00:01:27.379,00:01:29.423,"['I', ""can't"", 'see', 'your', 'house']"
7,00:01:29.423,00:01:31.341,"['""when', 'I', 'look', 'on', 'Google', 'Earth?']"
8,00:01:32.259,00:01:34.261,"['""Are', 'you', 'Saint', 'Nicholas?']"
9,00:01:34.261,00:01:37.096,"['""Because', ""you'd"", 'be']"
10,00:01:34.261,00:01:37.096,"['incredibly', 'old.']"
11,00:01:37.096,00:01:39.516,"['""How', 'do', 'you', 'have', 'time']"
12,00:01:37.096,00:01:39.516,"['to', 'read', 'all', 'the', 'letters']"
13,00:01:39.516,00:01:41.643,"['""from', 'all', 'the', 'children']"
14,00:01:39.516,00:01:41.643,"['in', 'the', 'world?']"
15,00:01:41.643,00:01:44.187,"['""And', 'how', 'many', 'cookies']"
16,00:01:41.643,00:01:44.187,"['and', 'mince', 'pies']"
17,00:01:44.187,00:01:46.398,"['""have', 'you', 'eaten']"
18,00:01:44.187,00:01:46.398,"['in', 'all', 'of', 'history?']"
19,00:01:46.398,00:01:49.610,"['""How', 'do', 'you', 'get', 'all']"
20,00:01:46.398,00:01:49.610,"['the', 'presents', 'in', 'the', 'sack?']"
21,00:01:49.610,00:01:52.237,"['""Does', 'your', 'sack', 'have', 'to']"
22,00:01:49.610,00:01:52.237,"['get', 'bigger', 'every', 'year']"
23,00:01:52.237,00:01:55.282,"['""because', 'of', 'exponential']"
24,00:01:52.237,00:01:55.282,"['population', 'growth?']"
25,00:01:55.282,00:01:57.659,"['""And', 'how', 'do', 'you', 'get']"
26,00:01:55.282,00:01:57.659,"['down', 'the', 'chimneys?']"
27,00:01:57.659,00:02:00.412,"['""I', 'put', 'my', 'head', 'in', 'ours']"
28,00:01:57.659,00:02:00.412,"['and', ""it's"", 'really', 'small.']"
29,00:02:00.412,00:02:03.082,"['""Even', 'if', 'you', 'could', 'squeeze']"
30,00:02:00.412,00:02:03.082,"['down', 'it', 'in', 'one', 'minute,']"
31,00:02:03.082,00:02:06.085,"['""there\'s', 'nine', 'houses', 'in', 'my', 'road']"
