start,end,script
00:01:22.290,00:01:25.460,"GWEN: Dear Santa, are you real?"
00:01:25.460,00:01:31.341,"If you live at the North Pole, how come I can't see your house when I look on Google Earth?"
00:01:32.259,00:01:34.261,Are you Saint Nicholas?
00:01:34.261,00:01:37.096,Because you'd be incredibly old.
00:01:37.096,00:01:41.643,How do you have time to read all the letters from all the children in the world?
00:01:41.643,00:01:46.398,And how many cookies and mince pies have you eaten in all of history?
00:01:46.398,00:01:49.610,How do you get all the presents in the sack?
00:01:49.610,00:01:55.282,Does your sack have to get bigger every year because of exponential population growth?
00:01:55.282,00:01:57.659,And how do you get down the chimneys?
00:01:57.659,00:02:00.412,I put my head in ours and it's really small.
00:02:00.412,00:02:06.085,"Even if you could squeeze down it in one minute, there's nine houses in my road so that's nearly 10 minutes."
00:02:06.085,00:02:08.963,And there are millions of roads in the world.
00:02:08.963,00:02:12.967,It must be so hard being Santa these days.
00:02:12.967,00:02:17.345,"I mean, what if after all of that, I'm staying at Grandma's?"
00:02:17.345,00:02:23.310,"Santa, how can you get round the whole world in just one night?"
00:02:20.474,00:02:30.317,"My friend said that you'd have to go so fast, it would make you and the sleigh and the reindeer all burn up."
00:02:30.317,00:02:34.321,I think you are real.
00:02:34.321,00:02:39.493,For Christmas I would love a pink Twinkle Bike with stabilizers.
00:02:39.493,00:02:43.455,But please don't bring it if it makes you and the reindeer burn.
00:02:43.455,00:02:45.124,"Love, Gwen Hines."
00:02:45.124,00:02:49.210,"23 Mimosa Avenue, Trelew, Cornwall, England."
00:02:49.210,00:02:55.174,"ARTHUR: Dear Gwen, thank you for your letter and, heh, brilliant picture."
00:02:55.174,00:03:00.179,Your request for a pink Twinkle Bike will be passed on to Santa.
00:03:00.179,00:03:03.391,"And, yes, do believe in Santa."
00:03:03.391,00:03:06.145,He is real.
00:03:06.145,00:03:08.480,He's the greatest man ever.
00:03:08.480,00:03:16.780,And he can get around the world to every child without a single reindeer being roasted ali-- Hurt.
00:03:16.780,00:03:26.456,"By the time the sun comes up on Christmas Day, he'll get to you too using his special magic."
00:04:29.477,00:04:31.438,"First Field Elf Battalion, set."
00:04:31.438,00:04:33.023,"Straighten that teddy bear, soldier."
00:04:33.023,00:04:34.357,Ma'am.
00:04:38.278,00:04:41.489,"Ah. Hm. Ho, ho, ho."
00:04:41.489,00:04:43.242,"ANDREW: That's a: Ho, ho, ho Aarhus."
00:04:43.242,00:04:44.826,"CARLOS: Field elves, jingle!"
00:04:44.826,00:04:48.622,"Jingle, jingle! Drop time, 18.14 seconds per household."
00:05:00.383,00:05:02.136,"ANDREW: Left foot, sir. Right foot, sir."
00:05:02.136,00:05:04.221,"That's it, that's it."
00:05:04.221,00:05:06.265,Dog food incoming.
00:05:06.265,00:05:07.849,Meaty chunks in the hole.
00:05:11.519,00:05:13.230,"ELF 1: Wow, a grand piano."
00:05:13.230,00:05:15.356,This kid must have been good his whole life.
00:05:40.215,00:05:43.010,Marvelous.
00:05:50.391,00:05:52.435,Merry Christmas.
00:05:53.603,00:06:06.449,Merry-- Carrot chomped.
00:06:46.865,00:06:49.368,Ahem. Sir?
00:06:51.036,00:06:53.247,Sorry.
00:06:53.247,00:06:54.998,Drop complete.
00:06:54.998,00:06:56.583,"ELF 2: You're gonna make it, soldier."
00:06:56.583,00:06:58.210,Aarhus is merry.
00:06:58.210,00:07:00.212,Santa has left the building.
00:07:12.682,00:07:15.476,"North Pole to S-1, you have weather fluctuation."
00:07:15.476,00:07:16.728,Update camouflage.
00:07:16.728,00:07:18.188,"ELF 4: Roger that, Control."
00:07:18.188,00:07:19.480,Hull projection optimized.
00:07:19.480,00:07:20.732,"SARAH: Roger, S-1."
00:07:20.732,00:07:22.650,CHRIS: Denmark cleared.
00:07:22.650,00:07:26.071,"STEVE: Next drop, Flensburg, minus 12.4 seconds."
00:07:26.071,00:07:28.489,"COMPUTER: Flensburg weather: Deep, crisp, even."
00:07:28.489,00:07:30.575,ELF 5: Making a list.
00:07:30.575,00:07:32.577,ELF 5: Checking twice.
00:07:32.577,00:07:34.829,COMPUTER: Converting milk and cookies to biofuel.
00:07:34.829,00:07:37.249,SANTA: Hello? Oh.
00:07:37.249,00:07:41.544,"Ah. Ha, ha. Uh-- COMPUTER: Santa on bridge."
00:07:41.544,00:07:44.714,Forgot the PIN code.
00:07:44.714,00:07:48.218,Germany.
00:07:48.218,00:07:49.594,"CHRIS: It's a big night, sir."
00:07:49.594,00:07:52.055,"My, uh, 70th mission. Yes."
00:07:53.348,00:07:56.517,"Oh, sorry."
00:07:56.517,00:07:58.437,Looking forward to it?
00:07:58.437,00:08:00.314,Hm? Oh!
00:08:00.314,00:08:02.190,COMPUTER: Ten seconds to Flensburg.
00:08:02.190,00:08:04.776,"Maintain current, um..."
00:08:04.776,00:08:06.694,COMPUTER: Update national protocol.
00:08:06.694,00:08:08.363,Delete rice pudding and carrot.
