num,start,end,script
9,00:01:13.323,00:01:15.951,"['THE', 'JON', 'SPENCER']"
20,00:01:50.986,00:01:54.197,"['To', 'catch', 'the', 'whole']"
33,00:02:31.610,00:02:33.320,"['Put', 'your', 'hands', 'in', 'the', 'air!']"
34,00:02:33.361,00:02:35.447,"['MAN:', 'Get', 'on', 'the', 'ground', 'now!']"
35,00:02:33.361,00:02:35.447,"['I', 'need', 'you', 'on', 'the', 'ground!']"
36,00:02:35.489,00:02:37.365,"['Stay', 'there!']"
38,00:02:37.407,00:02:38.826,"[""Don't"", 'you', 'move!']"
39,00:02:38.867,00:02:40.201,"['WOMAN', '1:', 'Get', 'down!']"
40,00:02:38.867,00:02:40.201,"[""Don't"", 'fucking', 'move!']"
43,00:02:42.037,00:02:43.747,"['MAN:', ""Let's"", 'go!']"
45,00:02:43.789,00:02:45.040,"[""Let's"", 'go,', ""let's"", 'go,']"
46,00:02:43.789,00:02:45.040,"[""let's"", 'go!']"
47,00:02:45.082,00:02:46.291,"['MAN:', 'Nobody', 'move!']"
48,00:02:46.333,00:02:47.542,"['WOMAN', '1:', 'Nobody', 'move!']"
49,00:02:47.584,00:02:50.879,"['MAN:', 'Everybody,', 'stay', 'down!']"
51,00:02:50.921,00:02:52.965,"['JON', 'SPENCER:']"
52,00:02:50.921,00:02:52.965,"['Thank', 'you', 'very', 'much,']"
53,00:02:53.007,00:02:54.716,"['ladies', 'and', 'gentlemen.']"
54,00:02:53.007,00:02:54.716,"['Right', 'now,']"
55,00:02:53.007,00:02:54.716,"['I', 'got', 'to', 'tell', 'you', 'about...']"
57,00:02:57.552,00:02:59.554,"['...the', 'fabulous,']"
58,00:02:59.596,00:03:01.222,"['most', 'groovy...']"
59,00:03:02.307,00:03:03.725,['Bellbottoms!']
69,00:03:17.072,00:03:20.159,"['truly', 'make', 'me', 'wanna', 'dance']"
77,00:03:45.266,00:03:47.936,"['She', 'gotta', 'have', 'bell']"
80,00:03:49.479,00:03:51.690,"['Way', 'on', 'the', 'list']"
86,00:03:59.656,00:04:01.783,"['Blues', 'Explosion']"
87,00:04:01.825,00:04:02.826,['Oh!']
89,00:04:06.163,00:04:08.165,"['Whoa,', 'whoa,', 'whoa,', 'whoa!', 'Whoa!']"
115,00:05:52.853,00:05:55.105,"['Driving', 'a', 'red', 'Subaru', 'WRX.']"
131,00:06:47.366,00:06:50.327,"['MAN:', ""I'm"", 'here.', ""You're"", 'late.']"
132,00:06:47.366,00:06:50.327,"[""I'm"", 'waiting', 'on', 'you', 'again.']"
134,00:06:52.329,00:06:53.454,"['MAN:', 'Hurry', 'up.']"
137,00:06:55.123,00:06:56.541,"['MAN', '2:', 'Asshole!']"
138,00:06:56.583,00:06:58.543,"['Hey!', 'Taxi!']"
140,00:07:00.754,00:07:02.714,['Yeah.']
141,00:07:00.754,00:07:02.714,"['You', 'go,', 'girl.']"
143,00:07:03.882,00:07:05.800,"['GIRL:', 'You', 'know', 'it,', 'honey.']"
146,00:07:10.638,00:07:12.432,"['WOMAN:', 'Hey!', 'Jerk.']"
160,00:07:34.037,00:07:37.332,"['to', 'scuffle', 'now']"
166,00:07:47.259,00:07:50.053,"['Next', 'customer.']"
167,00:07:47.259,00:07:50.053,"['Next', 'customer.']"
168,00:07:50.095,00:07:51.430,"['Oh,', 'uh...']"
169,00:07:51.554,00:07:52.722,"['Can', 'I', 'take', 'your', 'order?']"
170,00:07:52.764,00:07:54.141,['Uh...']
171,00:07:54.182,00:07:56.684,"['Yeah,', 'yeah,', 'yeah.']"
172,00:07:56.726,00:07:58.728,"[""I'll"", 'have,', 'uh,']"
173,00:07:56.726,00:07:58.728,"['four', 'black', 'coffees,', 'medium.']"
174,00:07:58.770,00:08:00.188,['Name?']
175,00:07:58.770,00:08:00.188,['Baby.']
176,00:08:00.230,00:08:01.564,"['""Baby""?']"
177,00:08:01.606,00:08:02.857,"['B-A-B-Y,', 'Baby.']"
179,00:08:05.235,00:08:06.820,"['WOMAN:', 'Could', 'you', 'pass', 'that?']"
182,00:08:11.116,00:08:12.242,"['BARISTA:', 'Baby.']"
184,00:08:16.830,00:08:18.539,['DISPATCHER:']
185,00:08:16.830,00:08:18.539,"['Subaru', 'WRX', 'believed']"
186,00:08:18.581,00:08:20.208,"['to', 'be', 'connected']"
187,00:08:18.581,00:08:20.208,"['to', 'the', 'robbery...']"
193,00:08:30.885,00:08:34.181,"['The', 'river', 'of', 'sin.']"
194,00:08:30.885,00:08:34.181,"['Sin', 'is', 'your', 'enemy.']"
195,00:08:34.222,00:08:38.143,"['Sin', 'can', 'be', 'washed', 'away']"
196,00:08:34.222,00:08:38.143,"['if', 'you', 'just', 'find', 'God.']"
197,00:08:38.185,00:08:40.270,"[""Don't"", 'walk', 'away']"
198,00:08:38.185,00:08:40.270,"['from', 'your', 'sin.']"
205,00:08:48.611,00:08:49.696,"['WOMAN:', 'Is', 'she', 'in', 'there?']"
206,00:08:49.737,00:08:51.114,"['MAN:', 'I', 'told', 'you,', 'no.']"
207,00:08:51.156,00:08:52.407,"['WOMAN:', 'I', ""can't"", 'deal']"
208,00:08:51.156,00:08:52.407,"['with', 'you', 'right', 'now.']"
211,00:08:56.370,00:08:57.954,"['MAN', '2:', 'Be', 'on', 'time.']"
215,00:09:05.170,00:09:07.506,"['NEWSCASTER:', 'It', 'is', 'believed']"
216,00:09:05.170,00:09:07.506,"['that', 'the', 'robbers']"
217,00:09:07.630,00:09:09.883,"['have', 'escaped', 'with']"
218,00:09:07.630,00:09:09.883,"['upwards', 'of', '$200,000.']"
222,00:09:28.985,00:09:30.445,"[""What's"", 'his', 'deal?']"
223,00:09:30.487,00:09:33.448,['Baby?']
224,00:09:30.487,00:09:33.448,"['Full', 'cut,', 'same', 'as', 'everyone.']"
225,00:09:33.490,00:09:36.284,"['No,', 'Doc,']"
226,00:09:33.490,00:09:36.284,"['I', 'mean', 'is', 'he,', 'uh,', 'retarded?']"
227,00:09:37.994,00:09:39.371,"['""Retarded""', 'means', 'slow.']"
228,00:09:37.994,00:09:39.371,"['Was', 'he', 'slow?']"
229,00:09:39.413,00:09:40.788,['No.']
230,00:09:40.830,00:09:43.417,"['Then', 'he', ""don't"", 'sound']"
231,00:09:40.830,00:09:43.417,"['that', 'retarded', 'to', 'me.']"
232,00:09:43.458,00:09:45.335,"[""He's"", 'a', 'good', 'kid', 'and']"
233,00:09:43.458,00:09:45.335,"['a', 'devil', 'behind', 'the', 'wheel.']"
234,00:09:45.377,00:09:47.337,"['What', 'the', 'hell', 'else', 'more']"
235,00:09:45.377,00:09:47.337,"['do', 'you', 'need', 'to', 'know?']"
236,00:09:47.379,00:09:50.048,"['So', 'you', ""don't"", 'think']"
237,00:09:47.379,00:09:50.048,"['that', ""there's""]"
238,00:09:47.379,00:09:50.048,"['something', 'wrong', 'with', 'him']"
239,00:09:50.090,00:09:52.092,"['just', 'not', 'saying', 'anything?']"
240,00:09:52.133,00:09:54.594,"[""There's"", 'nothing', 'wrong']"
241,00:09:52.133,00:09:54.594,"['with', 'a', 'little', 'quiet.']"
242,00:09:54.677,00:09:56.513,"['BUDDY:', 'You', 'know', 'why']"
243,00:09:54.677,00:09:56.513,"['they', 'call', 'him', 'Baby,', 'right?']"
244,00:09:56.555,00:09:58.598,"['Still', 'waiting', 'on']"
245,00:09:56.555,00:09:58.598,"['his', 'first', 'words.']"
251,00:10:08.233,00:10:12.195,"['So,', ""you're"", 'a', 'mute,', 'Baby?']"
252,00:10:08.233,00:10:12.195,"['Is', 'that', 'what', 'it', 'is?']"
254,00:10:14.573,00:10:15.740,"['Are', 'you', 'a', 'mute?']"
255,00:10:15.782,00:10:16.866,['No.']
257,00:10:18.701,00:10:21.829,"['So,', 'um,']"
258,00:10:18.701,00:10:21.829,"['what', 'are', 'you', 'listening', 'to?']"
259,00:10:21.871,00:10:23.582,"['Uh,', 'music.']"
260,00:10:23.706,00:10:25.500,"[""That's"", 'right.']"
261,00:10:23.706,00:10:25.500,"['You', 'tell', 'him,', 'Baby.']"
263,00:10:25.542,00:10:27.127,"[""It's"", 'okay.']"
265,00:10:29.837,00:10:32.215,"['For', ""God's"", 'sakes,', 'Griff,']"
266,00:10:29.837,00:10:32.215,"['leave', 'the', 'kid', 'alone.']"
267,00:10:32.257,00:10:35.260,"['You', ""can't"", 'just', 'be']"
268,00:10:32.257,00:10:35.260,"['in', 'crime,', 'right?']"
269,00:10:35.302,00:10:37.053,"['Not', 'without', 'being']"
270,00:10:35.302,00:10:37.053,"['a', 'little', 'criminal.']"
271,00:10:37.095,00:10:40.265,"['I', 'just', 'want', 'to', 'find', 'out']"
272,00:10:37.095,00:10:40.265,"[""what's"", 'going', 'on']"
273,00:10:37.095,00:10:40.265,"['between', 'those', 'ears,']"
274,00:10:40.307,00:10:41.808,"['aside,', 'of', 'course,', 'from,', 'uh...']"
275,00:10:42.809,00:10:44.852,"['Egyptian', 'Reggae.']"
276,00:10:44.894,00:10:46.396,"[""What's"", 'it', 'matter', 'to', 'you?']"
277,00:10:46.438,00:10:49.816,"['Just', 'think', 'that', 'he', 'thinks']"
278,00:10:46.438,00:10:49.816,"[""he's"", 'better', 'than', 'us.']"
279,00:10:49.857,00:10:51.651,"['He', 'wants', 'to', 'sit', 'there']"
280,00:10:49.857,00:10:51.651,"['in', 'his', 'car']"
281,00:10:51.734,00:10:53.778,"['and', 'keep']"
282,00:10:51.734,00:10:53.778,"['his', 'white', 'shirt', 'clean']"
283,00:10:51.734,00:10:53.778,"['while', 'the', 'rest', 'of', 'us,']"
284,00:10:53.820,00:10:55.447,"['we', 'roll', 'in', 'the', 'dirt.']"
285,00:10:57.407,00:10:59.284,"['One', 'of', 'these', 'days,', 'Baby,']"
286,00:10:59.326,00:11:01.035,"[""you're"", 'gonna', 'get']"
287,00:10:59.326,00:11:01.035,"['blood', 'on', 'your', 'hands,']"
288,00:11:01.077,00:11:03.413,"['and', ""you're"", 'gonna']"
289,00:11:01.077,00:11:03.413,"['find', 'out', 'that', 'that', 'shit']"
290,00:11:03.455,00:11:05.665,"[""don't"", 'wash', 'off']"
291,00:11:03.455,00:11:05.665,"['in', 'the', 'fucking', 'sink.']"
292,00:11:05.748,00:11:08.209,"['Relax.', 'The', 'kid', 'did']"
293,00:11:05.748,00:11:08.209,"['his', 'job,', 'all', 'right?']"
294,00:11:08.251,00:11:11.505,"['I', 'ever', 'say', 'that', 'the', 'kid']"
295,00:11:08.251,00:11:11.505,"[""wasn't"", 'great', 'at', 'his', 'job?', 'No.']"
296,00:11:11.546,00:11:13.423,"['I', 'think', ""he's"", 'a', 'star.']"
297,00:11:14.799,00:11:16.384,"['Would', 'I', 'vouch', 'for', 'him']"
298,00:11:14.799,00:11:16.384,"['if', 'he', ""wasn't?""]"
301,00:11:24.225,00:11:26.478,"['Got', 'to', 'hand', 'it', 'to', 'you,']"
302,00:11:24.225,00:11:26.478,"['totem', 'pole,']"
303,00:11:26.520,00:11:30.231,"[""you're"", 'either', 'hard', 'as']"
304,00:11:26.520,00:11:30.231,"['nails', 'or', 'scared', 'as', 'shit.']"
308,00:11:40.074,00:11:42.619,"['SECONDO', 'INTERMEZZINO', 'POP']"
311,00:11:47.123,00:11:48.791,"['What', 'do', 'you', 'think']"
312,00:11:47.123,00:11:48.791,"['about', 'that,', 'Baby?']"
313,00:11:48.833,00:11:51.211,"['Mommy', 'and', 'Daddy']"
314,00:11:48.833,00:11:51.211,"['are', 'getting', 'it', 'on.']"
315,00:11:51.252,00:11:52.420,['Enough.']
316,00:11:52.462,00:11:53.630,"['Yeah,', 'where', 'do', 'you', 'get', 'off?']"
317,00:11:53.672,00:11:55.507,['Right...']
319,00:11:55.549,00:11:57.634,['Here.']
320,00:11:57.676,00:12:01.137,"['Okay,', 'folks,']"
321,00:11:57.676,00:12:01.137,"['if', 'you', ""don't"", 'see', 'me', 'again,']"
322,00:12:01.179,00:12:03.139,"[""it's"", ""'cause"", ""I'm"", 'dead.']"
323,00:12:05.808,00:12:07.768,['DARLING:']
324,00:12:05.808,00:12:07.768,"['Tell', 'me', 'about', 'tonight,', 'Buddy.']"
325,00:12:07.810,00:12:13.316,"['Tonight,', 'Darling,']"
326,00:12:07.810,00:12:13.316,"['we', 'will', 'have', 'post-heist']"
327,00:12:07.810,00:12:13.316,"['revelry', 'at', 'Bacchanalia.']"
328,00:12:13.358,00:12:16.069,"['DARLING:', 'Why,', 'that', 'is']"
329,00:12:13.358,00:12:16.069,"['the', 'finest', ""winin'"", 'and', ""dinin'""]"
330,00:12:16.110,00:12:19.698,"['of', 'all', 'the', 'wines']"
331,00:12:16.110,00:12:19.698,"['and', 'dines', 'in', 'town.']"
333,00:12:19.822,00:12:22.200,"['Ah,', ""that's"", 'us.']"
334,00:12:22.242,00:12:23.535,['Bye.']
335,00:12:23.577,00:12:25.245,"['Well,', 'sir,']"
336,00:12:23.577,00:12:25.245,"['expect', 'the', 'lady', 'and', 'myself']"
337,00:12:25.286,00:12:28.206,"['to', 'darken', 'your', 'door']"
338,00:12:25.286,00:12:28.206,"['once', 'the', 'nose', 'bag', 'is', 'empty.']"
339,00:12:28.248,00:12:30.958,"['And,', 'Baby,', 'you', 'did', 'good,', 'kid.']"
340,00:12:31.000,00:12:33.961,"['Do', 'me', 'a', 'favor.']"
341,00:12:31.000,00:12:33.961,"['Next', 'time', 'Doc', 'calls,']"
342,00:12:34.003,00:12:36.089,"[""don't"", 'pick', 'up.']"
344,00:12:36.130,00:12:37.674,"[""Don't"", 'listen', 'to', 'him.']"
345,00:12:43.680,00:12:48.351,"['Now,']"
346,00:12:43.680,00:12:48.351,"['I', 'get', 'absolutely', 'no', 'pleasure']"
347,00:12:43.680,00:12:48.351,"['in', 'taking', 'candy', 'from', 'Baby,']"
348,00:12:48.393,00:12:52.021,"['but', ""we're"", 'fast', 'approaching']"
349,00:12:48.393,00:12:52.021,"['the', 'day', 'when', 'you...']"
350,00:12:53.940,00:12:55.358,"['Will', 'be', 'all', 'paid', 'up.']"
351,00:12:58.236,00:12:59.738,"['One', 'more', 'job', 'and', ""I'm"", 'done?']"
352,00:12:59.862,00:13:02.115,"['One', 'more', 'job', 'and']"
