start,end,script
00:01:13.323,00:02:33.320,THE JON SPENCER To catch the whole Put your hands in the air!
00:02:33.361,00:02:35.447,MAN: Get on the ground now!
00:02:35.489,00:02:37.365,Stay there!
00:02:37.407,00:02:38.826,Don't you move!
00:02:38.867,00:02:40.201,WOMAN 1: Get down!
00:02:42.037,00:02:43.747,MAN: Let's go!
00:02:43.789,00:02:45.040,"Let's go, let's go, let's go!"
00:02:45.082,00:02:46.291,MAN: Nobody move!
00:02:46.333,00:02:47.542,WOMAN 1: Nobody move!
00:02:47.584,00:02:50.879,"MAN: Everybody, stay down!"
00:02:50.921,00:02:54.716,"JON SPENCER: Thank you very much, ladies and gentlemen."
00:02:57.552,00:03:01.222,"...the fabulous, most groovy..."
00:03:02.307,00:03:03.725,Bellbottoms!
00:03:17.072,00:04:02.826,truly make me wanna dance She gotta have bell Way on the list Blues Explosion Oh!
00:04:06.163,00:04:08.165,"Whoa, whoa, whoa, whoa! Whoa!"
00:05:52.853,00:05:55.105,Driving a red Subaru WRX.
00:06:47.366,00:06:50.327,MAN: I'm here. You're late.
00:06:52.329,00:06:53.454,MAN: Hurry up.
00:06:55.123,00:06:56.541,MAN 2: Asshole!
00:06:56.583,00:06:58.543,Hey! Taxi!
00:07:00.754,00:07:02.714,Yeah.
00:07:03.882,00:07:05.800,"GIRL: You know it, honey."
00:07:10.638,00:07:12.432,WOMAN: Hey! Jerk.
00:07:34.037,00:07:50.053,to scuffle now Next customer.
00:07:50.095,00:07:51.430,"Oh, uh..."
00:07:51.554,00:07:52.722,Can I take your order?
00:07:52.764,00:07:54.141,Uh...
00:07:54.182,00:07:56.684,"Yeah, yeah, yeah."
00:07:56.726,00:07:58.728,"I'll have, uh, four black coffees, medium."
00:07:58.770,00:08:00.188,Name?
00:08:00.230,00:08:01.564,Baby?
00:08:01.606,00:08:02.857,"B-A-B-Y, Baby."
00:08:05.235,00:08:06.820,WOMAN: Could you pass that?
00:08:11.116,00:08:12.242,BARISTA: Baby.
00:08:16.830,00:08:20.208,DISPATCHER: Subaru WRX believed to be connected to the robbery...
00:08:30.885,00:08:34.181,The river of sin.
00:08:34.222,00:08:38.143,Sin can be washed away if you just find God.
00:08:38.185,00:08:40.270,Don't walk away from your sin.
00:08:48.611,00:08:49.696,WOMAN: Is she in there?
00:08:49.737,00:08:51.114,"MAN: I told you, no."
00:08:51.156,00:08:52.407,WOMAN: I can't deal with you right now.
00:08:56.370,00:08:57.954,MAN 2: Be on time.
00:09:05.170,00:09:09.883,"NEWSCASTER: It is believed that the robbers have escaped with upwards of $200,000."
00:09:28.985,00:09:30.445,What's his deal?
00:09:30.487,00:09:33.448,Baby?
00:09:33.490,00:09:36.284,"No, Doc, I mean is he, uh, retarded?"
00:09:37.994,00:09:39.371,Retarded means slow.
00:09:39.413,00:09:40.788,No.
00:09:40.830,00:09:43.417,Then he don't sound that retarded to me.
