num,start,end,script
1,00:00:54.054,00:00:56.974,"['Hey,', 'man,', ""what's"", 'this', '""having']"
2,00:00:54.054,00:00:56.974,"['a', 'picnic""', 'shit', 'in', 'my', 'car?']"
3,00:00:56.974,00:01:01.353,"['Please,', 'man,', ""I'm"", 'not']"
4,00:00:56.974,00:01:01.353,"[""gettin'"", 'my', 'sex', 'at', 'home.']"
5,00:00:56.974,00:01:01.353,"[""Don't"", 'deny', 'me', 'this.']"
6,00:01:01.353,00:01:03.981,"['What', 'are', 'you', 'talking', 'about?']"
7,00:01:01.353,00:01:03.981,"['You', 'sleep', 'with', 'a', 'beautiful']"
8,00:01:01.353,00:01:03.981,"['woman', 'every', 'night.']"
9,00:01:03.981,00:01:05.983,"[""I'm"", 'married.']"
10,00:01:03.981,00:01:05.983,"[""That's"", 'what', '""married""', 'means.']"
11,00:01:05.983,00:01:08.485,"['You', 'sleep', 'together']"
12,00:01:05.983,00:01:08.485,"['but', 'you', ""can't"", 'get', 'none.']"
13,00:01:12.656,00:01:16.451,"['Why', ""don't"", 'you', 'watch', 'it']"
14,00:01:12.656,00:01:16.451,"['with', 'all', 'that', 'shit,', 'all', 'right?']"
15,00:01:16.451,00:01:19.287,"['Hey,', 'look,', ""where's""]"
16,00:01:16.451,00:01:19.287,"['your', 'cup-holders?']"
17,00:01:19.287,00:01:22.374,"['I', ""don't"", 'have', 'one.']"
18,00:01:19.287,00:01:22.374,"['What', 'do', 'you', 'mean?']"
19,00:01:22.374,00:01:24.960,"['$80,000', 'for', 'this', 'car', 'and', 'you']"
20,00:01:22.374,00:01:24.960,"[""ain't"", 'got', 'no', 'damn', 'cup-holder?']"
21,00:01:24.960,00:01:29.464,"[""It's"", '$105,000,', 'this', 'happens']"
22,00:01:24.960,00:01:29.464,"['to', 'be', 'one', 'of', 'the', 'fastest']"
23,00:01:24.960,00:01:29.464,"['production', 'cars', 'on', 'the', 'planet.']"
24,00:01:29.464,00:01:31.258,"['0', 'to', '60', 'in']"
25,00:01:29.464,00:01:31.258,"['four', 'seconds,', 'sweetie.']"
26,00:01:31.258,00:01:34.261,"['This', 'is', 'a', 'limited', 'edition.']"
27,00:01:31.258,00:01:34.261,"['You', 'damn', 'right', ""it's"", 'limited!']"
28,00:01:34.261,00:01:36.471,"['No', 'cup-holder,', 'no', 'back', 'seat.']"
29,00:01:36.471,00:01:38.974,"[""It's"", 'a', 'shiny', 'dick']"
30,00:01:36.471,00:01:38.974,"['with', 'two', 'chairs', 'in', 'it.']"
