start,end,script
00:00:54.054,00:00:56.974,"Hey, man, what's this having a picnic shit in my car?"
00:00:56.974,00:01:01.353,"Please, man, I'm not gettin' my sex at home."
00:01:01.353,00:01:03.981,What are you talking about?
00:01:03.981,00:01:05.983,I'm married.
00:01:05.983,00:01:08.485,You sleep together but you can't get none.
00:01:12.656,00:01:16.451,"Why don't you watch it with all that shit, all right?"
00:01:16.451,00:01:19.287,"Hey, look, where's your cup-holders?"
00:01:19.287,00:01:22.374,I don't have one.
00:01:22.374,00:01:24.960,"$80,000 for this car and you ain't got no damn cup-holder?"
00:01:24.960,00:01:29.464,"It's $105,000, this happens to be one of the fastest production cars on the planet."
00:01:29.464,00:01:31.258,"0 to 60 in four seconds, sweetie."
00:01:31.258,00:01:34.261,This is a limited edition.
00:01:34.261,00:01:36.471,"No cup-holder, no back seat."
00:01:36.471,00:01:38.974,It's a shiny dick with two chairs in it.
00:01:38.974,00:01:42.269,"I guess we the balls, just dragging the fuck along."
00:01:43.186,00:01:45.564,"Oh, damn!"
00:01:45.564,00:01:47.148,Sorry.
00:01:52.029,00:01:53.655,Get it.
00:01:53.655,00:01:56.450,I can't get down there.
00:01:56.450,00:01:58.493,My shit ain't going down up in there.
00:01:59.536,00:02:01.789,"Go! Titty-titty, strutty-strutty."
00:02:01.789,00:02:03.916,MAN 1: Go on.
00:02:03.916,00:02:06.460,MIKE: I ain't your wife to be cleaning up after your filthy ass.
00:02:06.460,00:02:10.297,"You watch my hand, okay?"
00:02:10.297,00:02:12.674,"Now, what do you come up with? You got this shit."
00:02:12.674,00:02:14.342,You gonna get that fry.
00:02:14.342,00:02:16.804,This ain't no goddamn Denny's. No eating in my...
00:02:16.804,00:02:20.724,"MARCUS: I wouldn't be buying Denny's anyway, not like the way we been treated."
00:02:20.724,00:02:24.019,"They bit, Jack. Let's gank these fools!"
00:02:24.019,00:02:27.147,MARCUS: Damn fry.
00:02:27.147,00:02:29.483,"Get out of the car, man."
00:02:29.483,00:02:30.734,What the fuck?
00:02:30.734,00:02:32.319,MAN 2: We've had a big week.
00:02:32.319,00:02:34.362,So just get the fuck out of the car.
00:02:34.362,00:02:37.240,"Damn! What are you weighing, 350?"
00:02:37.240,00:02:40.160,"I bet you're a big Popeye Chicken-eating motherfucker, ain't you?"
00:02:40.160,00:02:41.787,"Hey, hey."
00:02:41.787,00:02:44.081,"Why I always got to get the big, thick motherfuckers?"
00:02:44.081,00:02:45.415,MAN 2: Out of the car now!
00:02:45.415,00:02:47.126,All right! All right!
00:02:47.126,00:02:49.252,Hold on!
00:02:49.252,00:02:51.922,Now this is some funny shit.
00:02:51.922,00:02:53.882,"Right now, you're jacking a couple cops."
00:02:53.882,00:02:58.887,"Oh, yeah? Well, I'm a stand-up comedian, and I suck!"
00:02:58.887,00:03:00.889,"Now, I ain't no Wesley Snipes."
00:03:00.889,00:03:06.687,I just hang out with stupid-ass friends that drive stupid-ass cars that attract a lot of motherfucking attention!
00:03:06.687,00:03:10.858,I need to jump over this car and smack your head.
00:03:10.858,00:03:13.568,You know what?
00:03:13.568,00:03:16.446,It's not about a fry.
00:03:16.446,00:03:18.448,"Hey, hey, hey, hey!"
00:03:18.448,00:03:21.827,That shit is stupid!
00:03:21.827,00:03:24.329,"If you want some bad enough, come get some!"
00:03:27.791,00:03:29.043,You like that shit?
00:03:29.043,00:03:31.837,"Wesley Snipes, Passenger 57."
00:03:31.837,00:03:34.715,Now give me a motherfucking Handi Wipe.
