word,counts
know,110
got,109
go,67
right,65
just,62
here,60
gon,55
man,52
now,50
look,48
so,45
let,44
can,44
shit,43
all,41
ass,38
going,38
ai,35
there,32
how,31
time,31
want,31
come,30
guys,28
where,25
little,25
see,25
baby,24
okay,24
fuck,23
why,23
back,23
take,23
ca,22
girl,20
tell,20
mean,19
guy,19
fucking,19
bad,18
need,18
cop,18
could,18
place,17
call,17
think,17
move,16
talk,16
doing,15
goddamn,15
way,15
wife,15
good,15
would,15
car,14
lot,14
home,14
keep,14
listen,13
too,13
last,13
say,13
said,13
partner,13
damn,13
only,13
find,13
dead,13
always,13
talking,13
even,12
when,12
kill,12
real,12
get,12
will,12
witness,12
really,11
over,11
thank,11
told,11
down,11
work,11
day,11
watch,11
fine,11
getting,11
house,11
help,11
out,10
put,10
give,10
more,10
believe,10
in,10
care,10
love,10
case,10
kind,10
should,10
like,9
hell,9
hold,9
motherfucker,9
make,9
job,9
looking,9
much,9
tonight,9
quality,9
problem,9
thing,9
whole,9
thought,9
big,9
then,9
shot,9
wait,9
blow,8
night,8
family,8
looks,8
remember,8
check,8
maybe,8
motherfucking,8
never,8
bitch,8
phone,8
better,8
deal,8
of,8
up,8
coming,8
hours,8
drive,8
boy,8
very,7
wanted,7
minute,7
party,7
people,7
ever,7
wrong,7
telling,7
daddy,7
freeze,7
other,7
funny,6
long,6
trying,6
gets,6
sometimes,6
cops,6
left,6
leave,6
cool,6
today,6
guess,6
having,6
huh,6
stop,6
high,6
stuff,6
couple,6
heroin,6
feel,6
drugs,6
woman,6
days,6
probably,6
must,6
running,6
bring,6
dog,6
easy,6
business,6
enough,6
minutes,6
means,6
bit,6
dope,6
door,6
friend,6
done,6
run,6
taking,5
supposed,5
hear,5
head,5
use,5
goes,5
wo,5
ether,5
tired,5
well,5
truck,5
custody,5
trust,5
stupid,5
forgot,5
upstairs,5
first,5
dogs,5
made,5
news,5
rich,5
before,5
morning,5
been,5
bed,5
bust,5
life,5
shoot,5
protective,5
lady,5
ring,5
new,5
killed,5
name,5
kids,5
one,5
own,5
playing,5
pick,5
captain,5
no,5
excuse,4
meet,4
file,4
mom,4
yvette,4
money,4
explain,4
eat,4
police,4
next,4
pictures,4
none,4
naked,4
ears,4
pay,4
still,4
fools,4
rubber,4
sure,4
stay,4
idea,4
important,4
hard,4
sweet,4
sort,4
gun,4
inside,4
slow,4
sleep,4
gone,4
keys,4
sit,4
sick,4
knew,4
shut,4
lead,4
sex,4
live,4
lose,4
fucked,4
says,4
step,4
major,4
personal,4
about,4
alone,4
asshole,4
bet,4
away,4
ahead,4
