num,start,end,script
1,00:00:10.177,00:00:11.553,['Hey!']
8,00:00:57.140,00:00:59.059,"['Yellow,', 'black.', 'Yellow,', 'black.']"
9,00:00:57.140,00:00:59.059,"['Yellow,', 'black.']"
10,00:00:59.059,00:01:00.936,"['Yellow,', 'black.']"
11,00:00:59.059,00:01:00.936,"['Yellow,', 'black.', 'Yellow,', 'black.']"
12,00:01:00.936,00:01:04.231,"['Ooh,', 'black', 'and', 'yellow!', 'Yeah,']"
13,00:01:00.936,00:01:04.231,"[""let's"", 'shake', 'it', 'up', 'a', 'little.']"
15,00:01:14.825,00:01:17.870,['Barry!']
16,00:01:14.825,00:01:17.870,"['Breakfast', 'is', 'ready!']"
17,00:01:17.870,00:01:19.747,['Coming!']
19,00:01:19.747,00:01:22.457,"['Oh,', 'hang', 'on', 'a', 'second.']"
20,00:01:22.457,00:01:23.667,['Hello?']
22,00:01:23.667,00:01:25.044,['Adam?']
23,00:01:25.044,00:01:26.628,"['Can', 'you', 'believe']"
24,00:01:25.044,00:01:26.628,"['this', 'is', 'happening?']"
25,00:01:26.628,00:01:29.381,"[""Can't"", 'believe', 'it.']"
26,00:01:26.628,00:01:29.381,"[""I'll"", 'pick', 'you', 'up.']"
28,00:01:31.174,00:01:33.260,"['Looking', 'sharp.']"
29,00:01:36.638,00:01:38.223,"['Barry,', 'why', ""don't""]"
30,00:01:36.638,00:01:38.223,"['you', 'use', 'the', 'stairs?']"
31,00:01:38.223,00:01:39.934,"['Your', 'father', 'paid']"
32,00:01:38.223,00:01:39.934,"['good', 'money', 'for', 'those.']"
33,00:01:39.934,00:01:41.643,"['Sorry.', ""I'm"", 'excited.']"
34,00:01:41.643,00:01:44.187,"[""Here's"", 'the', 'graduate.']"
35,00:01:41.643,00:01:44.187,"[""We're"", 'very', 'proud', 'of', 'you,', 'son.']"
36,00:01:44.187,00:01:46.941,"['And', 'a', 'perfect']"
37,00:01:44.187,00:01:46.941,"['report', 'card,', 'all', ""B's.""]"
38,00:01:46.941,00:01:48.358,"['Very', 'proud.']"
39,00:01:48.358,00:01:50.151,"['Ma!', 'I', 'got', 'a', 'thing', 'going', 'here.']"
40,00:01:50.151,00:01:51.528,"['You', 'got', 'some', 'lint']"
41,00:01:50.151,00:01:51.528,"['on', 'your', 'fuzz.']"
42,00:01:51.528,00:01:52.863,"['Ow!', ""That's"", 'me!']"
43,00:01:52.863,00:01:55.824,"['Wave', 'to', 'us!']"
44,00:01:52.863,00:01:55.824,"[""We'll"", 'be', 'in', 'row', '118,000.']"
45,00:01:55.824,00:01:57.242,['Bye!']
46,00:01:57.242,00:01:59.286,"['Barry,', 'I', 'told', 'you,']"
47,00:01:57.242,00:01:59.286,"['stop', 'flying', 'in', 'the', 'house!']"
51,00:02:21.100,00:02:22.851,"['Hey,', 'Adam.']"
52,00:02:21.100,00:02:22.851,"['Hey,', 'Barry.']"
53,00:02:22.851,00:02:24.394,"['Is', 'that', 'fuzz', 'gel?']"
54,00:02:24.394,00:02:26.480,"['A', 'little.', ""It's"", 'a', 'special', 'day,']"
55,00:02:24.394,00:02:26.480,"['finally', 'graduating.']"
56,00:02:26.480,00:02:28.065,"['Never', 'thought', ""I'd"", 'make', 'it.']"
57,00:02:28.065,00:02:30.275,"['Three', 'days', 'of', 'grade', 'school,']"
58,00:02:28.065,00:02:30.275,"['three', 'days', 'of', 'high', 'school.']"
59,00:02:30.275,00:02:32.778,"['Those', 'were', 'so', 'awkward.']"
60,00:02:30.275,00:02:32.778,"['Three', 'days', 'of', 'college.']"
61,00:02:32.778,00:02:34.362,"[""I'm"", 'glad', 'I', 'took', 'off']"
62,00:02:32.778,00:02:34.362,"['one', 'day', 'in', 'the', 'middle']"
63,00:02:34.362,00:02:35.864,"['and', 'hitchhiked']"
64,00:02:34.362,00:02:35.864,"['around', 'the', 'hive.']"
65,00:02:35.864,00:02:37.532,"['You', 'did', 'come', 'back', 'different.']"
66,00:02:37.532,00:02:39.242,['ARTIE:']
67,00:02:37.532,00:02:39.242,"['Hi,', 'Barry!']"
68,00:02:39.242,00:02:41.578,['BARRY:']
69,00:02:39.242,00:02:41.578,"['Hey,', 'Artie,']"
70,00:02:39.242,00:02:41.578,"['growing', 'a', 'mustache?', 'Looks', 'good.']"
71,00:02:41.578,00:02:44.123,"['Hey,', 'did', 'you', 'hear', 'about', 'Frankie?']"
72,00:02:41.578,00:02:44.123,['Yeah.']
73,00:02:44.123,00:02:45.373,"['You', 'going', 'to', 'his', 'funeral?']"
74,00:02:45.373,00:02:46.959,"['No,', ""I'm"", 'not', 'going']"
75,00:02:45.373,00:02:46.959,"['to', 'his', 'funeral.']"
76,00:02:46.959,00:02:48.961,"['Everybody', 'knows', 'you']"
77,00:02:46.959,00:02:48.961,"['sting', 'someone,', 'you', 'die.']"
78,00:02:48.961,00:02:51.463,"['You', ""don't"", 'waste', 'it', 'on', 'a']"
79,00:02:48.961,00:02:51.463,"['squirrel.', 'He', 'was', 'such', 'a', 'hothead.']"
80,00:02:51.463,00:02:54.967,"['Yeah,', 'I', 'guess', 'he', 'could', 'have', 'just']"
81,00:02:51.463,00:02:54.967,"['gotten', 'out', 'of', 'the', 'way.']"
82,00:02:54.967,00:02:57.136,['BOTH:']
83,00:02:54.967,00:02:57.136,['Whoa!']
85,00:03:01.640,00:03:03.851,['ADAM:']
86,00:03:01.640,00:03:03.851,"['I', 'love', 'this', 'incorporating']"
87,00:03:01.640,00:03:03.851,"['an', 'amusement', 'park']"
88,00:03:03.851,00:03:05.644,"['right', 'into', 'our', 'regular', 'day.']"
89,00:03:05.644,00:03:08.022,"['I', 'guess', ""that's"", 'why', 'they', 'say']"
90,00:03:05.644,00:03:08.022,"['we', ""don't"", 'need', 'vacations.']"
94,00:03:13.861,00:03:17.948,"['Boy,', 'quite', 'a', 'bit', 'of', 'pomp']"
95,00:03:13.861,00:03:17.948,"['under', 'the', 'circumstances.']"
96,00:03:21.702,00:03:23.954,"['Well,', 'Adam,', 'today', 'we', 'are', 'men.']"
97,00:03:21.702,00:03:23.954,"['We', 'are!']"
98,00:03:23.954,00:03:25.288,['Bee-men.']
99,00:03:23.954,00:03:25.288,['Amen!']
100,00:03:25.288,00:03:26.623,['BOTH:']
101,00:03:25.288,00:03:26.623,['Hallelujah!']
104,00:03:27.875,00:03:29.543,"['Students,', 'faculty,']"
105,00:03:29.543,00:03:30.878,"['distinguished', 'bees,']"
106,00:03:30.878,00:03:33.212,"['please', 'welcome', 'Dean', 'Buzzwell.']"
108,00:03:34.548,00:03:39.678,"['Welcome,', 'New', 'Hive', 'City']"
109,00:03:34.548,00:03:39.678,"['graduating', 'class', 'of']"
110,00:03:39.678,00:03:41.013,['9:15.']
