start,end,script
00:00:10.177,00:00:11.553,Hey!
00:00:57.140,00:00:59.059,"Yellow, black. Yellow, black."
00:00:59.059,00:01:00.936,"Yellow, black."
00:01:00.936,00:01:04.231,"Ooh, black and yellow! Yeah, let's shake it up a little."
00:01:14.825,00:01:17.870,Barry!
00:01:17.870,00:01:19.747,Coming!
00:01:19.747,00:01:22.457,"Oh, hang on a second."
00:01:22.457,00:01:23.667,Hello?
00:01:23.667,00:01:25.044,Adam?
00:01:25.044,00:01:26.628,Can you believe this is happening?
00:01:26.628,00:01:29.381,Can't believe it.
00:01:31.174,00:01:33.260,Looking sharp.
00:01:36.638,00:01:38.223,"Barry, why don't you use the stairs?"
00:01:38.223,00:01:39.934,Your father paid good money for those.
00:01:39.934,00:01:41.643,Sorry. I'm excited.
00:01:41.643,00:01:44.187,Here's the graduate.
00:01:44.187,00:01:46.941,"And a perfect report card, all B's."
00:01:46.941,00:01:48.358,Very proud.
00:01:48.358,00:01:50.151,Ma! I got a thing going here.
00:01:50.151,00:01:51.528,You got some lint on your fuzz.
00:01:51.528,00:01:52.863,Ow! That's me!
00:01:52.863,00:01:55.824,Wave to us!
00:01:55.824,00:01:57.242,Bye!
00:01:57.242,00:01:59.286,"Barry, I told you, stop flying in the house!"
00:02:21.100,00:02:22.851,"Hey, Adam."
00:02:22.851,00:02:24.394,Is that fuzz gel?
00:02:24.394,00:02:26.480,"A little. It's a special day, finally graduating."
00:02:26.480,00:02:28.065,Never thought I'd make it.
00:02:28.065,00:02:30.275,"Three days of grade school, three days of high school."
00:02:30.275,00:02:32.778,Those were so awkward.
00:02:32.778,00:02:35.864,I'm glad I took off one day in the middle and hitchhiked around the hive.
00:02:35.864,00:02:37.532,You did come back different.
00:02:37.532,00:02:39.242,"ARTIE: Hi, Barry!"
00:02:39.242,00:02:41.578,"BARRY: Hey, Artie, growing a mustache? Looks good."
00:02:41.578,00:02:44.123,"Hey, did you hear about Frankie?"
00:02:44.123,00:02:45.373,You going to his funeral?
00:02:45.373,00:02:46.959,"No, I'm not going to his funeral."
