words,counts
like,33
one,24
song,23
know,17
really,15
thank,14
time,14
much,11
come,10
said,10
love,10
go,10
sing,10
well,9
last,9
think,9
got,9
little,8
get,8
lot,8
right,8
wonderful,8
wanna,7
people,7
back,7
called,7
thing,7
first,7
city,7
tell,7
person,7
hope,6
feel,6
everyone,6
music,6
wrote,6
need,6
oh,6
things,6
would,6
tonight,6
life,6
going,6
situation,5
grow,5
given,5
yes,5
wish,5
name,5
thought,5
years,5
hello,5
see,5
else,5
let,5
could,5
parents,5
wanted,5
came,5
coming,4
okay,4
away,4
summer,4
decent,4
older,4
become,4
relationship,4
us,4
radio,4
new,4
room,4
sort,4
great,4
something,4
good,4
gonna,4
someone,4
also,4
always,4
jewish,4
went,4
kid,4
another,4
cause,4
living,4
started,4
looked,4
many,4
um,4
uh,4
everything,4
special,4
say,3
cool,3
leave,3
moment,3
quickly,3
long,3
grew,3
greatest,3
happen,3
grade,3
gift,3
human,3
friends,3
felt,3
favorite,3
looking,3
please,3
man,3
everybody,3
ever,3
eighth,3
never,3
next,3
old,3
decided,3
play,3
space,3
date,3
strange,3
try,3
bit,3
trip,3
beautiful,3
anyone,3
way,3
world,3
want,3
working,3
used,3
square,3
whole,3
best,3
anxiety,3
york,3
ben,3
water,2
perchance,2
overwhelmed,2
least,2
find,2
knowledge,2
ways,2
peeing,2
fellow,2
gummies,2
kind,2
perhaps,2
weed,2
feeling,2
forget,2
playing,2
talk,2
found,2
point,2
john,2
possible,2
whatever,2
dated,2
frustrated,2
fun,2
perspective,2
times,2
lemme,2
though,2
mall,2
artist,2
means,2
experience,2
might,2
mine,2
mom,2
family,2
enjoy,2
mouth,2
encouraged,2
true,2
troubles,2
musical,2
elton,2
artists,2
naturally,2
anyway,2
look,2
usually,2
live,2
eat,2
together,2
father,2
night,2
line,2
number,2
dad,2
letting,2
queer,2
free,2
goes,2
home,2
sad,2
agree,2
god,2
saying,2
hey,2
gay,2
children,2
help,2
gone,2
character,2
wow,2
head,2
write,2
adult,2
since,2
happening,2
singers,2
yeah,2
brother,2
hang,2
careful,2
camp,2
somebody,2
stage,2
guys,2
bullying,2
songs,2
cakes,2
spent,2
class,2
apps,2
sure,2
crazy,2
incredibly,2
hotel,2
girls,2
whoo,2
give,2
crab,2
idea,2
insane,2
ahead,2
giving,2
books,2
gets,2
important,2
quite,2
couple,2
act,1
anywhere,1
granted,1
appreciated,1
grave,1
figured,1
approached,1
general,1
fairy,1
facts,1
fantastic,1
friend,1
fact,1
extraterrestrial,1
expect,1
exercise,1
excuse,1
absolute,1
anyways,1
grandmother,1
grandma,1
glad,1
glass,1
fell,1
feelings,1
glimpse,1
fine,1
air,1
finish,1
anxious,1
album,1
getting,1
anybody,1
announcement,1
affair,1
flash,1
flow,1
anything,1
gorgeous,1
gosh,1
far,1
along,1
forgiveness,1
forward,1
games,1
bunk,1
arm,1
big,1
closer,1
closet,1
clues,1
coat,1
bold,1
comes,1
comfortable,1
blessed,1
comment,1
community,1
confidence,1
cop,1
arms,1
copy,1
corner,1
beyonc,1
country,1
better,1
crossroad,1
crossroads,1
cry,1
dance,1
believe,1
david,1
brandi,1
chorus,1
bribe,1
chord,1
bus,1
building,1
brought,1
care,1
carlile,1
case,1
cast,1
cat,1
catfishing,1
cats,1
broken,1
cauldron,1
bringing,1
chairs,1
chalk,1
challenge,1
channel,1
chaperone,1
charlotte,1
childhood,1
bring,1
china,1
choices,1
dead,1
deal,1
deals,1
aviv,1
drink,1
dry,1
dust,1
earlier,1
earnest,1
avery,1
asking,1
ebb,1
effect,1
asked,1
