start,end,script
00:00:28.153,00:00:29.529,And relax.
00:00:31.656,00:00:32.824,This is perfect here.
00:00:33.199,00:00:35.160,"Yes, and we have one exercise to do."
00:05:18.151,00:05:20.403,"Hello, Radio City!"
00:05:23.281,00:05:24.907,Thank you so much for being here!
00:05:26.034,00:05:28.202,"If you happen to know it, feel free to sing."
00:08:52.323,00:08:54.325,"Well hello, New York City, how are you?"
00:08:57.578,00:09:00.706,I feel very overwhelmed because this is Radio City Music Hall.
00:09:03.000,00:09:05.503,"Yes, you've heard as well, I see."
00:09:05.586,00:09:07.672,"Um, and this is very crazy."
00:09:07.755,00:09:14.053,"Usually when I come up on a stage, ever since I was six or seven years old, I'm disguised as one thing or another."
00:09:14.679,00:09:17.598,"A very nerdy magician perhaps, or..."
00:09:18.808,00:09:19.642,Yes.
00:09:19.725,00:09:25.731,"Or a very strange Mormon missionary, or perhaps a kid with a broken arm."
00:09:27.650,00:09:28.901,"Oh, my gosh!"
00:09:29.110,00:09:31.696,I'm so glad that you've appreciated my work in Ricki And The Flash.
00:09:32.989,00:09:41.664,"But this year is the first time I've come on stage as myself, and be myself, because you decided to spend your night with me, so I can't thank you enough for letting me do that."
00:09:42.373,00:09:43.583,It's wonderful.
00:09:46.085,00:09:49.380,"I grew up in a very large, very Jewish, very musical family."
00:09:49.463,00:09:52.174,We were called the Von Platt Family Singers in our community.
00:09:52.925,00:09:54.385,Many of them are here tonight.
00:09:54.468,00:09:59.473,"My brother Henry, and my sister Hannah, and my brother Avery, and my parents."
00:10:00.766,00:10:08.983,"So, when I decided to come out when I was 12, or just figured out I was gay, I didn't really decide to come out, it was really not a thing, no big deal. Lemme walk you through it."
00:10:09.066,00:10:13.404,"I was in eighth grade, I was on a trip to Israel, like you do in eighth grade..."
00:10:14.488,00:10:15.323,when you're a Jew.
00:10:15.406,00:10:27.209,"And a kid in my class, on my bus, during the trip made a comment to the effect of, like, Oh, Ben is so lucky, because he's gay, so he gets to hang out with all the girls, and they let him in their hotel rooms, and they don't care..."
00:10:27.293,00:10:30.588,"And it was not a derogatory thing at all. It wasn't bullying, it was just true."
00:10:30.671,00:10:33.507,"Like, all my friends were girls, and they let me hang out with them."
00:10:33.591,00:10:41.515,"But the chaperone overheard this and thought it was a bad bullying incident and was gonna tell my parents, and I was like, Lemme not have this be the first time that we discuss this."
00:10:41.599,00:10:44.226,"I don't want it to come up in this way, I want to get ahead of it."
00:10:44.310,00:10:47.730,"So I went back to my hotel in Tel Aviv, called my parents."
00:10:47.813,00:10:50.149,"I don't know what time it was for them, but it was important."
00:10:50.232,00:10:52.943,"And I said, I have to tell you something."
00:10:53.027,00:10:54.862,"And my mom goes, Is this about your sexuality?"
00:10:59.700,00:11:01.661,"I was like, Let me finish!"
00:11:03.746,00:11:07.792,"And basically she said, We know, you spent most of your childhood dressed as Dorothy from Wizard of Oz."
00:11:07.875,00:11:09.085,No one is surprised.
00:11:10.336,00:11:11.545,"I was like, Oh, that's great."
00:11:11.629,00:11:14.465,"She said, I have all these books on my bedside table, I wanna read them."
00:11:15.299,00:11:16.384,Which I thought was strange.
00:11:16.467,00:11:20.429,"And then she handed the phone to my father, who said, Are you being safe?"
00:11:20.513,00:11:22.390,"And I said, I'm 12, I don't know what you mean!"
00:11:23.641,00:11:25.893,And that was really it.
00:11:25.976,00:11:31.941,"And I really wish for everyone in the world, everyone who's watching at home, everyone here tonight, that it can be that much of a nothing."
00:11:32.024,00:11:35.152,"Because it doesn't need to be an event, or an announcement..."
00:11:36.278,00:11:37.154,Thank you.
00:11:42.034,00:11:43.202,Thank you very much.
00:11:43.285,00:11:45.788,"I agree. I thought you might, given that we're in New York City."
00:11:47.415,00:11:49.333,"Is there any queer people here tonight, perchance?"
00:11:52.920,00:11:58.968,"When I was 18 years old, I dated someone who was in the closet, which, if you ask your queer neighbors, is sort of a rite of passage."
00:11:59.051,00:12:00.928,"I think we like the challenge, or something."
00:12:01.011,00:12:05.057,"Some of his embarrassment and discomfort rubbed off on me, and I really didn't like that."
00:12:05.141,00:12:22.241,"And I looked back on that experience, many years down the line, when I was writing this album, and I wrote this next song about how I wish I had approached that person and that experience, and how I would have spoken to him if I had had all of the knowledge and confidence that I now have as a medium adult, and it's called Honest Man."
00:16:40.374,00:16:41.792,You knew there'd be a stool.
00:20:41.281,00:20:42.366,"So, listen..."
00:20:44.368,00:20:46.703,"Decided to have one Beyoncé, a little... sort of... not..."
00:20:47.204,00:20:58.590,"I-- As you can tell by the last song, I really love to be in my feelings, as it were, use the music to process those sad things, which is important, and we should all do that, but I also think music is meant to help us feel ourselves."
00:20:58.674,00:21:01.051,Is anyone feeling themselves this evening at Radio City?
00:21:03.595,00:21:04.429,Yes!
00:21:05.055,00:21:06.223,"Cool, me too!"
00:21:06.306,00:21:12.062,"Given that we're at Radio City-- One time, I dated this fellow, and he wasn't very nice to me, didn't treat me with a lot of respect."
00:21:12.145,00:21:14.815,"So... I wrote this song, and I felt a lot better."
00:24:41.480,00:24:44.941,"So, wherever that fellow is now, I hope that your life is one long line at the DMV."
00:24:46.026,00:24:48.403,"Just kidding, I hope you're well... Forgiveness."
00:24:49.988,00:24:50.989,So...
00:24:51.531,00:24:53.492,As you can tell by our little sort of...
00:24:54.075,00:25:06.213,"extraterrestrial living room situation we have going on, I really wanted this to feel as warm and welcoming as possible, and that you felt comfortable, and could have a good time, we could get to know each other, because I don't get to do that when I'm playing a character."
00:25:06.713,00:25:08.006,"Excuse me, water burps."
