num,start,end,script
8,00:01:58.326,00:01:59.745,['Manuel.']
9,00:02:00.871,00:02:02.330,['Manuel!']
10,00:02:02.330,00:02:04.541,"['Qué', 'contrastes?']"
11,00:02:16.386,00:02:18.680,['Manuel.']
21,00:03:53.859,00:03:56.070,['MAN:']
22,00:03:53.859,00:03:56.070,"['I', 'think...']"
23,00:03:59.364,00:04:02.034,"['I', 'think', 'I', 'found', 'you', 'one.']"
24,00:04:04.912,00:04:07.330,"['Look,', 'I', 'called', 'you,', 'right?']"
25,00:04:09.249,00:04:12.586,"['Soon', 'as', 'I', ""couldn't""]"
26,00:04:09.249,00:04:12.586,"['pull', 'it', 'out', 'myself...']"
28,00:04:13.587,00:04:15.089,"['I', 'called', 'you,', 'John.']"
31,00:04:28.727,00:04:30.104,['WOMAN:']
32,00:04:28.727,00:04:30.104,"[""It's"", 'okay,']"
33,00:04:28.727,00:04:30.104,"[""it's"", 'okay.']"
34,00:04:30.104,00:04:31.396,"['You', 'had', 'to']"
35,00:04:30.104,00:04:31.396,"['tie', 'her', 'down.']"
36,00:04:31.396,00:04:33.023,"[""It'll"", 'be', 'okay.']"
37,00:04:33.481,00:04:34.691,"[""It's"", 'okay.']"
43,00:05:27.995,00:05:30.956,"['This', 'is', 'Constantine.']"
44,00:05:30.956,00:05:34.042,"['John', 'Constantine...']"
45,00:05:34.042,00:05:35.252,['asshole.']
49,00:05:43.551,00:05:44.886,['Sure.']
52,00:06:07.951,00:06:09.911,"['What', 'the', 'hell?']"
53,00:06:27.346,00:06:28.930,"['I', 'need', 'a', 'mirror.']"
54,00:06:28.930,00:06:32.059,"['Now!', 'At', 'least', '3', 'feet', 'high.']"
55,00:06:32.059,00:06:34.435,['Move!']
56,00:06:32.059,00:06:34.435,"['Go,', 'now!']"
57,00:06:48.783,00:06:50.869,"['This', 'is', 'Kramer.']"
58,00:06:50.869,00:06:53.705,"['Chas', 'Kramer,', 'asshole.']"
59,00:06:54.622,00:06:56.208,['Asshole.']
60,00:06:56.208,00:06:57.376,['What?']
61,00:06:57.376,00:06:59.669,"['Oh.', 'This', 'is', 'Kramer.']"
62,00:06:59.669,00:07:01.629,"['Chas', 'Kramer,', 'asshole.']"
63,00:07:01.629,00:07:03.090,['CONSTANTINE:']
64,00:07:01.629,00:07:03.090,['Chas!']
65,00:07:03.090,00:07:04.132,['What?']
66,00:07:04.132,00:07:05.424,"['Move', 'the', 'car.']"
67,00:07:05.424,00:07:06.843,['Why?']
68,00:07:06.843,00:07:08.929,"['Move', 'the', 'damn', 'car!']"
70,00:07:12.807,00:07:14.309,"['Chas,', 'move', 'the', 'car.']"
71,00:07:16.561,00:07:17.771,"['There,', ""car's"", 'moved.']"
73,00:07:28.740,00:07:30.700,"['Lift', 'it', 'up']"
74,00:07:28.740,00:07:30.700,"['over', 'the', 'bed.']"
75,00:07:33.120,00:07:34.121,"['Tie', 'that', 'end', 'off.']"
76,00:07:34.121,00:07:35.663,['Hennessy...']
77,00:07:35.663,00:07:37.082,"['over', 'the', 'top.']"
78,00:07:38.250,00:07:39.667,"['Close', 'your', 'eyes.']"
79,00:07:39.667,00:07:42.087,"['And', 'whatever', 'happens...']"
80,00:07:42.087,00:07:43.671,"[""don't"", 'look.']"
84,00:07:55.600,00:07:56.810,['No!']
86,00:08:04.025,00:08:05.693,"['Show', 'yourself.']"
87,00:08:09.990,00:08:12.367,"['Smile', 'pretty,', 'you', 'vain', 'prick.']"
88,00:08:16.913,00:08:18.706,['Ah.']
89,00:08:20.708,00:08:21.960,"['For', 'your', 'boss.']"
91,00:08:23.211,00:08:24.504,"['Pull', 'it!']"
92,00:08:27.466,00:08:29.009,['Shi--']
96,00:08:51.656,00:08:53.616,"['Ma?', 'Ma?']"
97,00:08:53.616,00:08:55.369,['MOTHER:']
98,00:08:53.616,00:08:55.369,['Ohhh...']
102,00:09:28.985,00:09:30.362,['HENNESSY:']
103,00:09:28.985,00:09:30.362,"['Like', 'I', 'said,']"
104,00:09:30.362,00:09:32.613,"['I', 'found', 'you', 'something,']"
105,00:09:30.362,00:09:32.613,"[""didn't"", 'I,', 'John?']"
106,00:09:32.613,00:09:33.990,"[""Didn't"", 'I?']"
107,00:09:33.990,00:09:35.909,"['What', 'happened']"
108,00:09:33.990,00:09:35.909,"['in', 'there?']"
109,00:09:43.291,00:09:45.544,"['Going', 'to', 'a', 'lot']"
110,00:09:43.291,00:09:45.544,"['of', 'meetings,', 'I', 'see.']"
111,00:09:45.544,00:09:47.921,"['Keeps', 'the', 'voices', 'out']"
112,00:09:45.544,00:09:47.921,"['so', 'I', 'can', 'sleep.']"
113,00:09:49.172,00:09:51.049,"['I', 'have', 'to', 'sleep,']"
114,00:09:49.172,00:09:51.049,['John.']
115,00:09:51.799,00:09:54.135,"['I', 'need', 'some', 'help,']"
116,00:09:51.799,00:09:54.135,['Father.']
117,00:09:54.135,00:09:55.887,"['You', 'do?']"
118,00:09:57.264,00:09:58.973,"['From', 'me?']"
119,00:09:58.973,00:10:00.767,"['What', 'kind', 'of--?']"
120,00:10:02.685,00:10:03.686,['Hey.']
121,00:10:03.686,00:10:04.687,"['Listen,', 'I--']"
122,00:10:04.687,00:10:07.107,"['That', 'exorcism']"
123,00:10:04.687,00:10:07.107,"[""wasn't"", 'right.']"
124,00:10:10.277,00:10:12.028,"['Listen', 'to', 'the', 'ether.']"
125,00:10:12.987,00:10:14.739,"['Anything', 'unusual...']"
126,00:10:15.365,00:10:17.117,"['you', 'let', 'me', 'know.']"
127,00:10:17.117,00:10:19.119,"['Come', 'on,', 'you', ""don't""]"
128,00:10:17.117,00:10:19.119,"['need', 'its', 'protection.']"
129,00:10:19.119,00:10:21.288,"[""It'll"", 'be', 'like']"
130,00:10:19.119,00:10:21.288,"['back', 'in', 'the', 'day.']"
131,00:10:25.333,00:10:27.001,"['A', 'few', 'days.']"
132,00:10:27.627,00:10:29.087,['Okay.']
133,00:10:29.087,00:10:30.797,['Okay.']
134,00:10:30.797,00:10:32.632,"['For', 'you,', 'John.']"
135,00:10:35.552,00:10:37.095,"['John,', 'why', 'would', 'you']"
136,00:10:35.552,00:10:37.095,"['do', 'that']"
137,00:10:37.095,00:10:38.972,"['if', 'you', 'know']"
138,00:10:37.095,00:10:38.972,"[""it's"", 'not', 'my', 'car?']"
139,00:10:38.972,00:10:40.390,"['I', 'told', 'you']"
140,00:10:38.972,00:10:40.390,"['to', 'move', 'it.']"
141,00:10:40.390,00:10:42.392,"['All', 'right,', 'John,', 'you', 'did']"
142,00:10:40.390,00:10:42.392,"['tell', 'me', 'to', 'move', 'it.']"
143,00:10:42.392,00:10:44.227,"['But', 'if', 'you', ""would've""]"
144,00:10:42.392,00:10:44.227,"['told', 'me', 'that', 'it', 'was']"
145,00:10:44.227,00:10:46.396,"['a', '300-pound', 'mirror']"
146,00:10:44.227,00:10:46.396,"['you', 'were', 'dropping']"
147,00:10:44.227,00:10:46.396,"['with', 'a', 'pissed-off', 'demon,']"
148,00:10:46.396,00:10:48.064,"['I', ""would've"", 'moved', 'it']"
149,00:10:46.396,00:10:48.064,"['further,', 'John.']"
150,00:10:48.064,00:10:49.316,"['Take', 'Alvarado.']"
151,00:10:49.316,00:10:51.526,"['Yeah,', 'John,', 'thank', 'you.']"
152,00:10:49.316,00:10:51.526,"['I', 'know', 'what', 'to', 'take.']"
153,00:10:52.902,00:10:55.405,['CHAS:']
154,00:10:52.902,00:10:55.405,"['You', 'ever', 'think']"
155,00:10:52.902,00:10:55.405,"['if', 'you', 'told', 'me', 'more', 'now,']"
156,00:10:55.405,00:10:57.031,"['that', 'maybe', 'I', 'could', 'help', 'out?']"
157,00:10:57.031,00:10:58.241,['Huh?']
158,00:10:57.031,00:10:58.241,['Nope.']
159,00:10:58.241,00:11:01.661,"['Nope?', 'Of', 'course']"
160,00:10:58.241,00:11:01.661,"[""it's"", 'a', 'nope.']"
165,00:11:38.948,00:11:40.867,"['Bless', 'me,', 'Father,']"
166,00:11:38.948,00:11:40.867,"['for', 'I', 'have', 'sinned.']"
167,00:11:44.162,00:11:45.455,"[""It's"", 'been...']"
168,00:11:46.998,00:11:50.335,"['two', 'weeks', 'since']"
169,00:11:46.998,00:11:50.335,"['my', 'last', 'confession.']"
170,00:11:53.380,00:11:55.882,"['I', 'killed', 'a', 'man', 'today.']"
171,00:11:56.757,00:11:58.677,"['Another', 'one.']"
172,00:12:03.056,00:12:04.516,"['I', ""didn't"", 'even...']"
173,00:12:05.559,00:12:06.560,"['see', 'his', 'face.']"
174,00:12:06.560,00:12:07.810,"['I', 'just...']"
175,00:12:08.769,00:12:11.314,"['pulled', 'the', 'trigger,']"
176,00:12:08.769,00:12:11.314,"['and', 'he', 'went', 'away.']"
177,00:12:12.524,00:12:14.984,"['Most', 'cops', 'go', '20', 'years...']"
