start,end,script
00:00:54.929,00:00:58.516,known for his extraordinary ability.
00:01:03.271,00:01:06.232,Dr. Dolittle's reputation spread far and wide.
00:01:06.316,00:01:08.860,Even the Queen of England called on him.
00:01:09.569,00:01:16.534,"So grateful for his help, she gifted him a wondrous sanctuary whose doors were open to all creatures."
00:01:17.911,00:01:28.129,"His days belonged to the animals, but his heart belonged to one woman, Lily, the fearless explorer."
00:01:29.297,00:01:32.467,"They traveled the globe, going on great adventures."
00:01:32.550,00:01:36.513,Defending creatures who could not defend themselves.
00:01:42.310,00:01:45.230,They made an extraordinary team.
00:01:46.272,00:01:49.192,"Soon, that team became a family."
00:01:51.027,00:01:56.741,"With Lily by his side, Dolittle never felt more alive."
00:01:57.700,00:02:01.871,"Until one day, she left on an adventure."
00:02:09.170,00:02:11.714,Lily died at sea.
00:02:15.844,00:02:22.267,"Heartbroken, he locked the gates of the manor and completely retreated from the world."
00:02:22.350,00:02:31.234,"As for me, and the animals whose lives he'd saved, we were left to wonder, could anyone save his?"
00:02:35.446,00:02:41.161,"Until one morning, a most unlikely creature found its way into Dolittle's life."
00:02:41.244,00:02:43.621,A very special boy.
00:02:43.705,00:02:52.005,"In a time where people thought of animals only as possessions, food, or sport, this boy felt quite differently."
00:03:01.389,00:03:03.516,"This way, me scattered squirrel."
00:03:04.100,00:03:04.976,Right.
00:03:06.144,00:03:08.688,"Junior flushes them. You shoot them, yeah?"
00:03:11.524,00:03:12.567,Shoulder your gun.
00:03:20.450,00:03:21.910,"There, there they go. Shoot, shoot, shoot."
00:03:21.993,00:03:23.870,"You got him, you got him, you got him. Shoot, shoot, shoot."
00:03:30.001,00:03:32.211,You can't keep missing on purpose.
00:03:43.640,00:03:45.350,We have to help him.
00:03:47.101,00:03:48.686,We never leave an animal suffering.
00:03:48.770,00:03:50.355,Not on our error.
00:03:50.438,00:03:51.397,Here you go.
00:04:32.855,00:04:34.232,We treat all animals.
00:04:51.958,00:04:53.501,Secret entrance.
00:05:36.127,00:05:37.879,Poly? Where'd you go?
00:05:54.020,00:05:55.188,Good dog.
00:07:58.269,00:07:59.520,It's not good.
00:07:59.604,00:08:03.566,"As far as I'm concerned, I'm the only human here."
00:08:03.649,00:08:04.859,Just ignore them.
00:08:04.942,00:08:06.861,"There's no getting past a Kalahari snare, Doc."
00:08:06.944,00:08:08.029,It's an ingenious design.
00:08:08.112,00:08:09.947,I think you just caught yourself a boy.
00:08:10.031,00:08:11.616,Let me see. Wait. I don't wanna see.
00:08:13.075,00:08:15.203,"Deep breaths, Doc. Dab-Dab's got your back."
00:08:18.164,00:08:19.749,This is an opportunity.
00:08:28.591,00:08:30.384,Whatever are you doing up there?
00:08:31.719,00:08:34.931,I've come from Buckingham Palace on urgent business.
00:08:35.014,00:08:38.392,Can you tell me if this is the home of John Dolittle?
00:08:39.519,00:08:40.561,Who are you?
00:08:40.645,00:08:42.647,You may call me Lady Rose.
00:08:42.730,00:08:44.398,And you are?
00:08:44.982,00:08:46.150,Stubbins.
00:08:46.859,00:08:49.529,Could you help me down?
00:08:49.612,00:08:51.572,This goes against Dolittle's rules.
00:08:51.656,00:08:53.991,"Why are humans against the rules, again?"
00:08:54.075,00:08:57.828,"If you let humans too close, you'll get hurt more than you would if you didn't let them in at all."
00:08:57.912,00:08:59.038,"Isn't that right, Doc?"
00:08:59.121,00:09:01.666,"That's enough, everybody. Back to our routine."
00:09:03.334,00:09:05.461,Pull yourself together.
00:09:05.545,00:09:08.756,"You can't ignore people just because they're, eh, people."
00:09:10.758,00:09:11.968,Ooh.
00:09:12.885,00:09:14.595,"Possum, play dead."
00:09:17.139,00:09:18.891,"Chee-Chee, will you answer the door?"
00:09:18.975,00:09:20.309,You're the only one with arms.
00:09:25.439,00:09:28.109,Be brave and get rid of them.
00:09:28.192,00:09:29.652,And don't forget your mantra.
00:09:29.735,00:09:32.863,I am not a prisoner of fear?
00:09:32.947,00:09:35.449,You're not a prisoner of fear.
00:09:38.077,00:09:39.745,Have you been here before?
00:09:39.829,00:09:41.706,The queen's told me all about it.
00:09:41.789,00:09:43.916,It's a most unusual place.
00:09:44.000,00:09:45.585,I'm prepared for anything.
00:09:55.928,00:09:57.221,Wonderful.
00:09:57.305,00:09:59.223,A gorilla answering the door.
00:09:59.307,00:10:02.476,Just as the queen said.
00:10:07.940,00:10:10.735,Oh... Wait a minute...
00:10:10.818,00:10:12.862,I have an injured squirrel.
00:10:41.182,00:10:42.224,Hello?
00:11:03.079,00:11:04.914,"Oh, look at you."
00:11:04.997,00:11:08.709,"Aren't you peculiar, posing as a twig?"
00:11:17.551,00:11:18.552,Not here.
00:11:22.306,00:11:24.809,Yeah. Fine. Go on.
00:11:24.892,00:11:26.811,"-Dr. Dolittle? -Yeah, right."
00:11:26.894,00:11:31.190,You have been summoned to Buckingham Palace by the queen herself.
00:11:32.942,00:11:34.110,Go on.
00:11:34.193,00:11:37.780,"You should know, she's fallen gravely ill."
00:11:40.699,00:11:42.201,Do you understand what I'm saying?
00:11:42.284,00:11:44.829,Do you understand what I'm saying?
00:11:46.789,00:11:48.833,Go on and be gone!
00:11:53.045,00:11:55.423,The birds will show you out.
00:11:57.925,00:11:59.176,"Right, everything's tidy."
00:11:59.260,00:12:01.345,"Lunch will be served in a minute, now."
00:12:09.145,00:12:10.896,"Smells lovely, Doc."
00:12:18.696,00:12:21.031,"Sorry, Doc. Guess I'm scared of kids, too."
00:12:23.534,00:12:26.036,I'm going to be offering today a brothy soup.
00:12:28.622,00:12:30.875,"The queen has asked for you by name, sir."
00:12:30.958,00:12:31.959,Are you hard of hearing?
00:12:32.042,00:12:34.128,I told you I'm closed for business.
00:12:40.676,00:12:42.261,Treating humans.
00:12:50.144,00:12:51.729,Don't worry. I'm fine.
00:12:51.812,00:12:53.022,"Well, I'm not."
00:12:53.105,00:12:55.232,My house is descending into chaos.
00:12:55.316,00:12:56.859,Is he yours?
