word,counts
here,33
got,32
now,30
go,29
just,25
can,25
know,24
let,24
will,23
queen,20
look,19
right,18
going,18
all,17
good,17
when,16
more,15
help,15
need,15
back,15
never,15
there,14
come,14
would,14
way,13
where,13
how,13
make,13
time,12
so,12
ca,11
boy,11
think,11
kid,11
bad,11
life,11
see,10
journal,10
very,10
could,10
keep,10
should,10
gon,10
too,10
only,10
animals,9
why,9
wait,9
give,9
away,9
well,9
even,8
still,8
shoot,8
done,8
humans,8
then,7
bit,7
home,7
want,7
course,7
own,7
saying,7
must,7
ever,7
found,7
said,7
day,7
tree,7
say,7
island,7
okay,6
big,6
understand,6
one,6
fly,6
best,6
boat,6
stay,6
worry,6
man,6
save,6
coming,6
house,6
bro,6
may,6
tell,6
fine,6
alive,6
feel,6
getting,6
scared,6
doing,6
daughter,6
told,5
together,5
place,5
ship,5
quite,5
call,5
left,5
little,5
thanks,5
as,5
enough,5
get,5
apprentice,5
miss,5
take,5
stop,5
much,5
sorry,5
again,5
after,5
head,5
over,5
doctor,5
things,5
belong,5
fruit,5
close,5
made,5
actually,5
stubbins,5
wo,5
kind,4
gorilla,4
great,4
dead,4
knew,4
gone,4
in,4
celery,4
front,4
taking,4
certain,4
talking,4
crew,4
put,4
down,4
remember,4
hurt,4
doo,4
really,4
clear,4
known,4
shall,4
people,4
world,4
mind,4
sir,4
far,4
fear,4
moment,4
most,4
animal,4
long,4
pay,4
eat,4
needed,4
leave,4
saved,4
extraordinary,4
mean,4
squirrel,4
wanted,4
means,4
message,3
rest,3
path,3
while,3
team,3
hole,3
talk,3
hear,3
attention,3
dog,3
creatures,3
hope,3
sign,3
release,3
bear,3
room,3
minute,3
step,3
offer,3
able,3
about,3
obsessed,3
once,3
new,3
run,3
die,3
deed,3
sure,3
deal,3
work,3
dies,3
move,3
guess,3
pack,3
map,3
family,3
gates,3
behind,3
forget,3
huh,3
interesting,3
today,3
spiders,3
lost,3
voyage,3
human,3
shot,3
injured,3
explorer,3
plan,3
longer,3
dragon,3
show,3
second,3
chance,3
treat,3
pull,3
poly,3
light,3
seems,3
less,3
prisoner,3
last,3
find,3
boys,3
important,3
watch,3
believe,3
belonged,3
making,3
felt,3
cold,3
ready,3
thought,3
bird,3
red,3
lucky,3
person,3
sea,2
follow,2
fellow,2
seen,2
severe,2
served,2
eye,2
scorpion,2
smells,2
face,2
of,2
shut,2
side,2
feathers,2
first,2
smelled,2
friend,2
finish,2
sick,2
smell,2
fetch,2
failed,2
says,2
full,2
gentlemen,2
feeling,2
quick,2
goes,2
loves,2
perfect,2
perhaps,2
makes,2
magic,2
madeleine,2
lunch,2
luck,2
lovely,2
polar,2
piece,2
lot,2
lose,2
looks,2
log,2
living,2
play,2
peculiar,2
maybe,2
medical,2
messing,2
obsession,2
old,2
omen,2
night,2
next,2
negative,2
ostrich,2
name,2
other,2
outside,2
pain,2
parrot,2
part,2
particular,2
might,2
likes,2
leek,2
rules,2
happen,2
hit,2
heck,2
restore,2
health,2
hard,2
ridiculous,2
riding,2
guys,2
lean,2
guy,2
guards,2
guard,2
grow,2
round,2
route,2
routine,2
hold,2
hunters,2
icing,2
idea,2
possibly,2
language,2
pressure,2
ladies,2
knows,2
kitty,2
proud,2
journey,2
job,2
pulling,2
irony,2
ironic,2
quietly,2
raise,2
ignore,2
extraction,2
off,2
sniff,2
weird,2
dangerous,2
blew,2
days,2
suppose,2
wants,2
deep,2
better,2
stuff,2
beloved,2
before,2
died,2
stress,2
disguise,2
armor,2
beat,2
steal,2
ditch,2
bandits,2
door,2
bags,2
dragons,2
attack,2
state,2
starting,2
whole,2
wife,2
dancing,2
swim,2
born,2
brave,2
change,2
totally,2
chin,2
tiger,2
turn,2
care,2
claws,2
came,2
calm,2
called,2
code,2
unavailable,2
common,2
completely,2
business,2
understanding,2
thank,2
unknown,2
continue,2
unusual,2
brought,2
count,2
tea,2
crying,2
cure,2
duck,2
caught,2
words,2
wonder,2
speak,2
years,2
emotional,2
already,2
sounds,2
worse,2
answer,2
soon,2
woman,2
escaped,2
adventure,2
wonderful,2
stand,2
special,2
ability,2
working,2
enemy,2
speaking,2
wreckage,1
posing,1
possession,1
worthy,1
pose,1
understood,1
write,1
uncertainty,1
unbearable,1
open,1
worst,1
point,1
please,1
plenty,1
upon,1
poachers,1
pocket,1
works,1
points,1
unites,1
up,1
worried,1
poof,1
unlikely,1
poopfling,1
portside,1
possessions,1
prepared,1
possible,1
tummy,1
try,1
offering,1
private,1
prized,1
procured,1
progress,1
promised,1
proofread,1
truth,1
proper,1
truly,1
truffle,1
protect,1
protecting,1
tropical,1
zag,1
prickly,1
wrong,1
often,1
wrote,1
prance,1
umlaut,1
urgent,1
preposterous,1
omelet,1
preserve,1
pretended,1
pretty,1
type,1
year,1
twig,1
prevents,1
turning,1
yet,1
upset,1
win,1
plant,1
whale,1
outsmart,1
welcome,1
won,1
outrageous,1
week,1
peace,1
outlaws,1
wedding,1
wears,1
wearing,1
perform,1
wear,1
perilous,1
others,1
perimeter,1
payment,1
whales,1
plans,1
pattern,1
palace,1
widest,1
wide,1
painting,1
wind,1
wing,1
particularly,1
winner,1
pass,1
past,1
owned,1
whiff,1
wisely,1
wish,1
patient,1
weakness,1
ways,1
wondering,1
perish,1
pig,1
order,1
waiting,1
opportunity,1
vulnerability,1
places,1
violent,1
village,1
opening,1
vial,1
vessel,1
vapors,1
paper,1
valuable,1
planned,1
wake,1
walking,1
ordered,1
warm,1
perplexed,1
watching,1
waste,1
warship,1
trim,1
personally,1
phrases,1
picture,1
pick,1
wondrous,1
picking,1
wanting,1
word,1
pickles,1
warning,1
tin,1
trees,1
services,1
stealing,1
scurried,1
seals,1
seasickness,1
stayed,1
season,1
seat,1
status,1
secret,1
secure,1
secured,1
started,1
staring,1
seize,1
send,1
sentimental,1
separate,1
septic,1
seriously,1
scientific,1
sticking,1
scattered,1
study,1
sumatran,1
sadness,1
suggestion,1
suggest,1
suffice,1
suffering,1
styx,1
sail,1
sails,1
stinger,1
sanctuary,1
students,1
stronger,1
stripes,1
saw,1
stretch,1
stowaway,1
stomach,1
starboard,1
standing,1
treatment,1
session,1
spanish,1
space,1
simply,1
sovereign,1
soup,1
sister,1
sit,1
skills,1
slick,1
slightest,1
sort,1
slip,1
son,1
somehow,1
soldier,1
solar,1
snuck,1
snitches,1
smile,1
signal,1
spans,1
sights,1
spoken,1
staircase,1
squid,1
spread,1
shipmate,1
spot,1
shipwrecked,1
sport,1
shorthanded,1
spoil,1
sidelines,1
split,1
spend,1
speed,1
shoulder,1
speaks,1
sibling,1
sparkling,1
sparing,1
summoned,1
sad,1
rushing,1
sunk,1
thrown,1
throne,1
received,1
thrilled,1
threat,1
thoughts,1
record,1
though,1
recovery,1
regardless,1
thinking,1
thing,1
regret,1
thin,1
thieves,1
remain,1
therapeutic,1
theorizes,1
removal,1
realize,1
real,1
read,1
question,1
treating,1
purpose,1
treacherous,1
traveled,1
track,1
push,1
toxins,1
town,1
questionable,1
rare,1
queue,1
touch,1
took,1
rabbits,1
snare,1
ran,1
tidy,1
random,1
removing,1
tested,1
terrible,1
root,1
ringleader,1
rings,1
rip,1
rise,1
rivalry,1
river,1
syllable,1
sweetie,1
ropes,1
tail,1
swear,1
survives,1
surgery,1
row,1
support,1
rudimentary,1
rug,1
ruler,1
symptoms,1
takes,1
reopened,1
resume,1
reputation,1
requested,1
resident,1
respect,1
terms,1
tender,1
tend,1
telling,1
retreated,1
rid,1
returned,1
returns,1
taste,1
reveal,1
tap,1
revealed,1
revenge,1
rhetorical,1
abandoned,1
lighting,1
oclock,1
counting,1
crazy,1
creature,1
criminals,1
crowds,1
crushed,1
current,1
cut,1
cuts,1
dad,1
damage,1
damn,1
dance,1
darling,1
daughters,1
daylight,1
dear,1
death,1
decided,1
deeper,1
defeat,1
defend,1
defending,1
defense,1
degrees,1
deliver,1
demand,1
depths,1
couple,1
corner,1
choice,1
copy,1
circus,1
claims,1
class,1
cleaning,1
clearing,1
clearly,1
closed,1
closely,1
clothes,1
clue,1
colon,1
comfort,1
comfortable,1
compels,1
complaint,1
compliance,1
compounded,1
comprehension,1
concern,1
concerned,1
consequences,1
consult,1
contacts,1
continuance,1
contract,1
conversation,1
coordinates,1
deranged,1
descending,1
design,1
designated,1
embark,1
embarrass,1
embarrassed,1
