,0,1
0,"['1', '00:00:02.458', '00:00:04.875', ['(drumroll)']]",1 00:00:02.458 00:00:04.875 (drumroll)
1,"['2', '00:00:06.375', '00:00:09.041', ['(rousing', 'orchestral']]",2 00:00:06.375 00:00:09.041 (rousing orchestral
2,"['3', '00:00:06.375', '00:00:09.041', ['fanfare', 'playing)']]",3 00:00:06.375 00:00:09.041 fanfare playing)
3,"['4', '00:00:19.916', '00:00:21.958', ['(fanfare', 'ends)']]",4 00:00:19.916 00:00:21.958 (fanfare ends)
4,"['5', '00:00:46.333', '00:00:49.041', ['GIRL:']]",5 00:00:46.333 00:00:49.041 GIRL:
5,"['6', '00:00:46.333', '00:00:49.041', ['14,', '15,']]","6 00:00:46.333 00:00:49.041 14, 15,"
6,"['7', '00:00:49.083', '00:00:51.916', ['16,', 'prime,']]","7 00:00:49.083 00:00:51.916 16, prime,"
7,"['8', '00:00:51.958', '00:00:54.333', ['18,', 'prime,']]","8 00:00:51.958 00:00:54.333 18, prime,"
8,"['9', '00:00:54.375', '00:00:58.458', ['20,', '21,']]","9 00:00:54.375 00:00:58.458 20, 21,"
9,"['10', '00:00:58.500', '00:00:59.916', ['22,', 'prime...']]","10 00:00:58.500 00:00:59.916 22, prime..."
10,"['11', '00:00:59.958', '00:01:01.500', ['MAN:']]",11 00:00:59.958 00:01:01.500 MAN:
11,"['12', '00:00:59.958', '00:01:01.500', ['West', 'Virginia']]",12 00:00:59.958 00:01:01.500 West Virginia
12,"['13', '00:00:59.958', '00:01:01.500', ['Collegiate', 'Institute', 'is']]",13 00:00:59.958 00:01:01.500 Collegiate Institute is
13,"['14', '00:01:01.541', '00:01:04.333', ['the', 'best', 'school']]",14 00:01:01.541 00:01:04.333 the best school
14,"['15', '00:01:01.541', '00:01:04.333', ['for', 'Negros', 'in', 'the', 'state.']]",15 00:01:01.541 00:01:04.333 for Negros in the state.
15,"['16', '00:01:04.375', '00:01:07.750', [""It's"", 'the', 'only', 'school']]",16 00:01:04.375 00:01:07.750 It's the only school
16,"['17', '00:01:04.375', '00:01:07.750', ['past', 'the', 'eighth', 'grade']]",17 00:01:04.375 00:01:07.750 past the eighth grade
17,"['18', '00:01:04.375', '00:01:07.750', ['anywhere', 'near', 'here.']]",18 00:01:04.375 00:01:07.750 anywhere near here.
18,"['19', '00:01:07.791', '00:01:09.875', ['Isosceles.']]",19 00:01:07.791 00:01:09.875 Isosceles.
19,"['20', '00:01:09.916', '00:01:11.916', ['Scalene.']]",20 00:01:09.916 00:01:11.916 Scalene.
20,"['21', '00:01:11.958', '00:01:13.583', ['Equilateral.']]",21 00:01:11.958 00:01:13.583 Equilateral.
21,"['22', '00:01:14.375', '00:01:15.750', ['Rhombus.']]",22 00:01:14.375 00:01:15.750 Rhombus.
22,"['23', '00:01:15.791', '00:01:17.708', ['Trapezoid.']]",23 00:01:15.791 00:01:17.708 Trapezoid.
23,"['24', '00:01:17.750', '00:01:20.958', [""-Katherine's""]]",24 00:01:17.750 00:01:20.958 -Katherine's
24,"['25', '00:01:17.750', '00:01:20.958', ['in', 'the', 'sixth', 'grade.']]",25 00:01:17.750 00:01:20.958 in the sixth grade.
