num,start,end,script
3,00:01:09.820,00:01:13.156,"['ALICE:', 'There', 'is']"
4,00:01:09.820,00:01:13.156,"['a', 'right', 'way', 'to', 'be', 'single.']"
5,00:01:13.198,00:01:15.450,"['Hey.', 'How', 'are', 'you?']"
7,00:01:17.411,00:01:19.120,"['Oh,', ""when's"", 'your', 'wedding?']"
8,00:01:19.162,00:01:21.540,"['Eighteen', 'months', 'after']"
9,00:01:19.162,00:01:21.540,"['I', 'meet', 'the', 'right', 'guy.']"
10,00:01:22.290,00:01:23.751,['Okay.']
11,00:01:23.792,00:01:25.084,"['ALICE:', 'And', 'a', 'wrong', 'way']"
12,00:01:23.792,00:01:25.084,"['to', 'be', 'single.']"
13,00:01:26.628,00:01:28.380,"['And', 'then', ""there's"", 'this', 'guy.']"
15,00:01:35.888,00:01:37.389,"['Good', 'morning.']"
16,00:01:37.431,00:01:40.267,"['Hi.', 'You', 'want', 'a', 'hand', 'with', 'that?']"
17,00:01:47.608,00:01:49.944,"['ALICE:', ""We're"", 'embarrassed']"
18,00:01:47.608,00:01:49.944,"['to', 'admit', ""we're"", 'single,']"
19,00:01:49.985,00:01:52.362,"['and', 'try', 'to', 'pretend']"
20,00:01:49.985,00:01:52.362,"['that', ""we're"", 'not.']"
23,00:01:53.906,00:01:55.783,"['NURSE:', 'We', 'need', 'you']"
24,00:01:53.906,00:01:55.783,"['in', 'Exam', 'Room', '3.']"
25,00:01:57.659,00:01:59.286,"['ALICE:', ""We're"", 'supposed']"
26,00:01:57.659,00:01:59.286,"['to', 'act', 'all', 'cheerful']"
27,00:01:59.327,00:02:00.871,"['and', 'happy', 'about', 'it.']"
28,00:02:02.414,00:02:04.291,['What?']
29,00:02:04.332,00:02:07.210,"['But', 'why', 'should', 'we']"
30,00:02:04.332,00:02:07.210,"['be', 'embarrassed?']"
31,00:02:07.252,00:02:09.797,"[""We're"", 'living', 'longer,']"
32,00:02:07.252,00:02:09.797,"['marrying', 'later,']"
33,00:02:09.838,00:02:11.799,"['and', 'refusing']"
34,00:02:09.838,00:02:11.799,"['to', 'leave', 'the', 'party']"
35,00:02:11.840,00:02:13.926,"['before', ""we're"", 'really,']"
36,00:02:11.840,00:02:13.926,"['really', 'done.']"
37,00:02:13.968,00:02:17.262,"['So,', 'why', 'do', 'we', 'always', 'tell', 'our']"
38,00:02:13.968,00:02:17.262,"['stories', 'through', 'relationships?']"
39,00:02:17.304,00:02:18.555,"[""Where's"", 'home?']"
40,00:02:18.597,00:02:20.975,"['Oh,', ""I'm"", 'not', 'going', 'home.']"
41,00:02:21.850,00:02:23.435,"['No', 'way.']"
43,00:02:32.527,00:02:34.571,['Shit.']
46,00:02:36.907,00:02:38.742,"['Here,', 'here.']"
47,00:02:36.907,00:02:38.742,"['Oh,', 'my', 'God,', 'oh,', 'my', 'God...']"
48,00:02:38.784,00:02:41.411,"['I', 'gotcha.', 'Here', 'you', 'go.']"
50,00:02:43.664,00:02:45.457,"['I', 'did', 'not', 'think', 'this', 'through.']"
53,00:02:50.796,00:02:51.797,"[""I'm"", 'Josh.']"
54,00:02:52.798,00:02:54.299,"[""I'm"", 'Alice.']"
55,00:02:58.137,00:03:00.681,"['ALICE:', 'But', 'this', 'story']"
56,00:02:58.137,00:03:00.681,"[""isn't"", 'about', 'relationships.']"
57,00:03:00.722,00:03:03.266,"[""It's"", 'about', 'all', 'those']"
58,00:03:00.722,00:03:03.266,"['times', 'in', 'between']"
59,00:03:03.308,00:03:07.646,"['when', 'maybe,', 'just', 'maybe,']"
60,00:03:03.308,00:03:07.646,"['our', 'real', 'life', 'is', 'happening.']"
61,00:03:07.688,00:03:09.564,"['This', ""isn't"", 'a', 'break-up.', 'Okay?']"
62,00:03:09.606,00:03:12.359,"[""We're"", 'just', 'taking']"
63,00:03:09.606,00:03:12.359,"['some', 'time', 'apart.']"
64,00:03:12.400,00:03:14.945,"[""It's"", 'temporary.', 'Like,', ""it's...""]"
65,00:03:12.400,00:03:14.945,"['You', 'know,', ""it's"", 'like', 'a', 'break.']"
66,00:03:14.987,00:03:16.363,['Bullshit!']
68,00:03:16.404,00:03:19.616,"['been', 'on', 'my', 'own.']"
69,00:03:19.658,00:03:21.493,"['I', 'went', 'from', 'living']"
70,00:03:19.658,00:03:21.493,"['with', 'my', 'parents,']"
71,00:03:21.535,00:03:24.287,"['to', 'living', 'in', 'a', 'dorm,']"
72,00:03:21.535,00:03:24.287,"['to', 'living', 'with', 'you.']"
73,00:03:24.329,00:03:25.747,"['But', ""we're"", 'happy,', 'Alice.']"
74,00:03:26.581,00:03:27.916,"['Are', 'we?']"
75,00:03:26.581,00:03:27.916,['Yeah.']
76,00:03:27.958,00:03:29.877,"['Or', 'are', 'we', 'just', 'boring?']"
77,00:03:29.918,00:03:32.713,"[""I'm"", 'not', 'boring.']"
78,00:03:29.918,00:03:32.713,"[""I'm"", 'fucking', 'fun.']"
79,00:03:32.754,00:03:34.464,"['I', 'say', ""I'm"", 'gonna']"
80,00:03:32.754,00:03:34.464,"['do', 'things', 'all', 'the', 'time,']"
81,00:03:34.506,00:03:36.257,"['and', 'I', 'never,', 'ever', 'do', 'them.']"
82,00:03:36.299,00:03:38.552,"['Like,', ""I'm"", 'gonna', 'learn', 'to', 'cook,']"
83,00:03:36.299,00:03:38.552,"['or', 'take', 'a', 'self-defense', 'class']"
84,00:03:38.593,00:03:40.470,"['or', ""I'm"", 'gonna', 'hike']"
85,00:03:38.593,00:03:40.470,"['the', 'Grand', 'Canyon,']"
86,00:03:40.512,00:03:41.638,"['and', 'I', 'never,', 'ever', 'do', 'it.']"
87,00:03:41.680,00:03:43.015,"[""That's"", 'not', 'my', 'fault.']"
88,00:03:43.057,00:03:44.933,"['You', 'said', 'the', 'boots']"
89,00:03:43.057,00:03:44.933,"['made', 'your', 'feet', 'hurt.']"
90,00:03:44.975,00:03:47.769,"['Look,', 'if', 'we', 'really', 'want']"
91,00:03:44.975,00:03:47.769,"['this', 'to', 'work', 'long', 'term,']"
92,00:03:47.811,00:03:49.771,"['I', 'need', 'to', 'know', 'who', 'I', 'am', 'alone']"
93,00:03:49.813,00:03:51.773,"['and', 'I', ""don't"", 'want', 'to', 'spend', 'my']"
94,00:03:49.813,00:03:51.773,"['life', 'wondering', '""What', 'if?""']"
95,00:03:51.815,00:03:52.900,"['This', 'is', 'stupid.']"
96,00:03:52.941,00:03:54.442,"['The', 'minute', 'you']"
97,00:03:52.941,00:03:54.442,"['walk', 'out', 'of', 'here']"
98,00:03:54.484,00:03:56.070,"[""you're"", 'gonna', 'realize']"
99,00:03:54.484,00:03:56.070,"['how', 'much', 'shit', 'I', 'do', 'for', 'you']"
100,00:03:56.111,00:03:57.487,"['and', 'how', 'great', 'I', 'am']"
101,00:03:57.529,00:03:58.780,"['and', 'how', 'much', 'you', 'need', 'me,']"
102,00:03:58.822,00:04:00.074,"['and', ""you're"", 'gonna']"
103,00:03:58.822,00:04:00.074,"['start', 'stalking', 'me.']"
105,00:04:00.115,00:04:01.449,"['And', ""that's"", 'sad.']"
107,00:04:04.078,00:04:05.537,"['This', 'is', 'gonna', 'be']"
108,00:04:04.078,00:04:05.537,"['great', 'for', 'both', 'of', 'us.']"
109,00:04:05.579,00:04:07.664,['Yeah.']
110,00:04:07.706,00:04:10.834,"['We', 'need', 'to', 'know', 'what', ""it's"", 'like']"
111,00:04:07.706,00:04:10.834,"['to', 'be', 'single,', 'at', 'least', 'once.']"
112,00:04:16.715,00:04:18.508,"[""Can't"", 'you', 'just', 'fuck']"
113,00:04:16.715,00:04:18.508,"['one', 'of', 'my', 'friends?']"
115,00:04:19.927,00:04:22.679,"['Just', 'do', 'something']"
116,00:04:19.927,00:04:22.679,"['to', 'make', 'me', 'hate', 'you.']"
117,00:04:22.721,00:04:25.432,"['This', 'is', 'gonna', 'be']"
118,00:04:22.721,00:04:25.432,"['the', 'right', 'thing.']"
119,00:04:26.058,00:04:27.059,"['Oh,', 'God.']"
120,00:04:29.895,00:04:31.146,"[""I'm"", 'gonna', 'miss', 'your', 'boobs.']"
123,00:05:01.135,00:05:04.221,"['No,', 'no,', 'no,', 'no,']"
124,00:05:01.135,00:05:04.221,"['no,', 'no,', 'no,', 'no.']"
125,00:05:04.263,00:05:05.722,"['Does', 'this', 'make', 'it', 'work?']"
127,00:05:07.933,00:05:10.644,"['Yes!', 'Yes.']"
128,00:05:10.685,00:05:13.438,"['There,', 'good.', 'Good.']"
129,00:05:13.480,00:05:15.190,"['No.', 'No,', 'no.']"
131,00:05:19.069,00:05:22.197,"['Yes.', 'Yes,', 'yes,', 'good.', 'Oh!']"
132,00:05:23.198,00:05:25.450,"['MAN:', 'Whoa!', 'Whoa!']"
136,00:05:44.845,00:05:48.098,"['Whoa!', 'Whoa!', 'Oh!', 'Oh!', 'Oh!']"
137,00:05:48.140,00:05:49.183,"['What', 'the', 'hell']"
138,00:05:48.140,00:05:49.183,"['are', 'you', 'doing', 'here?']"
139,00:05:49.224,00:05:50.475,"[""I'm"", 'cooking', 'you', 'breakfast!']"
140,00:05:50.517,00:05:52.269,"['No,', 'okay.']"
141,00:05:50.517,00:05:52.269,"['I', ""don't"", 'do', 'breakfast.']"
142,00:05:52.311,00:05:53.603,"['Right?', 'You', 'need', 'to', 'get', 'out!']"
143,00:05:53.645,00:05:55.272,"[""You're"", 'in', 'my', 'apartment!']"
144,00:05:55.314,00:05:56.773,"['Put', 'the...']"
