word,counts
just,124
know,100
want,71
so,71
gon,62
really,54
here,49
right,44
time,37
go,37
can,36
think,35
would,34
how,34
good,34
need,33
why,31
then,29
when,28
come,28
thing,27
baby,27
see,26
let,25
now,25
look,24
take,24
love,24
guy,24
mean,23
all,23
way,22
alice,22
wait,21
sorry,20
make,20
got,20
should,19
people,18
work,18
there,18
ca,17
thank,17
single,17
okay,17
doing,16
probably,16
actually,16
little,16
said,16
guys,15
best,15
ever,15
man,15
maybe,15
even,15
could,15
never,15
home,15
where,14
whole,14
thought,14
too,14
say,14
things,14
lot,14
great,13
feel,13
drink,13
pregnant,13
sex,13
always,13
back,13
like,13
coming,12
married,12
tell,12
first,11
going,11
idea,11
much,11
kind,11
meg,11
bad,11
together,11
beautiful,11
fine,11
crazy,11
many,10
happy,10
in,10
name,10
life,10
nice,10
talk,10
break,9
one,9
real,9
trying,9
alone,9
mom,9
only,9
day,9
world,9
own,8
very,8
thinking,8
find,8
fun,8
other,8
having,8
get,8
getting,8
will,8
body,8
song,8
meet,8
girl,8
shit,8
done,8
wo,8
of,8
more,8
put,8
water,8
drinks,8
thanks,7
same,7
stuff,7
again,7
might,7
told,7
pretty,7
dick,7
living,7
old,7
fuck,7
happening,7
wanted,7
hang,7
give,7
hear,6
guess,6
face,6
eyes,6
night,6
ready,6
stay,6
story,6
number,6
supposed,6
leave,6
totally,6
over,6
doctor,6
made,6
half,6
birthday,6
wrong,6
at,6
listen,6
open,6
finally,6
feels,6
free,6
kidding,6
foot,5
dating,5
place,5
woman,5
super,5
working,5
cool,5
door,5
call,5
apartment,5
family,5
times,5
friend,5
talking,5
means,5
different,5
weird,5
cons,5
late,5
big,5
saying,5
weeks,5
moment,5
start,5
feet,5
as,5
pancakes,5
kids,5
care,5
minutes,5
babies,5
anymore,5
also,5
still,5
miss,5
awesome,5
end,5
away,5
year,5
boyfriend,5
sleep,4
daughter,4
sister,4
sand,4
hit,4
heard,4
keep,4
loved,4
least,4
dad,4
girls,4
school,4
rich,4
hot,4
falling,4
exactly,4
hurt,4
looking,4
second,4
lady,4
stop,4
else,4
new,4
mmm,4
medical,4
telling,4
fucking,4
sad,4
sweet,4
last,4
sounds,4
hook,4
dicks,4
relationships,4
tape,4
found,4
forever,4
long-term,4
part,4
tonight,4
parents,4
pros,4
years,4
out,4
party,4
board,4
breakfast,4
better,4
business,4
pass,4
already,4
bar,4
ass,4
honestly,3
sick,3
ride,3
side,3
cat,3
hold,3
fall,3
unzip,3
window,3
up,3
rest,3
win,3
ugly,3
event,3
show,3
women,3
settle,3
stranger,3
trees,3
sexual,3
longer,3
trick,3
around,3
ask,3
pills,3
missed,3
ends,3
hours,3
enough,3
entire,3
problem,3
hospital,3
obviously,3
use,3
sure,3
used,3
had,3
friends,3
friendship,3
hands,3
bit,3
hair,3
building,3
funny,3
soon,3
respond,3
girlfriend,3
gives,3
glad,3
watch,3
male,3
boring,3
gone,3
buy,3
buying,3
forget,3
remember,3
reason,3
tree,3
meant,3
went,3
welcome,3
hate,3
came,3
firm,3
hard,3
cab,3
spent,3
spend,3
happened,3
receptionist,3
happen,3
peach,3
boobs,3
security,3
saw,3
mouth,3
move,3
seeing,3
apart,3
sweetheart,3
sandwich,3
kid,3
touch,3
total,3
tit,3
person,3
taking,3
allowed,3
yet,3
co,3
seriously,3
worry,3
age,3
cold,3
known,3
notice,3
college,3
completely,3
labor,3
later,3
technically,3
tour,3
definitely,3
room,3
stupid,3
dress,3
sugar,3
psycho,3
invited,3
choose,3
cute,3
inside,3
seems,3
morning,3
drinking,3
long,3
chocolate,3
young,3
course,3
scared,2
list,2
slept,2
bigger,2
making,2
safe,2
lion,2
gotten,2
hanging,2
learn,2
gross,2
hamburgers,2
week,2
mad,2
smell,2
relationship,2
plums,2
wedding,2
scarf,2
guests,2
access,2
paralegal,2
parent,2
makes,2
gym,2
personal,2
about,2
less,2
rum,2
bitch,2
wearing,2
set,2
bathe,2
picture,2
key,2
american,2
holidays,2
anyway,2
wish,2
hooking,2
hope,2
seem,2
shots,2
job,2
looks,2
jewish,2
jacket,2
point,2
seen,2
self,2
pissed,2
interested,2
sense,2
piece,2
plastic,2
history,2
works,2
hip,2
penis,2
scooter,2
bet,2
load,2
knows,2
alien,2
screwing,2
seconds,2
parties,2
heels,2
kiss,2
kill,2
help,2
sing,2
alumni,2
amazing,2
hide,2
hiding,2
hike,2
asshole,2
sound,2
poop,2
names,2
ton,2
embarrassed,2
emoji,2
emotionally,2
complete,2
goals,2
problems,2
nuts,2
checked,2
natural,2
stick,2
truly,2
minute,2
try,2
reading,2
occasionally,2
mind,2
noise,2
push,2
david,2
office,2
met,2
congratulations,2
catch,2
closure,2
cheers,2
street,2
dates,2
normally,2
closet,2
top,2
taken,2
clear,2
clothes,2
quitting,2
system,2
