num,start,end,script
1,00:01:01.854,00:01:04.606,['WILL:']
2,00:01:01.854,00:01:04.606,"['I', ""don't"", 'have', 'time.']"
3,00:01:04.606,00:01:08.193,"['I', ""don't"", 'have', 'time', 'to', 'worry']"
4,00:01:04.606,00:01:08.193,"['about', 'how', 'it', 'happened.']"
5,00:01:08.193,00:01:10.654,"['It', 'is', 'what', 'it', 'is.']"
6,00:01:10.654,00:01:15.283,"[""We're"", 'genetically', 'engineered']"
7,00:01:10.654,00:01:15.283,"['to', 'stop', 'aging', 'at', '25.']"
8,00:01:15.283,00:01:19.287,"['The', 'trouble', 'is,']"
9,00:01:15.283,00:01:19.287,"['we', 'live', 'only', 'one', 'more', 'year']"
10,00:01:19.287,00:01:21.999,"['unless', 'we', 'can']"
11,00:01:19.287,00:01:21.999,"['get', 'more', 'time.']"
12,00:01:24.376,00:01:28.338,"['Time', 'is', 'now', 'the', 'currency.']"
13,00:01:28.338,00:01:31.842,"['We', 'earn', 'it']"
14,00:01:28.338,00:01:31.842,"['and', 'spend', 'it.']"
15,00:01:31.842,00:01:35.054,"['The', 'rich', 'can']"
16,00:01:31.842,00:01:35.054,"['live', 'forever.']"
17,00:01:35.054,00:01:38.097,"['And', 'the', 'rest', 'of', 'us?']"
18,00:01:38.097,00:01:40.392,"['I', 'just', 'want', 'to', 'wake', 'up']"
19,00:01:38.097,00:01:40.392,"['with', 'more', 'time', 'on', 'my', 'hand']"
20,00:01:40.392,00:01:42.310,"['than', 'hours', 'in', 'the', 'day.']"
21,00:02:13.467,00:02:14.802,"['Hey,', 'Mom.']"
22,00:02:14.802,00:02:16.762,"['You', 'got', 'in', 'late']"
23,00:02:14.802,00:02:16.762,"['last', 'night.']"
24,00:02:16.762,00:02:18.639,"['I', 'put', 'in', 'some']"
25,00:02:16.762,00:02:18.639,['overtime.']
26,00:02:18.639,00:02:21.266,"[""Where'd"", 'it', 'go?']"
27,00:02:18.639,00:02:21.266,"['On', 'you.']"
28,00:02:21.266,00:02:24.478,"['They', 'drink', 'it', 'in', 'New', 'Greenwich.']"
29,00:02:21.266,00:02:24.478,"['Happy', '50th!']"
30,00:02:24.478,00:02:26.647,['Fifty?']
31,00:02:26.647,00:02:29.066,"[""That's"", 'right.']"
32,00:02:29.066,00:02:31.234,"['Twenty-five', 'for']"
33,00:02:29.066,00:02:31.234,"['the', '25th', 'time.']"
34,00:02:31.234,00:02:33.779,"['Oh,', 'I', 'was', 'sure', ""I'd"", 'have']"
35,00:02:31.234,00:02:33.779,"['a', 'grandchild', 'by', 'now.']"
36,00:02:33.779,00:02:35.280,"['Here', 'we', 'go.']"
37,00:02:35.280,00:02:37.240,"[""Bela's"", 'daughter', 'is', 'always']"
38,00:02:35.280,00:02:37.240,"['asking', 'about', 'you.']"
39,00:02:37.240,00:02:41.120,"['Who', 'has', 'time', 'for', 'a', 'girlfriend?']"
40,00:02:37.240,00:02:41.120,"['Besides,', ""what's"", 'the', 'hurry?']"
41,00:02:41.120,00:02:42.913,"['What', 'do', 'you', 'got?']"
42,00:02:42.913,00:02:45.791,"['Three', 'days.']"
43,00:02:42.913,00:02:45.791,"['Not', 'even.']"
44,00:02:45.791,00:02:47.626,"['We', 'owe', 'half', 'that', 'in', 'rent.']"
45,00:02:47.626,00:02:50.504,"['Eight', 'for', 'the', 'electric', 'and']"
46,00:02:47.626,00:02:50.504,"[""we're"", 'still', 'late', 'on', 'that', 'loan.']"
47,00:02:50.504,00:02:54.008,"['I', 'can', 'make', 'extra', 'on']"
48,00:02:50.504,00:02:54.008,"['the', 'side,', 'you', 'know.']"
49,00:02:54.008,00:02:56.927,"['I', 'could...']"
50,00:02:54.008,00:02:56.927,"['What,', 'start', 'fighting?']"
51,00:02:57.886,00:02:59.138,"['Nobody', 'wins.']"
52,00:02:59.138,00:03:00.514,['Yeah.']
54,00:03:01.765,00:03:03.350,"['Remember,']"
55,00:03:01.765,00:03:03.350,"[""I'm"", 'not', 'here', 'tonight.']"
56,00:03:03.350,00:03:05.226,"['I', 'got', 'two', ""days'"", 'work']"
57,00:03:03.350,00:03:05.226,"['in', 'the', 'garment', 'district.']"
58,00:03:05.226,00:03:07.228,"['I', 'know.']"
59,00:03:05.226,00:03:07.228,"['Meet', 'me', 'at', 'the', 'bus', 'stop']"
60,00:03:05.226,00:03:07.228,['tomorrow.']
61,00:03:07.228,00:03:09.898,"['After', 'I', 'pay', 'off', 'the', 'loan,']"
62,00:03:07.228,00:03:09.898,"['I', ""won't"", 'have', 'long.']"
63,00:03:07.228,00:03:09.898,"[""I'll"", 'be', 'there.']"
64,00:03:09.898,00:03:11.817,['Will...']
65,00:03:11.817,00:03:14.945,"['I', 'just', ""wouldn't"", 'know']"
66,00:03:11.817,00:03:14.945,"['what', 'to', 'do', 'if', 'I', 'lost', 'you.']"
67,00:03:14.945,00:03:16.738,"[""I'm"", 'late.']"
68,00:03:16.738,00:03:20.159,"['Let', 'me', 'give', 'you']"
69,00:03:16.738,00:03:20.159,"['30', 'minutes', 'so', 'you', 'can']"
70,00:03:16.738,00:03:20.159,"['have', 'a', 'decent', 'lunch.']"
71,00:03:33.505,00:03:36.341,"['I', 'love', 'you.']"
72,00:03:36.341,00:03:39.260,"['Happy', 'birthday,', 'Mom.']"
73,00:03:39.260,00:03:42.263,"['When', 'you', 'get', 'back,']"
74,00:03:39.260,00:03:42.263,"[""we're"", 'going', 'to', 'celebrate.']"
75,00:03:51.356,00:03:53.067,"['GIRL:', 'Will!']"
76,00:03:53.067,00:03:55.944,"['Will!', 'You', 'got', 'a', 'minute?']"
77,00:03:55.944,00:03:58.822,"['What', 'are', 'you']"
78,00:03:55.944,00:03:58.822,"['talking', 'about,', 'Mya?']"
79,00:03:55.944,00:03:58.822,"['You', 'have', 'a', 'whole', 'year.']"
80,00:03:58.822,00:04:00.949,"['Not', 'a', 'year']"
81,00:03:58.822,00:04:00.949,"['I', 'can', 'use', 'yet.']"
82,00:04:00.949,00:04:04.244,"['Come', 'on,', 'Will.']"
83,00:04:00.949,00:04:04.244,"[""I've"", 'got', 'bills', 'to', 'pay.']"
84,00:04:06.205,00:04:08.582,"['Here,', 'take', 'five', 'minutes.']"
85,00:04:13.045,00:04:14.713,"['Get', 'out', 'of', 'here.']"
86,00:04:28.018,00:04:31.063,"['Four', 'minutes', 'for']"
87,00:04:28.018,00:04:31.063,"['a', 'cup', 'of', 'coffee?']"
88,00:04:31.063,00:04:32.689,"['Yesterday,', 'it', 'was', 'three.']"
89,00:04:32.689,00:04:34.733,"['You', 'want', 'coffee', 'or']"
90,00:04:32.689,00:04:34.733,"['you', 'want', 'to', 'reminisce?']"
91,00:04:34.733,00:04:36.568,"['Two', 'coffees.']"
92,00:04:39.113,00:04:42.282,"['How', 'many', 'shifts']"
93,00:04:39.113,00:04:42.282,"['you', 'got', 'today,', 'Borel?']"
94,00:04:39.113,00:04:42.282,"['Just', 'the', 'two.']"
95,00:04:42.282,00:04:45.202,"['Really', 'excited', 'about', 'it.']"
96,00:04:45.202,00:04:49.873,"['If', 'you', 'had']"
97,00:04:45.202,00:04:49.873,"['any', 'of', 'your', 'father', 'in', 'you,']"
98,00:04:45.202,00:04:49.873,"['we', 'could', 'make', 'a', 'fortune.']"
99,00:04:49.873,00:04:52.209,"['I', ""don't"", 'fight.']"
100,00:04:55.545,00:04:58.590,"[""There's"", 'another', 'one.']"
101,00:04:55.545,00:04:58.590,"['Broad', 'daylight.']"
102,00:05:31.706,00:05:34.334,"['Whoa,', 'what', 'is', 'this?']"
103,00:05:31.706,00:05:34.334,"[""Where's"", 'the', 'rest?']"
104,00:05:34.334,00:05:35.585,"['Never', 'met', 'the', 'quota.']"
105,00:05:35.585,00:05:37.212,"['My', 'units', 'are', 'up']"
106,00:05:35.585,00:05:37.212,"['from', 'last', 'week.']"
107,00:05:37.212,00:05:40.299,"[""So's"", 'the', 'quota.', 'Next.']"
108,00:05:37.212,00:05:40.299,"[""That's"", 'a', 'joke,', 'right?']"
109,00:05:40.299,00:05:43.718,['Next.']
110,00:05:40.299,00:05:43.718,"['MAN:', 'Move', 'it.']"
111,00:05:40.299,00:05:43.718,"[""You're"", 'taking', 'forever.']"
114,00:06:00.694,00:06:02.029,"['You', 'in,', 'Will?']"
115,00:06:02.029,00:06:04.405,"['I', ""don't"", 'have', 'time']"
116,00:06:02.029,00:06:04.405,"['to', 'gamble', 'anymore.']"
117,00:06:04.405,00:06:06.658,"['Oh,', 'thank', 'God.']"
118,00:06:06.658,00:06:09.744,"['Because', 'ever', 'since']"
119,00:06:06.658,00:06:09.744,"['you', 'stopped', 'playing,']"
120,00:06:06.658,00:06:09.744,"['I', 'started', 'winning.']"
121,00:06:09.744,00:06:12.789,"['You', 'still', 'owe', 'me']"
122,00:06:09.744,00:06:12.789,"['an', 'hour.']"
123,00:06:12.789,00:06:14.791,"['You', 'seen', 'Borel?']"
124,00:06:22.007,00:06:24.759,['Will!']
125,00:06:22.007,00:06:24.759,"['Hey,', 'man.']"
126,00:06:24.759,00:06:26.053,"['Your', ""wife's""]"
127,00:06:24.759,00:06:26.053,"['looking', 'for', 'you.']"
128,00:06:26.053,00:06:28.180,"[""You're"", 'not', 'gonna']"
129,00:06:26.053,00:06:28.180,"['believe', 'it.']"
130,00:06:28.180,00:06:31.350,"['This', ""madman's"", 'been']"
131,00:06:28.180,00:06:31.350,"['buying', 'drinks', 'all', 'night.']"
132,00:06:28.180,00:06:31.350,"[""He's"", 'got', 'a', 'century!']"
133,00:06:32.600,00:06:34.477,"['Come', 'on,', 'let', 'me']"
134,00:06:32.600,00:06:34.477,"['get', 'you', 'home.']"
135,00:06:34.477,00:06:37.147,"['Soon', 'as']"
136,00:06:34.477,00:06:37.147,"['I', 'finish', 'this', 'drink.']"
137,00:06:37.147,00:06:39.358,"['Hey!', 'You!']"
138,00:06:39.358,00:06:41.109,['You!']
139,00:06:41.109,00:06:43.111,"['More', 'everything!']"
140,00:06:45.739,00:06:47.824,"['Do', 'you', 'want', 'to', 'come']"
141,00:06:45.739,00:06:47.824,"['home', 'with', 'me?']"
142,00:06:47.824,00:06:50.451,"['You', 'can', 'take', 'us']"
143,00:06:47.824,00:06:50.451,"['both', 'home.']"
144,00:06:58.585,00:07:00.795,"['Excuse', 'me.']"
145,00:07:00.795,00:07:02.714,"['You', 'need', 'to']"
146,00:07:00.795,00:07:02.714,"['get', 'out', 'of', 'here.']"
147,00:07:02.714,00:07:04.632,"[""Somebody's"", 'gonna']"
148,00:07:02.714,00:07:04.632,"['clean', 'that', 'clock.']"
149,00:07:04.632,00:07:08.303,['Yes!']
150,00:07:08.303,00:07:11.973,"['I', 'mean,', 'they', ""aren't"", 'going']"
151,00:07:08.303,00:07:11.973,"['to', 'rob', 'you.']"
152,00:07:08.303,00:07:11.973,"['They', 'are', 'going', 'to', 'kill', 'you.']"
153,00:07:11.973,00:07:13.433,"['They', ""can't"", 'take']"
154,00:07:11.973,00:07:13.433,"['that', 'much', 'time']"
155,00:07:13.433,00:07:14.976,"['and', 'let', 'you', 'live']"
156,00:07:13.433,00:07:14.976,"['to', 'tell', 'about', 'it.']"
157,00:07:14.976,00:07:16.811,['Yes.']
158,00:07:16.811,00:07:19.940,"['I', ""don't"", 'think', 'you', 'understand.']"
159,00:07:16.811,00:07:19.940,"['You', 'should', 'not', 'be', 'here!']"
161,00:07:26.654,00:07:29.324,"['BOREL:', 'Will.', 'Will!']"
162,00:07:29.324,00:07:31.243,['Minutemen!']
163,00:07:31.243,00:07:33.578,['Minutemen!']
164,00:07:31.243,00:07:33.578,"['Walk', 'away,', 'Will.']"
165,00:07:33.578,00:07:35.830,"['Those', 'gangsters', ""aren't""]"
166,00:07:33.578,00:07:35.830,"['playing', 'around.']"
167,00:07:38.375,00:07:40.127,"['Wait,', 'wait.']"
168,00:07:40.127,00:07:44.047,"[""He's"", 'asking', 'for', 'it.']"
