num,start,end,script
1,00:01:12.072,00:01:14.116,"['WOMAN', '1:', 'Well,', 'my', 'dad', 'was', 'a', 'farmer.']"
2,00:01:15.283,00:01:17.744,"['Um,', 'like', 'everybody', 'else', 'back', 'then.']"
3,00:01:19.912,00:01:22.082,"['Of', 'course,', 'he', ""didn't"", 'start', 'that', 'way.']"
7,00:01:30.423,00:01:32.967,"['-Nah,', 'I', 'got', 'this.', '-Crossing', 'the', 'Straights.']"
8,00:01:35.428,00:01:37.139,"['-Shutting', 'it', 'down,', 'Cooper.', '-No!']"
9,00:01:38.640,00:01:41.100,"['-Shutting', 'it', 'all', 'down.', '-No,', 'I', 'need', 'power', 'up!']"
11,00:01:45.438,00:01:46.439,"['GIRL:', 'Dad?']"
13,00:01:55.823,00:01:58.326,"['-I', 'thought', 'you', 'were', 'the', 'ghost.', '-No.']"
14,00:01:59.994,00:02:01.996,"['There', 'are', 'no', 'such', 'things', 'as', 'ghosts,', 'babe.']"
15,00:02:02.164,00:02:04.332,"['Grandpa', 'says', 'you', 'can', 'get', 'ghosts.']"
16,00:02:05.792,00:02:10.505,"['Maybe', ""that's"", 'because', ""Grandpa's"", 'close', 'to', 'being', 'one', 'himself.', 'Back', 'to', 'bed.']"
17,00:02:10.838,00:02:12.674,"['Were', 'you', 'dreaming', 'about', 'the', 'crash?']"
18,00:02:14.134,00:02:16.428,"['Get', 'your', 'butt', 'back', 'in', 'bed,', 'Murph.', 'Heh.']"
19,00:02:43.455,00:02:44.956,"['WOMAN', '1:', 'The', 'wheat', 'had', 'died.']"
20,00:02:45.790,00:02:48.125,"['The', 'blight', 'came', 'and', 'we', 'had', 'to', 'burn', 'it.']"
21,00:02:49.001,00:02:51.713,"['And', 'we', 'still', 'had', 'corn.', 'We', 'had', 'acres', 'of', 'corn.']"
22,00:02:51.879,00:02:54.173,"['But,', 'uh,', 'mostly', 'we', 'had', 'dust.']"
23,00:02:56.551,00:02:59.178,"['WOMAN', '2:', 'I', 'guess', 'I', ""can't"", 'describe', 'it.', 'It', 'was', 'just', 'constant.']"
24,00:02:59.346,00:03:01.848,"['Just', 'that', 'steady', 'blow...']"
25,00:03:02.014,00:03:03.225,"['...of', 'dirt.']"
26,00:03:05.352,00:03:08.396,"['WOMAN', '3:', 'We', 'wore,', 'um,', 'little', 'strips', 'of', 'sheet...']"
27,00:03:08.563,00:03:11.316,"['...sometimes', 'over', 'our', 'nose', 'and', 'mouth...']"
28,00:03:11.483,00:03:13.985,"['...so', 'that', 'we', ""wouldn't"", 'breathe', 'so', 'much', 'of', 'it.']"
29,00:03:15.695,00:03:18.197,"['MAN:', 'When', 'we', 'set', 'the', 'table,', 'we', 'always', 'set', 'the', 'plate...']"
30,00:03:18.365,00:03:21.243,"['...upside-down.', 'Glasses', 'or', 'cups,', 'whatever', 'it', 'was...']"
31,00:03:21.409,00:03:22.577,['...upside-down.']
32,00:03:28.040,00:03:30.252,"['Shake', 'a', 'leg!', 'Murph,', 'get', 'a', 'move', 'on!']"
33,00:03:30.418,00:03:33.880,"['Tom,', '4:00', 'today,', 'you', 'and', 'me', 'in', 'the', 'barn,', 'Herbicide', 'Resistance', '101.']"
34,00:03:34.046,00:03:35.548,"['-Check?', '-Yes,', 'sir.']"
35,00:03:36.841,00:03:38.510,"['Not', 'at', 'the', 'table,', 'Murph.']"
36,00:03:39.261,00:03:41.095,"['Dad,', 'can', 'you', 'fix', 'this?']"
37,00:03:42.680,00:03:44.015,"['COOPER:', 'What', 'the', 'heck', 'did', 'you', 'do...']"
38,00:03:44.181,00:03:45.350,"['-...to', 'my', 'lander?', ""-Wasn't"", 'me.']"
39,00:03:45.517,00:03:47.394,"['Let', 'me', 'guess.', 'It', 'was', 'your', 'ghost?']"
40,00:03:47.560,00:03:49.896,"['It', 'knocked', 'it', 'off.', 'It', 'keeps', 'knocking', 'books', 'off.']"
41,00:03:50.062,00:03:51.564,"['TOM:', 'No', 'such', 'thing', 'as', 'ghosts,', 'dumb-ass.']"
42,00:03:51.689,00:03:52.690,['-Hey.']
43,00:03:52.774,00:03:53.900,"['-I', 'looked', 'it', 'up.', ""It's"", 'called', 'a', 'poltergeist.']"
44,00:03:54.025,00:03:55.277,"['Dad,', 'tell', 'her.']"
45,00:03:55.443,00:03:57.362,"['Well,', ""it's"", 'not', 'very', 'scientific,', 'Murph.']"
46,00:03:57.529,00:03:59.864,"['You', 'said', 'science', 'was', 'about', 'admitting', 'what', 'we', ""don't"", 'know.']"
47,00:04:00.031,00:04:02.199,"[""-She's"", 'got', 'you', 'there.', '-Hey.']"
48,00:04:02.367,00:04:03.868,"['Start', 'looking', 'after', 'our', 'stuff.']"
49,00:04:05.495,00:04:06.704,['Coop.']
50,00:04:09.499,00:04:11.668,"['All', 'right,', 'Murph,', 'you', 'want', 'to', 'talk', 'science?']"
51,00:04:12.627,00:04:15.880,"[""Don't"", 'tell', 'me', ""you're"", 'afraid', 'of', 'some', 'ghost.', 'No,', 'you', 'got', 'to', 'go', 'further.']"
52,00:04:16.047,00:04:19.216,"['You', 'got', 'to', 'record', 'the', 'facts,', 'analyze,', 'get', 'to', 'the', 'how', 'and', 'the', 'why...']"
53,00:04:19.384,00:04:22.304,"['...then', 'present', 'your', 'conclusions.', 'Deal?']"
54,00:04:22.970,00:04:24.389,"['-Deal.', '-All', 'right.']"
55,00:04:27.224,00:04:29.394,"['-Have', 'a', 'good', 'day', 'at', 'school.', 'MAN:', 'Hold', 'up.']"
56,00:04:29.727,00:04:32.021,"['Parent-teacher', 'conferences.', 'Parent.']"
57,00:04:32.188,00:04:34.148,"['Not', 'grandparent.']"
59,00:04:36.401,00:04:38.235,"['Slow', 'down,', 'turbo!']"
60,00:04:39.571,00:04:42.699,"[""-That's"", 'not', 'a', 'dust', 'storm.', ""-Nelson's"", 'torching', 'his', 'whole', 'crop.']"
61,00:04:42.865,00:04:44.241,['Blight?']
62,00:04:44.409,00:04:46.828,"['MAN:', ""They're"", 'saying', ""it's"", 'the', 'last', 'harvest', 'for', 'okra.']"
63,00:04:47.495,00:04:48.663,['Ever.']
64,00:04:50.582,00:04:53.209,"['He', ""should've"", 'planted', 'corn', 'like', 'the', 'rest', 'of', 'us.']"
65,00:04:53.376,00:04:56.087,"['Now,', 'be', 'nice', 'to', 'that', 'Miss', 'Hanley.', ""She's"", 'single.']"
66,00:04:56.253,00:04:57.755,"[""What's"", 'that', 'supposed', 'to', 'mean?']"
67,00:04:57.922,00:05:01.050,"['Repopulating', 'the', 'earth.', 'Start', 'pulling', 'your', 'weight,', 'young', 'man.']"
68,00:05:01.217,00:05:05.179,"['Why', ""don't"", 'you', 'start', 'minding', 'your', 'own', 'business,', 'old', 'man?']"
69,00:05:12.479,00:05:14.146,"['All', 'right,', 'Murph,', 'give', 'me', 'second.']"
70,00:05:15.773,00:05:16.983,['Uh-huh.']
71,00:05:17.567,00:05:18.943,['Third.']
73,00:05:20.487,00:05:22.154,"['-Find', 'a', 'gear,', 'dumb-ass.', '-Grind', 'it!']"
74,00:05:22.322,00:05:23.365,"['Shut', 'it,', 'Tom!']"
75,00:05:24.741,00:05:27.076,"[""-What'd"", 'you', 'do,', 'Murph?', '-Ah,', 'she', ""didn't"", 'do', 'nothing.']"
76,00:05:27.243,00:05:29.746,"['-Blew', 'a', 'tire', 'is', 'all.', ""-Murphy's"", 'Law.']"
77,00:05:30.580,00:05:31.914,"['Shut', 'up!']"
78,00:05:32.081,00:05:33.833,"['-Grab', 'the', 'spare,', 'Tom.', '-That', 'is', 'the', 'spare.']"
79,00:05:36.461,00:05:37.962,"['COOPER:', 'Get', 'the', 'patch', 'kit!']"
80,00:05:39.255,00:05:40.965,"['TOM:', 'How', 'am', 'I', 'supposed', 'to', 'patch', 'it', 'out', 'here?']"
81,00:05:41.048,00:05:42.467,"['COOPER:', 'You', 'got', 'to', 'figure', 'it', 'out.']"
82,00:05:42.634,00:05:44.719,"[""I'm"", 'not', 'always', 'gonna', 'be', 'here', 'to', 'help', 'you.']"
83,00:05:53.019,00:05:54.771,"[""What's"", 'going', 'on,', 'Murph?']"
84,00:05:54.937,00:05:58.149,"['Why', 'did', 'you', 'and', 'Mom', 'name', 'me', 'after', 'something', ""that's"", 'bad?']"
85,00:05:58.315,00:05:59.692,"['We', ""didn't.""]"
86,00:06:00.067,00:06:01.569,"[""Murphy's"", 'Law?']"
87,00:06:02.529,00:06:06.616,"[""Murphy's"", 'Law', ""doesn't"", 'mean', 'that', 'something', 'bad', 'will', 'happen.']"
88,00:06:06.783,00:06:10.161,"['What', 'it', 'means', 'is', 'whatever', 'can', 'happen', 'will', 'happen.']"
89,00:06:10.327,00:06:12.872,"['And', 'that', 'sounded', 'just', 'fine', 'with', 'us.']"
91,00:06:17.084,00:06:18.628,['Whoa!']
92,00:06:19.211,00:06:20.505,"['Get', 'in.']"
93,00:06:21.881,00:06:23.299,"['Get', 'in,', ""let's"", 'go.']"
94,00:06:24.634,00:06:26.761,"['What', 'about', 'the', 'flat', 'tire?']"
95,00:06:29.722,00:06:31.057,['Yeah.']
96,00:06:45.029,00:06:49.033,"[""It's"", 'an', 'Indian', 'Air', 'Force', 'drone.', 'Solar', 'cells', 'could', 'power', 'an', 'entire', 'farm.']"
97,00:06:49.200,00:06:50.660,"['Take', 'the', 'wheel,', 'Tom.']"
98,00:06:56.123,00:06:57.459,"['Go,', 'go,', 'go!']"
99,00:06:59.043,00:07:00.712,"['Keep', 'that', 'aimed', 'right', 'at', 'it.']"
100,00:07:08.636,00:07:11.055,"['Faster,', 'Tom.', ""I'm"", 'losing', 'it.']"
101,00:07:11.723,00:07:12.765,"['Right', 'at', 'it.']"
102,00:07:14.266,00:07:15.309,"['Stay', 'on', 'it.']"
103,00:07:16.894,00:07:17.979,"['Here', 'we', 'go.']"
104,00:07:20.898,00:07:22.108,['Whoa.']
105,00:07:27.238,00:07:28.823,"['Nice', 'one,', 'Tom.']"
106,00:07:35.287,00:07:36.664,['Dad?']
107,00:07:37.081,00:07:39.834,"['I', 'almost', 'got', 'it.', ""Don't"", 'stop.', ""Don't"", 'stop!']"
108,00:07:40.334,00:07:41.377,['Dad!']
109,00:07:41.711,00:07:42.920,['Tom!']
111,00:07:47.467,00:07:49.802,"['You', 'told', 'me', 'to', 'keep', 'driving.']"
112,00:07:50.637,00:07:52.388,"['Well,', 'I', 'guess', 'that', 'answers', 'the', 'old']"
113,00:07:52.472,00:07:55.099,"['""If', 'I', 'asked', 'you', 'to', 'drive', 'off', 'a', 'cliff""', 'scenario.']"
114,00:07:58.310,00:08:01.147,"['-We', 'lost', 'it.', '-No,', 'we', ""didn't.""]"
115,00:08:13.826,00:08:15.495,"['Want', 'to', 'give', 'it', 'a', 'whirl?']"
116,00:08:21.501,00:08:22.877,"['This', 'way.']"
117,00:08:28.257,00:08:29.341,['Go.']
118,00:08:30.342,00:08:33.345,"[""Let's"", 'lay', 'her', 'down', 'right', 'there', 'at', 'the', 'edge', 'of', 'the', 'reservoir.']"
119,00:08:37.642,00:08:39.351,"['Nicely', 'done.']"
120,00:08:42.354,00:08:44.231,"['TOM:', 'How', 'long', 'you', 'think', ""it's"", 'been', 'up', 'there?']"
121,00:08:44.398,00:08:46.943,"['COOPER:', 'Delhi', 'Mission', 'Control', 'went', 'down,', 'same', 'as', 'ours...']"
122,00:08:47.109,00:08:48.945,"['-...ten', 'years', 'ago.', '-Heh.']"
123,00:08:49.278,00:08:51.197,"['So', 'for', 'ten', 'years?']"
124,00:08:54.158,00:08:56.786,"['-Why', 'did', 'it', 'come', 'down', 'so', 'low?', '-I', ""don't"", 'know.']"
125,00:08:56.953,00:08:59.872,"['Maybe', 'the', 'sun', 'cooked', 'its', 'brain', 'or', 'it', 'was', 'looking', 'for', 'something.']"
126,00:09:00.039,00:09:02.291,"['-What?', '-Give', 'me', 'a', 'large', 'flatblade.']"
127,00:09:02.709,00:09:05.377,"['Maybe', 'some', 'kind', 'of', 'signal?', 'I', ""don't"", 'know.']"
128,00:09:10.633,00:09:12.134,"['What', 'are', 'you', 'gonna', 'do', 'with', 'it?']"
129,00:09:13.052,00:09:16.222,"[""I'm"", 'gonna', 'give', 'it', 'something', 'socially', 'responsible', 'to', 'do...']"
130,00:09:17.098,00:09:18.432,"['...like', 'drive', 'a', 'combine.']"
131,00:09:19.016,00:09:20.517,"[""Can't"", 'we', 'just', 'let', 'it', 'go?']"
132,00:09:22.812,00:09:24.480,"['It', ""wasn't"", 'hurting', 'anybody.']"
133,00:09:26.148,00:09:28.651,"['This', 'thing', 'needs', 'to', 'learn', 'how', 'to', 'adapt,', 'Murph...']"
134,00:09:28.943,00:09:30.444,"['...like', 'the', 'rest', 'of', 'us.']"
135,00:09:35.074,00:09:36.743,"['COOPER:', ""How's"", 'this', 'work?', 'You', 'guys', 'come', 'with?']"
136,00:09:36.909,00:09:37.994,"['TOM:', ""I've"", 'got', 'class.']"
137,00:09:38.410,00:09:40.747,"['This', 'one', 'needs', 'to', 'wait.']"
138,00:09:42.331,00:09:45.084,"['-What', 'did', 'you', 'do?', ""-They'll"", 'tell', 'you', 'about', 'it', 'in', 'there.']"
139,00:09:45.251,00:09:47.419,"['-Am', 'I', 'gonna', 'be', 'mad?', '-Not', 'with', 'me.']"
140,00:09:47.587,00:09:50.757,"['-Just', 'please', 'try', 'not', 'to.', '-Hey.', 'Relax.']"
141,00:09:52.216,00:09:53.550,"['I', 'got', 'this.']"
142,00:09:57.764,00:09:59.098,"['Little', 'late,', 'Coop.']"
143,00:09:59.265,00:10:00.767,"['Yeah,', 'we', 'had', 'a', 'flat.']"
144,00:10:00.933,00:10:04.520,"['And', 'I', 'guess', 'you', 'had', 'to', 'stop', 'off', 'at', 'the', 'Asian', 'fighter', 'plane', 'store.']"
145,00:10:04.771,00:10:08.399,"['No,', 'actually,', 'sir,', ""that's"", 'a', 'surveillance', 'drone.']"
146,00:10:08.565,00:10:11.277,"['With', 'outstanding', 'solar', 'cells.', ""It's"", 'Indian.']"
147,00:10:11.736,00:10:13.070,"['Take', 'a', 'seat.']"
148,00:10:14.196,00:10:15.698,"['So,', 'uh...']"
149,00:10:16.407,00:10:18.951,"['...we', 'got', ""Tom's"", 'scores', 'back.']"
150,00:10:19.535,00:10:21.453,"[""He's"", 'going', 'to', 'make', 'an', 'excellent', 'farmer.']"
151,00:10:21.621,00:10:25.124,"['Yeah,', ""he's"", 'got', 'a', 'knack', 'for', 'it.', 'What', 'about', 'college?']"
152,00:10:25.291,00:10:29.086,"['The', 'university', 'only', 'takes', 'a', 'handful.', 'They', ""don't"", 'have', 'the', 'resources', 'to--']"
153,00:10:29.253,00:10:31.547,"['I', 'still', 'pay', 'my', 'taxes.']"
154,00:10:31.714,00:10:33.716,"[""Where's"", 'that', 'money', 'go?', ""There's"", 'no', 'more', 'armies.']"
155,00:10:34.216,00:10:36.552,"['Well,', 'it', ""doesn't"", 'go', 'to', 'the', 'university.']"
156,00:10:37.136,00:10:38.763,"['Look,', 'Coop,', 'you', 'have', 'to', 'be', 'realistic.']"
157,00:10:38.930,00:10:41.724,"[""You're"", 'ruling', 'my', 'son', 'out', 'for', 'college', 'now?']"
