start,end,script
00:01:34.709,00:01:35.917,Hi!
00:01:46.875,00:01:50.375,"Happy, happy, happy..."
00:01:50.417,00:01:52.291,- Anniversary.
00:01:53.667,00:01:55.375,"Some things never change, do they?"
00:01:55.417,00:01:57.208,I just thought you might be drifting.
00:01:57.250,00:01:59.125,- He was pausing.
00:01:59.166,00:02:01.000,- Okay.
00:02:01.041,00:02:03.041,You two have led an extraordinarily blessed life.
00:02:03.083,00:02:08.750,"For as long as I've known you, you've managed to always somehow do everything entirely right."
00:02:08.792,00:02:10.166,That's so true.
00:02:10.208,00:02:12.083,"But honestly, how could it be 30 years?"
00:02:12.125,00:02:13.417,When did we do that trip to Spain?
00:02:13.458,00:02:15.166,It was for both of our what?
00:02:15.208,00:02:16.500,15th anniversaries.
00:02:16.542,00:02:18.000,"God, that was a great trip."
00:02:18.041,00:02:19.542,Yeah.
00:02:19.583,00:02:20.875,"Hey, guys."
00:02:20.917,00:02:23.458,"Hey, Ollie."
00:02:23.500,00:02:25.709,It was fantastic.
00:02:25.750,00:02:28.250,- Next week.
00:02:28.291,00:02:29.917,"Oh, I'm sorry."
00:02:29.959,00:02:31.583,Are the girls going?
00:02:35.583,00:02:37.625,"Yeah, they can't wait."
00:02:37.667,00:02:40.417,Oliver: How long is Luke home before he has to go back for work?
00:02:42.291,00:02:44.125,Um... only a week.
00:02:44.166,00:02:45.583,That's it?
00:02:45.625,00:02:47.166,I know.
00:02:47.208,00:02:49.542,"- Hi, I'm back."
00:02:49.583,00:02:50.917,"Here you go, babe."
00:02:50.959,00:02:55.583,"Well, congrats again."
00:02:55.625,00:02:57.333,And I'll see you two in New York.
00:02:57.375,00:02:58.750,"Absolutely, I'm looking forward to it."
00:02:58.792,00:03:00.709,Yeah. Good. Well...
00:03:00.750,00:03:02.583,"Hey, Jane, what are you wearing to the graduation?"
00:03:02.625,00:03:05.375,Oh! A suit or a dress.
00:03:05.417,00:03:07.750,Fancy. Okay.
00:03:07.792,00:03:09.834,"Janey, we'll see you there."
00:03:09.875,00:03:11.834,We're at the Park Regent.
00:03:11.875,00:03:13.375,"You said you were at the Four Seasons, right?"
00:03:13.417,00:03:14.709,I don't know.
00:03:14.750,00:03:16.083,"We're at the Park Regent, too."
00:03:16.125,00:03:22.375,"Oh. Good. That's-- that'll be convenient, actually for..."
00:03:22.417,00:03:26.375,"Okay. So, well..."
00:03:26.417,00:03:28.500,"- Bye, Janey."
00:03:30.834,00:03:33.792,I thought it was very sweet how well you and Jake were getting along.
00:03:33.834,00:03:35.834,- Yeah.
00:03:35.875,00:03:38.125,We do know how to do this by now.
00:03:38.166,00:03:39.875,It's been 10 years.
00:03:39.917,00:03:41.208,- Really?
00:03:41.250,00:03:42.500,- That's crazy.
00:04:07.500,00:04:10.500,"Woman: Gabby, stop, you are never gonna fit all this in."
00:04:10.542,00:04:12.125,You can come back for the rest of it tomorrow.
00:04:12.166,00:04:14.625,I can't come back.
00:04:14.667,00:04:16.500,"Oh, God."
00:04:16.542,00:04:17.834,This is clothes?
00:04:19.750,00:04:22.583,"Oh, good, your mom's home."
00:04:24.542,00:04:26.875,"Gabby, you're leaving now?"
00:04:26.917,00:04:28.750,I thought you weren't going till the morning.
00:04:28.792,00:04:32.792,"Yeah, except all my friends are there, and they want me to come tonight. So..."
00:04:32.834,00:04:34.792,"But it's gonna be dark soon, honey."
00:04:34.834,00:04:36.709,And you can't even see out the back window.
00:04:36.750,00:04:39.542,It's Saturday night.
00:04:36.750,00:04:42.625,"people will be on the road, drinking-- Mom. Mom, She'll be there in a couple of hours."
00:04:42.667,00:04:45.875,Okay. I'm just gonna leave this stuff here and come back for it in a few days.
00:04:45.917,00:04:48.959,You want me to drive it down in the morning?
00:04:49.000,00:04:52.166,"We could go to that big Bed, Bath and Beyond, get kitchen stuff, Gabby?"
00:04:52.208,00:04:54.208,"Gabby, can you look up from that thing?"
00:04:54.250,00:04:55.542,"I got it covered, Mom."
00:04:55.583,00:04:57.959,"Hey, gangster."
00:04:58.000,00:04:59.417,- You know it.
00:04:59.458,00:05:01.917,"Oh, no, don't trouble yourself."
00:05:01.959,00:05:03.875,Why start now?
00:05:07.625,00:05:11.208,"Mom, are you afraid to sleep in the house alone?"
00:05:11.250,00:05:12.542,- No.
00:05:12.583,00:05:16.500,"No, I'm not!"
00:05:16.542,00:05:19.917,I'm just wondering who I'm gonna watch The Hills with.
00:05:19.959,00:05:21.667,Oh! Mamacita.
00:05:23.208,00:05:25.959,I'm gonna miss you.
00:05:28.000,00:05:31.583,"- Oh, my God!"
00:05:31.625,00:05:33.333,"Oh, my God!"
00:05:35.417,00:05:37.333,- Really doing this?
00:05:39.166,00:05:40.792,"- Oh, Mom."
00:05:40.834,00:05:43.458,"You don't happen to know where Dad is, do you?"
00:05:43.500,00:05:45.375,'Cause I tried calling him to say goodbye.
00:05:45.417,00:05:47.125,He was at Ted and Sally's.
00:05:47.166,00:05:49.709,He was?
00:05:49.750,00:05:54.834,"You and the two of them at the same-- I mean, that must've-- How was that?"
00:05:54.875,00:05:59.417,"It was-- whatever, it was fine."
00:05:59.458,00:06:01.125,Was her lunatic child there?
00:06:01.166,00:06:03.750,"Not this time, no."
00:06:03.792,00:06:05.125,"Now, listen to me."
00:06:05.166,00:06:07.917,Call me as soon as you get there.
00:06:07.959,00:06:10.291,Do not forget.
00:06:10.333,00:06:12.208,I will!
00:06:12.250,00:06:13.625,"You knock 'em dead, little one."
00:06:13.667,00:06:15.542,"Hey, and call us when you get there, too."
00:06:15.583,00:06:17.792,None of this on the road.
00:06:17.834,00:06:19.208,Right. Thank you.
00:06:19.250,00:06:20.542,Okay. Bye!
00:06:20.583,00:06:21.917,Bye.
00:06:21.959,00:06:23.375,"- I love you, guys."
00:06:29.917,00:06:33.125,"They grow up so freaking fast, don't they?"
00:06:33.166,00:06:35.125,I just hate it.
00:06:36.792,00:06:39.333,"Mom, maybe you should get a dog."
00:06:39.375,00:06:42.458,"Oh, my God."
00:06:42.500,00:06:44.917,"- Bye. Love you, boss."
00:06:50.250,00:06:51.625,"Bye, Mom!"
00:07:44.208,00:07:45.709,Here you go.
00:07:45.750,00:07:47.041,Thanks.
00:07:56.917,00:07:59.583,- Reynaldo.
00:08:02.166,00:08:05.917,"Hey, who wants coffee while you're waiting?"
00:08:05.959,00:08:07.792,- Everything okay?
00:08:10.333,00:08:11.625,"Go check on table five, would you?"
00:08:11.667,00:08:13.375,- Sure.
00:08:14.750,00:08:16.375,- Hello.
00:08:16.417,00:08:17.917,Jane!
00:08:17.959,00:08:20.083,"- Peter, hi!"
00:08:20.125,00:08:21.750,How are you?
00:08:21.792,00:08:24.583,"I can't remember, have you ever met Adam Schaeffer?"
00:08:24.625,00:08:26.041,- Yes.
00:08:26.083,00:08:28.041,"Well, it was-- it was quick."
00:08:30.625,00:08:33.083,- Look what we've got.
00:08:38.750,00:08:41.291,I've been thinking about this addition for...
00:08:41.333,00:08:42.625,Both: Ten years.
00:08:42.667,00:08:43.875,Oh...
00:08:49.333,00:08:50.667,Ohh...
00:08:50.709,00:08:52.834,Ooh! This is nice.
00:08:52.875,00:08:54.333,"I like this wall of windows, Peter."
00:08:54.375,00:08:56.542,"That was Adam, actually."
00:08:56.583,00:08:58.250,Oh!
00:08:58.291,00:09:00.542,And I love where you've put the stairs.
00:09:00.583,00:09:01.792,That is so good.
00:09:01.834,00:09:03.834,Adam's idea.
00:09:03.875,00:09:05.166,Oh.
00:09:05.208,00:09:11.542,I'm finally getting a real kitchen with four walls and a place to put everything I want.
00:09:14.208,00:09:17.500,You actually understood what I wanted.
00:09:17.542,00:09:18.750,All Adam.
00:09:20.417,00:09:21.709,I'm happy you like it.
00:09:21.750,00:09:24.166,I'm so... hi.
00:09:24.208,00:09:25.417,Hello.
00:09:27.208,00:09:29.333,"So, you read all my e-mails."
00:09:29.375,00:09:31.834,"- All 47 of them, yes."
00:09:31.875,00:09:33.333,- Jane...
00:09:33.375,00:09:36.000,- ...it's 10:15.
00:09:36.041,00:09:40.375,"Sorry, I have an appointment, - a dentist appointment."
00:09:40.417,00:09:47.792,"Could you just leave those here so I could make a few notes and-- oh, actually, I do have one tiny note now."
00:09:47.834,00:09:51.834,"In my bathroom, no his-and-her sinks."
00:09:51.875,00:09:54.166,"Oh, okay. Sure."
00:09:54.208,00:09:56.542,- Just hers.
00:09:54.208,00:09:58.458,- And you don't think in the future you might want a his?
00:09:58.500,00:10:00.834,talking code about my life now.
00:10:00.875,00:10:02.166,"No, no, I didn't mean to be."
00:10:02.208,00:10:10.208,"The truth is, in my current bathroom, I have two sinks, and sometimes, the other sink makes me feel bad."
00:10:11.625,00:10:14.375,One sink.
00:10:14.417,00:10:16.375,But we should schedule another meeting.
00:10:16.417,00:10:17.709,Is Tuesday good for you?
00:10:17.750,00:10:20.041,Tuesday's great.
00:10:20.083,00:10:21.959,- At the house?
00:10:30.583,00:10:31.959,- Hi.
00:10:32.000,00:10:33.709,"Hello, I'm Dr. Moss."
00:10:33.750,00:10:35.458,"Hi, I'm Jane Adler."
00:10:35.500,00:10:37.542,"So, what brings you in today?"
00:10:38.917,00:10:41.458,please don't take this the wrong way.
00:10:41.500,00:10:46.625,But I'm the type of person who kind of makes fun of people who get plastic surgery.
00:10:46.667,00:10:48.375,"Well, I understand that."
00:10:48.417,00:10:50.083,You do? Good.
00:10:50.125,00:10:55.583,"Because, you know, some women can look a little fake and, uh..."
00:10:55.625,00:10:59.917,"plasticky, and, I don't know, - just, in my opinion, worse."
00:10:59.959,00:11:01.709,"Well, good."
00:11:01.750,00:11:10.083,"So as against the whole thing as I-- as I am, I, uh-- I do have a problem that's really bugging me."
00:11:10.125,00:11:22.417,"Me left eyelid is really saggy, and sometimes I find myself holding it up when I'm watching TV or reading or, uh-- I was just wondering if that's something you could fix."
00:11:22.458,00:11:25.375,Look straight ahead.
00:11:25.417,00:11:28.083,"Well, you have the same amount of excess skin on both sides."
00:11:28.125,00:11:30.250,Really? Oh.
00:11:30.291,00:11:34.166,"Well, I'm only interested in fixing one eye."
00:11:34.208,00:11:36.875,"Jane, what you need to fix this is a brow-lift."
00:11:36.917,00:11:40.125,A brow-lift?
00:11:40.166,00:11:42.375,"Well, we surgically cut at the hairline."
00:11:42.417,00:11:49.125,We make an incision right here and then we pull the skin back a little tighter over your skull and staple it in place right over your ears.
00:11:49.166,00:11:51.041,"Now, recovery is not all that bad."
00:11:51.083,00:11:57.208,"You could be quite numb, and you'll probably have a headache that lasts anywhere from, say, three to six months."
00:11:57.250,00:12:00.041,Three to six months!
00:12:13.667,00:12:15.792,"Woman: Yes, you did."
00:12:15.834,00:12:17.333,I don't know if you're aware of that.
00:12:17.375,00:12:20.333,"No, no. I think that is something that you should fully be aware of."
00:12:20.375,00:12:23.250,"Okay, okay, but that's not what you said."
00:12:23.291,00:12:24.583,Jane!
00:12:24.625,00:12:26.333,- Hey.
00:12:26.375,00:12:28.750,- Hello.
00:12:28.792,00:12:30.166,Jake. Jake.
00:12:30.208,00:12:34.250,Jake. Jake. Jake. Jake.
00:12:34.291,00:12:36.250,"Uh, hold on, Pedro."
00:12:36.291,00:12:39.041,"Pedro, up! Now!"
00:12:39.083,00:12:42.166,"So, uh, what are you doing in this building?"
00:12:42.208,00:12:43.667,Dentist.
00:12:43.709,00:12:45.000,You don't go to Sharon anymore?
00:12:45.041,00:12:46.333,No. Changed.
00:12:47.709,00:12:49.000,Oh.
00:13:06.709,00:13:08.000,Yeah.
00:13:08.041,00:13:09.875,"- Okay, buddy, here we go."
00:13:09.917,00:13:13.041,"Okay, Pedro, honey, don't do that. Pedro."
00:13:13.083,00:13:14.417,See you in the Big Apple.
00:13:14.458,00:13:16.125,I'll see you there.
00:13:19.875,00:13:22.166,That is beyond!
00:13:22.208,00:13:31.000,When the three of them got in the elevator-- between that and the staples and the headache for six months...
00:13:31.041,00:13:32.792,That was the most insane hour of my life.
00:13:34.208,00:13:36.750,- Jake has lost his mind.
00:13:36.792,00:13:39.834,"Oh, I know, and he's a complete prick for cheating on you."
00:13:39.875,00:13:41.750,I can't disagree with you on that.
00:13:41.792,00:13:44.917,And then he marries her.
00:13:44.959,00:13:46.417,"Well, she has a big job."
00:13:47.834,00:13:50.333,- Why do you always say that?
00:13:50.375,00:13:55.417,She runs a whole marketing department at KY or whatever that station's called.
00:13:56.792,00:13:59.208,She can't be that big of a lunatic.
00:13:59.250,00:14:00.667,"Janey, come on."
00:14:00.709,00:14:03.375,"He cheats on you with her, your 20-year marriage ends."
00:14:03.417,00:14:09.875,"Then six months later, she leaves Jake and runs off with some random guy, has a baby, then leaves that guy for Jake."
00:14:09.917,00:14:11.208,And she's not nuts?
00:14:11.250,00:14:14.583,"Oh, Jo, you are so lucky Jerry is dead."
00:14:15.959,00:14:18.375,"No, I mean, you don't have to bump into him."
00:14:18.417,00:14:19.792,"Well, that's true."
00:14:21.417,00:14:26.083,"Oh, Janey, do you wanna meet a guy I met on Match.com that I didn't like?"
00:14:26.125,00:14:28.125,"Oh, wow, what a great offer."
00:14:28.166,00:14:29.959,"No, thanks."
00:14:30.000,00:14:32.083,"Well, he wasn't that awful."
00:14:32.125,00:14:34.750,Sounding better every minute.
00:14:34.792,00:14:40.417,"You know, it's not healthy to not have sex for however long it's been."
00:14:40.458,00:14:44.041,"Trust me, I am not not doing it on purpose."
00:14:44.083,00:14:45.917,Oh.
00:14:45.959,00:14:55.041,"Okay, I don't know if this is true, but I read online about a woman that hadn't done it in so long that her vagina closed up."
00:14:57.083,00:14:58.375,What?
00:14:58.417,00:15:01.500,Get out of here!
00:15:01.542,00:15:04.333,"I swear to God, it grew back together."
00:15:05.917,00:15:08.709,"Wait, was it ever one piece?"
00:15:08.750,00:15:10.458,"What? Ooh, no."
00:15:10.500,00:15:12.709,"No, she had to have a vaginoplasty."
00:15:12.750,00:15:14.792,- Ouch!
00:15:16.917,00:15:21.000,"Hello, Dr. Moss, I have a little situation that needs fixing."
00:15:21.041,00:15:25.667,"Bubbee, bubbee, if you wanna have your situation fixed, you have to date someone."
00:15:25.709,00:15:27.125,Seriously.
00:15:29.208,00:15:30.417,Anyone.
00:15:51.500,00:15:54.125,"Oh, there he is!"
00:15:54.166,00:15:57.291,There he is!
00:15:57.333,00:15:59.083,"Oh, hello."
00:16:04.917,00:16:08.291,"Oh, I love it when we're all in the same time zone!"
00:16:09.792,00:16:11.208,"So, what's up, Luke?"
00:16:11.250,00:16:12.542,Did you decide to have that party?
00:16:12.583,00:16:14.625,"- Oh, yeah, big time."
00:16:14.667,00:16:16.041,Are you guys going to sleep over?
00:16:16.083,00:16:17.375,"Yeah, if you give us your bed and change the sheets."
00:16:17.417,00:16:18.792,You're having a party?
00:16:18.834,00:16:21.834,"Hi. Adler, two rooms."
00:16:21.875,00:16:25.917,"I have an Adler, J."
00:16:25.959,00:16:29.625,"Oh, I'm sorry, here it is. Adler, J., two standard doubles."
00:16:29.667,00:16:31.083,Sorry about that.
00:16:31.125,00:16:35.375,- We are not the ones in the Superior Suite.
00:16:35.417,00:16:37.583,Have the other Adlers checked in yet?
00:16:37.625,00:16:38.917,Just wondering.
00:16:38.959,00:16:40.750,"No, they haven't, ma'am."
00:16:40.792,00:16:44.458,Now I just need a credit card and your signature.
00:16:44.500,00:16:46.083,can the girls come with me now and help me set up?
00:16:46.125,00:16:48.417,"Oh, and by girls, he means the three of us."
00:16:48.458,00:16:50.583,"Wait, hold on."
00:16:50.625,00:16:53.083,I have reservations for us for dinner.
00:16:53.125,00:16:55.875,- That's not happening now?
00:16:55.917,00:17:01.750,Me and my friends are having this huge thing at our apartment and the girls said they'd help us set up.
00:17:01.792,00:17:03.959,We're gonna be together all day tomorrow.
00:17:04.000,00:17:06.792,"Mom, it's his last night before graduation."
00:17:06.834,00:17:08.792,"Okay, okay."
00:17:08.834,00:17:12.041,"Can I do anything to help, or..."
00:17:14.041,00:17:16.375,Love your credit card.
00:17:19.500,00:17:21.583,Here it goes.
00:17:52.542,00:17:54.500,- Hi.
00:17:54.542,00:17:57.834,"Adler, for one, room 2112."
00:17:57.875,00:17:59.625,"Your table is almost ready, Mrs. Adler."
00:17:59.667,00:18:01.542,- Would you like to wait in the bar?
00:18:07.625,00:18:11.417,- Hi.
00:18:11.458,00:18:13.125,I'll have a pinot noir.
00:18:13.166,00:18:14.458,right away.
00:18:14.500,00:18:20.000,"No, you know, I'll have a very dry Tanqueray martini, - straight up with a twist."
00:18:36.959,00:18:38.250,Where's your...
