word,counts
know,84
so,76
just,64
really,56
think,46
can,45
now,43
good,40
when,39
back,37
how,37
here,34
there,31
go,31
right,30
got,27
why,27
could,26
see,25
going,24
years,24
love,24
great,23
mom,23
mean,23
want,22
time,22
would,22
thing,21
come,21
look,21
gon,21
together,21
way,20
say,20
thought,20
ca,20
like,20
night,19
never,19
home,19
too,18
ever,18
long,17
let,17
other,16
actually,16
life,16
little,15
last,15
having,15
take,15
more,15
wife,15
call,14
tell,14
need,14
always,14
make,13
then,13
sorry,13
should,13
thanks,13
even,13
fun,13
maybe,12
people,12
where,12
very,12
of,12
thank,12
big,12
old,11
things,11
okay,11
guy,11
nice,11
idea,11
man,11
done,11
wanted,11
much,11
remember,11
days,10
wait,10
morning,10
best,10
wrong,10
said,10
doing,10
one,10
getting,10
feel,10
house,10
get,10
day,10
kind,9
talk,9
divorced,9
help,9
married,9
seeing,9
saying,9
still,9
all,9
will,9
tomorrow,9
party,8
work,8
sex,8
looks,8
ex,8
understand,8
again,8
affair,8
most,8
kids,8
kitchen,8
as,8
left,8
better,7
thinking,7
looking,7
next,7
part,7
first,7
bad,7
told,7
whole,7
went,7
sort,7
baby,7
probably,7
tonight,7
coming,7
that,7
up,7
few,7
world,7
had,7
divorce,7
guys,7
leave,7
feeling,6
finally,6
coffee,6
meeting,6
hope,6
week,6
might,6
hold,6
same,6
fine,6
saw,6
made,6
give,6
place,6
true,6
absolutely,6
graduation,6
months,6
woman,6
feels,6
happened,6
live,6
only,6
sure,6
couple,6
hate,6
known,6
lot,6
happy,6
figure,5
chocolate,5
ice-cream,5
working,5
girls,5
date,5
hmm,5
keep,5
wondering,5
hot,5
meet,5
once,5
set,5
believe,5
cake,5
sleep,5
husband,5
bed,5
hear,5
talking,5
bring,5
took,5
care,5
beautiful,5
marriage,5
sounds,5
smoke,5
supposed,5
away,5
bathroom,5
table,5
in,5
sometimes,5
eat,5
mother,4
figured,4
perfect,4
architect,4
already,4
amazing,4
truth,4
put,4
stay,4
either,4
over,4
crazy,4
open,4
trip,4
end,4
ago,4
moment,4
sweet,4
happen,4
knew,4
nuts,4
dinner,4
gabby,4
totally,4
awful,4
find,4
seriously,4
wants,4
may,4
guess,4
yet,4
used,4
side,4
forget,4
i,4
heart,4
wedding,4
room,4
sitting,4
move,4
met,4
today,4
problems,4
different,4
hours,4
lying,4
trying,4
slept,4
weird,4
bit,4
sleeping,4
anymore,4
weekend,4
rest,4
lift,3
janey,3
meal,3
lunch,3
literally,3
kidding,3
job,3
exactly,3
fantastic,3
menu,3
makes,3
door,3
later,3
fell,3
able,3
favorite,3
insane,3
mmm,3
else,3
longer,3
shot,3
kiss,3
fertility,3
business,3
stop,3
apart,3
hard,3
brought,3
french,3
speak,3
definitely,3
around,3
found,3
called,3
well,3
grew,3
car,3
heard,3
