start,end,script
00:01:23.041,00:01:24.375,"DAD: Hey, kiddo."
00:01:25.001,00:01:26.461,-What? -I found something.
00:01:26.628,00:01:28.880,You gotta check this out.
00:01:30.465,00:01:32.342,Jumanji.
00:01:34.135,00:01:35.261,Board game?
00:01:35.428,00:01:37.722,Who plays board games?
00:03:11.816,00:03:13.484,SPENCER: Parry. Parry.
00:03:13.651,00:03:15.570,Evade. Blam.
00:03:15.737,00:03:17.405,Uppercut.
00:03:17.572,00:03:18.865,Head slam. You're dead.
00:03:19.032,00:03:22.201,Strike. Strike. Counterstrike. Head slam. Ka-pow.
00:03:26.205,00:03:28.416,I got it.
00:03:38.468,00:03:42.639,"--Benjamin Franklin, and it was this sense of national exceptionalism..."
00:03:42.805,00:03:46.142,...that fueled the spreading wildfire of westward expansion.
00:03:46.309,00:03:48.102,-Spencer? Honey? -Ah!
00:03:48.603,00:03:51.356,"Mom, what did we say about the knocking?"
00:03:51.522,00:03:54.275,I'm late for work. Are you going to your father's after school?
00:03:54.442,00:03:56.110,"-Yeah, probably. -Don't forget your EpiPen."
00:03:56.277,00:03:58.238,"Please, remember, the world is a terrifying place."
00:03:58.404,00:04:00.907,Be careful of everything. I love you more than life itself. Bye.
00:04:01.074,00:04:02.200,-See you Sunday night. -Okay.
00:04:08.998,00:04:11.376,"-Later, Mama. MOM: Eat something before you go."
00:04:11.542,00:04:13.169,I can't. I gotta go meet Spencer.
00:04:13.795,00:04:15.588,"-Spencer Gilpin? -Yeah, Spencer Gilpin."
00:04:15.755,00:04:17.131,He's been tutoring me.
00:04:17.298,00:04:19.842,-He's helping me get my grades up. -I love to hear that.
00:04:20.009,00:04:22.553,-Little Spencer Gilpin. -Yeah.
00:04:22.720,00:04:25.515,"-Your grades gonna be okay? -Yeah, that's why I'm getting help."
00:04:25.682,00:04:29.727,I'd hate for you to get dropped from the team-- I'm not gonna get dropped from the team.
00:04:31.187,00:04:33.523,It's-- It's gonna be fine. Okay?
00:04:52.834,00:04:54.711,Okay.
00:04:54.877,00:04:57.755,"That's cute, right?"
00:04:57.922,00:04:59.590,Yeah.
00:05:21.446,00:05:23.531,"-Yo. -Hey, Fridge."
00:05:24.991,00:05:26.659,Why you wearing a raincoat?
00:05:26.826,00:05:28.870,"-What do you mean? -I mean, it's not raining."
00:05:29.037,00:05:30.204,Oh.
00:05:30.371,00:05:32.999,"Well, it might. I mean, you never know what's gonna happen."
00:05:34.792,00:05:37.170,"-Oy vey. Do you mind? -What the hell, man?"
00:05:37.336,00:05:40.882,Can we just speed this up? Freak House makes me very uncomfortable.
00:05:41.632,00:05:42.967,Here you go.
00:05:44.552,00:05:46.679,"-You proofread everything? -Yeah, I proofed it."
00:05:46.846,00:05:49.432,And I gave it a beginning...
00:05:50.016,00:05:52.477,...and an ending and some in the middle.
00:05:52.643,00:05:55.188,"I would've done it myself, if I had the time or whatever..."
00:05:55.354,00:05:57.356,"-...but.... -Yeah, it's no big deal."
00:05:57.523,00:06:00.485,"Hey, man, I was thinking, so.... I mean, it's been really fun..."
00:06:00.651,00:06:02.987,...doing your papers and your homework and stuff...
00:06:03.154,00:06:04.822,...but I don't know what you're doing this weekend...
00:06:04.989,00:06:07.742,-...but I was thinking we could-- -This weekend. Yeah.... Ah.
00:06:09.368,00:06:10.828,"-Hey, Fridge. -Hey."
00:06:11.579,00:06:13.331,You need a ride?
00:06:13.498,00:06:15.500,-I'm going with her. -You know what?
00:06:15.666,00:06:19.253,"That's actually better for me, scheduling-wise, too, so...."
00:06:19.420,00:06:21.005,"See you later, Refrigerator."
00:06:21.964,00:06:24.008,Sorry. Sorry.
00:06:24.550,00:06:26.385,"What up, girl?"
00:06:27.845,00:06:29.514,Whatever.
00:06:29.931,00:06:32.975,It's not like I was your best friend for your entire childhood.
00:06:33.142,00:06:34.519,-That's fine. MAN: What'd you say?
00:06:38.231,00:06:40.733,"Uh.... Nothing, sir."
00:06:41.609,00:06:43.402,"Oh, that guy is super weird."
00:06:43.903,00:06:47.740,That poor man. So awful what happened to those people.
00:06:48.908,00:06:52.078,-I was talking about the kid. -What are you doing out here?
00:06:52.578,00:06:54.831,I was just talking to my friend.
00:06:54.997,00:06:57.667,"You should be more careful where you loiter, you hear me?"
00:06:57.834,00:06:59.919,"Yes, Mr. Vreeke. I hear you."
00:07:00.086,00:07:02.630,This world swallows up kids like you.
00:07:20.898,00:07:22.817,BETHANY: It's been two hours since I've posted...
00:07:22.984,00:07:25.278,...and he hasn't commented. He hasn't even liked it.
00:07:25.445,00:07:27.530,"-You saw it. LUCINDA: Yeah, gorge."
00:07:27.697,00:07:29.240,I don't know what his problem is.
00:07:29.407,00:07:32.452,"Thank you. It's not like I post all the time, just enough to stay relevant."
00:07:32.618,00:07:36.581,"-But it's cute enough for Noah to at least-- -Hey, there's some rando behind you."
00:07:37.915,00:07:40.168,-Hi. -Hi.
00:07:40.334,00:07:42.962,"Bethany, did you just make a call during the quiz?"
00:07:43.129,00:07:44.922,Yeah. But I finished my quiz already.
00:07:45.089,00:07:48.551,"Oh, okay. Well, have you noticed that other people haven't?"
00:07:49.927,00:07:53.014,"-So? -Oh, I'm sorry. Let me back up."
00:07:53.181,00:07:56.267,"You're aware there are other people in the world, right?"
00:07:57.685,00:08:02.231,"Look, um, you know, I'm dealing with something right now, and..."
00:08:02.398,00:08:03.941,...I'm no happier about it than you are.
00:08:04.108,00:08:06.652,"I'm having a crisis, and Lucinda, I mean..."
00:08:06.819,00:08:10.698,"...she's supporting me as a woman, and it feels like maybe you should too."
00:08:12.700,00:08:14.994,"-Just hang up the phone. -Okay, I'll wrap it up."
00:08:15.161,00:08:17.455,"-Bethany, hang it up now. -Two minutes and we're done."
00:08:17.622,00:08:19.248,And that's detention.
00:08:20.917,00:08:24.045,"All right, keep those arms pumping. Let's go!"
00:08:24.962,00:08:28.132,"-Bethany, you're late. -Sorry."
00:08:30.051,00:08:32.261,I heard she broke up with that football guy.
00:08:33.262,00:08:35.223,"This could be your opening, Fussfeld."
00:08:36.599,00:08:38.643,"All right, we'll practice catching and throwing."
00:08:38.809,00:08:41.854,So partner up and grab a football. Let's move!
00:08:44.607,00:08:45.691,"Hey, Martha."
00:08:46.359,00:08:49.028,Martha. You can't play catch by yourself.
00:08:49.195,00:08:50.821,Pair up.
00:08:50.988,00:08:52.406,Come on. Let's go.
00:08:52.782,00:08:54.283,"No. No, I'm good."
00:08:55.493,00:08:56.953,Okay.
00:09:00.373,00:09:02.959,You have to participate just like everybody else.
00:09:03.125,00:09:05.336,"Otherwise, why are you even here?"
00:09:05.503,00:09:06.671,It's a requirement.
00:09:06.837,00:09:08.464,-Martha-- -I think it's pointless.
00:09:08.631,00:09:10.466,Gym class is not gonna get me into Princeton...
00:09:10.633,00:09:12.802,...and I don't understand the obsession with throwing...
00:09:12.969,00:09:14.971,"...a ball into a hoop and, Touchdown, five points!"
00:09:15.137,00:09:20.518,"Okay. There's a lot wrong with that, but first of all-- It's physical activity, which is good for you."
00:09:20.685,00:09:22.812,"With other people, also good for you."
00:09:23.145,00:09:26.274,"And if you try it, you might even have some fun."
00:09:26.440,00:09:28.901,Fun. That's what we're doing here? Fun?
00:09:29.068,00:09:30.403,This is school.
00:09:30.570,00:09:32.989,We are supposed to be learning things that actually matter.
00:09:33.155,00:09:35.575,"-Okay, Martha.... -We don't have a lot of time in this life..."
00:09:35.741,00:09:39.620,"...and I personally don't wanna waste it on being, like, a gym teacher."
