word,counts
go,70
so,62
got,58
think,57
fridge,52
know,51
just,50
here,47
guys,42
right,41
mean,32
ca,32
how,31
game,30
gon,29
good,29
now,29
come,27
can,27
let,26
bethany,22
there,22
see,22
need,22
wait,21
doing,20
thing,20
back,19
never,19
look,18
time,18
then,18
jewel,18
okay,18
why,17
tell,17
too,17
give,16
all,16
hell,16
piece,15
maybe,15
say,14
missing,14
man,14
going,14
even,14
when,14
die,13
would,13
must,13
girl,13
other,13
way,13
done,12
take,12
sure,12
little,12
life,12
people,12
talking,12
lot,12
find,11
actually,11
where,11
backpack,11
really,11
better,10
could,10
call,10
thanks,10
jump,10
map,10
said,9
should,9
first,9
ever,9
guy,9
move,9
help,9
like,9
thank,9
will,9
stop,9
curse,8
getting,8
helicopter,8
in,8
years,8
lives,8
happened,8
name,8
get,8
phone,8
fly,8
mouth,8
hate,8
only,8
sorry,7
play,7
talk,7
funny,7
one,7
saying,7
more,7
found,7
weakness,7
careful,7
means,7
together,7
place,7
long,7
cake,6
pretty,6
fine,6
old,6
still,6
make,6
work,6
bazaar,6
elephant,6
most,6
moment,6
badass,6
world,6
else,6
leave,6
keep,6
needs,6
thinking,6
remember,6
guess,6
want,6
shed,6
home,6
ass,6
blink,6
welcome,6
kind,6
level,5
side,5
speed,5
wrong,5
school,5
finish,5
love,5
made,5
rations,5
weird,5
dance,5
hot,5
away,5
happen,5
try,5
transportation,5
put,5
pilot,5
thought,5
save,5
things,5
enough,5
westward,5
fun,5
games,5
probably,5
strengths,5
of,5
statue,5
drunk,5
weapons,5
over,5
alone,5
stuck,5
expansion,5
afraid,5
no,4
dumb,4
next,4
feel,4
new,4
open,4
paper,4
control,4
dropped,4
easy,4
eat,4
once,4
detention,4
much,4
plate,4
real,4
cry,4
down,4
eyes,4
minute,4
problem,4
same,4
came,4
jungle,4
that,4
snake,4
football,4
idea,4
goodness,4
forget,4
left,4
later,4
last,4
stay,4
huge,4
stoked,4
video,4
friend,4
very,4
stuff,4
hurry,4
venom,4
body,4
supposed,4
lift,4
follow,4
ai,4
today,4
second,4
seem,4
looks,4
up,4
big,4
again,4
seriously,4
wo,4
team,4
happening,4
climb,4
class,4
show,4
hang,4
also,4
amazing,4
hands,4
interesting,3
important,3
luck,3
great,3
i,3
hair,3
hippo,3
hero,3
heh,3
heard,3
