num,start,end,script
9,00:01:31.633,00:01:32.884,"['You', 'know,']"
10,00:01:33.594,00:01:37.556,"[""I'll"", 'bet', 'I', 'could', 'fry', 'an', 'egg', 'on', 'your', 'head', 'right', 'now.']"
11,00:01:38.765,00:01:40.058,"['If', 'I', 'wanted', 'to.']"
12,00:01:42.477,00:01:43.687,"['You', 'know,', 'Kiddo…']"
13,00:01:46.648,00:01:48.066,"[""I'd"", 'like', 'to', 'believe']"
14,00:01:49.359,00:01:51.987,"[""you're"", 'aware', 'enough,', 'even', 'now,']"
15,00:01:52.863,00:01:56.116,"['to', 'know', 'that', ""there's"", 'nothing', 'sadistic']"
16,00:01:57.200,00:01:58.368,"['in', 'my', 'actions.']"
17,00:02:00.287,00:02:04.207,"['Well,', 'maybe', 'towards', 'those', 'other', 'jokers.']"
18,00:02:06.585,00:02:07.836,"['But', 'not', 'you.']"
19,00:02:11.673,00:02:12.924,"['No,', 'Kiddo.']"
20,00:02:13.383,00:02:14.509,"['At', 'this', 'moment…']"
21,00:02:17.346,00:02:18.639,"['this', 'is', 'me']"
22,00:02:19.931,00:02:23.685,"['at', 'my', 'most…', 'masochistic.']"
23,00:02:24.061,00:02:25.270,"['Bill,']"
31,00:05:45.011,00:05:47.430,"['Sarah,', 'I', 'cannot', 'believe', 'you', 'are', 'early.']"
44,00:06:51.119,00:06:53.747,"['What', 'you', 'gonna', 'do', 'now,', 'huh?', 'What', 'you', 'got?']"
45,00:06:54.164,00:06:56.249,"['I', 'got', 'your', 'ass!', 'Remember', 'that?', 'Huh?', 'Remember?']"
46,00:07:05.967,00:07:07.510,"['Okay.', 'Come', 'on,', 'bitch.']"
47,00:07:09.429,00:07:12.182,"['Come', 'on.', 'Bring', 'it', 'on.']"
52,00:07:52.013,00:07:53.264,"['Mommy,', ""I'm"", 'home.']"
53,00:07:53.348,00:07:54.432,"['Hey,', 'baby.']"
54,00:07:54.766,00:07:55.892,"['How', 'was', 'school?']"
55,00:07:58.603,00:08:01.648,"['Mommy,', 'what', 'happened', 'to', 'you', 'and', 'the', 'TV', 'room?']"
56,00:08:01.731,00:08:02.983,['Oh.']
57,00:08:03.817,00:08:06.277,"['That', 'good-for-nothing', 'dog', 'of', 'yours', 'got', 'his', 'little', 'ass']"
58,00:08:06.361,00:08:08.363,"['in', 'the', 'living', 'room', 'and', 'acted', 'a', 'damn', 'fool.']"
59,00:08:08.655,00:08:09.906,"[""That's"", 'what', 'happened,', 'baby.']"
60,00:08:10.365,00:08:11.825,"['-Barney', 'did', 'this?', '-Baby,']"
61,00:08:12.659,00:08:13.827,"['now,', 'you', ""can't"", 'come', 'in', 'here.']"
62,00:08:13.952,00:08:17.288,"[""There's"", 'broken', 'glass', 'everywhere,', 'and', 'you', 'could', 'cut', 'yourself.']"
64,00:08:23.461,00:08:26.131,"['This', 'is', 'an', 'old', 'friend', 'of', ""Mommy's"", 'I', ""ain't"", 'seen', 'in', 'a', 'long', 'time.']"
65,00:08:27.298,00:08:28.383,"['Hi,', 'honey.']"
67,00:08:30.927,00:08:32.178,"[""What's"", 'your', 'name?']"
68,00:08:35.890,00:08:37.142,"['Her', 'name', 'is', 'Nikki.']"
69,00:08:38.184,00:08:39.227,['Nikki.']
70,00:08:40.645,00:08:42.731,"['Such', 'a', 'pretty', 'name', 'for', 'such', 'a', 'pretty', 'girl.']"
71,00:08:45.150,00:08:46.443,"['How', 'old', 'are', 'you,', 'Nikki?']"
73,00:08:54.242,00:08:55.410,"[""I'm"", 'four.']"
74,00:08:56.411,00:08:57.746,"['Four', 'years', 'old,', 'eh?']"
75,00:08:59.289,00:09:02.876,"['You', 'know,', 'I', 'had', 'a', 'little', 'girl', 'once.']"
76,00:09:04.502,00:09:06.004,"[""She'd"", 'be', 'about', 'four', 'now.']"
77,00:09:10.175,00:09:14.763,"['Now,', 'baby,', 'me', 'and', ""Mommy's"", 'friend', 'got', 'some', 'grown-up', 'talk', 'to', 'talk', 'about.']"
