num,start,end,script
3,00:00:26.458,00:00:28.791,"['You', ""don't"", 'really', 'write', 'many', 'these', 'days,', 'do', 'you?']"
4,00:00:29.291,00:00:31.458,"['But', 'I', 'bet', ""there's"", 'one', 'you', 'never', 'forget.']"
5,00:00:31.958,00:00:34.458,"['Send', 'it', 'off', 'to', 'a', 'certain', 'plump', 'guy', 'in', 'a', 'red', 'suit']"
6,00:00:34.541,00:00:36.666,"['and,', 'provided', ""you've"", 'kept', 'your', 'act', 'together']"
7,00:00:36.750,00:00:37.583,"['more', 'or', 'less,']"
8,00:00:38.083,00:00:39.458,"[""he'll"", 'drop', 'off', 'a', 'toy', 'or', 'two.']"
9,00:00:40.041,00:00:42.041,"['And', 'yet,', 'no', 'one', 'seems', 'to', 'wonder']"
10,00:00:42.125,00:00:44.416,"['how', 'the', 'whole', 'thing', 'got', 'started', 'in', 'the', 'first', 'place.']"
11,00:00:45.625,00:00:48.958,"['This', 'is', 'a', 'story', 'about', 'letters,', 'and', 'it', 'began...']"
12,00:00:50.125,00:00:51.125,"['with', 'this', 'one.']"
19,00:01:37.083,00:01:38.708,"['-80!', '-Drill', 'Sergeant,', 'sir!']"
20,00:01:38.791,00:01:41.666,"['All', 'the', 'way', 'from', 'the', 'top!', 'Dispatch', 'for', 'one', 'of', 'your', 'cadets!']"
21,00:01:43.416,00:01:45.208,"[""It's"", 'for', 'him,', 'sir.']"
24,00:01:54.041,00:01:55.416,"['Cadet', 'Johanssen!']"
26,00:01:57.291,00:01:58.208,['Stop.']
27,00:01:58.291,00:02:00.416,"[""Don't"", 'tell', 'me.', 'Let', 'me', 'try', 'to', 'guess.']"
28,00:02:01.250,00:02:02.416,"['I', 'give', 'up.', 'Who', 'are', 'you?']"
29,00:02:02.500,00:02:03.375,['Sarge!']
30,00:02:03.458,00:02:05.958,"['Drill', 'Sarge!', 'Have', 'a', 'seat.', 'Can', 'I', 'get', 'you', 'something', 'to', 'drink?']"
31,00:02:06.041,00:02:07.125,"['An', 'espresso?', 'A', 'cappuccino?']"
32,00:02:07.208,00:02:10.458,"[""Aren't"", 'you', 'supposed', 'to', 'be', 'in', 'equestrian', 'training?']"
33,00:02:10.541,00:02:11.416,"['Mmm-hmm.', 'Mmm-hmm.']"
34,00:02:11.500,00:02:13.750,"['No', 'worries.', ""I've"", 'got', 'someone', 'covering', 'for', 'me.']"
36,00:02:21.833,00:02:22.666,['What?']
37,00:02:22.750,00:02:24.083,"['Sarge,', 'is', 'that', 'for', 'real?']"
39,00:02:26.083,00:02:27.125,"['Here,', 'hold', 'these.']"
40,00:02:28.750,00:02:30.916,"['Ah,', 'well,', 'I', 'was', 'expecting', 'this', 'a', 'little', 'bit', 'sooner,']"
41,00:02:31.000,00:02:34.541,"['but,', 'yup,', 'summoned', 'to', 'the', ""dragon's"", 'lair.']"
42,00:02:34.625,00:02:37.875,"['Go', 'ahead', 'and', 'cancel', 'the', 'Drill', ""Sergeant's"", 'espresso,', 'actually.']"
43,00:02:37.958,00:02:39.500,"['And,', 'uh,', 'here,', 'why', ""don't"", 'you', 'finish', 'mine?']"
45,00:02:41.208,00:02:44.666,"['...and', ""I'm"", 'gonna', 'take', 'one', 'last', 'look', 'around', 'the', 'old', 'place', 'so', 'I', 'can', 'forget', 'it.']"
46,00:02:44.750,00:02:47.000,"['Mmm-hmm.', 'Got', 'it.', 'All', 'right,', ""let's"", 'go.']"
49,00:02:52.666,00:02:57.250,"[""It's"", 'been', 'nine', 'months', 'since', 'I', 'used', 'every', 'ounce', 'of', 'my', 'influence']"
50,00:02:57.333,00:02:59.333,"['to', 'get', 'you', 'into', 'the', 'Royal', 'Postal', 'Academy.']"
51,00:02:59.416,00:03:02.708,"['Actually,', 'nine', 'months', 'and', 'six', 'days,', 'but', ""who's"", 'counting?']"
52,00:03:02.791,00:03:04.333,"['What?', 'No', 'croutons?']"
53,00:03:04.416,00:03:06.166,"['Oh,', 'man,', 'come', 'on!']"
54,00:03:06.250,00:03:08.500,"['Shall', 'we', 'take', 'account', 'of', 'your', 'progress', 'then?']"
55,00:03:08.583,00:03:10.166,"['Mmm-hmm.', 'Mmm-hmm.', 'Mmm-hmm.', 'Definitely.']"
57,00:03:11.916,00:03:13.041,"['Sorting', 'and', 'filing:']"
58,00:03:14.791,00:03:16.666,"['total', 'failure.']"
59,00:03:16.750,00:03:18.625,"['Carrier', 'pigeon', 'care', 'and', 'handling...']"
61,00:03:20.166,00:03:22.083,"['...abysmal', 'performance.']"
63,00:03:24.708,00:03:26.583,"['...worst', 'on', 'record.']"
64,00:03:27.166,00:03:28.125,"['Well,', 'there', 'you', 'have', 'it.']"
65,00:03:28.208,00:03:30.833,"['But,', 'hey,', 'we', 'gave', 'it', 'the', 'old', 'college', 'try,', ""didn't"", 'we?']"
66,00:03:31.375,00:03:34.041,"['Guess', ""I'll"", 'just', 'go', 'pack', 'up', 'and', 'head', 'home', 'then.', 'Too', 'bad.']"
67,00:03:34.125,00:03:35.333,"['Darn,', 'oh,', 'darn.']"
68,00:03:35.416,00:03:37.333,"['-Stay', 'right', 'where', 'you', 'are.', '-No,', 'Dad!']"
69,00:03:37.458,00:03:39.750,"[""You're"", 'right.', 'When', 'will', 'I', 'grow', 'up?']"
70,00:03:39.833,00:03:43.041,"['When', 'will', 'I', 'stop', 'squandering', 'all', 'these', 'opportunities,']"
71,00:03:43.125,00:03:45.250,"['which', 'you', 'so', 'kindly', 'forced', 'me', 'into,']"
72,00:03:45.333,00:03:46.625,"['and', 'become', 'my', 'own', 'man?']"
73,00:03:46.708,00:03:50.500,"['I', 'guess', 'I', 'must', 'really', 'hanker', 'down', 'and', 'rethink', 'my', 'priorities.']"
74,00:03:50.583,00:03:53.791,"['All', 'wrapped', 'up', 'in', 'my', 'silk', 'sheets', 'with', 'some', 'caviar', 'and', 'a', 'sherry...']"
75,00:03:53.875,00:03:55.083,"['You', 'still', 'buy', 'the', 'same', 'brand,', 'right?']"
76,00:03:55.166,00:03:57.666,"['You', 'think', ""I'm"", 'just', 'going', 'to', 'watch', 'you', 'purposely', 'fail']"
77,00:03:57.750,00:03:59.708,"['and', 'then', 'let', 'you', 'waltz', 'right', 'back']"
78,00:03:59.791,00:04:02.583,"['to', 'a', 'privileged', 'life', 'void', 'of', 'any', 'purpose', 'or', 'meaning?']"
79,00:04:02.666,00:04:05.416,"['Well,', 'yeah.', 'Where', 'else', 'would', 'I--']"
80,00:04:05.500,00:04:09.291,"['Congratulations.', 'You', 'are', 'now', 'a', 'postman.']"
