num,start,end,script
2,00:00:19.854,00:00:22.815,"['Long', 'ago,', 'in', 'ancient', 'China,']"
3,00:00:22.940,00:00:26.819,"['the', 'Peacocks', 'ruled']"
4,00:00:22.940,00:00:26.819,"['over', 'Gongmen', 'City.']"
5,00:00:26.944,00:00:30.906,"['They', 'brought', 'great', 'joy']"
6,00:00:26.944,00:00:30.906,"['and', 'prosperity', 'to', 'the', 'city,']"
7,00:00:31.031,00:00:34.451,"['for', 'they', 'had']"
8,00:00:31.031,00:00:34.451,"['invented', 'fireworks.']"
10,00:00:37.997,00:00:40.582,"['But', 'their', 'son,', 'Lord', 'Shen,']"
11,00:00:40.708,00:00:44.670,"['saw', 'darker', 'power']"
12,00:00:40.708,00:00:44.670,"['in', 'the', 'fireworks.']"
13,00:00:44.795,00:00:47.756,"['What', 'had', 'brought']"
14,00:00:44.795,00:00:47.756,"['color', 'and', 'joy,']"
15,00:00:47.882,00:00:52.636,"['could', 'also', 'bring', 'darkness']"
16,00:00:47.882,00:00:52.636,"['and', 'destruction.']"
17,00:00:52.761,00:00:56.515,"[""Shen's"", 'troubled', 'parents']"
18,00:00:52.761,00:00:56.515,"['consulted', 'a', 'soothsayer.']"
19,00:00:56.640,00:01:02.187,"['She', 'foretold', 'that', 'if', 'Shen']"
20,00:00:56.640,00:01:02.187,"['continued', 'down', 'this', 'dark', 'path']"
21,00:01:02.312,00:01:07.609,"['he', 'would', 'be', 'defeated', 'by']"
22,00:01:02.312,00:01:07.609,"['a', 'warrior', 'of', 'black', 'and', 'white.']"
23,00:01:07.735,00:01:11.947,"['The', 'young', 'lord']"
24,00:01:07.735,00:01:11.947,"['set', 'out', 'to', 'change', 'his', 'fate.']"
25,00:01:12.072,00:01:14.241,"['But', 'what', 'he', 'did', 'next...']"
26,00:01:14.366,00:01:17.619,"['...only', 'sealed', 'it.']"
27,00:01:21.206,00:01:25.627,"['Shen', 'returned', 'to', 'his', 'parents,']"
28,00:01:21.206,00:01:25.627,"['full', 'of', 'pride.']"
29,00:01:25.753,00:01:30.424,"['But', 'in', 'their', 'faces,']"
30,00:01:25.753,00:01:30.424,"['he', 'saw', 'only', 'horror.']"
31,00:01:31.800,00:01:34.887,"['He', 'was', 'banished']"
32,00:01:31.800,00:01:34.887,"['from', 'the', 'city', 'forever.']"
33,00:01:35.012,00:01:38.223,"['But', 'Shen', 'swore', 'revenge.']"
34,00:01:38.348,00:01:41.184,"['Someday', 'he', 'would', 'return,']"
35,00:01:41.309,00:01:45.439,"['and', 'all', 'of', 'China']"
36,00:01:41.309,00:01:45.439,"['would', 'bow', 'at', 'his', 'feet.']"
40,00:02:16.470,00:02:21.100,"[""It's"", 'almost', 'done,', 'Lord', 'Shen,']"
41,00:02:16.470,00:02:21.100,"['but', ""we've"", 'run', 'out', 'of', 'metal.']"
42,00:02:21.224,00:02:25.562,"['Search', 'the', 'farthest', 'villages!']"
43,00:02:21.224,00:02:25.562,"['Find', 'more', 'metal!']"
44,00:02:25.687,00:02:27.982,"['China', 'will', 'be', 'mine.']"
45,00:02:37.825,00:02:41.161,"['And', 'then', 'the', 'Dragon', 'Warrior']"
46,00:02:37.825,00:02:41.161,"['joined', 'the', 'Furious', 'Five!']"
47,00:02:41.286,00:02:44.331,"['And', 'they', 'became', 'the', 'most']"
48,00:02:41.286,00:02:44.331,"['awesomest', 'kung', 'fu', 'team', 'ever!']"
49,00:02:44.456,00:02:45.833,"['Enough', 'talk.', ""Let's"", 'fight!']"
50,00:02:45.958,00:02:47.334,"['-', 'Yah!']"
51,00:02:45.958,00:02:47.334,"['-', 'Hi-yah!']"
52,00:02:47.459,00:02:48.877,"['Listen,', 'listen.']"
53,00:02:49.003,00:02:50.629,"['You', 'can', 'hear', 'the', 'Dragon', 'Warrior']"
54,00:02:49.003,00:02:50.629,"['training', 'right', 'now!']"
